,QUARTER,TIME_REMAINING,CHICAGO_ACTION,CHARLOTTE_ACTION,CHICAGO_SCORE,CHARLOTTE_SCORE
0,1,11:44.0,B. Portis misses 3-pt jump shot from 25 ft,,0,0
1,1,11:44.0,,Defensive rebound by Team,0,0
2,1,11:20.0,,M. Williams makes 3-pt jump shot from 26 ft (assist by C. Zeller),0,3
3,1,10:58.0,R. Rondo makes 3-pt jump shot from 24 ft (assist by D. Wade),,3,3
4,1,10:42.0,,J. Lamb misses 2-pt jump shot from 17 ft,3,3
5,1,10:41.0,Defensive rebound by J. Butler,,3,3
6,1,10:31.0,R. Lopez makes 2-pt layup from 2 ft (assist by J. Butler),,5,3
7,1,10:31.0,,Charlotte full timeout,5,3
8,1,10:14.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by J. Lamb),5,5
9,1,10:14.0,,Shooting foul by B. Portis (drawn by M. Kidd-Gilchrist),5,5
10,1,10:14.0,,M. Kidd-Gilchrist makes free throw 1 of 1,5,6
11,1,9:59.0,R. Lopez misses 2-pt jump shot from 4 ft (block by C. Zeller),,5,6
12,1,9:58.0,,Defensive rebound by K. Walker,5,6
13,1,9:41.0,,J. Lamb makes 2-pt layup from 1 ft,5,8
14,1,9:27.0,D. Wade makes 2-pt layup from 1 ft,,7,8
15,1,9:14.0,,Personal foul by D. Wade (drawn by C. Zeller),7,8
16,1,9:02.0,,C. Zeller misses 2-pt jump shot from 21 ft,7,8
17,1,9:01.0,,Offensive rebound by M. Kidd-Gilchrist,7,8
18,1,8:57.0,,J. Lamb makes 2-pt jump shot from 14 ft (assist by M. Kidd-Gilchrist),7,10
19,1,8:36.0,D. Wade makes 2-pt jump shot from 14 ft,,9,10
20,1,8:28.0,,Personal foul by R. Rondo (drawn by K. Walker),9,10
21,1,8:19.0,,C. Zeller misses 2-pt hook shot from 5 ft,9,10
22,1,8:18.0,Defensive rebound by B. Portis,,9,10
23,1,8:15.0,Turnover by R. Rondo (lost ball),,9,10
24,1,7:59.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,9,10
25,1,7:58.0,Defensive rebound by R. Lopez,,9,10
26,1,7:53.0,Personal foul by M. Williams (drawn by R. Rondo),,9,10
27,1,7:45.0,R. Rondo makes 3-pt jump shot from 26 ft (assist by J. Butler),,12,10
28,1,7:31.0,,K. Walker misses 3-pt jump shot from 25 ft,12,10
29,1,7:30.0,Defensive rebound by B. Portis,,12,10
30,1,7:24.0,D. Wade makes 2-pt jump shot from 17 ft (assist by R. Rondo),,14,10
31,1,7:08.0,,J. Lamb makes 3-pt jump shot from 24 ft (assist by K. Walker),14,13
32,1,6:56.0,R. Rondo makes 3-pt jump shot from 23 ft (assist by D. Wade),,17,13
33,1,6:42.0,,M. Williams makes 2-pt jump shot from 20 ft (assist by K. Walker),17,15
34,1,6:32.0,J. Butler makes 3-pt jump shot from 24 ft (assist by R. Rondo),,20,15
35,1,6:14.0,,Turnover by C. Zeller (bad pass; steal by D. Wade),20,15
36,1,5:57.0,B. Portis misses 2-pt jump shot from 9 ft,,20,15
37,1,5:56.0,,Defensive rebound by M. Williams,20,15
38,1,5:47.0,,C. Zeller misses 2-pt jump shot from 8 ft,20,15
39,1,5:46.0,,Offensive rebound by M. Williams,20,15
40,1,5:42.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by M. Williams),20,17
41,1,5:28.0,R. Rondo misses 3-pt jump shot from 23 ft,,20,17
42,1,5:27.0,,Defensive rebound by M. Williams,20,17
43,1,5:19.0,,J. Lamb makes 2-pt layup from 1 ft,20,19
44,1,5:19.0,Chicago full timeout,,20,19
45,1,5:19.0,D. Valentine enters the game for B. Portis,,20,19
46,1,5:19.0,N. Mirotić enters the game for D. Wade,,20,19
47,1,5:19.0,,F. Kaminsky enters the game for M. Williams,20,19
48,1,5:19.0,,M. Belinelli enters the game for J. Lamb,20,19
49,1,4:59.0,R. Lopez misses 2-pt hook shot from 11 ft,,20,19
50,1,4:58.0,,Defensive rebound by C. Zeller,20,19
51,1,4:48.0,,K. Walker makes 2-pt jump shot from 17 ft,20,21
52,1,4:33.0,D. Valentine misses 3-pt jump shot from 26 ft,,20,21
53,1,4:32.0,,Defensive rebound by C. Zeller,20,21
54,1,4:23.0,,K. Walker misses 3-pt jump shot from 24 ft,20,21
55,1,4:22.0,Defensive rebound by N. Mirotić,,20,21
56,1,3:59.0,N. Mirotić misses 3-pt jump shot from 26 ft,,20,21
57,1,3:57.0,Offensive rebound by D. Valentine,,20,21
58,1,3:51.0,N. Mirotić misses 3-pt jump shot from 26 ft,,20,21
59,1,3:50.0,,Defensive rebound by C. Zeller,20,21
60,1,3:40.0,,Shooting foul by D. Valentine (drawn by M. Kidd-Gilchrist),20,21
61,1,3:40.0,,M. Kidd-Gilchrist makes free throw 1 of 2,20,22
62,1,3:40.0,C. Felício enters the game for R. Lopez,,20,22
63,1,3:40.0,,M. Kidd-Gilchrist makes free throw 2 of 2,20,23
64,1,3:23.0,Turnover by R. Rondo (bad pass),,20,23
65,1,3:08.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,20,23
66,1,3:07.0,Defensive rebound by C. Felício,,20,23
67,1,2:55.0,Shooting foul by C. Zeller (drawn by J. Butler),,20,23
68,1,2:55.0,,Charlotte full timeout,20,23
69,1,2:55.0,J. Butler makes free throw 1 of 2,,21,23
70,1,2:55.0,,T. Graham enters the game for M. Kidd-Gilchrist,20,23
71,1,2:55.0,,M. Williams enters the game for C. Zeller,20,23
72,1,2:55.0,J. Butler makes free throw 2 of 2,,22,23
73,1,2:37.0,,F. Kaminsky misses 3-pt jump shot from 24 ft,22,23
74,1,2:36.0,Defensive rebound by N. Mirotić,,22,23
75,1,2:28.0,Personal foul by K. Walker (drawn by R. Rondo),,22,23
76,1,2:28.0,,B. Roberts enters the game for K. Walker,22,23
77,1,2:17.0,J. Butler misses 2-pt jump shot from 11 ft,,22,23
78,1,2:15.0,Offensive rebound by C. Felício,,22,23
79,1,2:11.0,R. Rondo makes 2-pt layup from 1 ft (assist by C. Felício),,24,23
80,1,1:49.0,,Shooting foul by C. Felício (drawn by T. Graham),24,23
81,1,1:49.0,,T. Graham misses free throw 1 of 2,24,23
82,1,1:49.0,,Offensive rebound by Team,24,23
83,1,1:49.0,,T. Graham makes free throw 2 of 2,24,24
84,1,1:27.0,D. Valentine makes 3-pt jump shot from 24 ft (assist by J. Butler),,27,24
85,1,1:10.0,,M. Belinelli misses 2-pt jump shot from 17 ft,27,24
86,1,1:08.0,Defensive rebound by J. Butler,,27,24
87,1,1:00.0,N. Mirotić makes 3-pt jump shot from 24 ft (assist by J. Butler),,30,24
88,1,0:43.0,,F. Kaminsky misses 3-pt jump shot from 25 ft,30,24
89,1,0:42.0,Defensive rebound by J. Butler,,30,24
90,1,0:31.0,J. Butler makes 3-pt jump shot from 25 ft (assist by R. Rondo),,33,24
91,1,0:13.0,,M. Williams misses 2-pt layup from 1 ft,33,24
92,1,0:12.0,Defensive rebound by C. Felício,,33,24
93,1,0:00.0,D. Valentine makes 3-pt jump shot from 23 ft (assist by J. Butler),,36,24
94,2,11:44.0,,F. Kaminsky makes 2-pt hook shot from 7 ft (assist by M. Belinelli),36,26
95,2,11:25.0,D. Wade makes 2-pt jump shot from 16 ft,,38,26
96,2,11:03.0,,M. Belinelli misses 2-pt jump shot from 20 ft,38,26
97,2,11:02.0,Defensive rebound by C. Felício,,38,26
98,2,10:56.0,Turnover by C. Felício (lost ball),,38,26
99,2,10:41.0,,Def 3 sec tech foul by C. Felício,38,26
100,2,10:41.0,,M. Belinelli makes technical free throw,38,27
101,2,10:35.0,,M. Belinelli misses 3-pt jump shot from 25 ft,38,27
102,2,10:29.0,Defensive rebound by N. Mirotić,,38,27
103,2,10:22.0,N. Mirotić makes 3-pt jump shot from 25 ft (assist by D. Wade),,41,27
104,2,10:03.0,,B. Roberts misses 2-pt jump shot from 20 ft,41,27
105,2,10:02.0,,Offensive rebound by M. Williams,41,27
106,2,10:01.0,,Personal foul by C. Felício (drawn by M. Belinelli),41,27
107,2,9:49.0,,M. Belinelli makes 2-pt layup from 1 ft (assist by B. Roberts),41,29
108,2,9:41.0,N. Mirotić makes 3-pt jump shot from 27 ft (assist by D. Valentine),,44,29
109,2,9:41.0,,Charlotte full timeout,44,29
110,2,9:41.0,,M. Kidd-Gilchrist enters the game for T. Graham,44,29
111,2,9:41.0,,K. Walker enters the game for B. Roberts,44,29
112,2,9:23.0,,K. Walker misses 3-pt jump shot from 25 ft,44,29
113,2,9:22.0,,Offensive rebound by M. Williams,44,29
114,2,9:22.0,,Shooting foul by C. Felício (drawn by M. Williams),44,29
115,2,9:22.0,,M. Williams makes free throw 1 of 2,44,30
116,2,9:22.0,J. Lauvergne enters the game for C. Felício,,44,30
117,2,9:22.0,,M. Williams makes free throw 2 of 2,44,31
118,2,9:07.0,N. Mirotić misses 3-pt jump shot from 23 ft,,44,31
119,2,9:06.0,,Defensive rebound by M. Belinelli,44,31
120,2,9:02.0,,M. Williams misses 2-pt layup from 1 ft (block by D. Wade),44,31
121,2,9:02.0,Defensive rebound by Team,,44,31
122,2,9:02.0,,J. Lamb enters the game for M. Belinelli,44,31
123,2,8:47.0,D. Wade misses 2-pt jump shot from 19 ft,,44,31
124,2,8:46.0,,Defensive rebound by M. Williams,44,31
125,2,8:37.0,,M. Williams makes 2-pt layup from 1 ft (assist by K. Walker),44,33
126,2,8:19.0,Shooting foul by M. Kidd-Gilchrist (drawn by J. Lauvergne),,44,33
127,2,8:19.0,J. Lauvergne makes free throw 1 of 2,,45,33
128,2,8:19.0,J. Lauvergne misses free throw 2 of 2,,45,33
129,2,8:19.0,,C. Zeller enters the game for M. Williams,45,33
130,2,8:18.0,,Defensive rebound by M. Kidd-Gilchrist,45,33
131,2,8:06.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by C. Zeller),45,35
132,2,7:50.0,N. Mirotić misses 3-pt jump shot from 23 ft,,45,35
133,2,7:49.0,,Defensive rebound by K. Walker,45,35
134,2,7:43.0,,K. Walker misses 2-pt layup from 1 ft,45,35
135,2,7:43.0,Defensive rebound by N. Mirotić,,45,35
