,QUARTER,TIME_REMAINING,UTAH_ACTION,TORONTO_ACTION,UTAH_SCORE,TORONTO_SCORE
0,1,11:42.0,D. Favors misses 2-pt jump shot from 18 ft,,0,0
1,1,11:41.0,,Defensive rebound by D. Carroll,0,0
2,1,11:20.0,,D. Carroll misses 2-pt jump shot from 5 ft,0,0
3,1,11:20.0,Defensive rebound by R. Hood,,0,0
4,1,11:04.0,R. Hood makes 2-pt jump shot from 16 ft,,2,0
5,1,10:45.0,,D. DeRozan makes 2-pt jump shot from 19 ft,2,2
6,1,10:32.0,R. Hood misses 2-pt jump shot from 20 ft,,2,2
7,1,10:32.0,,Defensive rebound by L. Nogueira,2,2
8,1,10:22.0,,D. DeRozan misses 2-pt jump shot from 13 ft,2,2
9,1,10:22.0,Defensive rebound by D. Favors,,2,2
10,1,10:01.0,S. Mack makes 2-pt jump shot from 18 ft,,4,2
11,1,9:38.0,,J. Valančiūnas makes 2-pt hook shot from 7 ft,4,4
12,1,9:18.0,S. Mack makes 2-pt jump shot from 8 ft (assist by D. Favors),,6,4
13,1,9:05.0,,Turnover by K. Lowry (bad pass),6,4
14,1,8:47.0,Turnover by D. Favors (bad pass; steal by D. DeRozan),,6,4
15,1,8:30.0,,D. DeRozan misses 2-pt jump shot from 13 ft (block by R. Hood),6,4
16,1,8:28.0,,Offensive rebound by D. DeRozan,6,4
17,1,8:27.0,,Turnover by D. DeRozan (bad pass; steal by D. Favors),6,4
18,1,8:20.0,S. Mack makes 3-pt jump shot from 24 ft (assist by R. Hood),,9,4
19,1,8:06.0,,K. Lowry misses 2-pt jump shot from 10 ft,9,4
20,1,8:05.0,,Offensive rebound by J. Valančiūnas,9,4
21,1,8:04.0,,J. Valančiūnas makes 2-pt layup from 1 ft,9,6
22,1,7:56.0,R. Hood misses 3-pt jump shot from 25 ft,,9,6
23,1,7:56.0,,Defensive rebound by D. DeRozan,9,6
24,1,7:56.0,,Toronto full timeout,9,6
25,1,7:40.0,,D. Carroll makes 3-pt jump shot from 25 ft (assist by K. Lowry),9,9
26,1,7:23.0,Turnover by G. Hayward (bad pass),,9,9
27,1,7:11.0,,D. DeRozan misses 2-pt jump shot from 15 ft,9,9
28,1,7:10.0,Defensive rebound by S. Mack,,9,9
29,1,7:02.0,Personal foul by L. Nogueira (drawn by S. Mack),,9,9
30,1,6:49.0,D. Favors makes 2-pt layup from 1 ft (assist by R. Hood),,11,9
31,1,6:28.0,,D. DeRozan makes 2-pt jump shot from 10 ft,11,11
32,1,6:13.0,Turnover by S. Mack (bad pass),,11,11
33,1,5:59.0,,D. DeRozan misses 2-pt jump shot from 19 ft,11,11
34,1,5:58.0,Defensive rebound by R. Gobert,,11,11
35,1,5:41.0,D. Favors makes 2-pt hook shot from 4 ft,,13,11
36,1,5:26.0,,D. Carroll misses 3-pt jump shot from 26 ft,13,11
37,1,5:25.0,Defensive rebound by D. Favors,,13,11
38,1,5:11.0,S. Mack makes 2-pt jump shot from 12 ft (assist by R. Hood),,15,11
39,1,4:55.0,Violation by R. Gobert (kicked ball),,15,11
40,1,4:55.0,T. Lyles enters the game for D. Favors,,15,11
41,1,4:55.0,D. Exum enters the game for S. Mack,,15,11
42,1,4:44.0,,J. Valančiūnas misses 2-pt hook shot from 5 ft,15,11
43,1,4:43.0,,Offensive rebound by J. Valančiūnas,15,11
44,1,4:43.0,,J. Valančiūnas makes 2-pt layup at rim,15,13
45,1,4:23.0,T. Lyles misses 3-pt jump shot from 26 ft,,15,13
46,1,4:22.0,Offensive rebound by R. Gobert,,15,13
47,1,4:14.0,G. Hayward makes 2-pt jump shot from 21 ft,,17,13
48,1,3:58.0,,Personal foul by G. Hayward (drawn by D. DeRozan),17,13
49,1,3:58.0,,P. Siakam enters the game for L. Nogueira,17,13
50,1,3:58.0,,T. Ross enters the game for D. Carroll,17,13
51,1,3:58.0,J. Johnson enters the game for G. Hayward,,17,13
52,1,3:43.0,,K. Lowry misses 2-pt layup at rim,17,13
53,1,3:42.0,Defensive rebound by R. Gobert,,17,13
54,1,3:33.0,R. Hood makes 2-pt layup from 1 ft,,19,13
55,1,3:07.0,,D. DeRozan misses 2-pt jump shot from 21 ft,19,13
56,1,3:07.0,Defensive rebound by R. Gobert,,19,13
57,1,2:52.0,R. Gobert misses 2-pt hook shot from 5 ft,,19,13
58,1,2:52.0,,Defensive rebound by D. DeRozan,19,13
59,1,2:46.0,,D. DeRozan misses 2-pt jump shot from 8 ft,19,13
60,1,2:45.0,,Offensive rebound by P. Siakam,19,13
61,1,2:43.0,,P. Siakam misses 2-pt layup from 1 ft,19,13
62,1,2:42.0,Defensive rebound by R. Gobert,,19,13
63,1,2:32.0,T. Lyles makes 3-pt jump shot from 25 ft (assist by J. Johnson),,22,13
64,1,2:32.0,,Toronto full timeout,22,13
65,1,2:32.0,Utah full timeout,,22,13
66,1,2:32.0,,C. Joseph enters the game for K. Lowry,22,13
67,1,2:32.0,J. Ingles enters the game for R. Gobert,,22,13
68,1,2:32.0,D. Favors enters the game for R. Hood,,22,13
69,1,2:15.0,,T. Ross makes 3-pt jump shot from 29 ft,22,16
70,1,1:47.0,T. Lyles misses 2-pt jump shot from 12 ft,,22,16
71,1,1:47.0,,Defensive rebound by P. Siakam,22,16
72,1,1:35.0,,P. Siakam misses 2-pt hook shot from 5 ft,22,16
73,1,1:35.0,Defensive rebound by J. Ingles,,22,16
74,1,1:15.0,D. Favors makes 2-pt layup from 1 ft (assist by D. Exum),,24,16
75,1,0:57.0,,J. Valančiūnas makes 2-pt jump shot from 19 ft (assist by C. Joseph),24,18
76,1,0:35.0,T. Lyles makes 3-pt jump shot from 25 ft (assist by D. Exum),,27,18
77,1,0:28.0,,D. DeRozan misses 2-pt jump shot from 7 ft,27,18
78,1,0:27.0,,Offensive rebound by J. Valančiūnas,27,18
79,1,0:26.0,,J. Valančiūnas misses 2-pt layup from 1 ft,27,18
80,1,0:26.0,Defensive rebound by J. Johnson,,27,18
