,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MINNESOTA_ACTION,SACRAMENTO_SCORE,MINNESOTA_SCORE
0,1,11:42.0,,A. Wiggins misses 2-pt jump shot from 17 ft,0,0
1,1,11:41.0,Defensive rebound by D. Cousins,,0,0
2,1,11:23.0,Personal foul by R. Rubio (drawn by D. Collison),,0,0
3,1,11:16.0,K. Koufos makes 2-pt layup from 1 ft (assist by D. Collison),,2,0
4,1,11:00.0,,R. Rubio misses 2-pt jump shot from 18 ft,2,0
5,1,10:59.0,Defensive rebound by B. McLemore,,2,0
6,1,10:50.0,D. Collison misses 2-pt layup from 1 ft,,2,0
7,1,10:49.0,,Defensive rebound by K. Towns,2,0
8,1,10:44.0,,A. Wiggins makes 2-pt jump shot from 4 ft (assist by R. Rubio),2,2
9,1,10:19.0,D. Cousins misses 2-pt jump shot from 17 ft,,2,2
10,1,10:18.0,,Defensive rebound by K. Towns,2,2
11,1,10:13.0,,G. Dieng makes 2-pt layup from 1 ft (assist by Z. LaVine),2,4
12,1,9:51.0,D. Cousins makes 2-pt jump shot from 6 ft,,4,4
13,1,9:51.0,Shooting foul by K. Towns (drawn by D. Cousins),,4,4
14,1,9:51.0,D. Cousins misses free throw 1 of 1,,4,4
15,1,9:50.0,,Defensive rebound by G. Dieng,4,4
16,1,9:41.0,,Personal foul by D. Cousins (drawn by K. Towns),4,4
17,1,9:41.0,,Technical foul by Team,4,4
18,1,9:41.0,B. McLemore makes technical free throw,,5,4
19,1,9:28.0,,A. Wiggins misses 2-pt jump shot from 17 ft,5,4
20,1,9:26.0,Defensive rebound by M. Barnes,,5,4
21,1,9:07.0,M. Barnes misses 3-pt jump shot from 25 ft,,5,4
22,1,9:06.0,,Defensive rebound by K. Towns,5,4
23,1,8:59.0,,Turnover by R. Rubio (lost ball; steal by D. Cousins),5,4
24,1,8:53.0,D. Cousins misses 2-pt layup from 1 ft,,5,4
25,1,8:51.0,,Defensive rebound by Z. LaVine,5,4
26,1,8:46.0,,K. Towns makes 2-pt layup at rim (assist by Z. LaVine),5,6
27,1,8:40.0,Personal foul by R. Rubio (drawn by D. Cousins),,5,6
28,1,8:40.0,,K. Dunn enters the game for R. Rubio,5,6
29,1,8:32.0,Personal foul by G. Dieng (drawn by D. Cousins),,5,6
30,1,8:22.0,K. Koufos makes 2-pt layup from 2 ft (assist by D. Cousins),,7,6
31,1,8:02.0,,Z. LaVine makes 2-pt jump shot from 9 ft,7,8
32,1,8:02.0,,Shooting foul by B. McLemore (drawn by Z. LaVine),7,8
33,1,8:02.0,,Z. LaVine makes free throw 1 of 1,7,9
34,1,7:41.0,M. Barnes makes 2-pt layup from 1 ft,,9,9
35,1,7:30.0,,A. Wiggins makes 2-pt layup from 1 ft,9,11
36,1,7:15.0,B. McLemore makes 3-pt jump shot from 22 ft (assist by M. Barnes),,12,11
37,1,6:55.0,,Turnover by K. Towns (lost ball; steal by D. Cousins),12,11
38,1,6:45.0,D. Cousins misses 3-pt jump shot from 25 ft,,12,11
39,1,6:44.0,,Defensive rebound by K. Towns,12,11
40,1,6:33.0,,A. Wiggins misses 3-pt jump shot from 25 ft,12,11
41,1,6:32.0,Defensive rebound by B. McLemore,,12,11
42,1,6:15.0,K. Koufos misses 2-pt layup from 2 ft (block by G. Dieng),,12,11
43,1,6:13.0,Offensive rebound by K. Koufos,,12,11
44,1,6:12.0,K. Koufos makes 2-pt hook shot from 6 ft,,14,11
45,1,5:54.0,,K. Towns misses 2-pt jump shot from 5 ft,14,11
46,1,5:53.0,Defensive rebound by D. Cousins,,14,11
47,1,5:46.0,M. Barnes makes 3-pt jump shot from 23 ft (assist by D. Collison),,17,11
48,1,5:39.0,,Minnesota full timeout,17,11
49,1,5:31.0,,Personal foul by B. McLemore (drawn by Z. LaVine),17,11
50,1,5:25.0,,Z. LaVine makes 3-pt jump shot from 24 ft (assist by K. Towns),17,14
51,1,5:01.0,D. Cousins misses 2-pt jump shot from 22 ft,,17,14
52,1,5:00.0,,Defensive rebound by K. Towns,17,14
53,1,4:46.0,,K. Dunn misses 2-pt layup from 1 ft,17,14
54,1,4:45.0,,Offensive rebound by K. Towns,17,14
55,1,4:44.0,,Shooting foul by K. Koufos (drawn by K. Towns),17,14
56,1,4:44.0,,K. Towns misses free throw 1 of 2,17,14
57,1,4:44.0,,Offensive rebound by Team,17,14
58,1,4:44.0,G. Temple enters the game for B. McLemore,,17,14
59,1,4:44.0,,K. Towns makes free throw 2 of 2,17,15
60,1,4:35.0,Turnover by G. Temple (bad pass),,17,15
61,1,4:35.0,,S. Muhammad enters the game for Z. LaVine,17,15
62,1,4:22.0,,Turnover by A. Wiggins (bad pass; steal by K. Koufos),17,15
63,1,4:16.0,K. Koufos makes 2-pt layup at rim (assist by D. Collison),,19,15
64,1,3:54.0,,K. Towns makes 2-pt hook shot from 7 ft,19,17
65,1,3:27.0,D. Cousins makes 2-pt jump shot from 10 ft,,21,17
66,1,3:14.0,,Turnover by A. Wiggins (bad pass; steal by D. Cousins),21,17
67,1,3:03.0,K. Koufos misses 2-pt layup at rim (block by K. Dunn),,21,17
68,1,3:03.0,,Defensive rebound by K. Dunn,21,17
69,1,3:03.0,,Personal foul by K. Koufos (drawn by K. Dunn),21,17
70,1,3:03.0,,K. Dunn misses free throw 1 of 2,21,17
71,1,3:03.0,,Offensive rebound by Team,21,17
72,1,3:03.0,,K. Dunn misses free throw 2 of 2,21,17
