,QUARTER,TIME_REMAINING,PORTLAND_ACTION,NEW YORK_ACTION,PORTLAND_SCORE,NEW YORK_SCORE
0,1,11:44.0,Turnover by M. Harkless (palming),,0,0
1,1,11:28.0,,C. Anthony makes 2-pt jump shot from 17 ft,0,2
2,1,11:06.0,C. McCollum makes 2-pt jump shot from 15 ft,,2,2
3,1,10:52.0,,D. Rose misses 2-pt jump shot from 7 ft,2,2
4,1,10:52.0,,Offensive rebound by D. Rose,2,2
5,1,10:45.0,,D. Rose misses 2-pt jump shot from 12 ft,2,2
6,1,10:44.0,Defensive rebound by C. McCollum,,2,2
7,1,10:36.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by C. McCollum),,5,2
8,1,10:26.0,,C. Lee makes 2-pt jump shot from 8 ft,5,4
9,1,10:26.0,,Shooting foul by C. McCollum (drawn by C. Lee),5,4
10,1,10:26.0,,C. Lee makes free throw 1 of 1,5,5
11,1,10:08.0,M. Harkless misses 2-pt layup from 2 ft (block by C. Anthony),,5,5
12,1,10:05.0,Offensive rebound by C. McCollum,,5,5
13,1,10:00.0,Turnover by D. Lillard (bad pass; steal by D. Rose),,5,5
14,1,9:54.0,,D. Rose makes 2-pt layup from 1 ft,5,7
15,1,9:43.0,E. Davis misses 2-pt layup from 2 ft,,5,7
16,1,9:42.0,Offensive rebound by E. Davis,,5,7
17,1,9:42.0,E. Davis makes 2-pt layup from 1 ft,,7,7
18,1,9:23.0,,K. Porziņģis makes 2-pt dunk at rim (assist by K. O'Quinn),7,9
19,1,9:07.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by D. Lillard),,10,9
20,1,8:49.0,,K. Porziņģis misses 2-pt jump shot from 6 ft,10,9
21,1,8:47.0,Defensive rebound by E. Davis,,10,9
22,1,8:45.0,Personal foul by K. O'Quinn (drawn by M. Plumlee),,10,9
23,1,8:35.0,E. Davis makes 2-pt layup from 3 ft (assist by D. Lillard),,12,9
24,1,8:19.0,,K. O'Quinn misses 2-pt jump shot from 7 ft,12,9
25,1,8:18.0,,Offensive rebound by K. Porziņģis,12,9
26,1,8:10.0,,C. Lee misses 2-pt jump shot from 10 ft,12,9
27,1,8:10.0,,Offensive rebound by K. O'Quinn,12,9
28,1,8:05.0,,K. Porziņģis makes 3-pt jump shot from 25 ft,12,12
29,1,7:54.0,C. McCollum misses 2-pt jump shot from 19 ft,,12,12
30,1,7:54.0,,Defensive rebound by C. Lee,12,12
31,1,7:43.0,,C. Anthony misses 2-pt jump shot from 18 ft,12,12
32,1,7:42.0,Defensive rebound by M. Plumlee,,12,12
33,1,7:26.0,Turnover by M. Plumlee (bad pass; steal by C. Anthony),,12,12
34,1,7:24.0,,Turnover by D. Rose (lost ball),12,12
35,1,7:14.0,D. Lillard makes 2-pt dunk at rim (assist by C. McCollum),,14,12
36,1,7:00.0,,K. Porziņģis misses 3-pt jump shot from 25 ft,14,12
37,1,7:00.0,Defensive rebound by D. Lillard,,14,12
38,1,6:50.0,M. Harkless makes 3-pt jump shot from 23 ft (assist by M. Plumlee),,17,12
39,1,6:30.0,,Turnover by C. Anthony (lost ball),17,12
