,QUARTER,TIME_REMAINING,DETROIT_ACTION,PHILADELPHIA_ACTION,DETROIT_SCORE,PHILADELPHIA_SCORE
0,1,11:45.0,R. Jackson misses 2-pt jump shot from 7 ft,,0,0
1,1,11:44.0,,Defensive rebound by R. Covington,0,0
2,1,11:40.0,,Turnover by D. Šarić (step out of bounds),0,0
3,1,11:28.0,J. Leuer misses 3-pt jump shot from 27 ft,,0,0
4,1,11:27.0,,Defensive rebound by R. Holmes,0,0
5,1,11:16.0,Violation by A. Drummond (def goaltending),,0,0
6,1,11:16.0,,D. Šarić makes 2-pt jump shot from 8 ft (assist by T. McConnell),0,2
7,1,11:04.0,M. Morris misses 2-pt jump shot from 15 ft,,0,2
8,1,11:02.0,Offensive rebound by K. Caldwell-Pope,,0,2
9,1,10:59.0,Turnover by R. Jackson (bad pass; steal by R. Holmes),,0,2
10,1,10:53.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by T. McConnell),0,5
11,1,10:36.0,A. Drummond misses 2-pt layup from 3 ft,,0,5
12,1,10:35.0,,Defensive rebound by D. Šarić,0,5
13,1,10:30.0,,R. Holmes makes 2-pt dunk at rim (assist by D. Šarić),0,7
14,1,10:30.0,,Shooting foul by A. Drummond (drawn by R. Holmes),0,7
15,1,10:30.0,,R. Holmes misses free throw 1 of 1,0,7
16,1,10:29.0,Defensive rebound by A. Drummond,,0,7
17,1,10:17.0,K. Caldwell-Pope makes 2-pt layup from 2 ft,,2,7
18,1,9:55.0,,Turnover by D. Šarić (bad pass; steal by A. Drummond),2,7
19,1,9:49.0,Turnover by R. Jackson (bad pass; steal by R. Holmes),,2,7
20,1,9:34.0,,N. Stauskas makes 2-pt dunk at rim (assist by T. McConnell),2,9
21,1,9:27.0,Detroit full timeout,,2,9
22,1,9:15.0,A. Drummond makes 2-pt jump shot from 7 ft (assist by J. Leuer),,4,9
23,1,8:58.0,,R. Covington misses 3-pt jump shot from 24 ft,4,9
24,1,8:57.0,Defensive rebound by K. Caldwell-Pope,,4,9
25,1,8:53.0,Turnover by K. Caldwell-Pope (bad pass),,4,9
26,1,8:39.0,,D. Šarić misses 2-pt jump shot from 4 ft,4,9
27,1,8:38.0,,Offensive rebound by D. Šarić,4,9
28,1,8:36.0,,D. Šarić makes 2-pt layup from 2 ft,4,11
29,1,8:25.0,Turnover by J. Leuer (lost ball; steal by T. McConnell),,4,11
30,1,8:19.0,,N. Stauskas makes 2-pt dunk at rim (assist by T. McConnell),4,13
31,1,7:58.0,M. Morris misses 2-pt jump shot from 16 ft,,4,13
32,1,7:56.0,,Defensive rebound by R. Holmes,4,13
33,1,7:52.0,T. Harris enters the game for J. Leuer,,4,13
34,1,7:34.0,,D. Šarić misses 2-pt jump shot from 20 ft,4,13
35,1,7:32.0,Defensive rebound by K. Caldwell-Pope,,4,13
36,1,7:26.0,Shooting foul by R. Holmes (drawn by M. Morris),,4,13
37,1,7:26.0,M. Morris makes free throw 1 of 2,,5,13
38,1,7:26.0,,J. Anderson enters the game for R. Covington,5,13
39,1,7:26.0,M. Morris makes free throw 2 of 2,,6,13
40,1,7:17.0,,N. Stauskas misses 3-pt jump shot from 26 ft,6,13
41,1,7:16.0,Defensive rebound by R. Jackson,,6,13
42,1,7:10.0,R. Jackson makes 3-pt jump shot from 24 ft,,9,13
43,1,6:50.0,,R. Holmes makes 2-pt dunk at rim (assist by T. McConnell),9,15
44,1,6:36.0,R. Jackson makes 3-pt jump shot from 25 ft,,12,15
45,1,6:20.0,,D. Šarić misses 2-pt jump shot from 5 ft,12,15
46,1,6:18.0,Defensive rebound by A. Drummond,,12,15
47,1,6:13.0,R. Jackson makes 2-pt layup from 2 ft,,14,15
48,1,5:56.0,,N. Stauskas misses 2-pt jump shot from 4 ft (block by R. Jackson),14,15
49,1,5:56.0,,Offensive rebound by Team,14,15
50,1,5:56.0,,T. Luwawu-Cabarrot enters the game for N. Stauskas,14,15
51,1,5:48.0,,R. Holmes misses 2-pt jump shot from 10 ft,14,15
52,1,5:47.0,Defensive rebound by T. Harris,,14,15
53,1,5:41.0,T. Harris misses 2-pt jump shot from 6 ft,,14,15
54,1,5:38.0,Offensive rebound by A. Drummond,,14,15
55,1,5:38.0,A. Drummond misses 2-pt layup from 1 ft,,14,15
56,1,5:36.0,,Defensive rebound by T. Luwawu-Cabarrot,14,15
57,1,5:29.0,,Turnover by T. McConnell (traveling),14,15
58,1,5:29.0,I. Smith enters the game for R. Jackson,,14,15
59,1,5:20.0,T. Harris misses 2-pt jump shot from 15 ft,,14,15
60,1,5:18.0,,Defensive rebound by J. Anderson,14,15
61,1,5:06.0,,J. Anderson makes 3-pt jump shot from 24 ft (assist by T. McConnell),14,18
62,1,4:52.0,M. Morris makes 2-pt jump shot from 15 ft (assist by I. Smith),,16,18
63,1,4:33.0,,D. Šarić misses 2-pt jump shot from 5 ft,16,18
64,1,4:32.0,Defensive rebound by A. Drummond,,16,18
65,1,4:25.0,T. Harris makes 2-pt layup from 2 ft (assist by I. Smith),,18,18
66,1,4:25.0,,Philadelphia full timeout,18,18
67,1,4:25.0,,S. Rodríguez enters the game for D. Šarić,18,18
68,1,4:25.0,,J. Harper enters the game for R. Holmes,18,18
69,1,4:25.0,,R. Covington enters the game for T. McConnell,18,18
70,1,4:02.0,,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft,18,20
71,1,3:48.0,A. Drummond misses 2-pt jump shot from 7 ft,,18,20
72,1,3:45.0,,Defensive rebound by J. Anderson,18,20
