,QUARTER,TIME_REMAINING,DETROIT_ACTION,MIAMI_ACTION,DETROIT_SCORE,MIAMI_SCORE
0,1,11:47.0,A. Drummond misses 2-pt layup from 1 ft,,0,0
1,1,11:46.0,,Defensive rebound by Team,0,0
2,1,11:28.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by J. Richardson),0,3
3,1,11:08.0,R. Jackson misses 2-pt jump shot from 17 ft,,0,3
4,1,11:07.0,,Defensive rebound by L. Babbitt,0,3
5,1,10:52.0,,J. Richardson makes 2-pt jump shot from 14 ft,0,5
6,1,10:30.0,Turnover by R. Jackson (bad pass; steal by R. McGruder),,0,5
7,1,10:26.0,,Shooting foul by M. Morris (drawn by R. McGruder),0,5
8,1,10:26.0,,R. McGruder makes 2-pt layup from 1 ft (assist by W. Ellington),0,7
9,1,10:26.0,,R. McGruder makes free throw 1 of 1,0,8
10,1,10:14.0,A. Drummond makes 2-pt hook shot from 12 ft,,2,8
11,1,9:58.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by L. Babbitt),2,11
12,1,9:44.0,K. Caldwell-Pope makes 2-pt jump shot from 19 ft,,4,11
13,1,9:34.0,,Personal foul by K. Caldwell-Pope (drawn by J. Richardson),4,11
14,1,9:23.0,,W. Reed makes 2-pt jump shot from 14 ft (assist by J. Richardson),4,13
15,1,9:09.0,M. Morris makes 3-pt jump shot from 24 ft (assist by J. Leuer),,7,13
16,1,8:56.0,,W. Reed makes 2-pt jump shot from 12 ft (assist by R. McGruder),7,15
17,1,8:51.0,Detroit full timeout,,7,15
18,1,8:37.0,R. Jackson misses 3-pt jump shot from 25 ft,,7,15
19,1,8:36.0,,Defensive rebound by L. Babbitt,7,15
20,1,8:18.0,,R. McGruder makes 2-pt jump shot from 18 ft (assist by J. Richardson),7,17
21,1,7:57.0,A. Drummond makes 2-pt dunk at rim (assist by K. Caldwell-Pope),,9,17
22,1,7:39.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by W. Reed),9,20
23,1,7:23.0,R. Jackson misses 2-pt jump shot from 17 ft,,9,20
24,1,7:21.0,Offensive rebound by A. Drummond,,9,20
25,1,7:20.0,A. Drummond makes 2-pt layup from 1 ft,,11,20
