,QUARTER,TIME_REMAINING,DENVER_ACTION,UTAH_ACTION,DENVER_SCORE,UTAH_SCORE
0,1,11:39.0,D. Gallinari misses 2-pt jump shot from 17 ft,,0,0
1,1,11:38.0,,Defensive rebound by R. Hood,0,0
2,1,11:17.0,,Turnover by G. Hayward (bad pass; steal by D. Gallinari),0,0
3,1,11:07.0,J. Nurkić makes 2-pt dunk at rim (assist by W. Barton),,2,0
4,1,10:46.0,,D. Exum makes 2-pt jump shot from 12 ft,2,2
5,1,10:34.0,W. Barton misses 2-pt jump shot from 9 ft,,2,2
6,1,10:32.0,Offensive rebound by Team,,2,2
7,1,10:04.0,J. Nurkić misses 2-pt layup from 1 ft,,2,2
8,1,10:04.0,Offensive rebound by Team,,2,2
9,1,9:55.0,D. Gallinari misses 2-pt jump shot from 18 ft,,2,2
10,1,9:54.0,,Defensive rebound by R. Hood,2,2
11,1,9:45.0,,R. Hood misses 2-pt jump shot from 16 ft,2,2
12,1,9:44.0,,Offensive rebound by R. Gobert,2,2
13,1,9:31.0,,Turnover by R. Hood (bad pass; steal by D. Gallinari),2,2
14,1,9:23.0,D. Gallinari misses 2-pt jump shot from 7 ft,,2,2
15,1,9:23.0,,Defensive rebound by D. Exum,2,2
16,1,9:17.0,,Shooting foul by J. Nurkić (drawn by D. Exum),2,2
17,1,9:17.0,,D. Exum makes free throw 1 of 2,2,3
18,1,9:17.0,,D. Exum makes free throw 2 of 2,2,4
19,1,8:58.0,K. Faried misses 2-pt jump shot from 4 ft,,2,4
20,1,8:57.0,Offensive rebound by J. Nurkić,,2,4
21,1,8:57.0,J. Nurkić makes 2-pt layup from 2 ft,,4,4
22,1,8:45.0,,Shooting foul by J. Nurkić (drawn by D. Exum),4,4
23,1,8:45.0,,D. Exum makes free throw 1 of 2,4,5
24,1,8:45.0,W. Chandler enters the game for J. Nurkić,,4,5
25,1,8:45.0,,D. Exum makes free throw 2 of 2,4,6
26,1,8:30.0,E. Mudiay misses 2-pt jump shot from 18 ft,,4,6
27,1,8:29.0,,Defensive rebound by R. Gobert,4,6
28,1,8:19.0,,G. Hayward misses 2-pt jump shot from 17 ft,4,6
29,1,8:19.0,Defensive rebound by K. Faried,,4,6
30,1,8:06.0,E. Mudiay makes 3-pt jump shot from 24 ft (assist by W. Barton),,7,6
31,1,7:41.0,,D. Exum misses 3-pt jump shot from 24 ft,7,6
32,1,7:41.0,Defensive rebound by E. Mudiay,,7,6
33,1,7:34.0,E. Mudiay makes 2-pt layup from 1 ft,,9,6
34,1,7:17.0,,G. Hayward makes 3-pt jump shot from 26 ft (assist by B. Diaw),9,9
35,1,7:01.0,E. Mudiay misses 3-pt jump shot from 23 ft,,9,9
36,1,7:01.0,,Defensive rebound by R. Gobert,9,9
37,1,6:50.0,,R. Gobert makes 2-pt dunk at rim (assist by D. Exum),9,11
38,1,6:23.0,K. Faried misses 2-pt layup from 3 ft (block by R. Gobert),,9,11
