,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DALLAS_ACTION,PORTLAND_SCORE,DALLAS_SCORE
0,1,11:43.0,Shooting foul by J. Barea (drawn by C. McCollum),,0,0
1,1,11:43.0,C. McCollum makes 2-pt jump shot from 14 ft (assist by M. Plumlee),,2,0
2,1,11:43.0,C. McCollum misses free throw 1 of 1,,2,0
3,1,11:43.0,,Defensive rebound by D. Nowitzki,2,0
4,1,11:24.0,,D. Nowitzki misses 2-pt jump shot from 13 ft,2,0
5,1,11:23.0,Defensive rebound by A. Aminu,,2,0
6,1,11:10.0,A. Aminu misses 3-pt jump shot from 23 ft,,2,0
7,1,11:09.0,,Defensive rebound by H. Barnes,2,0
8,1,11:01.0,,J. Barea misses 2-pt jump shot from 9 ft,2,0
9,1,11:00.0,Defensive rebound by M. Plumlee,,2,0
10,1,10:54.0,M. Plumlee makes 2-pt dunk at rim (assist by A. Aminu),,4,0
11,1,10:36.0,,Turnover by W. Matthews (bad pass; steal by M. Plumlee),4,0
12,1,10:32.0,Turnover by M. Plumlee (bad pass),,4,0
13,1,10:08.0,,W. Matthews misses 3-pt jump shot from 25 ft,4,0
14,1,10:07.0,Defensive rebound by A. Aminu,,4,0
15,1,9:59.0,D. Lillard makes 2-pt layup from 2 ft,,6,0
16,1,9:58.0,,Dallas full timeout,6,0
17,1,9:45.0,,H. Barnes makes 2-pt hook shot from 4 ft,6,2
18,1,9:21.0,C. McCollum misses 3-pt jump shot from 25 ft,,6,2
19,1,9:20.0,,Defensive rebound by H. Barnes,6,2
20,1,9:09.0,,Shooting foul by C. McCollum (drawn by W. Matthews),6,2
21,1,9:09.0,,W. Matthews makes free throw 1 of 2,6,3
22,1,9:09.0,,W. Matthews makes free throw 2 of 2,6,4
23,1,8:55.0,D. Lillard misses 2-pt jump shot from 5 ft (block by D. Nowitzki),,6,4
24,1,8:55.0,Offensive rebound by Team,,6,4
25,1,8:54.0,M. Plumlee makes 2-pt dunk at rim (assist by M. Harkless),,8,4
26,1,8:29.0,,H. Barnes misses 2-pt jump shot from 11 ft,8,4
27,1,8:28.0,Defensive rebound by A. Aminu,,8,4
28,1,8:21.0,C. McCollum misses 2-pt jump shot from 5 ft,,8,4
29,1,8:20.0,,Defensive rebound by D. Nowitzki,8,4
30,1,8:09.0,,W. Matthews misses 2-pt jump shot from 7 ft,8,4
31,1,8:08.0,Defensive rebound by C. McCollum,,8,4
32,1,8:03.0,Offensive foul by M. Plumlee (drawn by J. Barea),,8,4
33,1,8:03.0,Turnover by M. Plumlee (offensive foul),,8,4
34,1,7:55.0,,J. Barea makes 2-pt layup from 1 ft (assist by D. Williams),8,6
35,1,7:35.0,D. Lillard makes 2-pt layup from 1 ft (assist by C. McCollum),,10,6
36,1,7:35.0,Shooting foul by H. Barnes (drawn by D. Lillard),,10,6
37,1,7:35.0,D. Lillard makes free throw 1 of 1,,11,6
38,1,7:16.0,,J. Barea misses 2-pt layup from 3 ft (block by A. Aminu),11,6
39,1,7:16.0,,Offensive rebound by Team,11,6
40,1,7:12.0,,H. Barnes misses 2-pt jump shot from 19 ft,11,6
41,1,7:11.0,Defensive rebound by M. Harkless,,11,6
42,1,7:00.0,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),,14,6
43,1,6:42.0,,D. Nowitzki makes 2-pt dunk at rim (assist by J. Barea),14,8
44,1,6:20.0,A. Aminu misses 3-pt jump shot from 25 ft,,14,8
45,1,6:19.0,Offensive rebound by M. Plumlee,,14,8
46,1,6:19.0,M. Plumlee makes 2-pt layup from 1 ft,,16,8
47,1,6:09.0,,J. Barea makes 3-pt jump shot from 24 ft,16,11
48,1,5:56.0,M. Harkless misses 3-pt jump shot from 24 ft,,16,11
49,1,5:55.0,,Defensive rebound by D. Williams,16,11
50,1,5:46.0,,Turnover by J. Barea (bad pass),16,11
51,1,5:34.0,M. Plumlee makes 2-pt layup from 1 ft (assist by D. Lillard),,18,11
52,1,5:34.0,Shooting block foul by W. Matthews (drawn by M. Plumlee),,18,11
53,1,5:34.0,,S. Curry enters the game for J. Barea,18,11
54,1,5:34.0,,D. Powell enters the game for D. Nowitzki,18,11
55,1,5:34.0,E. Turner enters the game for C. McCollum,,18,11
56,1,5:34.0,A. Crabbe enters the game for A. Aminu,,18,11
57,1,5:34.0,M. Plumlee makes free throw 1 of 1,,19,11
58,1,5:18.0,,Shooting block foul by D. Lillard (drawn by D. Williams),19,11
59,1,5:18.0,,D. Williams makes free throw 1 of 2,19,12
