,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHILADELPHIA_ACTION,NEW YORK_SCORE,PHILADELPHIA_SCORE
0,1,11:49.0,,E. İlyasova makes 2-pt layup from 1 ft (assist by T. McConnell),0,2
1,1,11:25.0,C. Anthony misses 2-pt jump shot from 22 ft,,0,2
2,1,11:24.0,,Defensive rebound by T. McConnell,0,2
3,1,11:16.0,,T. McConnell makes 2-pt layup from 2 ft,0,4
4,1,11:04.0,D. Rose misses 2-pt jump shot from 19 ft,,0,4
5,1,11:03.0,Offensive rebound by Team,,0,4
6,1,10:54.0,J. Noah misses 2-pt layup at rim (block by J. Embiid),,0,4
7,1,10:52.0,Offensive rebound by C. Lee,,0,4
8,1,10:49.0,C. Anthony makes 3-pt jump shot from 27 ft (assist by K. Porziņģis),,3,4
9,1,10:27.0,,E. İlyasova makes 3-pt jump shot from 27 ft (assist by N. Stauskas),3,7
10,1,10:13.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,3,7
11,1,10:12.0,,Defensive rebound by J. Embiid,3,7
12,1,10:00.0,,J. Embiid makes 2-pt layup from 2 ft (assist by T. McConnell),3,9
13,1,9:40.0,Shooting foul by R. Covington (drawn by C. Anthony),,3,9
14,1,9:40.0,C. Anthony makes free throw 1 of 2,,4,9
15,1,9:40.0,C. Anthony makes free throw 2 of 2,,5,9
16,1,9:32.0,,E. İlyasova misses 3-pt jump shot from 26 ft,5,9
17,1,9:32.0,,Offensive rebound by Team,5,9
18,1,9:32.0,Loose ball foul by K. Porziņģis (drawn by J. Embiid),,5,9
19,1,9:26.0,,N. Stauskas makes 2-pt jump shot from 21 ft (assist by E. İlyasova),5,11
20,1,9:08.0,D. Rose makes 2-pt jump shot from 9 ft,,7,11
21,1,8:58.0,,Personal block foul by J. Noah (drawn by J. Embiid),7,11
22,1,8:52.0,,R. Covington misses 3-pt jump shot from 25 ft (block by C. Anthony),7,11
23,1,8:50.0,Defensive rebound by J. Noah,,7,11
24,1,8:46.0,D. Rose makes 2-pt layup from 3 ft (assist by C. Lee),,9,11
25,1,8:38.0,,Turnover by R. Covington (step out of bounds),9,11
26,1,8:24.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by D. Rose),,12,11
27,1,8:09.0,,J. Embiid makes 2-pt jump shot from 5 ft (assist by T. McConnell),12,13
28,1,7:57.0,K. Porziņģis misses 2-pt jump shot from 7 ft,,12,13
29,1,7:56.0,,Defensive rebound by R. Covington,12,13
30,1,7:48.0,,R. Covington misses 2-pt layup from 2 ft,12,13
31,1,7:48.0,,Offensive rebound by Team,12,13
32,1,7:48.0,,G. Henderson enters the game for N. Stauskas,12,13
33,1,7:32.0,,Turnover by R. Covington (bad pass; steal by J. Noah),12,13
34,1,7:21.0,D. Rose makes 2-pt jump shot from 8 ft (assist by K. Porziņģis),,14,13
35,1,7:12.0,,G. Henderson makes 2-pt layup from 1 ft (assist by T. McConnell),14,15
36,1,7:01.0,C. Anthony makes 2-pt jump shot from 18 ft (assist by D. Rose),,16,15
37,1,6:44.0,,Shooting foul by J. Noah (drawn by J. Embiid),16,15
38,1,6:44.0,,J. Embiid makes free throw 1 of 2,16,16
39,1,6:44.0,K. O'Quinn enters the game for J. Noah,,16,16
40,1,6:44.0,,D. Šarić enters the game for R. Covington,16,16
41,1,6:44.0,,J. Embiid makes free throw 2 of 2,16,17
42,1,6:25.0,C. Anthony makes 2-pt jump shot from 14 ft,,18,17
43,1,6:17.0,,Shooting foul by K. O'Quinn (drawn by J. Embiid),18,17
44,1,6:17.0,,J. Embiid misses free throw 1 of 2,18,17
45,1,6:17.0,,Offensive rebound by Team,18,17
46,1,6:17.0,J. Holiday enters the game for C. Lee,,18,17
47,1,6:17.0,,J. Embiid makes free throw 2 of 2,18,18
48,1,5:57.0,C. Anthony misses 2-pt jump shot from 17 ft,,18,18
49,1,5:55.0,,Defensive rebound by T. McConnell,18,18
50,1,5:43.0,,D. Šarić misses 2-pt jump shot from 6 ft,18,18
51,1,5:42.0,Defensive rebound by K. O'Quinn,,18,18
52,1,5:35.0,D. Rose makes 2-pt jump shot from 16 ft,,20,18
53,1,5:34.0,,Philadelphia full timeout,20,18
54,1,5:34.0,,N. Noel enters the game for J. Embiid,20,18
55,1,5:34.0,M. Kuzminskas enters the game for K. Porziņģis,,20,18
56,1,5:34.0,,R. Covington enters the game for E. İlyasova,20,18
57,1,5:21.0,,G. Henderson misses 2-pt jump shot from 4 ft,20,18
58,1,5:19.0,Defensive rebound by K. O'Quinn,,20,18
59,1,5:17.0,Turnover by K. O'Quinn (bad pass; steal by T. McConnell),,20,18
60,1,5:11.0,,Turnover by N. Noel (bad pass; steal by K. O'Quinn),20,18
