,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHICAGO_ACTION,BROOKLYN_SCORE,CHICAGO_SCORE
0,1,11:39.0,,N. Mirotić misses 3-pt jump shot from 24 ft,0,0
1,1,11:38.0,,Offensive rebound by N. Mirotić,0,0
2,1,11:35.0,,N. Mirotić misses 3-pt jump shot from 22 ft,0,0
3,1,11:34.0,,Offensive rebound by R. Rondo,0,0
4,1,11:28.0,,J. Butler misses 2-pt jump shot from 16 ft,0,0
5,1,11:27.0,Defensive rebound by S. Dinwiddie,,0,0
6,1,11:13.0,R. Hollis-Jefferson misses 2-pt jump shot from 10 ft,,0,0
7,1,11:12.0,,Defensive rebound by D. Wade,0,0
8,1,11:02.0,,D. Wade makes 2-pt jump shot from 13 ft,0,2
9,1,10:40.0,R. Foye misses 3-pt jump shot from 25 ft,,0,2
10,1,10:39.0,,Defensive rebound by N. Mirotić,0,2
11,1,10:33.0,,Turnover by R. Rondo (bad pass; steal by R. Foye),0,2
12,1,10:29.0,Turnover by J. Hamilton (lost ball; steal by J. Butler),,0,2
13,1,10:21.0,,J. Butler misses 2-pt layup from 2 ft,0,2
14,1,10:20.0,Defensive rebound by J. Hamilton,,0,2
15,1,10:14.0,C. LeVert makes 2-pt layup from 1 ft,,2,2
16,1,9:57.0,,Turnover by R. Lopez (bad pass; steal by C. LeVert),2,2
17,1,9:53.0,Turnover by C. LeVert (bad pass),,2,2
18,1,9:40.0,,J. Butler makes 2-pt dunk at rim (assist by R. Rondo),2,4
19,1,9:21.0,R. Hollis-Jefferson makes 2-pt dunk at rim (assist by S. Dinwiddie),,4,4
20,1,9:09.0,,R. Rondo misses 2-pt jump shot from 15 ft,4,4
21,1,9:08.0,Defensive rebound by R. Hollis-Jefferson,,4,4
22,1,9:02.0,R. Hollis-Jefferson misses 2-pt layup from 1 ft,,4,4
23,1,9:01.0,,Defensive rebound by R. Lopez,4,4
24,1,8:48.0,,R. Rondo makes 3-pt jump shot from 26 ft (assist by D. Wade),4,7
25,1,8:32.0,C. LeVert makes 2-pt jump shot from 11 ft,,6,7
26,1,8:12.0,,Turnover by D. Wade (bad pass; steal by J. Hamilton),6,7
27,1,8:10.0,Personal foul by R. Rondo (drawn by C. LeVert),,6,7
28,1,7:58.0,S. Dinwiddie misses 3-pt jump shot from 24 ft,,6,7
29,1,7:55.0,,Defensive rebound by N. Mirotić,6,7
30,1,7:47.0,,Shooting foul by S. Dinwiddie (drawn by R. Lopez),6,7
31,1,7:47.0,,R. Lopez makes free throw 1 of 2,6,8
32,1,7:47.0,,R. Lopez makes free throw 2 of 2,6,9
33,1,7:33.0,Personal foul by R. Rondo (drawn by S. Dinwiddie),,6,9
34,1,7:33.0,I. Whitehead enters the game for R. Foye,,6,9
35,1,7:33.0,A. Nicholson enters the game for J. Hamilton,,6,9
36,1,7:33.0,,J. Grant enters the game for R. Rondo,6,9
37,1,7:18.0,A. Nicholson misses 2-pt jump shot from 15 ft,,6,9
38,1,7:17.0,,Defensive rebound by D. Wade,6,9
39,1,7:09.0,,Turnover by D. Wade (bad pass),6,9
40,1,7:09.0,,Violation by Team (jump ball),6,9
41,1,6:56.0,C. LeVert misses 3-pt jump shot from 23 ft,,6,9
42,1,6:54.0,,Defensive rebound by J. Butler,6,9
43,1,6:46.0,,J. Grant misses 3-pt jump shot from 24 ft,6,9
44,1,6:45.0,Defensive rebound by R. Hollis-Jefferson,,6,9
45,1,6:32.0,I. Whitehead makes 3-pt jump shot from 24 ft (assist by C. LeVert),,9,9
46,1,6:19.0,,D. Wade misses 2-pt layup from 1 ft,9,9
47,1,6:18.0,Defensive rebound by A. Nicholson,,9,9
48,1,6:11.0,C. LeVert misses 3-pt jump shot from 25 ft,,9,9
49,1,6:10.0,,Defensive rebound by J. Grant,9,9
50,1,5:58.0,,R. Lopez makes 2-pt hook shot from 5 ft (assist by N. Mirotić),9,11
51,1,5:42.0,A. Nicholson misses 2-pt jump shot from 10 ft,,9,11
52,1,5:41.0,,Defensive rebound by J. Grant,9,11
53,1,5:39.0,,Personal foul by S. Dinwiddie (drawn by R. Lopez),9,11
54,1,5:39.0,,Chicago full timeout,9,11
55,1,5:39.0,,P. Zipser enters the game for D. Wade,9,11
56,1,5:39.0,A. Goodwin enters the game for S. Dinwiddie,,9,11
57,1,5:26.0,,J. Butler misses 2-pt layup from 2 ft,9,11
58,1,5:25.0,Defensive rebound by C. LeVert,,9,11
59,1,5:19.0,Shooting foul by N. Mirotić (drawn by R. Hollis-Jefferson),,9,11
60,1,5:19.0,R. Hollis-Jefferson makes free throw 1 of 2,,10,11
61,1,5:19.0,R. Hollis-Jefferson makes free throw 2 of 2,,11,11
62,1,5:07.0,,J. Butler misses 2-pt jump shot from 16 ft,11,11
63,1,5:06.0,Defensive rebound by I. Whitehead,,11,11
64,1,4:57.0,A. Goodwin misses 3-pt jump shot from 25 ft,,11,11
65,1,4:56.0,,Defensive rebound by P. Zipser,11,11
66,1,4:48.0,,J. Butler makes 2-pt jump shot from 17 ft (assist by P. Zipser),11,13
67,1,4:48.0,,Shooting foul by I. Whitehead (drawn by J. Butler),11,13
68,1,4:48.0,K. McDaniels enters the game for C. LeVert,,11,13
69,1,4:48.0,,J. Butler makes free throw 1 of 1,11,14
70,1,4:41.0,Turnover by A. Goodwin (bad pass; steal by N. Mirotić),,11,14
71,1,4:35.0,,P. Zipser makes 2-pt layup from 2 ft (assist by N. Mirotić),11,16
72,1,4:28.0,Turnover by A. Nicholson (bad pass; steal by J. Grant),,11,16
73,1,4:15.0,,J. Butler misses 2-pt layup from 2 ft,11,16
74,1,4:14.0,Defensive rebound by A. Nicholson,,11,16
75,1,4:01.0,Turnover by I. Whitehead (bad pass),,11,16
76,1,3:34.0,,J. Grant misses 2-pt jump shot from 12 ft,11,16
77,1,3:33.0,Defensive rebound by R. Hollis-Jefferson,,11,16
78,1,3:25.0,Turnover by R. Hollis-Jefferson (lost ball; steal by N. Mirotić),,11,16
79,1,3:19.0,,P. Zipser makes 3-pt jump shot from 25 ft (assist by J. Grant),11,19
80,1,3:16.0,Brooklyn full timeout,,11,19
81,1,3:16.0,,B. Portis enters the game for N. Mirotić,11,19
82,1,3:16.0,J. Hamilton enters the game for R. Hollis-Jefferson,,11,19
83,1,3:03.0,I. Whitehead misses 3-pt jump shot from 25 ft,,11,19
84,1,2:59.0,,Defensive rebound by B. Portis,11,19
85,1,2:42.0,,R. Lopez misses 2-pt jump shot from 19 ft,11,19
86,1,2:41.0,Defensive rebound by A. Nicholson,,11,19
87,1,2:31.0,K. McDaniels misses 3-pt jump shot from 25 ft,,11,19
88,1,2:30.0,,Defensive rebound by B. Portis,11,19
89,1,2:10.0,,P. Zipser makes 3-pt jump shot from 23 ft (assist by B. Portis),11,22
90,1,1:50.0,Turnover by I. Whitehead (lost ball; steal by J. Butler),,11,22
91,1,1:49.0,,Personal foul by A. Goodwin (drawn by J. Butler),11,22
92,1,1:40.0,,P. Zipser misses 2-pt jump shot from 18 ft,11,22
93,1,1:40.0,,Offensive rebound by R. Lopez,11,22
94,1,1:40.0,,Personal foul by A. Nicholson (drawn by R. Lopez),11,22
95,1,1:40.0,,R. Lopez misses free throw 1 of 2,11,22
96,1,1:40.0,,Offensive rebound by Team,11,22
97,1,1:40.0,,R. Lopez makes free throw 2 of 2,11,23
98,1,1:27.0,J. Hamilton misses 3-pt jump shot from 25 ft,,11,23
99,1,1:26.0,,Defensive rebound by J. Butler,11,23
100,1,1:17.0,,Turnover by J. Grant (bad pass; steal by A. Nicholson),11,23
101,1,1:12.0,K. McDaniels misses 2-pt jump shot from 3 ft (block by J. Butler),,11,23
102,1,1:09.0,,Defensive rebound by P. Zipser,11,23
103,1,1:06.0,,Shooting foul by I. Whitehead (drawn by J. Butler),11,23
104,1,1:06.0,,J. Butler makes free throw 1 of 2,11,24
105,1,1:06.0,,J. Butler makes free throw 2 of 2,11,25
106,1,0:57.0,A. Goodwin makes 2-pt layup from 3 ft,,13,25
107,1,0:47.0,,B. Portis misses 2-pt jump shot from 19 ft,13,25
108,1,0:45.0,Defensive rebound by J. Hamilton,,13,25
109,1,0:33.0,Turnover by K. McDaniels (bad pass; steal by J. Grant),,13,25
110,1,0:27.0,,P. Zipser misses 2-pt layup from 3 ft,13,25
111,1,0:26.0,,Offensive rebound by B. Portis,13,25
112,1,0:14.0,,Personal foul by A. Nicholson (drawn by R. Lopez),13,25
113,1,0:14.0,,R. Lopez makes free throw 1 of 2,13,26
114,1,0:14.0,,R. Lopez makes free throw 2 of 2,13,27
115,1,0:01.0,I. Whitehead misses 2-pt layup from 3 ft (block by R. Lopez),,13,27
116,1,0:00.0,,Defensive rebound by R. Lopez,13,27
117,2,11:44.0,A. Nicholson misses 2-pt hook shot from 9 ft,,13,27
118,2,11:43.0,,Defensive rebound by P. Zipser,13,27
119,2,11:27.0,,C. Felício misses 2-pt jump shot from 17 ft,13,27
120,2,11:26.0,Defensive rebound by K. McDaniels,,13,27
121,2,11:14.0,A. Goodwin makes 2-pt layup from 3 ft (assist by R. Foye),,15,27
122,2,10:55.0,,B. Portis misses 2-pt jump shot from 15 ft,15,27
123,2,10:54.0,,Offensive rebound by Team,15,27
124,2,10:50.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by C. Felício),15,30
125,2,10:36.0,Turnover by A. Goodwin (lost ball; steal by C. Felício),,15,30
126,2,10:23.0,,D. Wade makes 2-pt layup from 3 ft,15,32
127,2,10:09.0,Turnover by A. Goodwin (bad pass; steal by B. Portis),,15,32
128,2,10:04.0,,B. Portis makes 2-pt layup from 1 ft (assist by P. Zipser),15,34
129,2,10:03.0,Brooklyn full timeout,,15,34
130,2,10:03.0,S. Dinwiddie enters the game for A. Nicholson,,15,34
131,2,10:03.0,R. Hollis-Jefferson enters the game for A. Goodwin,,15,34
132,2,9:47.0,R. Hollis-Jefferson misses 2-pt jump shot from 6 ft,,15,34
133,2,9:45.0,,Defensive rebound by P. Zipser,15,34
134,2,9:39.0,,D. Wade misses 2-pt layup from 1 ft,15,34
135,2,9:38.0,Defensive rebound by K. McDaniels,,15,34
136,2,9:30.0,R. Foye misses 3-pt jump shot from 25 ft,,15,34
137,2,9:29.0,,Defensive rebound by J. Grant,15,34
138,2,9:25.0,,Turnover by B. Portis (lost ball),15,34
139,2,9:05.0,K. McDaniels makes 2-pt layup from 1 ft,,17,34
140,2,8:48.0,,B. Portis misses 2-pt jump shot from 19 ft,17,34
141,2,8:46.0,Defensive rebound by J. Hamilton,,17,34
142,2,8:36.0,K. McDaniels makes 2-pt dunk at rim (assist by J. Hamilton),,19,34
143,2,8:10.0,,P. Zipser makes 2-pt jump shot from 19 ft,19,36
144,2,7:54.0,K. McDaniels misses 3-pt jump shot from 24 ft,,19,36
145,2,7:53.0,,Defensive rebound by J. Grant,19,36
146,2,7:46.0,,J. Grant misses 3-pt jump shot from 25 ft,19,36
147,2,7:45.0,Defensive rebound by J. Hamilton,,19,36
148,2,7:36.0,R. Foye misses 2-pt layup from 2 ft,,19,36
149,2,7:35.0,Offensive rebound by S. Dinwiddie,,19,36
150,2,7:21.0,R. Foye misses 3-pt jump shot from 24 ft,,19,36
151,2,7:20.0,Offensive rebound by J. Hamilton,,19,36
152,2,7:18.0,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by J. Hamilton),,22,36
153,2,7:18.0,,Chicago full timeout,22,36
154,2,7:18.0,,N. Mirotić enters the game for D. Wade,22,36
155,2,7:18.0,,J. Butler enters the game for J. Grant,22,36
156,2,7:18.0,,R. Rondo enters the game for B. Portis,22,36
157,2,7:18.0,A. Nicholson enters the game for J. Hamilton,,22,36
158,2,6:59.0,,C. Felício makes 2-pt layup from 2 ft (assist by R. Rondo),22,38
159,2,6:32.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,22,38
160,2,6:31.0,,Defensive rebound by N. Mirotić,22,38
161,2,6:20.0,,R. Rondo misses 2-pt layup from 2 ft (block by R. Hollis-Jefferson),22,38
162,2,6:17.0,Defensive rebound by R. Hollis-Jefferson,,22,38
163,2,6:16.0,Personal foul by C. Felício (drawn by R. Hollis-Jefferson),,22,38
164,2,6:16.0,C. LeVert enters the game for K. McDaniels,,22,38
165,2,6:03.0,R. Foye misses 2-pt layup from 1 ft,,22,38
166,2,6:03.0,,Defensive rebound by P. Zipser,22,38
167,2,5:57.0,,N. Mirotić misses 3-pt jump shot from 25 ft,22,38
168,2,5:56.0,,Offensive rebound by R. Rondo,22,38
169,2,5:51.0,,J. Butler makes 3-pt jump shot from 24 ft (assist by R. Rondo),22,41
170,2,5:37.0,Turnover by S. Dinwiddie (bad pass; steal by J. Butler),,22,41
171,2,5:29.0,,R. Rondo makes 2-pt layup from 1 ft,22,43
172,2,4:58.0,Turnover by Team (shot clock),,22,43
173,2,4:58.0,A. Goodwin enters the game for R. Foye,,22,43
174,2,4:50.0,I. Whitehead enters the game for S. Dinwiddie,,22,43
