,QUARTER,TIME_REMAINING,MIAMI_ACTION,CHARLOTTE_ACTION,MIAMI_SCORE,CHARLOTTE_SCORE
0,1,11:44.0,,N. Batum misses 2-pt jump shot from 18 ft (block by J. Richardson),0,0
1,1,11:43.0,Defensive rebound by J. Winslow,,0,0
2,1,11:35.0,L. Babbitt makes 2-pt jump shot from 18 ft (assist by J. Winslow),,2,0
3,1,11:17.0,,K. Walker misses 3-pt jump shot from 25 ft,2,0
4,1,11:16.0,Defensive rebound by J. Winslow,,2,0
5,1,11:02.0,Turnover by H. Whiteside (bad pass; steal by N. Batum),,2,0
6,1,10:48.0,,K. Walker misses 2-pt jump shot from 9 ft,2,0
7,1,10:46.0,,Offensive rebound by N. Batum,2,0
8,1,10:42.0,,M. Williams misses 3-pt jump shot from 25 ft,2,0
9,1,10:41.0,Defensive rebound by H. Whiteside,,2,0
10,1,10:32.0,Turnover by G. Dragić (bad pass; steal by M. Kidd-Gilchrist),,2,0
11,1,10:24.0,,Personal foul by J. Winslow (drawn by M. Williams),2,0
12,1,10:10.0,,M. Williams makes 2-pt layup at rim (assist by N. Batum),2,2
13,1,9:51.0,G. Dragić makes 2-pt jump shot from 19 ft (assist by J. Winslow),,4,2
14,1,9:34.0,,N. Batum misses 3-pt jump shot from 24 ft,4,2
15,1,9:33.0,Defensive rebound by H. Whiteside,,4,2
16,1,9:23.0,J. Winslow misses 2-pt jump shot from 20 ft,,4,2
17,1,9:22.0,,Defensive rebound by N. Batum,4,2
18,1,9:14.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by N. Batum),4,5
19,1,8:54.0,H. Whiteside makes 2-pt dunk at rim (assist by J. Winslow),,6,5
20,1,8:39.0,,N. Batum makes 2-pt jump shot from 12 ft (assist by K. Walker),6,7
21,1,8:39.0,,Shooting foul by L. Babbitt (drawn by N. Batum),6,7
22,1,8:39.0,,N. Batum makes free throw 1 of 1,6,8
23,1,8:29.0,G. Dragić misses 2-pt jump shot from 9 ft,,6,8
24,1,8:28.0,,Defensive rebound by M. Kidd-Gilchrist,6,8
25,1,8:11.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 7 ft (block by L. Babbitt),6,8
26,1,8:10.0,Defensive rebound by G. Dragić,,6,8
27,1,8:05.0,J. Winslow misses 2-pt layup from 2 ft (block by M. Kidd-Gilchrist),,6,8
28,1,8:05.0,Offensive rebound by Team,,6,8
29,1,8:00.0,H. Whiteside misses 2-pt jump shot from 12 ft,,6,8
30,1,7:59.0,,Defensive rebound by N. Batum,6,8
31,1,7:45.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 20 ft (assist by K. Walker),6,10
32,1,7:27.0,L. Babbitt makes 3-pt jump shot from 25 ft (assist by J. Winslow),,9,10
33,1,7:04.0,,N. Batum misses 3-pt jump shot from 24 ft,9,10
34,1,7:03.0,Defensive rebound by G. Dragić,,9,10
35,1,6:51.0,L. Babbitt makes 2-pt jump shot from 12 ft (assist by G. Dragić),,11,10
36,1,6:33.0,,M. Williams makes 2-pt layup from 2 ft (assist by N. Batum),11,12
37,1,6:23.0,Turnover by J. Winslow (bad pass; steal by N. Batum),,11,12
38,1,6:20.0,,Turnover by N. Batum (lost ball),11,12
39,1,6:20.0,J. Johnson enters the game for J. Winslow,,11,12
40,1,6:20.0,,J. Lamb enters the game for M. Kidd-Gilchrist,11,12
41,1,6:06.0,J. Richardson misses 3-pt jump shot from 25 ft,,11,12
42,1,6:05.0,,Defensive rebound by K. Walker,11,12
43,1,5:58.0,,M. Williams misses 2-pt jump shot from 14 ft,11,12
44,1,5:57.0,Defensive rebound by H. Whiteside,,11,12
45,1,5:44.0,G. Dragić misses 3-pt jump shot from 23 ft,,11,12
46,1,5:43.0,,Defensive rebound by J. Lamb,11,12
47,1,5:35.0,,J. Lamb misses 2-pt jump shot from 16 ft,11,12
48,1,5:35.0,Defensive rebound by Team,,11,12
49,1,5:35.0,,Charlotte full timeout,11,12
50,1,5:35.0,T. Johnson enters the game for J. Richardson,,11,12
51,1,5:35.0,,F. Kaminsky enters the game for M. Williams,11,12
52,1,5:29.0,Turnover by J. Johnson (lost ball; steal by N. Batum),,11,12
53,1,5:25.0,,N. Batum makes 2-pt dunk at rim,11,14
54,1,5:02.0,Turnover by H. Whiteside (3 sec),,11,14
55,1,4:50.0,,N. Batum misses 2-pt jump shot from 14 ft,11,14
56,1,4:49.0,Defensive rebound by T. Johnson,,11,14
57,1,4:36.0,H. Whiteside makes 2-pt layup from 2 ft (assist by T. Johnson),,13,14
58,1,4:16.0,,K. Walker makes 3-pt jump shot from 25 ft,13,17
59,1,4:07.0,Miami full timeout,,13,17
60,1,3:57.0,T. Johnson makes 2-pt jump shot from 18 ft (assist by L. Babbitt),,15,17
61,1,3:34.0,,F. Kaminsky misses 3-pt jump shot from 26 ft,15,17
62,1,3:33.0,Defensive rebound by G. Dragić,,15,17
63,1,3:29.0,Shooting foul by C. Zeller (drawn by J. Johnson),,15,17
64,1,3:29.0,J. Johnson misses free throw 1 of 2,,15,17
65,1,3:29.0,Offensive rebound by Team,,15,17
66,1,3:29.0,J. Johnson misses free throw 2 of 2,,15,17
67,1,3:29.0,,R. Sessions enters the game for K. Walker,15,17
68,1,3:27.0,,Defensive rebound by N. Batum,15,17
69,1,3:20.0,,Personal block foul by J. Johnson (drawn by N. Batum),15,17
70,1,3:01.0,,N. Batum misses 2-pt layup from 2 ft,15,17
71,1,3:00.0,,Offensive rebound by C. Zeller,15,17
72,1,3:00.0,,C. Zeller makes 2-pt layup at rim,15,19
73,1,2:40.0,H. Whiteside misses 2-pt hook shot from 6 ft,,15,19
74,1,2:39.0,,Defensive rebound by R. Sessions,15,19
