,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,TORONTO_ACTION,CLEVELAND_SCORE,TORONTO_SCORE
0,1,11:46.0,K. Irving makes 2-pt jump shot from 19 ft,,2,0
1,1,11:21.0,,J. Valančiūnas misses 2-pt jump shot from 15 ft,2,0
2,1,11:20.0,Defensive rebound by T. Thompson,,2,0
3,1,11:10.0,K. Irving misses 2-pt jump shot from 18 ft,,2,0
4,1,11:10.0,Offensive rebound by T. Thompson,,2,0
5,1,11:07.0,T. Thompson makes 2-pt layup from 2 ft,,4,0
6,1,10:52.0,,D. DeRozan misses 2-pt layup at rim,4,0
7,1,10:51.0,Defensive rebound by K. Love,,4,0
8,1,10:38.0,K. Love makes 2-pt hook shot from 6 ft,,6,0
9,1,10:13.0,,J. Valančiūnas makes 2-pt jump shot from 13 ft,6,2
10,1,9:55.0,K. Love misses 2-pt jump shot from 13 ft,,6,2
11,1,9:54.0,,Defensive rebound by J. Valančiūnas,6,2
12,1,9:44.0,,K. Lowry misses 2-pt jump shot from 5 ft,6,2
13,1,9:43.0,,Offensive rebound by J. Valančiūnas,6,2
14,1,9:42.0,,J. Valančiūnas misses 2-pt layup from 2 ft,6,2
15,1,9:41.0,,Offensive rebound by J. Valančiūnas,6,2
16,1,9:41.0,,J. Valančiūnas misses 2-pt layup from 2 ft,6,2
17,1,9:40.0,,Offensive rebound by J. Valančiūnas,6,2
18,1,9:40.0,,J. Valančiūnas misses 2-pt jump shot from 3 ft,6,2
19,1,9:39.0,Defensive rebound by K. Love,,6,2
20,1,9:31.0,L. James misses 2-pt jump shot from 6 ft,,6,2
21,1,9:30.0,,Defensive rebound by K. Lowry,6,2
22,1,9:27.0,,Turnover by P. Siakam (offensive foul),6,2
23,1,9:27.0,Offensive charge foul by P. Siakam (drawn by K. Love),,6,2
24,1,9:13.0,L. James misses 2-pt layup from 1 ft,,6,2
25,1,9:13.0,,Defensive rebound by Team,6,2
26,1,8:55.0,,D. DeRozan misses 2-pt jump shot from 4 ft,6,2
27,1,8:55.0,Defensive rebound by K. Love,,6,2
28,1,8:43.0,K. Love misses 2-pt layup from 1 ft (block by J. Valančiūnas),,6,2
29,1,8:42.0,Offensive rebound by K. Love,,6,2
30,1,8:37.0,K. Love misses 2-pt layup from 1 ft,,6,2
31,1,8:35.0,,Defensive rebound by D. Carroll,6,2
32,1,8:29.0,,K. Lowry makes 2-pt layup from 3 ft,6,4
33,1,8:13.0,J. Smith misses 3-pt jump shot from 26 ft,,6,4
34,1,8:13.0,Offensive rebound by K. Love,,6,4
35,1,7:57.0,J. Smith makes 3-pt jump shot from 28 ft (assist by K. Irving),,9,4
36,1,7:44.0,,P. Siakam misses 2-pt layup from 4 ft (block by T. Thompson),9,4
37,1,7:43.0,,Offensive rebound by P. Siakam,9,4
38,1,7:42.0,,P. Siakam makes 2-pt layup from 2 ft,9,6
39,1,7:28.0,Turnover by K. Irving (bad pass),,9,6
40,1,7:20.0,,D. Carroll misses 2-pt hook shot from 6 ft,9,6
41,1,7:16.0,Defensive rebound by K. Irving,,9,6
