,QUARTER,TIME_REMAINING,HOUSTON_ACTION,LA CLIPPERS_ACTION,HOUSTON_SCORE,LA CLIPPERS_SCORE
0,1,11:44.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by B. Griffin),0,3
1,1,11:21.0,R. Anderson makes 3-pt jump shot from 27 ft (assist by J. Harden),,3,3
2,1,11:07.0,,L. Mbah a Moute misses 2-pt jump shot from 15 ft,3,3
3,1,11:05.0,,Offensive rebound by B. Griffin,3,3
4,1,11:05.0,,B. Griffin misses 2-pt layup from 2 ft,3,3
5,1,11:02.0,Defensive rebound by C. Capela,,3,3
6,1,10:56.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by J. Harden),,6,3
7,1,10:38.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by B. Griffin),6,6
8,1,10:17.0,R. Anderson misses 3-pt jump shot from 25 ft,,6,6
9,1,10:17.0,,Defensive rebound by Team,6,6
10,1,10:08.0,,L. Mbah a Moute makes 3-pt jump shot from 23 ft (assist by C. Paul),6,9
11,1,9:52.0,C. Capela misses 2-pt layup from 2 ft,,6,9
12,1,9:51.0,Offensive rebound by C. Capela,,6,9
13,1,9:51.0,C. Capela misses 2-pt layup from 2 ft,,6,9
14,1,9:48.0,,Defensive rebound by L. Mbah a Moute,6,9
15,1,9:45.0,,B. Griffin misses 2-pt hook shot from 4 ft,6,9
16,1,9:41.0,,Offensive rebound by D. Jordan,6,9
17,1,9:41.0,,D. Jordan makes 2-pt layup from 1 ft,6,11
18,1,9:32.0,P. Beverley misses 3-pt jump shot from 26 ft,,6,11
19,1,9:31.0,,Defensive rebound by D. Jordan,6,11
20,1,9:21.0,,L. Mbah a Moute misses 2-pt jump shot from 18 ft,6,11
21,1,9:20.0,Defensive rebound by P. Beverley,,6,11
22,1,9:13.0,C. Capela makes 2-pt layup from 3 ft (assist by P. Beverley),,8,11
23,1,9:02.0,,Shooting foul by R. Anderson (drawn by B. Griffin),8,11
24,1,9:02.0,,B. Griffin misses free throw 1 of 2,8,11
25,1,9:02.0,,Offensive rebound by Team,8,11
26,1,9:02.0,,B. Griffin makes free throw 2 of 2,8,12
27,1,8:41.0,Shooting foul by L. Mbah a Moute (drawn by R. Anderson),,8,12
28,1,8:41.0,R. Anderson misses free throw 1 of 2,,8,12
29,1,8:41.0,Offensive rebound by Team,,8,12
30,1,8:41.0,R. Anderson makes free throw 2 of 2,,9,12
31,1,8:32.0,,Personal foul by P. Beverley (drawn by C. Paul),9,12
32,1,8:19.0,,L. Mbah a Moute makes 2-pt layup from 3 ft (assist by J. Redick),9,14
33,1,8:14.0,Turnover by J. Harden (bad pass; steal by C. Paul),,9,14
34,1,8:09.0,,B. Griffin misses 2-pt layup from 3 ft,9,14
35,1,8:08.0,,Offensive rebound by B. Griffin,9,14
36,1,8:08.0,,B. Griffin makes 2-pt layup from 1 ft,9,16
37,1,7:46.0,R. Anderson misses 2-pt jump shot from 7 ft,,9,16
38,1,7:45.0,Offensive rebound by C. Capela,,9,16
39,1,7:45.0,C. Capela makes 2-pt layup from 2 ft,,11,16
40,1,7:29.0,,L. Mbah a Moute makes 2-pt jump shot from 20 ft (assist by B. Griffin),11,18
41,1,7:15.0,J. Harden makes 3-pt jump shot from 26 ft,,14,18
42,1,6:59.0,,D. Jordan makes 2-pt dunk at rim (assist by L. Mbah a Moute),14,20
43,1,6:41.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by J. Harden),,17,20
44,1,6:20.0,,C. Paul misses 2-pt jump shot from 18 ft,17,20
45,1,6:17.0,Defensive rebound by T. Ariza,,17,20
46,1,6:10.0,Shooting foul by D. Jordan (drawn by J. Harden),,17,20
47,1,6:10.0,J. Harden makes free throw 1 of 3,,18,20
48,1,6:10.0,J. Harden makes free throw 2 of 3,,19,20
49,1,6:10.0,N. Hilário enters the game for C. Capela,,19,20
50,1,6:10.0,J. Harden makes free throw 3 of 3,,20,20
51,1,5:58.0,,J. Redick misses 2-pt jump shot from 19 ft,20,20
52,1,5:57.0,Defensive rebound by J. Harden,,20,20
53,1,5:44.0,R. Anderson makes 3-pt jump shot from 26 ft (assist by J. Harden),,23,20
54,1,5:38.0,,Personal foul by P. Beverley (drawn by C. Paul),23,20
55,1,5:38.0,,LA Clippers full timeout,23,20
56,1,5:38.0,E. Gordon enters the game for P. Beverley,,23,20
57,1,5:27.0,,L. Mbah a Moute makes 2-pt dunk at rim (assist by C. Paul),23,22
58,1,5:11.0,Turnover by J. Harden (bad pass; steal by D. Jordan),,23,22
59,1,5:05.0,,J. Redick misses 2-pt jump shot from 20 ft,23,22
60,1,5:01.0,Defensive rebound by E. Gordon,,23,22
61,1,4:55.0,R. Anderson misses 2-pt layup from 2 ft,,23,22
62,1,4:52.0,,Defensive rebound by D. Jordan,23,22
63,1,4:49.0,,B. Griffin makes 2-pt layup from 2 ft (assist by C. Paul),23,24
64,1,4:31.0,Turnover by T. Ariza (bad pass; steal by C. Paul),,23,24
65,1,4:25.0,,C. Paul makes 2-pt jump shot from 3 ft,23,26
66,1,4:07.0,J. Harden misses 3-pt jump shot from 25 ft,,23,26
67,1,4:06.0,Offensive rebound by N. Hilário,,23,26
68,1,3:57.0,E. Gordon misses 3-pt jump shot from 26 ft,,23,26
69,1,3:56.0,Offensive rebound by R. Anderson,,23,26
70,1,3:56.0,R. Anderson misses 2-pt layup from 1 ft,,23,26
71,1,3:53.0,,Defensive rebound by J. Redick,23,26
72,1,3:51.0,,B. Griffin makes 2-pt layup from 1 ft (assist by C. Paul),23,28
73,1,3:51.0,,Shooting foul by E. Gordon (drawn by B. Griffin),23,28
74,1,3:51.0,Houston full timeout,,23,28
75,1,3:51.0,,B. Griffin misses free throw 1 of 1,23,28
76,1,3:51.0,,A. Rivers enters the game for J. Redick,23,28
77,1,3:51.0,L. Williams enters the game for R. Anderson,,23,28
78,1,3:49.0,Defensive rebound by T. Ariza,,23,28
79,1,3:35.0,Turnover by E. Gordon (bad pass; steal by D. Jordan),,23,28
80,1,3:24.0,,B. Griffin misses 2-pt hook shot from 6 ft,23,28
81,1,3:20.0,Defensive rebound by E. Gordon,,23,28
82,1,3:15.0,L. Williams misses 2-pt jump shot from 4 ft (block by D. Jordan),,23,28
83,1,3:15.0,Offensive rebound by Team,,23,28
84,1,3:15.0,,J. Crawford enters the game for L. Mbah a Moute,23,28
85,1,3:12.0,T. Ariza makes 3-pt jump shot from 27 ft (assist by L. Williams),,26,28
86,1,2:45.0,,Turnover by Team (shot clock),26,28
87,1,2:31.0,T. Ariza misses 3-pt jump shot from 26 ft,,26,28
88,1,2:29.0,Offensive rebound by N. Hilário,,26,28
89,1,2:25.0,N. Hilário makes 2-pt layup from 3 ft,,28,28
90,1,2:22.0,,Turnover by D. Jordan (bad pass; steal by N. Hilário),28,28
91,1,2:18.0,E. Gordon misses 3-pt jump shot from 24 ft,,28,28
