,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,LA CLIPPERS_ACTION,MILWAUKEE_SCORE,LA CLIPPERS_SCORE
0,1,11:34.0,,B. Griffin misses 3-pt jump shot from 29 ft,0,0
1,1,11:33.0,Defensive rebound by M. Brogdon,,0,0
2,1,11:13.0,G. Antetokounmpo makes 2-pt jump shot from 20 ft,,2,0
3,1,11:02.0,,Shooting foul by G. Antetokounmpo (drawn by J. Redick),2,0
4,1,11:02.0,,J. Redick makes free throw 1 of 3,2,1
5,1,11:02.0,,J. Redick makes free throw 2 of 3,2,2
6,1,11:02.0,,J. Redick misses free throw 3 of 3,2,2
7,1,11:01.0,Defensive rebound by T. Snell,,2,2
8,1,10:39.0,T. Snell makes 2-pt jump shot from 19 ft (assist by G. Antetokounmpo),,4,2
9,1,10:29.0,,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),4,4
10,1,10:16.0,T. Snell misses 3-pt jump shot from 25 ft,,4,4
11,1,10:16.0,,Defensive rebound by D. Jordan,4,4
12,1,10:04.0,,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by J. Redick),4,6
13,1,10:04.0,,Shooting foul by K. Middleton (drawn by L. Mbah a Moute),4,6
14,1,10:04.0,,L. Mbah a Moute makes free throw 1 of 1,4,7
15,1,9:48.0,M. Brogdon misses 3-pt jump shot from 25 ft,,4,7
16,1,9:48.0,,Defensive rebound by B. Griffin,4,7
17,1,9:31.0,,D. Jordan makes 2-pt layup from 2 ft (assist by L. Mbah a Moute),4,9
18,1,9:15.0,Personal foul by C. Paul (drawn by G. Antetokounmpo),,4,9
19,1,8:58.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by M. Brogdon),,7,9
20,1,8:33.0,,B. Griffin makes 3-pt jump shot from 23 ft (assist by C. Paul),7,12
21,1,8:17.0,T. Snell misses 3-pt jump shot from 23 ft,,7,12
22,1,8:16.0,,Defensive rebound by C. Paul,7,12
23,1,8:02.0,,Turnover by J. Redick (traveling),7,12
24,1,8:02.0,G. Monroe enters the game for T. Maker,,7,12
25,1,7:47.0,K. Middleton makes 2-pt layup from 2 ft (assist by G. Monroe),,9,12
