,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PHOENIX_ACTION,LA LAKERS_SCORE,PHOENIX_SCORE
0,1,11:41.0,N. Young misses 2-pt jump shot from 16 ft,,0,0
1,1,11:39.0,,Defensive rebound by Team,0,0
2,1,11:23.0,,A. Len makes 2-pt hook shot from 8 ft,0,2
3,1,11:09.0,Turnover by N. Young (bad pass; steal by A. Len),,0,2
4,1,11:03.0,,E. Bledsoe makes 2-pt jump shot from 22 ft,0,4
5,1,10:38.0,B. Ingram misses 2-pt layup from 1 ft,,0,4
6,1,10:34.0,Offensive rebound by T. Black,,0,4
7,1,10:34.0,T. Black makes 2-pt layup from 1 ft,,2,4
8,1,10:20.0,,A. Len misses 2-pt jump shot from 9 ft,2,4
9,1,10:17.0,Defensive rebound by D. Russell,,2,4
10,1,10:07.0,Shooting block foul by A. Len (drawn by B. Ingram),,2,4
11,1,10:07.0,B. Ingram makes free throw 1 of 2,,3,4
12,1,10:07.0,B. Ingram makes free throw 2 of 2,,4,4
13,1,9:51.0,,T. Warren makes 2-pt jump shot from 11 ft,4,6
14,1,9:38.0,J. Randle makes 3-pt jump shot from 25 ft (assist by D. Russell),,7,6
15,1,9:26.0,,Personal foul by N. Young (drawn by M. Chriss),7,6
16,1,9:18.0,,D. Booker misses 2-pt jump shot from 15 ft,7,6
17,1,9:14.0,,Offensive rebound by A. Len,7,6
18,1,9:14.0,,A. Len makes 2-pt dunk at rim,7,8
19,1,8:57.0,N. Young makes 3-pt jump shot from 24 ft (assist by J. Randle),,10,8
20,1,8:41.0,,D. Booker makes 2-pt jump shot from 20 ft,10,10
21,1,8:31.0,Turnover by J. Randle (lost ball; steal by E. Bledsoe),,10,10
22,1,8:31.0,,Personal foul by J. Randle (drawn by D. Booker),10,10
23,1,8:19.0,,T. Warren makes 2-pt layup from 2 ft (assist by D. Booker),10,12
24,1,8:08.0,Turnover by B. Ingram (bad pass; steal by E. Bledsoe),,10,12
25,1,8:04.0,,E. Bledsoe makes 2-pt layup from 1 ft,10,14
26,1,7:45.0,N. Young makes 3-pt jump shot from 23 ft (assist by B. Ingram),,13,14
27,1,7:36.0,,Turnover by E. Bledsoe (bad pass; steal by D. Russell),13,14
28,1,7:28.0,N. Young misses 2-pt jump shot from 6 ft (block by E. Bledsoe),,13,14
29,1,7:22.0,,Defensive rebound by E. Bledsoe,13,14
30,1,7:21.0,,D. Booker makes 2-pt layup from 1 ft (assist by T. Warren),13,16
31,1,7:15.0,D. Russell misses 2-pt layup from 1 ft,,13,16
32,1,7:11.0,,Defensive rebound by A. Len,13,16
33,1,7:08.0,,T. Warren misses 2-pt layup from 4 ft,13,16
34,1,7:06.0,Defensive rebound by T. Black,,13,16
35,1,7:01.0,B. Ingram misses 3-pt jump shot from 27 ft,,13,16
36,1,7:00.0,Offensive rebound by Team,,13,16
37,1,6:54.0,D. Russell makes 2-pt layup from 1 ft,,15,16
38,1,6:50.0,,Personal foul by B. Ingram (drawn by E. Bledsoe),15,16
39,1,6:37.0,,T. Warren misses 2-pt jump shot from 8 ft (block by B. Ingram),15,16
40,1,6:36.0,,Offensive rebound by T. Warren,15,16
