,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,UTAH_ACTION,SACRAMENTO_SCORE,UTAH_SCORE
0,1,11:50.0,,Turnover by B. Diaw (bad pass),0,0
1,1,11:30.0,R. Gay misses 2-pt dunk at rim (block by R. Gobert),,0,0
2,1,11:29.0,Offensive rebound by Team,,0,0
3,1,11:24.0,D. Cousins makes 2-pt jump shot from 14 ft,,2,0
4,1,11:08.0,,Turnover by R. Gobert (3 sec),2,0
5,1,10:53.0,R. Gay makes 3-pt jump shot from 23 ft (assist by D. Cousins),,5,0
6,1,10:43.0,,Turnover by J. Ingles (bad pass; steal by R. Gay),5,0
7,1,10:37.0,R. Gay makes 2-pt dunk from 2 ft (assist by B. McLemore),,7,0
8,1,10:25.0,,Turnover by D. Exum (bad pass; steal by R. Gay),7,0
9,1,10:20.0,R. Gay makes 2-pt dunk at rim,,9,0
10,1,10:01.0,,G. Hayward misses 2-pt jump shot from 22 ft,9,0
11,1,10:01.0,Defensive rebound by D. Cousins,,9,0
12,1,9:56.0,,Violation by J. Ingles (kicked ball),9,0
13,1,9:40.0,K. Koufos makes 2-pt hook shot from 4 ft,,11,0
14,1,9:40.0,,Utah full timeout,11,0
15,1,9:22.0,,B. Diaw makes 3-pt jump shot from 25 ft (assist by G. Hayward),11,3
16,1,9:04.0,Turnover by D. Collison (lost ball; steal by D. Exum),,11,3
17,1,8:58.0,,D. Exum makes 2-pt layup from 2 ft (assist by J. Ingles),11,5
18,1,8:30.0,K. Koufos misses 2-pt hook shot from 10 ft,,11,5
19,1,8:29.0,Offensive rebound by D. Cousins,,11,5
20,1,8:28.0,D. Cousins misses 2-pt layup from 1 ft,,11,5
21,1,8:28.0,Offensive rebound by Team,,11,5
22,1,8:22.0,R. Gay misses 2-pt jump shot from 3 ft (block by R. Gobert),,11,5
23,1,8:21.0,Offensive rebound by D. Collison,,11,5
24,1,8:13.0,Shooting foul by B. Diaw (drawn by D. Cousins),,11,5
25,1,8:13.0,D. Cousins makes free throw 1 of 2,,12,5
26,1,8:13.0,D. Cousins misses free throw 2 of 2,,12,5
27,1,8:12.0,,Defensive rebound by J. Ingles,12,5
28,1,7:58.0,,D. Exum misses 2-pt layup from 3 ft,12,5
29,1,7:58.0,Defensive rebound by Team,,12,5
30,1,7:49.0,R. Gay misses 2-pt jump shot from 10 ft,,12,5
31,1,7:48.0,,Defensive rebound by R. Gobert,12,5
32,1,7:39.0,,R. Gobert makes 2-pt hook shot from 3 ft (assist by J. Ingles),12,7
33,1,7:39.0,,Shooting foul by K. Koufos (drawn by R. Gobert),12,7
34,1,7:39.0,,R. Gobert makes free throw 1 of 1,12,8
35,1,7:27.0,Turnover by D. Collison (bad pass; steal by D. Exum),,12,8
36,1,7:23.0,,Shooting foul by D. Cousins (drawn by G. Hayward),12,8
37,1,7:23.0,,G. Hayward makes free throw 1 of 2,12,9
38,1,7:23.0,,G. Hayward makes free throw 2 of 2,12,10
39,1,7:15.0,Turnover by R. Gay (bad pass; steal by G. Hayward),,12,10
40,1,7:07.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by G. Hayward),12,13
41,1,6:55.0,Sacramento full timeout,,12,13
42,1,6:46.0,B. McLemore misses 3-pt jump shot from 24 ft,,12,13
43,1,6:45.0,,Defensive rebound by D. Exum,12,13
44,1,6:33.0,,R. Gobert makes 2-pt dunk at rim (assist by B. Diaw),12,15
45,1,6:08.0,D. Cousins misses 2-pt layup from 2 ft,,12,15
46,1,6:07.0,Offensive rebound by B. McLemore,,12,15
47,1,5:59.0,R. Gay makes 2-pt jump shot from 19 ft,,14,15
48,1,5:51.0,,B. Diaw makes 2-pt layup from 2 ft (assist by J. Ingles),14,17
49,1,5:38.0,D. Cousins misses 2-pt layup from 3 ft (block by R. Gobert),,14,17
50,1,5:37.0,,Defensive rebound by B. Diaw,14,17
51,1,5:31.0,,G. Hayward makes 3-pt jump shot from 25 ft (assist by D. Exum),14,20
52,1,5:15.0,D. Collison makes 2-pt jump shot from 9 ft,,16,20
53,1,4:48.0,,G. Hayward makes 2-pt jump shot from 17 ft,16,22
54,1,4:26.0,D. Cousins misses 2-pt jump shot from 16 ft,,16,22
55,1,4:26.0,,Defensive rebound by G. Hayward,16,22
56,1,4:18.0,,G. Hayward misses 3-pt jump shot from 24 ft,16,22
57,1,4:17.0,Defensive rebound by D. Cousins,,16,22
58,1,4:08.0,R. Gay misses 2-pt jump shot from 10 ft,,16,22
59,1,4:07.0,,Defensive rebound by R. Gobert,16,22
60,1,3:55.0,,D. Exum misses 2-pt layup from 2 ft,16,22
61,1,3:54.0,Defensive rebound by R. Gay,,16,22
62,1,3:46.0,D. Collison misses 2-pt jump shot from 18 ft,,16,22
63,1,3:45.0,,Defensive rebound by J. Ingles,16,22
64,1,3:42.0,,Turnover by J. Ingles (lost ball; steal by B. McLemore),16,22
65,1,3:34.0,R. Gay makes 3-pt jump shot from 24 ft (assist by D. Cousins),,19,22
66,1,3:12.0,,G. Hayward misses 2-pt jump shot from 16 ft,19,22
67,1,3:11.0,Defensive rebound by D. Cousins,,19,22
68,1,3:00.0,,Violation by R. Gobert (def goaltending),19,22
69,1,3:00.0,D. Collison makes 2-pt jump shot from 5 ft,,21,22
70,1,2:48.0,T. Lawson enters the game for D. Collison,,21,22
71,1,2:48.0,M. Barnes enters the game for K. Koufos,,21,22
72,1,2:48.0,,T. Lyles enters the game for B. Diaw,21,22
73,1,2:48.0,,S. Mack enters the game for D. Exum,21,22
74,1,2:38.0,,S. Mack misses 3-pt jump shot from 26 ft,21,22
75,1,2:37.0,,Offensive rebound by T. Lyles,21,22
76,1,2:35.0,,T. Lyles misses 2-pt layup from 2 ft,21,22
77,1,2:34.0,Defensive rebound by D. Cousins,,21,22
78,1,2:22.0,T. Lawson misses 2-pt jump shot from 19 ft,,21,22
79,1,2:22.0,,Defensive rebound by G. Hayward,21,22
80,1,2:11.0,,Offensive foul by G. Hayward (drawn by R. Gay),21,22
81,1,2:11.0,,Turnover by G. Hayward (offensive foul),21,22
82,1,2:11.0,,J. Johnson enters the game for G. Hayward,21,22
83,1,2:00.0,M. Barnes misses 3-pt jump shot from 25 ft,,21,22
84,1,1:59.0,Offensive rebound by D. Cousins,,21,22
85,1,1:52.0,M. Barnes makes 2-pt jump shot from 3 ft (assist by T. Lawson),,23,22
86,1,1:27.0,,T. Lyles misses 3-pt jump shot from 24 ft,23,22
87,1,1:27.0,,Offensive rebound by Team,23,22
88,1,1:27.0,O. Casspi enters the game for R. Gay,,23,22
89,1,1:20.0,,T. Lyles misses 2-pt jump shot from 9 ft,23,22
90,1,1:20.0,,Offensive rebound by R. Gobert,23,22
91,1,1:20.0,,R. Gobert makes 2-pt layup from 1 ft,23,24
92,1,1:20.0,,Shooting foul by B. McLemore (drawn by R. Gobert),23,24
93,1,1:20.0,,R. Gobert makes free throw 1 of 1,23,25
94,1,1:12.0,Personal foul by J. Johnson (drawn by O. Casspi),,23,25
95,1,1:02.0,D. Cousins makes 2-pt jump shot from 20 ft (assist by T. Lawson),,25,25
96,1,0:48.0,,J. Johnson misses 2-pt jump shot from 4 ft,25,25
97,1,0:47.0,,Offensive rebound by J. Johnson,25,25
98,1,0:47.0,,J. Johnson makes 2-pt layup from 4 ft,25,27
99,1,0:34.0,D. Cousins misses 3-pt jump shot from 24 ft,,25,27
100,1,0:33.0,,Defensive rebound by J. Johnson,25,27
101,1,0:24.0,,J. Johnson makes 2-pt jump shot from 18 ft,25,29
102,1,0:01.0,B. McLemore misses 3-pt jump shot from 24 ft,,25,29
103,1,0:00.0,Offensive rebound by Team,,25,29
104,2,11:38.0,O. Casspi misses 2-pt jump shot from 4 ft,,25,29
105,2,11:37.0,,Defensive rebound by D. Exum,25,29
106,2,11:26.0,,Turnover by D. Exum (bad pass),25,29
107,2,11:18.0,Shooting foul by D. Exum (drawn by T. Lawson),,25,29
108,2,11:18.0,T. Lawson makes 2-pt jump shot from 9 ft,,27,29
109,2,11:18.0,,R. Neto enters the game for D. Exum,27,29
110,2,11:18.0,T. Lawson makes free throw 1 of 1,,28,29
111,2,11:02.0,,J. Johnson misses 3-pt jump shot from 24 ft,28,29
112,2,11:02.0,,Offensive rebound by T. Lyles,28,29
113,2,10:58.0,,Turnover by T. Lyles (back court),28,29
114,2,10:35.0,M. Barnes misses 3-pt jump shot from 24 ft,,28,29
115,2,10:35.0,Offensive rebound by W. Cauley-Stein,,28,29
116,2,10:33.0,W. Cauley-Stein makes 2-pt dunk at rim,,30,29
117,2,10:13.0,,T. Lyles makes 3-pt jump shot from 25 ft (assist by R. Neto),30,32
118,2,10:01.0,W. Cauley-Stein makes 2-pt dunk at rim (assist by T. Lawson),,32,32
119,2,9:48.0,,Shooting foul by M. Barnes (drawn by J. Withey),32,32
120,2,9:48.0,,J. Withey makes free throw 1 of 2,32,33
121,2,9:48.0,,J. Withey makes free throw 2 of 2,32,34
122,2,9:38.0,Turnover by T. Lawson (lost ball; steal by R. Neto),,32,34
123,2,9:24.0,,R. Neto makes 3-pt jump shot from 24 ft (assist by J. Johnson),32,37
124,2,9:02.0,T. Lawson misses 2-pt layup from 2 ft (block by J. Withey),,32,37
125,2,9:01.0,,Defensive rebound by R. Neto,32,37
126,2,8:51.0,,R. Neto makes 3-pt jump shot from 24 ft (assist by S. Mack),32,40
127,2,8:40.0,Sacramento full timeout,,32,40
128,2,8:24.0,W. Cauley-Stein misses 2-pt layup from 2 ft (block by J. Johnson),,32,40
129,2,8:23.0,,Defensive rebound by J. Withey,32,40
130,2,8:03.0,,S. Mack misses 3-pt jump shot from 24 ft,32,40
131,2,8:03.0,Defensive rebound by M. Barnes,,32,40
132,2,7:51.0,T. Lawson misses 2-pt jump shot from 21 ft,,32,40
133,2,7:51.0,Offensive rebound by T. Lawson,,32,40
134,2,7:48.0,Turnover by T. Lawson (bad pass; steal by J. Withey),,32,40
135,2,7:44.0,,T. Lyles makes 2-pt layup from 2 ft (assist by R. Neto),32,42
136,2,7:44.0,,Shooting block foul by G. Temple (drawn by T. Lyles),32,42
