,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,PHOENIX_ACTION,PHILADELPHIA_SCORE,PHOENIX_SCORE
0,1,11:46.0,Def 3 sec tech foul by T. Chandler,,0,0
1,1,11:46.0,S. Rodríguez makes technical free throw,,1,0
2,1,11:32.0,J. Okafor misses 2-pt hook shot from 16 ft,,1,0
3,1,11:26.0,,Defensive rebound by T. Chandler,1,0
4,1,11:13.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by D. Booker),1,3
5,1,10:58.0,Shooting foul by M. Chriss (drawn by J. Embiid),,1,3
6,1,10:58.0,J. Embiid makes 2-pt dunk at rim,,3,3
7,1,10:58.0,J. Embiid makes free throw 1 of 1,,4,3
8,1,10:45.0,,D. Booker misses 2-pt jump shot from 9 ft,4,3
9,1,10:40.0,Defensive rebound by J. Okafor,,4,3
10,1,10:21.0,J. Embiid misses 3-pt jump shot from 28 ft,,4,3
11,1,10:19.0,,Defensive rebound by T. Chandler,4,3
12,1,10:13.0,,Turnover by E. Bledsoe (step out of bounds),4,3
13,1,10:01.0,G. Henderson makes 2-pt jump shot from 19 ft (assist by J. Okafor),,6,3
14,1,9:49.0,,Def 3 sec tech foul by J. Okafor,6,3
15,1,9:49.0,,E. Bledsoe makes technical free throw,6,4
16,1,9:41.0,,D. Booker misses 3-pt jump shot from 25 ft,6,4
17,1,9:38.0,Defensive rebound by Team,,6,4
18,1,9:19.0,J. Embiid misses 2-pt layup from 2 ft,,6,4
19,1,9:17.0,,Defensive rebound by D. Booker,6,4
20,1,9:16.0,,Shooting foul by S. Rodríguez (drawn by D. Booker),6,4
21,1,9:16.0,,D. Booker makes free throw 1 of 2,6,5
22,1,9:16.0,,D. Booker makes free throw 2 of 2,6,6
23,1,9:05.0,G. Henderson makes 3-pt jump shot from 25 ft (assist by S. Rodríguez),,9,6
24,1,8:49.0,,P. Tucker makes 2-pt hook shot from 7 ft (assist by E. Bledsoe),9,8
25,1,8:39.0,S. Rodríguez misses 3-pt jump shot from 25 ft,,9,8
26,1,8:36.0,,Defensive rebound by T. Chandler,9,8
27,1,8:33.0,,D. Booker makes 2-pt jump shot from 23 ft (assist by E. Bledsoe),9,10
28,1,8:12.0,Shooting foul by M. Chriss (drawn by J. Embiid),,9,10
29,1,8:12.0,J. Embiid makes free throw 1 of 2,,10,10
30,1,8:12.0,,T. Warren enters the game for M. Chriss,10,10
31,1,8:12.0,J. Embiid makes free throw 2 of 2,,11,10
32,1,7:50.0,,D. Booker misses 2-pt jump shot from 17 ft,11,10
33,1,7:46.0,Defensive rebound by J. Embiid,,11,10
34,1,7:35.0,Personal foul by P. Tucker (drawn by J. Embiid),,11,10
35,1,7:35.0,E. İlyasova enters the game for J. Embiid,,11,10
36,1,7:34.0,T. McConnell enters the game for S. Rodríguez,,11,10
37,1,7:20.0,G. Henderson makes 2-pt jump shot from 18 ft,,13,10
38,1,7:07.0,,P. Tucker misses 3-pt jump shot from 25 ft,13,10
39,1,7:05.0,Defensive rebound by J. Okafor,,13,10
40,1,7:00.0,Shooting foul by E. Bledsoe (drawn by R. Covington),,13,10
41,1,7:00.0,,Technical foul by D. Booker,13,10
42,1,7:00.0,R. Covington makes technical free throw,,14,10
43,1,7:00.0,R. Covington makes free throw 1 of 2,,15,10
44,1,7:00.0,N. Noel enters the game for J. Okafor,,15,10
45,1,7:00.0,H. Thompson enters the game for G. Henderson,,15,10
46,1,7:00.0,R. Covington makes free throw 2 of 2,,16,10
47,1,6:50.0,,T. Warren makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),16,13
48,1,6:39.0,R. Covington misses 3-pt jump shot from 25 ft,,16,13
49,1,6:37.0,,Defensive rebound by T. Chandler,16,13
50,1,6:29.0,,T. Warren misses 2-pt layup from 2 ft,16,13
51,1,6:27.0,,Offensive rebound by T. Warren,16,13
52,1,6:25.0,,T. Warren misses 2-pt jump shot from 12 ft (block by N. Noel),16,13
53,1,6:21.0,,Offensive rebound by T. Chandler,16,13
54,1,6:21.0,,T. Chandler makes 2-pt layup from 2 ft,16,15
55,1,6:08.0,T. McConnell misses 2-pt jump shot from 14 ft,,16,15
56,1,6:05.0,,Defensive rebound by T. Chandler,16,15
57,1,5:55.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,16,15
58,1,5:53.0,Defensive rebound by E. İlyasova,,16,15
59,1,5:46.0,,Phoenix full timeout,16,15
60,1,5:46.0,,B. Knight enters the game for T. Chandler,16,15
61,1,5:46.0,,A. Len enters the game for E. Bledsoe,16,15
62,1,5:42.0,E. İlyasova misses 3-pt jump shot from 24 ft,,16,15
63,1,5:40.0,,Defensive rebound by D. Booker,16,15
64,1,5:34.0,Offensive charge foul by D. Booker (drawn by R. Covington),,16,15
65,1,5:34.0,,Turnover by D. Booker (offensive foul),16,15
66,1,5:21.0,R. Covington makes 2-pt layup from 1 ft (assist by H. Thompson),,18,15
67,1,5:05.0,,B. Knight makes 2-pt layup from 1 ft (assist by A. Len),18,17
68,1,5:05.0,,Shooting foul by H. Thompson (drawn by B. Knight),18,17
69,1,5:05.0,,B. Knight misses free throw 1 of 1,18,17
70,1,5:04.0,Defensive rebound by Team,,18,17
71,1,4:52.0,N. Noel makes 2-pt jump shot from 17 ft (assist by E. İlyasova),,20,17
72,1,4:41.0,,Personal take foul by H. Thompson (drawn by A. Len),20,17
73,1,4:40.0,,Turnover by T. Warren (bad pass),20,17
74,1,4:27.0,T. McConnell misses 2-pt layup from 2 ft,,20,17
75,1,4:23.0,,Defensive rebound by P. Tucker,20,17
76,1,4:19.0,,Turnover by B. Knight (lost ball; steal by R. Covington),20,17
77,1,4:15.0,Shooting block foul by P. Tucker (drawn by T. McConnell),,20,17
78,1,4:15.0,T. McConnell makes free throw 1 of 2,,21,17
79,1,4:15.0,,J. Dudley enters the game for P. Tucker,21,17
80,1,4:15.0,T. McConnell makes free throw 2 of 2,,22,17
81,1,4:01.0,,D. Booker misses 3-pt jump shot from 24 ft,22,17
82,1,3:59.0,,Offensive rebound by T. Warren,22,17
83,1,3:51.0,,Turnover by D. Booker (bad pass; steal by N. Noel),22,17
84,1,3:37.0,T. McConnell misses 2-pt jump shot from 13 ft,,22,17
85,1,3:32.0,,Defensive rebound by A. Len,22,17
86,1,3:31.0,,Personal foul by R. Covington (drawn by B. Knight),22,17
87,1,3:31.0,,E. Bledsoe enters the game for D. Booker,22,17
88,1,3:26.0,,E. Bledsoe misses 2-pt jump shot from 7 ft (block by E. İlyasova),22,17
89,1,3:26.0,Defensive rebound by Team,,22,17
90,1,3:26.0,Philadelphia full timeout,,22,17
91,1,3:26.0,S. Rodríguez enters the game for R. Covington,,22,17
92,1,3:26.0,D. Šarić enters the game for E. İlyasova,,22,17
93,1,3:26.0,J. Embiid enters the game for T. McConnell,,22,17
94,1,3:07.0,J. Embiid misses 2-pt jump shot from 11 ft (block by A. Len),,22,17
95,1,3:04.0,,Defensive rebound by A. Len,22,17
96,1,3:01.0,,Turnover by E. Bledsoe (lost ball; steal by N. Noel),22,17
97,1,2:50.0,S. Rodríguez misses 3-pt jump shot from 26 ft,,22,17
98,1,2:48.0,,Defensive rebound by B. Knight,22,17
99,1,2:35.0,,Personal foul by N. Noel,22,17
100,1,2:35.0,,T. Warren misses free throw 1 of 2,22,17
101,1,2:35.0,,Offensive rebound by Team,22,17
102,1,2:35.0,G. Henderson enters the game for H. Thompson,,22,17
103,1,2:35.0,,T. Warren makes free throw 2 of 2,22,18
104,1,2:12.0,S. Rodríguez makes 3-pt jump shot from 24 ft (assist by G. Henderson),,25,18
105,1,1:59.0,,T. Warren makes 2-pt layup from 1 ft,25,20
106,1,1:46.0,Personal foul by J. Dudley (drawn by N. Noel),,25,20
107,1,1:46.0,N. Noel makes free throw 1 of 2,,26,20
108,1,1:46.0,,Violation by E. Bledsoe (lane),26,20
109,1,1:46.0,N. Noel makes free throw 2 of 2,,27,20
110,1,1:39.0,,Personal foul by D. Šarić,27,20
111,1,1:39.0,,T. Warren misses free throw 1 of 2,27,20
112,1,1:39.0,,Offensive rebound by Team,27,20
113,1,1:39.0,,T. Warren misses free throw 2 of 2,27,20
114,1,1:39.0,H. Thompson enters the game for N. Noel,,27,20
115,1,1:37.0,Defensive rebound by H. Thompson,,27,20
116,1,1:22.0,J. Embiid misses 2-pt hook shot from 8 ft,,27,20
117,1,1:17.0,,Defensive rebound by A. Len,27,20
118,1,1:03.0,,B. Knight misses 2-pt jump shot from 7 ft (block by J. Embiid),27,20
119,1,1:01.0,,Offensive rebound by A. Len,27,20
120,1,1:00.0,,A. Len misses 2-pt jump shot from 11 ft,27,20
121,1,0:58.0,Defensive rebound by J. Embiid,,27,20
122,1,0:54.0,D. Šarić misses 2-pt jump shot from 10 ft (block by E. Bledsoe),,27,20
123,1,0:54.0,,Defensive rebound by T. Warren,27,20
124,1,0:50.0,,B. Knight makes 2-pt layup from 2 ft (assist by T. Warren),27,22
125,1,0:35.0,Shooting foul by A. Len (drawn by J. Embiid),,27,22
126,1,0:35.0,J. Embiid makes free throw 1 of 2,,28,22
127,1,0:35.0,J. Embiid makes free throw 2 of 2,,29,22
128,1,0:28.0,,B. Knight makes 2-pt layup at rim,29,24
129,1,0:06.0,H. Thompson makes 2-pt dunk at rim (assist by S. Rodríguez),,31,24
130,1,0:00.0,,T. Warren misses 2-pt jump shot from 12 ft,31,24
131,1,0:00.0,,Offensive rebound by Team,31,24
132,2,11:40.0,,T. Warren misses 2-pt jump shot from 9 ft,31,24
133,2,11:38.0,,Offensive rebound by Team,31,24
134,2,11:29.0,,J. Dudley makes 2-pt jump shot from 16 ft,31,26
135,2,11:15.0,S. Rodríguez makes 2-pt layup from 3 ft,,33,26
136,2,10:53.0,,A. Len makes 2-pt dunk at rim (assist by J. Dudley),33,28
137,2,10:32.0,D. Šarić makes 2-pt jump shot from 21 ft (assist by G. Henderson),,35,28
138,2,10:14.0,,B. Knight makes 2-pt jump shot from 15 ft,35,30
139,2,9:55.0,Shooting foul by A. Len (drawn by J. Embiid),,35,30
140,2,9:55.0,J. Embiid makes free throw 1 of 2,,36,30
141,2,9:55.0,T. McConnell enters the game for S. Rodríguez,,36,30
