,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,BROOKLYN_ACTION,MEMPHIS_SCORE,BROOKLYN_SCORE
33,1,6:20.0,,Defensive rebound by B. Lopez,12,12
34,1,6:10.0,,R. Foye makes 2-pt layup from 3 ft,12,14
35,1,6:01.0,M. Conley makes 2-pt layup from 2 ft,,14,14
36,1,6:01.0,Shooting foul by B. Bogdanović (drawn by M. Conley),,14,14
37,1,6:01.0,Z. Randolph enters the game for J. Green,,14,14
38,1,6:01.0,,T. Booker enters the game for R. Hollis-Jefferson,14,14
39,1,6:01.0,,S. Kilpatrick enters the game for B. Bogdanović,14,14
40,1,6:01.0,M. Conley makes free throw 1 of 1,,15,14
41,1,5:50.0,,T. Booker makes 2-pt jump shot from 15 ft,15,16
42,1,5:34.0,M. Gasol makes 2-pt jump shot from 9 ft (assist by M. Conley),,17,16
43,1,5:21.0,,S. Kilpatrick makes 3-pt jump shot from 25 ft,17,19
44,1,5:00.0,M. Gasol makes 2-pt jump shot from 17 ft,,19,19
45,1,4:49.0,,Brooklyn full timeout,19,19
46,1,4:49.0,V. Carter enters the game for C. Parsons,,19,19
47,1,4:49.0,T. Douglas enters the game for M. Conley,,19,19
48,1,4:36.0,,S. Kilpatrick misses 3-pt jump shot from 26 ft,19,19
49,1,4:35.0,,Offensive rebound by T. Booker,19,19
50,1,4:26.0,,S. Kilpatrick misses 3-pt jump shot from 23 ft,19,19
51,1,4:25.0,Defensive rebound by Z. Randolph,,19,19
52,1,4:11.0,Z. Randolph misses 2-pt jump shot from 22 ft,,19,19
53,1,4:09.0,Offensive rebound by M. Gasol,,19,19
54,1,4:02.0,Personal foul by T. Booker (drawn by M. Gasol),,19,19
55,1,4:02.0,,J. Harris enters the game for R. Foye,19,19
56,1,4:02.0,,I. Whitehead enters the game for S. Dinwiddie,19,19
57,1,4:02.0,,L. Scola enters the game for B. Lopez,19,19
58,1,3:52.0,Personal foul by L. Scola (drawn by Z. Randolph),,19,19
59,1,3:43.0,Personal foul by J. Harris (drawn by V. Carter),,19,19
60,1,3:33.0,J. Ennis makes 2-pt layup from 2 ft,,21,19
61,1,3:07.0,,Personal foul by T. Douglas (drawn by I. Whitehead),21,19
62,1,2:57.0,,T. Booker misses 3-pt jump shot from 25 ft,21,19
63,1,2:56.0,Defensive rebound by V. Carter,,21,19
64,1,2:43.0,M. Gasol makes 2-pt layup from 3 ft (assist by T. Douglas),,23,19
65,1,2:43.0,Shooting foul by I. Whitehead (drawn by Z. Randolph),,23,19
66,1,2:43.0,Memphis full timeout,,23,19
67,1,2:43.0,M. Gasol makes free throw 1 of 1,,24,19
68,1,2:35.0,,Turnover by T. Booker (bad pass; steal by V. Carter),24,19
69,1,2:25.0,V. Carter makes 3-pt jump shot from 27 ft (assist by M. Gasol),,27,19
70,1,2:09.0,,T. Booker misses 2-pt layup from 3 ft,27,19
71,1,2:07.0,Defensive rebound by M. Gasol,,27,19
72,1,1:50.0,Z. Randolph misses 2-pt jump shot from 18 ft,,27,19
73,1,1:49.0,,Defensive rebound by S. Kilpatrick,27,19
74,1,1:38.0,,L. Scola misses 3-pt jump shot from 25 ft,27,19
75,1,1:36.0,Defensive rebound by T. Douglas,,27,19
76,1,1:23.0,Turnover by M. Gasol (traveling),,27,19
77,1,1:23.0,T. Daniels enters the game for J. Ennis,,27,19
78,1,1:07.0,,J. Harris misses 3-pt jump shot from 25 ft,27,19
79,1,1:06.0,Defensive rebound by M. Gasol,,27,19
80,1,0:59.0,V. Carter misses 2-pt jump shot from 12 ft,,27,19
81,1,0:58.0,,Defensive rebound by S. Kilpatrick,27,19
82,1,0:44.0,,I. Whitehead misses 2-pt layup from 3 ft,27,19
83,1,0:43.0,Defensive rebound by Z. Randolph,,27,19
84,1,0:26.0,Z. Randolph misses 2-pt hook shot from 5 ft,,27,19
85,1,0:25.0,,Defensive rebound by L. Scola,27,19
86,1,0:06.0,,I. Whitehead misses 3-pt jump shot from 25 ft,27,19
87,1,0:03.0,Defensive rebound by M. Gasol,,27,19
88,1,0:01.0,T. Douglas misses 3-pt jump shot from 51 ft,,27,19
89,1,0:00.0,Offensive rebound by Team,,27,19
90,2,11:45.0,B. Wright misses 2-pt layup from 3 ft,,27,19
91,2,11:44.0,,Defensive rebound by J. Harris,27,19
92,2,11:25.0,,T. Booker makes 2-pt jump shot from 17 ft,27,21
93,2,11:09.0,T. Daniels misses 3-pt jump shot from 24 ft,,27,21
94,2,11:08.0,Offensive rebound by Team,,27,21
95,2,11:07.0,M. Conley enters the game for T. Douglas,,27,21
96,2,11:05.0,Turnover by B. Wright (lost ball; steal by I. Whitehead),,27,21
97,2,10:52.0,,Turnover by J. Harris (bad pass),27,21
98,2,10:41.0,T. Daniels misses 2-pt jump shot from 20 ft,,27,21
99,2,10:40.0,Offensive rebound by Z. Randolph,,27,21
