,QUARTER,TIME_REMAINING,ATLANTA_ACTION,INDIANA_ACTION,ATLANTA_SCORE,INDIANA_SCORE
0,1,11:40.0,T. Sefolosha makes 2-pt layup from 2 ft (assist by D. Schröder),,2,0
1,1,11:28.0,,P. George misses 2-pt layup from 3 ft,2,0
2,1,11:28.0,Defensive rebound by T. Sefolosha,,2,0
3,1,11:15.0,P. Millsap makes 2-pt jump shot from 10 ft,,4,0
4,1,11:04.0,,Turnover by P. George (bad pass),4,0
5,1,10:50.0,D. Schröder misses 2-pt jump shot from 10 ft (block by J. Teague),,4,0
6,1,10:49.0,,Defensive rebound by M. Turner,4,0
7,1,10:34.0,,J. Teague makes 2-pt jump shot from 17 ft,4,2
8,1,10:11.0,K. Bazemore misses 2-pt jump shot from 20 ft,,4,2
9,1,10:10.0,,Defensive rebound by P. George,4,2
10,1,9:58.0,,M. Turner makes 2-pt jump shot from 14 ft (assist by J. Teague),4,4
11,1,9:30.0,P. Millsap misses 2-pt layup from 2 ft,,4,4
12,1,9:29.0,Offensive rebound by D. Howard,,4,4
13,1,9:29.0,D. Howard makes 2-pt layup from 1 ft,,6,4
14,1,9:15.0,,P. George makes 3-pt jump shot from 25 ft,6,7
15,1,9:01.0,D. Howard makes 2-pt layup from 3 ft (assist by T. Sefolosha),,8,7
16,1,8:43.0,,T. Young makes 2-pt layup from 3 ft (assist by J. Teague),8,9
17,1,8:32.0,K. Bazemore makes 2-pt layup from 2 ft (assist by D. Howard),,10,9
18,1,8:18.0,,T. Young makes 2-pt jump shot from 10 ft,10,11
19,1,7:59.0,D. Schröder misses 2-pt layup from 2 ft (block by T. Young),,10,11
20,1,7:58.0,,Defensive rebound by M. Turner,10,11
21,1,7:49.0,,J. Teague misses 3-pt jump shot from 26 ft,10,11
22,1,7:48.0,Defensive rebound by D. Schröder,,10,11
23,1,7:46.0,Turnover by D. Schröder (bad pass; steal by J. Teague),,10,11
24,1,7:35.0,,T. Young makes 2-pt jump shot from 14 ft,10,13
25,1,7:13.0,P. Millsap misses 3-pt jump shot from 26 ft,,10,13
26,1,7:12.0,Offensive rebound by D. Howard,,10,13
27,1,7:11.0,D. Howard makes 2-pt dunk from 1 ft,,12,13
28,1,6:53.0,,M. Ellis misses 3-pt jump shot from 25 ft,12,13
29,1,6:52.0,Defensive rebound by K. Bazemore,,12,13
30,1,6:46.0,Personal foul by M. Turner (drawn by D. Howard),,12,13
31,1,6:46.0,M. Muscala enters the game for P. Millsap,,12,13
32,1,6:35.0,M. Muscala makes 3-pt jump shot from 26 ft (assist by T. Sefolosha),,15,13
33,1,6:15.0,,P. George misses 2-pt jump shot from 3 ft,15,13
34,1,6:14.0,Defensive rebound by D. Howard,,15,13
35,1,6:06.0,Turnover by D. Schröder (bad pass; steal by M. Turner),,15,13
36,1,5:39.0,,T. Young makes 3-pt jump shot from 25 ft (assist by P. George),15,16
37,1,5:21.0,D. Howard makes 2-pt layup from 3 ft,,17,16
38,1,5:11.0,,J. Teague misses 3-pt jump shot from 26 ft,17,16
39,1,5:09.0,Defensive rebound by K. Bazemore,,17,16
40,1,5:06.0,Turnover by T. Sefolosha (traveling),,17,16
41,1,5:06.0,,Indiana full timeout,17,16
42,1,5:06.0,T. Hardaway enters the game for K. Bazemore,,17,16
43,1,4:54.0,,M. Turner misses 2-pt layup from 2 ft,17,16
44,1,4:54.0,Defensive rebound by D. Howard,,17,16
45,1,4:44.0,M. Muscala makes 3-pt jump shot from 26 ft (assist by D. Schröder),,20,16
46,1,4:22.0,,A. Jefferson enters the game for M. Turner,20,16
47,1,4:22.0,,R. Stuckey enters the game for M. Ellis,20,16
48,1,4:22.0,M. Delaney enters the game for D. Schröder,,20,16
49,1,4:19.0,,P. George makes 2-pt jump shot from 14 ft (assist by R. Stuckey),20,18
50,1,4:01.0,M. Delaney misses 3-pt jump shot from 23 ft (block by J. Teague),,20,18
51,1,4:00.0,Offensive rebound by D. Howard,,20,18
52,1,3:57.0,T. Sefolosha misses 2-pt jump shot from 22 ft,,20,18
53,1,3:57.0,Offensive rebound by D. Howard,,20,18
54,1,3:57.0,,Loose ball foul by A. Jefferson (drawn by D. Howard),20,18
55,1,3:50.0,M. Delaney makes 2-pt jump shot from 21 ft,,22,18
56,1,3:36.0,,A. Jefferson misses 2-pt hook shot from 7 ft,22,18
57,1,3:36.0,Defensive rebound by D. Howard,,22,18
58,1,3:17.0,M. Muscala makes 2-pt layup from 2 ft (assist by T. Hardaway),,24,18
59,1,3:02.0,,T. Young makes 2-pt jump shot from 9 ft (assist by J. Teague),24,20
60,1,2:39.0,D. Howard makes 2-pt dunk from 3 ft (assist by M. Delaney),,26,20
61,1,2:21.0,,J. Teague misses 3-pt jump shot from 25 ft,26,20
62,1,2:20.0,Defensive rebound by T. Sefolosha,,26,20
63,1,2:13.0,Atlanta full timeout,,26,20
64,1,2:13.0,,A. Brooks enters the game for P. George,26,20
65,1,2:13.0,,G. Robinson enters the game for J. Teague,26,20
66,1,2:13.0,T. Prince enters the game for T. Sefolosha,,26,20
67,1,2:13.0,P. Millsap enters the game for D. Howard,,26,20
68,1,1:59.0,P. Millsap misses 3-pt jump shot from 26 ft,,26,20
69,1,1:59.0,Offensive rebound by T. Prince,,26,20
70,1,1:50.0,Turnover by P. Millsap (offensive foul),,26,20
71,1,1:50.0,,Offensive charge foul by P. Millsap (drawn by A. Jefferson),26,20
72,1,1:35.0,,T. Young misses 2-pt hook shot from 8 ft,26,20
73,1,1:34.0,Defensive rebound by P. Millsap,,26,20
74,1,1:13.0,Shooting foul by G. Robinson (drawn by M. Muscala),,26,20
75,1,1:13.0,M. Muscala makes free throw 1 of 2,,27,20
76,1,1:13.0,M. Muscala makes free throw 2 of 2,,28,20
77,1,0:54.0,,A. Jefferson makes 2-pt layup from 1 ft,28,22
78,1,0:45.0,Shooting foul by A. Jefferson (drawn by P. Millsap),,28,22
79,1,0:45.0,P. Millsap makes 2-pt jump shot from 13 ft,,30,22
80,1,0:45.0,P. Millsap makes free throw 1 of 1,,31,22
81,1,0:28.0,,A. Brooks makes 2-pt hook shot from 4 ft,31,24
82,1,0:09.0,P. Millsap misses 2-pt layup from 2 ft,,31,24
83,1,0:08.0,,Defensive rebound by R. Stuckey,31,24
84,1,0:01.0,,R. Stuckey misses 2-pt layup from 4 ft,31,24
85,1,0:00.0,Defensive rebound by M. Muscala,,31,24
86,2,11:48.0,,Turnover by M. Turner (lost ball),31,24
87,2,11:26.0,M. Delaney misses 2-pt jump shot from 16 ft,,31,24
88,2,11:25.0,Offensive rebound by P. Millsap,,31,24
89,2,11:22.0,P. Millsap makes 2-pt jump shot from 5 ft,,33,24
90,2,11:02.0,,A. Brooks makes 2-pt layup from 3 ft,33,26
91,2,10:45.0,T. Prince makes 2-pt jump shot from 15 ft (assist by M. Muscala),,35,26
92,2,10:33.0,,Personal foul by M. Delaney (drawn by A. Brooks),35,26
93,2,10:23.0,,R. Stuckey misses 2-pt jump shot from 20 ft,35,26
94,2,10:22.0,Defensive rebound by Team,,35,26
95,2,9:57.0,M. Muscala misses 2-pt jump shot from 12 ft,,35,26
96,2,9:57.0,Offensive rebound by Team,,35,26
97,2,9:57.0,Turnover by Team (shot clock),,35,26
98,2,9:57.0,D. Howard enters the game for M. Muscala,,35,26
99,2,9:41.0,,A. Brooks misses 2-pt layup from 4 ft (block by P. Millsap),35,26
100,2,9:41.0,,Offensive rebound by Team,35,26
101,2,9:30.0,,G. Robinson misses 3-pt jump shot from 23 ft,35,26
102,2,9:30.0,Defensive rebound by T. Prince,,35,26
103,2,9:25.0,T. Hardaway misses 2-pt layup from 4 ft (block by M. Turner),,35,26
104,2,9:25.0,,Defensive rebound by Team,35,26
105,2,9:16.0,Offensive charge foul by R. Stuckey (drawn by T. Prince),,35,26
