,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MEMPHIS_ACTION,MINNESOTA_SCORE,MEMPHIS_SCORE
0,1,11:39.0,,Turnover by J. Green (traveling),0,0
1,1,11:24.0,G. Dieng misses 2-pt jump shot from 18 ft,,0,0
2,1,11:23.0,,Defensive rebound by J. Ennis,0,0
3,1,11:14.0,,M. Gasol misses 2-pt jump shot from 20 ft,0,0
4,1,11:12.0,,Offensive rebound by J. Ennis,0,0
5,1,11:12.0,,J. Ennis misses 2-pt layup from 1 ft,0,0
6,1,11:11.0,Defensive rebound by A. Wiggins,,0,0
7,1,11:04.0,Turnover by A. Wiggins (lost ball),,0,0
8,1,10:52.0,,T. Allen makes 2-pt jump shot from 21 ft (assist by M. Conley),0,2
9,1,10:31.0,K. Towns makes 3-pt jump shot from 23 ft (assist by R. Rubio),,3,2
10,1,10:09.0,,M. Conley misses 3-pt jump shot from 26 ft,3,2
11,1,10:09.0,Defensive rebound by G. Dieng,,3,2
12,1,9:54.0,A. Wiggins misses 3-pt jump shot from 26 ft (block by T. Allen),,3,2
13,1,9:53.0,,Defensive rebound by J. Green,3,2
14,1,9:38.0,,Def 3 sec tech foul by G. Dieng,3,2
15,1,9:38.0,,M. Conley makes technical free throw,3,3
16,1,9:33.0,,M. Conley misses 2-pt jump shot from 12 ft,3,3
17,1,9:31.0,,Offensive rebound by J. Green,3,3
18,1,9:31.0,,J. Green makes 2-pt layup from 1 ft,3,5
19,1,9:16.0,Z. LaVine misses 2-pt jump shot from 19 ft,,3,5
20,1,9:16.0,Offensive rebound by G. Dieng,,3,5
21,1,9:13.0,G. Dieng makes 2-pt layup from 1 ft,,5,5
22,1,8:56.0,,J. Green misses 2-pt jump shot from 7 ft (block by K. Towns),5,5
23,1,8:55.0,Defensive rebound by K. Towns,,5,5
24,1,8:52.0,A. Wiggins misses 2-pt layup at rim (block by M. Conley),,5,5
25,1,8:52.0,Offensive rebound by Team,,5,5
26,1,8:37.0,Shooting foul by J. Green (drawn by K. Towns),,5,5
27,1,8:37.0,K. Towns makes free throw 1 of 2,,6,5
28,1,8:37.0,K. Towns misses free throw 2 of 2,,6,5
29,1,8:34.0,,Defensive rebound by J. Ennis,6,5
30,1,8:18.0,,T. Allen makes 2-pt jump shot from 6 ft,6,7
31,1,7:55.0,K. Towns makes 3-pt jump shot from 24 ft (assist by G. Dieng),,9,7
32,1,7:28.0,,T. Allen misses 2-pt jump shot from 22 ft,9,7
33,1,7:28.0,Defensive rebound by K. Towns,,9,7
34,1,7:17.0,Turnover by G. Dieng (lost ball; steal by J. Ennis),,9,7
35,1,7:14.0,,Shooting foul by Z. LaVine (drawn by M. Conley),9,7
36,1,7:14.0,,M. Conley makes free throw 1 of 2,9,8
37,1,7:14.0,,M. Conley makes free throw 2 of 2,9,9
38,1,7:00.0,Turnover by K. Towns (lost ball),,9,9
39,1,6:37.0,,Turnover by T. Allen (bad pass; steal by Z. LaVine),9,9
40,1,6:35.0,Turnover by R. Rubio (traveling),,9,9
41,1,6:26.0,,J. Ennis makes 2-pt dunk at rim (assist by M. Gasol),9,11
42,1,6:19.0,Minnesota full timeout,,9,11
43,1,6:19.0,,V. Carter enters the game for T. Allen,9,11
44,1,6:04.0,Personal foul by V. Carter (drawn by R. Rubio),,9,11
45,1,5:48.0,G. Dieng misses 2-pt layup from 2 ft (block by M. Gasol),,9,11
46,1,5:48.0,,Defensive rebound by M. Conley,9,11
47,1,5:29.0,,J. Green misses 3-pt jump shot from 26 ft,9,11
48,1,5:27.0,,Offensive rebound by J. Ennis,9,11
49,1,5:27.0,,J. Ennis misses 2-pt layup from 1 ft,9,11
50,1,5:25.0,Defensive rebound by G. Dieng,,9,11
51,1,5:18.0,Z. LaVine misses 3-pt jump shot from 25 ft,,9,11
52,1,5:17.0,Offensive rebound by R. Rubio,,9,11
53,1,5:11.0,Z. LaVine makes 2-pt layup from 1 ft (assist by R. Rubio),,11,11
54,1,4:49.0,Violation by K. Towns (kicked ball),,11,11
55,1,4:49.0,S. Muhammad enters the game for Z. LaVine,,11,11
56,1,4:49.0,K. Dunn enters the game for R. Rubio,,11,11
57,1,4:49.0,,A. Harrison enters the game for M. Conley,11,11
58,1,4:39.0,,V. Carter misses 3-pt jump shot from 24 ft,11,11
59,1,4:39.0,Defensive rebound by K. Towns,,11,11
60,1,4:26.0,A. Wiggins makes 2-pt jump shot from 19 ft,,13,11
61,1,4:10.0,,M. Gasol misses 2-pt jump shot from 5 ft,13,11
62,1,4:09.0,Defensive rebound by A. Wiggins,,13,11
63,1,4:00.0,Shooting foul by A. Harrison (drawn by G. Dieng),,13,11
64,1,4:00.0,G. Dieng makes free throw 1 of 2,,14,11
65,1,4:00.0,G. Dieng misses free throw 2 of 2,,14,11
66,1,3:59.0,,Defensive rebound by V. Carter,14,11
67,1,3:41.0,,J. Ennis misses 3-pt jump shot from 25 ft,14,11
68,1,3:41.0,Defensive rebound by Team,,14,11
69,1,3:23.0,A. Wiggins misses 2-pt jump shot from 21 ft,,14,11
70,1,3:21.0,,Defensive rebound by Team,14,11
71,1,3:21.0,,Z. Randolph enters the game for M. Gasol,14,11
72,1,3:09.0,,Personal foul by K. Dunn (drawn by A. Harrison),14,11
73,1,3:09.0,N. Bjelica enters the game for K. Towns,,14,11
74,1,3:05.0,,Offensive foul by J. Green (drawn by K. Dunn),14,11
75,1,3:05.0,,Turnover by J. Green (offensive foul),14,11
76,1,3:05.0,,D. Davis enters the game for J. Green,14,11
77,1,2:54.0,A. Wiggins misses 2-pt layup from 2 ft,,14,11
78,1,2:52.0,,Defensive rebound by A. Harrison,14,11
79,1,2:38.0,,A. Harrison makes 2-pt layup from 2 ft,14,13
80,1,2:38.0,,Shooting foul by K. Dunn (drawn by A. Harrison),14,13
81,1,2:38.0,,Memphis full timeout,14,13
82,1,2:38.0,,A. Harrison makes free throw 1 of 1,14,14
83,1,2:22.0,Turnover by A. Wiggins (traveling),,14,14
84,1,2:17.0,Violation by K. Dunn (kicked ball),,14,14
85,1,2:17.0,,M. Conley enters the game for J. Ennis,14,14
86,1,2:10.0,,Personal foul by G. Dieng (drawn by Z. Randolph),14,14
87,1,2:06.0,,Personal foul by S. Muhammad (drawn by A. Harrison),14,14
88,1,2:06.0,,A. Harrison makes free throw 1 of 2,14,15
89,1,2:06.0,R. Rubio enters the game for S. Muhammad,,14,15
90,1,2:06.0,,A. Harrison makes free throw 2 of 2,14,16
91,1,1:53.0,Shooting foul by D. Davis (drawn by A. Wiggins),,14,16
92,1,1:53.0,A. Wiggins makes free throw 1 of 2,,15,16
93,1,1:53.0,A. Wiggins makes free throw 2 of 2,,16,16
94,1,1:35.0,,Z. Randolph makes 2-pt jump shot from 19 ft (assist by M. Conley),16,18
95,1,1:10.0,R. Rubio misses 3-pt jump shot from 24 ft,,16,18
96,1,1:10.0,,Defensive rebound by D. Davis,16,18
97,1,0:53.0,,Z. Randolph misses 2-pt jump shot from 7 ft,16,18
98,1,0:52.0,Defensive rebound by G. Dieng,,16,18
99,1,0:45.0,A. Wiggins misses 3-pt jump shot from 25 ft,,16,18
100,1,0:44.0,,Defensive rebound by D. Davis,16,18
101,1,0:23.0,,A. Harrison misses 3-pt jump shot from 26 ft,16,18
102,1,0:22.0,Defensive rebound by A. Wiggins,,16,18
103,1,0:01.0,A. Wiggins misses 2-pt layup from 1 ft,,16,18
104,1,0:00.0,,Defensive rebound by Z. Randolph,16,18
