,QUARTER,TIME_REMAINING,PORTLAND_ACTION,GOLDEN STATE_ACTION,PORTLAND_SCORE,GOLDEN STATE_SCORE
0,1,11:42.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by S. Curry),0,3
1,1,11:17.0,M. Plumlee misses 2-pt jump shot from 9 ft,,0,3
2,1,11:17.0,Offensive rebound by N. Vonleh,,0,3
3,1,11:17.0,Shooting foul by S. Curry (drawn by N. Vonleh),,0,3
4,1,11:17.0,N. Vonleh misses free throw 1 of 2,,0,3
5,1,11:17.0,Offensive rebound by Team,,0,3
6,1,11:17.0,N. Vonleh misses free throw 2 of 2,,0,3
7,1,11:16.0,,Defensive rebound by D. Green,0,3
8,1,11:06.0,,Def 3 sec tech foul by M. Plumlee,0,3
9,1,11:06.0,,S. Curry makes technical free throw,0,4
10,1,10:54.0,,K. Durant makes 2-pt layup from 1 ft,0,6
11,1,10:38.0,N. Vonleh misses 2-pt jump shot from 20 ft,,0,6
12,1,10:37.0,Offensive rebound by C. McCollum,,0,6
13,1,10:31.0,C. McCollum misses 2-pt jump shot from 17 ft (block by K. Thompson),,0,6
14,1,10:30.0,Offensive rebound by C. McCollum,,0,6
15,1,10:29.0,C. McCollum makes 2-pt jump shot from 17 ft,,2,6
16,1,10:17.0,,K. Thompson misses 2-pt jump shot from 19 ft (block by C. McCollum),2,6
17,1,10:16.0,Defensive rebound by M. Plumlee,,2,6
18,1,10:02.0,M. Plumlee makes 2-pt jump shot from 16 ft,,4,6
19,1,10:02.0,Shooting foul by Z. Pachulia (drawn by M. Plumlee),,4,6
20,1,10:02.0,M. Plumlee makes free throw 1 of 1,,5,6
21,1,9:49.0,,Turnover by K. Durant (bad pass; steal by M. Harkless),5,6
22,1,9:32.0,C. McCollum misses 3-pt jump shot from 26 ft,,5,6
23,1,9:32.0,,Defensive rebound by Team,5,6
24,1,9:32.0,Loose ball foul by M. Plumlee (drawn by Z. Pachulia),,5,6
25,1,9:13.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by D. Green),5,9
26,1,8:52.0,M. Harkless makes 2-pt layup from 1 ft,,7,9
27,1,8:40.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),7,12
28,1,8:24.0,M. Harkless makes 2-pt jump shot from 15 ft (assist by M. Plumlee),,9,12
29,1,8:17.0,,K. Thompson makes 2-pt layup from 1 ft,9,14
30,1,8:17.0,,Shooting foul by C. McCollum (drawn by K. Thompson),9,14
31,1,8:17.0,,K. Thompson makes free throw 1 of 1,9,15
32,1,7:59.0,M. Harkless makes 3-pt jump shot from 25 ft (assist by M. Plumlee),,12,15
33,1,7:37.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),12,18
34,1,7:23.0,D. Lillard misses 2-pt jump shot from 16 ft,,12,18
35,1,7:23.0,,Defensive rebound by K. Durant,12,18
36,1,7:06.0,,K. Durant makes 2-pt dunk at rim,12,20
37,1,7:05.0,Portland full timeout,,12,20
38,1,6:46.0,M. Harkless misses 3-pt jump shot from 27 ft,,12,20
39,1,6:46.0,,Defensive rebound by Z. Pachulia,12,20
40,1,6:27.0,,D. Green misses 3-pt jump shot from 26 ft,12,20
41,1,6:26.0,,Offensive rebound by Z. Pachulia,12,20
42,1,6:14.0,,Z. Pachulia misses 2-pt layup from 2 ft,12,20
43,1,6:13.0,,Offensive rebound by Z. Pachulia,12,20
44,1,6:13.0,,Z. Pachulia misses 2-pt layup from 1 ft,12,20
45,1,6:12.0,Defensive rebound by M. Harkless,,12,20
46,1,5:58.0,M. Harkless misses 2-pt jump shot from 4 ft,,12,20
47,1,5:57.0,,Defensive rebound by D. Green,12,20
48,1,5:39.0,,K. Thompson makes 2-pt layup from 1 ft (assist by K. Durant),12,22
49,1,5:19.0,N. Vonleh misses 2-pt jump shot from 21 ft,,12,22
50,1,5:18.0,,Defensive rebound by D. Green,12,22
51,1,5:09.0,,Shooting foul by N. Vonleh (drawn by K. Durant),12,22
52,1,5:09.0,,K. Durant makes free throw 1 of 2,12,23
53,1,5:09.0,,J. McGee enters the game for Z. Pachulia,12,23
