,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PHOENIX_ACTION,MILWAUKEE_SCORE,PHOENIX_SCORE
0,1,11:42.0,T. Snell misses 2-pt layup from 2 ft,,0,0
1,1,11:40.0,,Defensive rebound by T. Chandler,0,0
2,1,11:25.0,,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by D. Booker),0,3
3,1,11:08.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,2,3
4,1,10:56.0,,M. Chriss makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),2,6
5,1,10:33.0,J. Henson misses 2-pt jump shot from 20 ft,,2,6
6,1,10:32.0,,Defensive rebound by T. Chandler,2,6
7,1,10:21.0,,M. Chriss misses 3-pt jump shot from 25 ft,2,6
8,1,10:20.0,Defensive rebound by G. Antetokounmpo,,2,6
9,1,10:13.0,J. Henson makes 2-pt layup from 1 ft,,4,6
10,1,9:55.0,,D. Booker misses 3-pt jump shot from 24 ft,4,6
11,1,9:54.0,Defensive rebound by Team,,4,6
12,1,9:40.0,J. Parker misses 2-pt layup from 1 ft (block by M. Chriss),,4,6
13,1,9:40.0,Offensive rebound by J. Parker,,4,6
14,1,9:40.0,J. Parker makes 2-pt layup from 1 ft,,6,6
15,1,9:40.0,Shooting foul by M. Chriss (drawn by J. Parker),,6,6
16,1,9:40.0,J. Parker makes free throw 1 of 1,,7,6
17,1,9:24.0,,T. Warren misses 2-pt jump shot from 9 ft,7,6
18,1,9:23.0,Defensive rebound by J. Henson,,7,6
19,1,9:10.0,J. Henson makes 2-pt hook shot from 7 ft (assist by G. Antetokounmpo),,9,6
20,1,8:59.0,,Shooting foul by J. Henson (drawn by T. Chandler),9,6
21,1,8:59.0,,T. Chandler makes free throw 1 of 2,9,7
22,1,8:59.0,,T. Chandler misses free throw 2 of 2,9,7
23,1,8:58.0,Defensive rebound by J. Henson,,9,7
24,1,8:47.0,G. Antetokounmpo makes 2-pt dunk at rim,,11,7
