,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,CHICAGO_ACTION,LA CLIPPERS_SCORE,CHICAGO_SCORE
0,1,11:44.0,J. Redick makes 2-pt jump shot from 19 ft (assist by B. Griffin),,2,0
1,1,11:23.0,,J. Grant makes 2-pt jump shot from 6 ft,2,2
2,1,11:09.0,C. Paul makes 2-pt jump shot from 17 ft,,4,2
3,1,10:50.0,,J. Grant misses 2-pt jump shot from 4 ft (block by C. Paul),4,2
4,1,10:50.0,,Offensive rebound by Team,4,2
5,1,10:47.0,,R. Lopez makes 2-pt jump shot from 20 ft (assist by J. Grant),4,4
6,1,10:31.0,J. Redick makes 2-pt jump shot from 20 ft (assist by D. Jordan),,6,4
7,1,10:19.0,,Turnover by D. Wade (bad pass),6,4
8,1,10:08.0,J. Redick makes 2-pt jump shot from 23 ft (assist by C. Paul),,8,4
9,1,9:47.0,,R. Lopez makes 2-pt jump shot from 20 ft (assist by J. Butler),8,6
10,1,9:29.0,Personal foul by R. Lopez (drawn by L. Mbah a Moute),,8,6
11,1,9:21.0,C. Paul makes 2-pt jump shot from 22 ft,,10,6
12,1,8:55.0,,J. Butler makes 2-pt jump shot from 17 ft,10,8
13,1,8:35.0,B. Griffin misses 2-pt jump shot from 20 ft,,10,8
14,1,8:34.0,,Defensive rebound by D. Wade,10,8
15,1,8:24.0,,B. Portis misses 3-pt jump shot from 23 ft,10,8
16,1,8:23.0,,Offensive rebound by J. Butler,10,8
17,1,8:17.0,,Shooting foul by J. Redick (drawn by D. Wade),10,8
18,1,8:17.0,,D. Wade makes free throw 1 of 2,10,9
19,1,8:17.0,,D. Wade makes free throw 2 of 2,10,10
20,1,8:05.0,J. Redick makes 2-pt jump shot from 21 ft (assist by C. Paul),,12,10
21,1,7:45.0,,B. Portis makes 2-pt jump shot from 16 ft (assist by J. Butler),12,12
22,1,7:24.0,Turnover by L. Mbah a Moute (lost ball),,12,12
23,1,7:13.0,,Shooting foul by B. Griffin (drawn by J. Butler),12,12
24,1,7:13.0,,J. Butler makes free throw 1 of 2,12,13
25,1,7:13.0,,J. Butler makes free throw 2 of 2,12,14
26,1,6:59.0,C. Paul makes 2-pt jump shot from 15 ft (assist by B. Griffin),,14,14
27,1,6:49.0,,J. Grant misses 2-pt jump shot from 16 ft,14,14
28,1,6:48.0,,Offensive rebound by R. Lopez,14,14
29,1,6:48.0,,R. Lopez makes 2-pt layup from 2 ft,14,16
30,1,6:47.0,Personal foul by J. Grant (drawn by C. Paul),,14,16
31,1,6:36.0,B. Griffin misses 2-pt jump shot from 20 ft,,14,16
32,1,6:35.0,,Defensive rebound by J. Butler,14,16
33,1,6:26.0,,B. Portis misses 2-pt jump shot from 15 ft,14,16
34,1,6:25.0,Defensive rebound by D. Jordan,,14,16
35,1,6:22.0,Personal foul by B. Portis (drawn by B. Griffin),,14,16
36,1,6:14.0,Shooting foul by J. Grant (drawn by C. Paul),,14,16
