,QUARTER,TIME_REMAINING,BOSTON_ACTION,MIAMI_ACTION,BOSTON_SCORE,MIAMI_SCORE
0,1,11:38.0,A. Bradley misses 2-pt layup from 2 ft,,0,0
1,1,11:37.0,,Defensive rebound by D. Williams,0,0
2,1,11:22.0,,D. Williams misses 2-pt jump shot from 10 ft,0,0
3,1,11:21.0,,Offensive rebound by R. McGruder,0,0
4,1,11:04.0,,Shooting foul by A. Bradley (drawn by D. Williams),0,0
5,1,11:04.0,,D. Williams misses free throw 1 of 2,0,0
6,1,11:04.0,,Offensive rebound by Team,0,0
7,1,11:04.0,,D. Williams makes free throw 2 of 2,0,1
8,1,10:54.0,T. Zeller misses 2-pt jump shot from 20 ft,,0,1
9,1,10:53.0,,Defensive rebound by L. Babbitt,0,1
10,1,10:41.0,,G. Dragić makes 2-pt layup from 2 ft,0,3
11,1,10:30.0,Turnover by I. Thomas (lost ball; steal by G. Dragić),,0,3
12,1,10:25.0,,R. McGruder makes 2-pt dunk at rim (assist by G. Dragić),0,5
13,1,10:07.0,I. Thomas makes 2-pt jump shot from 19 ft,,2,5
14,1,9:45.0,,L. Babbitt misses 3-pt jump shot from 25 ft,2,5
15,1,9:44.0,Defensive rebound by A. Bradley,,2,5
16,1,9:36.0,A. Bradley makes 2-pt jump shot from 20 ft,,4,5
17,1,9:20.0,,R. McGruder misses 3-pt jump shot from 25 ft,4,5
18,1,9:19.0,Defensive rebound by T. Zeller,,4,5
19,1,9:13.0,J. Crowder misses 3-pt jump shot from 26 ft,,4,5
20,1,9:12.0,,Defensive rebound by H. Whiteside,4,5
21,1,8:52.0,,G. Dragić makes 2-pt layup from 3 ft,4,7
22,1,8:39.0,I. Thomas makes 2-pt layup from 2 ft,,6,7
23,1,8:20.0,,Turnover by H. Whiteside (bad pass; steal by J. Crowder),6,7
24,1,8:14.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by J. Crowder),,9,7
25,1,7:58.0,,R. McGruder misses 3-pt jump shot from 24 ft,9,7
26,1,7:57.0,Defensive rebound by A. Johnson,,9,7
27,1,7:44.0,T. Zeller misses 2-pt jump shot from 14 ft,,9,7
28,1,7:43.0,,Defensive rebound by L. Babbitt,9,7
29,1,7:35.0,,Shooting foul by A. Johnson (drawn by D. Williams),9,7
30,1,7:35.0,,D. Williams misses free throw 1 of 2,9,7
31,1,7:35.0,,Offensive rebound by Team,9,7
32,1,7:35.0,,D. Williams makes free throw 2 of 2,9,8
33,1,7:29.0,Personal foul by G. Dragić (drawn by I. Thomas),,9,8
