,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SAN ANTONIO_ACTION,LA CLIPPERS_SCORE,SAN ANTONIO_SCORE
0,1,11:42.0,,K. Leonard misses 2-pt jump shot from 14 ft,0,0
1,1,11:41.0,,Offensive rebound by D. Dedmon,0,0
2,1,11:41.0,,D. Dedmon misses 2-pt layup from 2 ft,0,0
3,1,11:38.0,Defensive rebound by J. Redick,,0,0
4,1,11:26.0,J. Redick makes 3-pt jump shot from 25 ft (assist by D. Jordan),,3,0
5,1,11:13.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by T. Parker),3,2
6,1,10:56.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,5,2
7,1,10:40.0,,L. Aldridge misses 2-pt jump shot from 18 ft,5,2
8,1,10:39.0,Defensive rebound by C. Paul,,5,2
9,1,10:27.0,B. Griffin misses 3-pt jump shot from 25 ft,,5,2
10,1,10:26.0,,Defensive rebound by K. Leonard,5,2
11,1,10:18.0,,D. Dedmon makes 2-pt dunk at rim (assist by K. Leonard),5,4
12,1,9:51.0,D. Jordan misses 2-pt dunk at rim (block by D. Dedmon),,5,4
13,1,9:50.0,Offensive rebound by D. Jordan,,5,4
14,1,9:49.0,Shooting foul by D. Dedmon (drawn by D. Jordan),,5,4
15,1,9:49.0,D. Jordan misses free throw 1 of 2,,5,4
16,1,9:49.0,Offensive rebound by Team,,5,4
17,1,9:49.0,D. Jordan misses free throw 2 of 2,,5,4
18,1,9:48.0,,Defensive rebound by K. Leonard,5,4
19,1,9:33.0,,J. Simmons makes 2-pt jump shot from 13 ft (assist by D. Dedmon),5,6
20,1,9:17.0,C. Paul misses 2-pt jump shot from 19 ft,,5,6
21,1,9:16.0,,Defensive rebound by D. Dedmon,5,6
22,1,8:55.0,,D. Dedmon misses 2-pt jump shot from 3 ft (block by J. Redick),5,6
23,1,8:53.0,Defensive rebound by B. Griffin,,5,6
24,1,8:41.0,D. Jordan makes 2-pt dunk at rim (assist by J. Redick),,7,6
25,1,8:19.0,,T. Parker misses 3-pt jump shot from 24 ft,7,6
26,1,8:18.0,Defensive rebound by B. Griffin,,7,6
27,1,8:04.0,C. Paul makes 3-pt jump shot from 25 ft (assist by J. Redick),,10,6
28,1,8:02.0,,San Antonio full timeout,10,6
29,1,7:45.0,,L. Aldridge misses 2-pt jump shot from 14 ft,10,6
30,1,7:44.0,,Offensive rebound by D. Dedmon,10,6
31,1,7:38.0,,K. Leonard misses 2-pt layup from 1 ft,10,6
32,1,7:38.0,,Offensive rebound by D. Dedmon,10,6
33,1,7:38.0,,D. Dedmon makes 2-pt layup from 2 ft,10,8
34,1,7:38.0,,Shooting foul by D. Jordan (drawn by D. Dedmon),10,8
35,1,7:38.0,,D. Dedmon misses free throw 1 of 1,10,8
36,1,7:36.0,,Offensive rebound by D. Dedmon,10,8
37,1,7:35.0,,Turnover by D. Dedmon (bad pass; steal by L. Mbah a Moute),10,8
38,1,7:30.0,Shooting foul by J. Simmons (drawn by L. Mbah a Moute),,10,8
39,1,7:30.0,L. Mbah a Moute makes free throw 1 of 2,,11,8
40,1,7:30.0,L. Mbah a Moute misses free throw 2 of 2,,11,8
41,1,7:27.0,Offensive rebound by D. Jordan,,11,8
42,1,7:25.0,D. Jordan misses 2-pt layup from 1 ft (block by D. Dedmon),,11,8
43,1,7:24.0,,Defensive rebound by K. Leonard,11,8
44,1,7:12.0,,D. Dedmon misses 2-pt jump shot from 9 ft,11,8
45,1,7:10.0,Defensive rebound by D. Jordan,,11,8
46,1,6:58.0,B. Griffin misses 2-pt hook shot from 6 ft,,11,8
47,1,6:57.0,,Defensive rebound by D. Dedmon,11,8
48,1,6:49.0,,T. Parker makes 2-pt layup from 2 ft,11,10
49,1,6:21.0,J. Redick makes 2-pt layup from 2 ft (assist by D. Jordan),,13,10
50,1,6:01.0,,J. Simmons misses 3-pt jump shot from 22 ft,13,10
51,1,6:01.0,Defensive rebound by C. Paul,,13,10
52,1,5:54.0,B. Griffin misses 2-pt layup from 3 ft,,13,10
53,1,5:54.0,Offensive rebound by Team,,13,10
54,1,5:54.0,,K. Anderson enters the game for J. Simmons,13,10
55,1,5:54.0,,P. Gasol enters the game for D. Dedmon,13,10
56,1,5:54.0,,M. Ginóbili enters the game for T. Parker,13,10
57,1,5:45.0,Turnover by B. Griffin (lost ball),,13,10
58,1,5:35.0,,Personal foul by B. Griffin (drawn by P. Gasol),13,10
59,1,5:20.0,,K. Leonard makes 3-pt jump shot from 23 ft (assist by K. Anderson),13,13
60,1,5:08.0,C. Paul makes 2-pt jump shot from 7 ft,,15,13
61,1,4:47.0,,L. Aldridge misses 2-pt jump shot from 19 ft,15,13
