,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MEMPHIS_ACTION,PHOENIX_SCORE,MEMPHIS_SCORE
0,1,11:38.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by C. Parsons),0,3
1,1,11:21.0,E. Bledsoe misses 2-pt jump shot from 21 ft,,0,3
2,1,11:21.0,,Defensive rebound by M. Conley,0,3
3,1,11:15.0,,Turnover by M. Gasol (bad pass),0,3
4,1,11:01.0,T. Warren makes 2-pt jump shot from 7 ft (assist by E. Bledsoe),,2,3
5,1,10:40.0,,T. Allen misses 3-pt jump shot from 23 ft,2,3
6,1,10:40.0,Defensive rebound by T. Warren,,2,3
7,1,10:26.0,D. Booker misses 3-pt jump shot from 26 ft,,2,3
8,1,10:23.0,,Defensive rebound by M. Conley,2,3
9,1,10:05.0,,M. Gasol misses 2-pt dunk at rim (block by M. Chriss),2,3
10,1,10:01.0,Defensive rebound by E. Bledsoe,,2,3
11,1,9:57.0,T. Warren makes 2-pt layup from 1 ft (assist by E. Bledsoe),,4,3
12,1,9:46.0,,M. Gasol makes 3-pt jump shot from 24 ft (assist by M. Conley),4,6
13,1,9:34.0,A. Len makes 2-pt dunk at rim,,6,6
14,1,9:14.0,,Personal foul by T. Warren,6,6
15,1,9:00.0,,M. Conley misses 3-pt jump shot from 26 ft,6,6
16,1,8:58.0,Defensive rebound by T. Warren,,6,6
17,1,8:51.0,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by A. Len),,9,6
18,1,8:30.0,,Turnover by T. Allen (traveling),9,6
19,1,8:17.0,T. Warren misses 2-pt jump shot from 11 ft,,9,6
20,1,8:16.0,,Defensive rebound by M. Gasol,9,6
21,1,7:53.0,,M. Conley misses 2-pt jump shot from 6 ft,9,6
22,1,7:51.0,,Offensive rebound by M. Conley,9,6
23,1,7:48.0,,M. Conley misses 2-pt jump shot from 4 ft,9,6
24,1,7:45.0,Defensive rebound by M. Chriss,,9,6
25,1,7:32.0,E. Bledsoe makes 2-pt jump shot from 21 ft (assist by T. Warren),,11,6
26,1,7:14.0,,Turnover by C. Parsons (bad pass; steal by A. Len),11,6
27,1,7:08.0,T. Warren misses 3-pt jump shot from 26 ft,,11,6
28,1,7:05.0,Offensive rebound by A. Len,,11,6
29,1,7:04.0,A. Len makes 2-pt hook shot from 4 ft,,13,6
30,1,7:04.0,,Memphis full timeout,13,6
31,1,6:45.0,,M. Gasol makes 2-pt jump shot from 15 ft,13,8
32,1,6:34.0,D. Booker misses 3-pt jump shot from 25 ft,,13,8
33,1,6:34.0,,Defensive rebound by J. Green,13,8
34,1,6:18.0,,M. Gasol misses 2-pt jump shot from 12 ft,13,8
35,1,6:16.0,Defensive rebound by E. Bledsoe,,13,8
36,1,6:11.0,T. Warren makes 2-pt layup from 1 ft (assist by D. Booker),,15,8
37,1,5:54.0,,Shooting foul by A. Len (drawn by C. Parsons),15,8
38,1,5:54.0,,C. Parsons misses free throw 1 of 2,15,8
39,1,5:54.0,,Offensive rebound by Team,15,8
40,1,5:54.0,,V. Carter enters the game for T. Allen,15,8
41,1,5:54.0,,Z. Randolph enters the game for J. Green,15,8
42,1,5:54.0,,T. Douglas enters the game for M. Conley,15,8
43,1,5:54.0,,C. Parsons makes free throw 2 of 2,15,9
44,1,5:40.0,A. Len misses 2-pt jump shot from 5 ft (block by M. Gasol),,15,9
45,1,5:39.0,,Defensive rebound by T. Douglas,15,9
46,1,5:30.0,,Turnover by T. Douglas (lost ball; steal by E. Bledsoe),15,9
47,1,5:29.0,Personal take foul by T. Douglas (drawn by E. Bledsoe),,15,9
48,1,5:21.0,D. Booker makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),,18,9
49,1,5:00.0,,V. Carter misses 2-pt layup from 2 ft,18,9
50,1,4:58.0,,Offensive rebound by M. Gasol,18,9
51,1,4:53.0,,C. Parsons misses 3-pt jump shot from 25 ft,18,9
52,1,4:52.0,Defensive rebound by E. Bledsoe,,18,9
53,1,4:45.0,E. Bledsoe misses 2-pt jump shot from 21 ft,,18,9
54,1,4:42.0,,Defensive rebound by Z. Randolph,18,9
55,1,4:25.0,,Z. Randolph makes 2-pt jump shot from 6 ft,18,11
56,1,4:04.0,D. Booker misses 2-pt jump shot from 13 ft,,18,11
57,1,4:02.0,,Defensive rebound by M. Gasol,18,11
58,1,3:54.0,,Personal foul by D. Booker (drawn by V. Carter),18,11
59,1,3:54.0,,Technical foul by V. Carter,18,11
60,1,3:54.0,Technical foul by A. Len,,18,11
61,1,3:54.0,,Technical foul by V. Carter,18,11
62,1,3:54.0,E. Bledsoe misses technical free throw,,18,11
63,1,3:54.0,,Offensive rebound by Team,18,11
64,1,3:54.0,,J. Ennis enters the game for V. Carter,18,11
65,1,3:45.0,,M. Gasol misses 2-pt jump shot from 20 ft,18,11
66,1,3:44.0,,Offensive rebound by M. Gasol,18,11
67,1,3:39.0,,M. Gasol makes 2-pt jump shot from 5 ft,18,13
68,1,3:14.0,E. Bledsoe misses 2-pt layup at rim,,18,13
69,1,3:12.0,,Defensive rebound by J. Ennis,18,13
70,1,3:08.0,,Personal foul by T. Warren,18,13
71,1,3:08.0,,M. Conley enters the game for C. Parsons,18,13
72,1,3:08.0,T. Ulis enters the game for E. Bledsoe,,18,13
73,1,3:08.0,A. Williams enters the game for A. Len,,18,13
74,1,2:59.0,,M. Conley makes 2-pt jump shot from 6 ft,18,15
75,1,2:36.0,T. Ulis misses 2-pt jump shot from 13 ft,,18,15
76,1,2:35.0,,Defensive rebound by T. Douglas,18,15
77,1,2:32.0,,Personal foul by M. Chriss (drawn by M. Gasol),18,15
78,1,2:32.0,Phoenix full timeout,,18,15
79,1,2:32.0,,M. Gasol misses free throw 1 of 2,18,15
80,1,2:32.0,,Offensive rebound by Team,18,15
81,1,2:32.0,L. Barbosa enters the game for T. Warren,,18,15
82,1,2:32.0,,M. Gasol makes free throw 2 of 2,18,16
83,1,2:14.0,A. Williams makes 2-pt layup from 2 ft,,20,16
84,1,1:54.0,,M. Conley makes 2-pt jump shot from 4 ft (assist by M. Gasol),20,18
85,1,1:54.0,,Shooting foul by M. Chriss (drawn by M. Conley),20,18
86,1,1:54.0,,B. Wright enters the game for M. Gasol,20,18
87,1,1:54.0,J. Dudley enters the game for M. Chriss,,20,18
88,1,1:54.0,,M. Conley makes free throw 1 of 1,20,19
89,1,1:38.0,A. Williams makes 2-pt layup from 1 ft (assist by T. Ulis),,22,19
90,1,1:20.0,,B. Wright makes 2-pt hook shot from 10 ft (assist by J. Ennis),22,21
91,1,1:11.0,T. Ulis makes 2-pt jump shot from 14 ft,,24,21
92,1,0:56.0,,J. Ennis misses 3-pt jump shot from 25 ft,24,21
93,1,0:55.0,Defensive rebound by L. Barbosa,,24,21
94,1,0:47.0,Turnover by L. Barbosa (bad pass; steal by J. Ennis),,24,21
95,1,0:45.0,,J. Ennis makes 2-pt layup from 1 ft (assist by T. Douglas),24,23
96,1,0:37.0,Shooting foul by Z. Randolph (drawn by D. Booker),,24,23
97,1,0:37.0,D. Booker makes 2-pt jump shot from 10 ft,,26,23
98,1,0:37.0,D. Booker makes free throw 1 of 1,,27,23
