,QUARTER,TIME_REMAINING,ATLANTA_ACTION,SACRAMENTO_ACTION,ATLANTA_SCORE,SACRAMENTO_SCORE
0,1,11:41.0,,D. Collison misses 3-pt jump shot from 24 ft,0,0
1,1,11:39.0,Defensive rebound by K. Bazemore,,0,0
2,1,11:24.0,P. Millsap makes 3-pt jump shot from 25 ft (assist by D. Schröder),,3,0
3,1,11:08.0,,Turnover by B. McLemore (lost ball),3,0
4,1,10:52.0,Turnover by K. Bazemore (bad pass; steal by D. Cousins),,3,0
5,1,10:47.0,,Turnover by D. Cousins (lost ball; steal by P. Millsap),3,0
6,1,10:34.0,Shooting foul by A. Afflalo (drawn by K. Bazemore),,3,0
7,1,10:34.0,K. Bazemore misses free throw 1 of 2,,3,0
8,1,10:34.0,Offensive rebound by Team,,3,0
9,1,10:34.0,K. Bazemore makes free throw 2 of 2,,4,0
10,1,10:20.0,,D. Cousins makes 2-pt jump shot from 20 ft (assist by B. McLemore),4,2
11,1,10:08.0,D. Schröder misses 3-pt jump shot from 26 ft,,4,2
12,1,10:07.0,,Defensive rebound by K. Koufos,4,2
13,1,9:51.0,,K. Koufos misses 2-pt hook shot from 10 ft,4,2
14,1,9:50.0,Defensive rebound by P. Millsap,,4,2
15,1,9:35.0,Personal foul by K. Koufos (drawn by D. Schröder),,4,2
16,1,9:32.0,D. Schröder misses 2-pt jump shot from 18 ft,,4,2
17,1,9:30.0,,Defensive rebound by B. McLemore,4,2
18,1,9:17.0,,A. Afflalo misses 2-pt jump shot from 12 ft,4,2
19,1,9:16.0,Defensive rebound by D. Howard,,4,2
20,1,9:00.0,Turnover by P. Millsap (bad pass; steal by K. Koufos),,4,2
21,1,8:50.0,,Turnover by D. Cousins (lost ball),4,2
22,1,8:40.0,Turnover by D. Schröder (bad pass; steal by B. McLemore),,4,2
23,1,8:28.0,,D. Cousins misses 3-pt jump shot from 24 ft,4,2
24,1,8:27.0,Defensive rebound by Team,,4,2
25,1,8:16.0,D. Howard makes 2-pt dunk at rim (assist by T. Hardaway),,6,2
26,1,7:56.0,,A. Afflalo misses 3-pt jump shot from 24 ft,6,2
27,1,7:55.0,Defensive rebound by D. Schröder,,6,2
28,1,7:47.0,K. Bazemore misses 2-pt layup from 4 ft (block by D. Cousins),,6,2
29,1,7:45.0,,Defensive rebound by B. McLemore,6,2
30,1,7:33.0,,K. Koufos misses 2-pt jump shot from 10 ft,6,2
31,1,7:32.0,Defensive rebound by P. Millsap,,6,2
32,1,7:20.0,P. Millsap makes 3-pt jump shot from 25 ft (assist by D. Schröder),,9,2
33,1,7:01.0,,Shooting foul by D. Schröder (drawn by D. Collison),9,2
34,1,7:01.0,,D. Collison makes free throw 1 of 2,9,3
35,1,7:01.0,,D. Collison makes free throw 2 of 2,9,4
36,1,6:48.0,Turnover by D. Schröder (traveling),,9,4
37,1,6:35.0,,D. Collison misses 2-pt jump shot from 9 ft (block by K. Bazemore),9,4
38,1,6:33.0,Defensive rebound by K. Bazemore,,9,4
39,1,6:28.0,T. Hardaway misses 3-pt jump shot from 22 ft,,9,4
40,1,6:27.0,,Defensive rebound by K. Koufos,9,4
41,1,6:19.0,,B. McLemore misses 2-pt jump shot from 11 ft,9,4
42,1,6:18.0,,Offensive rebound by B. McLemore,9,4
43,1,6:09.0,,Turnover by D. Cousins (lost ball; steal by D. Schröder),9,4
44,1,6:05.0,T. Hardaway makes 2-pt dunk at rim (assist by D. Schröder),,11,4
45,1,6:05.0,,Sacramento full timeout,11,4
46,1,5:46.0,,D. Collison makes 3-pt jump shot from 26 ft (assist by K. Koufos),11,7
47,1,5:34.0,Turnover by D. Howard (traveling),,11,7
48,1,5:16.0,D. Bembry enters the game for K. Bazemore,,11,7
49,1,5:11.0,,D. Cousins misses 3-pt jump shot from 25 ft,11,7
50,1,5:10.0,Defensive rebound by D. Bembry,,11,7
51,1,5:07.0,D. Howard makes 2-pt dunk at rim (assist by D. Bembry),,13,7
52,1,4:49.0,,B. McLemore makes 3-pt jump shot from 25 ft (assist by D. Cousins),13,10
53,1,4:31.0,T. Hardaway makes 2-pt layup from 2 ft,,15,10
54,1,4:17.0,,B. McLemore misses 2-pt jump shot from 18 ft,15,10
55,1,4:16.0,Defensive rebound by D. Howard,,15,10
56,1,4:04.0,P. Millsap makes 2-pt jump shot from 14 ft,,17,10
57,1,3:42.0,,Turnover by D. Cousins (lost ball; steal by D. Howard),17,10
58,1,3:36.0,,Violation by K. Koufos (def goaltending),17,10
59,1,3:36.0,D. Schröder makes 2-pt jump shot from 10 ft,,19,10
60,1,3:18.0,,A. Afflalo misses 2-pt jump shot from 15 ft,19,10
61,1,3:17.0,Defensive rebound by P. Millsap,,19,10
62,1,2:53.0,Turnover by D. Howard (bad pass; steal by K. Koufos),,19,10
63,1,2:47.0,,D. Cousins makes 2-pt dunk at rim,19,12
64,1,2:46.0,Atlanta full timeout,,19,12
65,1,2:46.0,,M. Barnes enters the game for A. Afflalo,19,12
66,1,2:46.0,,A. Tolliver enters the game for K. Koufos,19,12
67,1,2:46.0,M. Delaney enters the game for D. Howard,,19,12
68,1,2:46.0,K. Humphries enters the game for D. Schröder,,19,12
69,1,2:36.0,Shooting foul by D. Cousins (drawn by P. Millsap),,19,12
70,1,2:36.0,P. Millsap makes free throw 1 of 2,,20,12
71,1,2:36.0,P. Millsap makes free throw 2 of 2,,21,12
72,1,2:13.0,,D. Collison makes 2-pt layup from 3 ft (assist by D. Cousins),21,14
73,1,2:01.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by D. Bembry),,24,14
74,1,1:38.0,,D. Cousins misses 2-pt jump shot from 12 ft,24,14
75,1,1:37.0,Defensive rebound by K. Humphries,,24,14
76,1,1:20.0,Shooting foul by M. Barnes (drawn by T. Hardaway),,24,14
77,1,1:20.0,T. Hardaway makes free throw 1 of 3,,25,14
78,1,1:20.0,T. Hardaway misses free throw 2 of 3,,25,14
79,1,1:20.0,Offensive rebound by Team,,25,14
80,1,1:20.0,,A. Afflalo enters the game for D. Collison,25,14
81,1,1:20.0,,W. Cauley-Stein enters the game for D. Cousins,25,14
82,1,1:20.0,T. Hardaway makes free throw 3 of 3,,26,14
83,1,0:58.0,,Turnover by A. Tolliver (bad pass),26,14
84,1,0:58.0,M. Dunleavy enters the game for T. Hardaway,,26,14
85,1,0:43.0,P. Millsap makes 2-pt jump shot from 17 ft,,28,14
86,1,0:36.0,,Turnover by A. Afflalo (bad pass),28,14
87,1,0:29.0,Shooting foul by W. Cauley-Stein (drawn by K. Humphries),,28,14
88,1,0:29.0,K. Humphries misses free throw 1 of 2,,28,14
