,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,BOSTON_ACTION,MILWAUKEE_SCORE,BOSTON_SCORE
0,1,11:40.0,M. Beasley makes 2-pt jump shot from 7 ft (assist by R. Vaughn),,2,0
1,1,11:40.0,Shooting foul by J. Crowder (drawn by M. Beasley),,2,0
2,1,11:40.0,M. Beasley makes free throw 1 of 1,,3,0
3,1,11:30.0,,A. Horford makes 2-pt layup at rim (assist by J. Crowder),3,2
4,1,11:07.0,T. Maker makes 2-pt jump shot from 15 ft (assist by M. Beasley),,5,2
5,1,10:53.0,,A. Horford makes 2-pt jump shot from 6 ft (assist by I. Thomas),5,4
6,1,10:38.0,M. Beasley makes 2-pt jump shot from 3 ft,,7,4
7,1,10:24.0,,A. Horford misses 3-pt jump shot from 23 ft,7,4
8,1,10:23.0,Defensive rebound by M. Beasley,,7,4
9,1,10:11.0,J. Henson makes 2-pt hook shot from 4 ft (assist by M. Brogdon),,9,4
10,1,9:58.0,,A. Johnson makes 3-pt jump shot from 24 ft (assist by J. Crowder),9,7
11,1,9:39.0,Shooting foul by A. Johnson (drawn by T. Maker),,9,7
12,1,9:39.0,T. Maker makes free throw 1 of 2,,10,7
13,1,9:39.0,T. Maker makes free throw 2 of 2,,11,7
14,1,9:30.0,,A. Bradley misses 2-pt jump shot from 22 ft,11,7
15,1,9:29.0,Defensive rebound by T. Maker,,11,7
16,1,9:18.0,M. Beasley misses 2-pt jump shot from 9 ft,,11,7
17,1,9:18.0,,Defensive rebound by J. Crowder,11,7
18,1,9:09.0,,Shooting foul by T. Maker (drawn by A. Johnson),11,7
19,1,9:09.0,,A. Johnson makes free throw 1 of 2,11,8
20,1,9:09.0,,A. Johnson makes free throw 2 of 2,11,9
21,1,8:48.0,R. Vaughn makes 2-pt layup from 2 ft (assist by J. Henson),,13,9
22,1,8:32.0,,A. Horford makes 2-pt layup from 2 ft (assist by I. Thomas),13,11
23,1,8:12.0,M. Brogdon misses 2-pt layup from 2 ft,,13,11
24,1,8:12.0,,Defensive rebound by A. Horford,13,11
25,1,8:10.0,,Turnover by A. Horford (bad pass; steal by M. Beasley),13,11
26,1,8:06.0,M. Beasley makes 2-pt jump shot from 23 ft,,15,11
27,1,7:50.0,,A. Johnson makes 2-pt hook shot from 5 ft (assist by A. Bradley),15,13
28,1,7:35.0,J. Henson makes 2-pt layup from 2 ft (assist by R. Vaughn),,17,13
29,1,7:21.0,,A. Horford misses 3-pt jump shot from 24 ft,17,13
30,1,7:20.0,Defensive rebound by M. Brogdon,,17,13
31,1,7:08.0,T. Maker misses 2-pt layup from 2 ft,,17,13
32,1,7:07.0,,Defensive rebound by A. Horford,17,13
33,1,6:57.0,,I. Thomas misses 3-pt jump shot from 24 ft,17,13
34,1,6:55.0,Defensive rebound by J. Henson,,17,13
35,1,6:48.0,Personal foul by A. Johnson (drawn by M. Brogdon),,17,13
36,1,6:40.0,M. Brogdon misses 2-pt jump shot from 7 ft,,17,13
37,1,6:39.0,,Defensive rebound by A. Johnson,17,13
38,1,6:30.0,,A. Bradley misses 3-pt jump shot from 25 ft,17,13
39,1,6:29.0,Defensive rebound by Team,,17,13
40,1,6:18.0,Turnover by T. Maker (bad pass; steal by J. Crowder),,17,13
41,1,6:12.0,,A. Bradley misses 2-pt jump shot from 3 ft (block by M. Beasley),17,13
42,1,6:11.0,Defensive rebound by M. Beasley,,17,13
43,1,6:05.0,R. Vaughn misses 2-pt layup from 2 ft,,17,13
44,1,6:04.0,Offensive rebound by T. Maker,,17,13
45,1,6:03.0,T. Maker misses 2-pt layup from 1 ft (block by A. Johnson),,17,13
46,1,6:02.0,Offensive rebound by Team,,17,13
47,1,6:02.0,,Violation by A. Johnson (kicked ball),17,13
48,1,5:55.0,R. Vaughn misses 2-pt jump shot from 18 ft,,17,13
49,1,5:53.0,,Defensive rebound by A. Horford,17,13
50,1,5:46.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by I. Thomas),17,16
51,1,5:46.0,Milwaukee full timeout,,17,16
52,1,5:46.0,G. Monroe enters the game for J. Henson,,17,16
53,1,5:46.0,,K. Olynyk enters the game for A. Johnson,17,16
54,1,5:25.0,G. Monroe misses 2-pt jump shot from 12 ft,,17,16
55,1,5:24.0,,Defensive rebound by K. Olynyk,17,16
56,1,5:05.0,,J. Crowder makes 3-pt jump shot from 24 ft,17,19
57,1,4:41.0,T. Maker misses 3-pt jump shot from 24 ft,,17,19
58,1,4:39.0,Offensive rebound by R. Vaughn,,17,19
59,1,4:33.0,T. Maker makes 2-pt dunk at rim (assist by G. Monroe),,19,19
60,1,4:20.0,,M. Smart enters the game for A. Bradley,19,19
61,1,4:12.0,,I. Thomas misses 2-pt layup from 2 ft,19,19
62,1,4:11.0,Defensive rebound by G. Monroe,,19,19
63,1,3:57.0,M. Brogdon makes 3-pt jump shot from 24 ft (assist by G. Monroe),,22,19
64,1,3:37.0,,Turnover by M. Smart (bad pass; steal by R. Vaughn),22,19
65,1,3:24.0,Turnover by G. Monroe (bad pass; steal by A. Horford),,22,19
66,1,3:19.0,,J. Crowder makes 2-pt layup from 2 ft (assist by I. Thomas),22,21
67,1,3:05.0,T. Maker makes 2-pt dunk at rim (assist by M. Brogdon),,24,21
68,1,3:05.0,Shooting foul by K. Olynyk (drawn by T. Maker),,24,21
69,1,3:05.0,,J. Jerebko enters the game for A. Horford,24,21
70,1,3:05.0,G. Payton enters the game for M. Brogdon,,24,21
71,1,3:05.0,,G. Green enters the game for I. Thomas,24,21
72,1,3:05.0,T. Maker makes free throw 1 of 1,,25,21
73,1,2:48.0,,Shooting foul by T. Maker (drawn by J. Jerebko),25,21
74,1,2:48.0,,Boston full timeout,25,21
75,1,2:48.0,,J. Jerebko misses free throw 1 of 2,25,21
76,1,2:48.0,,Offensive rebound by Team,25,21
77,1,2:48.0,,J. Jerebko misses free throw 2 of 2,25,21
78,1,2:48.0,Defensive rebound by G. Monroe,,25,21
79,1,2:48.0,M. Teletović enters the game for T. Maker,,25,21
80,1,2:28.0,G. Monroe makes 2-pt layup from 1 ft (assist by R. Vaughn),,27,21
81,1,2:12.0,,K. Olynyk misses 2-pt jump shot from 17 ft,27,21
82,1,2:11.0,Defensive rebound by M. Teletović,,27,21
83,1,2:01.0,G. Monroe makes 2-pt layup from 2 ft,,29,21
84,1,2:01.0,Shooting foul by K. Olynyk (drawn by G. Monroe),,29,21
85,1,2:01.0,G. Monroe makes free throw 1 of 1,,30,21
86,1,1:44.0,,K. Olynyk misses 3-pt jump shot from 23 ft,30,21
87,1,1:43.0,,Offensive rebound by M. Smart,30,21
88,1,1:38.0,,G. Green misses 3-pt jump shot from 25 ft,30,21
89,1,1:36.0,Defensive rebound by Team,,30,21
90,1,1:26.0,Turnover by G. Monroe (lost ball; steal by J. Crowder),,30,21
91,1,1:14.0,,J. Jerebko misses 2-pt layup from 1 ft,30,21
92,1,1:13.0,Defensive rebound by M. Beasley,,30,21
93,1,1:03.0,R. Vaughn makes 3-pt jump shot from 27 ft (assist by G. Payton),,33,21
94,1,0:49.0,,G. Green makes 2-pt dunk at rim (assist by K. Olynyk),33,23
95,1,0:35.0,Turnover by R. Vaughn (step out of bounds),,33,23
96,1,0:35.0,,J. Brown enters the game for J. Crowder,33,23
97,1,0:17.0,,J. Brown misses 3-pt jump shot from 24 ft,33,23
98,1,0:16.0,,Offensive rebound by Team,33,23
99,1,0:16.0,Loose ball foul by M. Teletović (drawn by J. Jerebko),,33,23
100,1,0:06.0,,Personal foul by R. Vaughn (drawn by G. Green),33,23
101,1,0:06.0,,G. Green makes free throw 1 of 2,33,24
102,1,0:06.0,,G. Green makes free throw 2 of 2,33,25
103,1,0:01.0,M. Teletović makes 3-pt jump shot from 25 ft (assist by G. Payton),,36,25
104,2,11:46.0,,K. Olynyk misses 2-pt jump shot from 15 ft,36,25
105,2,11:44.0,,Offensive rebound by J. Jerebko,36,25
106,2,11:36.0,,M. Smart misses 2-pt layup from 1 ft (block by G. Payton),36,25
107,2,11:35.0,,Offensive rebound by Team,36,25
108,2,11:25.0,,J. Brown makes 2-pt jump shot from 10 ft,36,27
109,2,11:06.0,G. Monroe misses 3-pt jump shot from 24 ft,,36,27
110,2,11:05.0,,Defensive rebound by J. Jerebko,36,27
111,2,10:51.0,,J. Jerebko misses 3-pt jump shot from 25 ft,36,27
112,2,10:49.0,,Offensive rebound by M. Smart,36,27
113,2,10:46.0,,G. Green misses 3-pt jump shot from 25 ft,36,27
114,2,10:45.0,Defensive rebound by M. Teletović,,36,27
115,2,10:33.0,Shooting foul by K. Olynyk (drawn by G. Monroe),,36,27
116,2,10:33.0,G. Monroe misses free throw 1 of 2,,36,27
117,2,10:33.0,Offensive rebound by Team,,36,27
118,2,10:33.0,,A. Bradley enters the game for J. Jerebko,36,27
119,2,10:33.0,,T. Zeller enters the game for K. Olynyk,36,27
120,2,10:33.0,G. Monroe makes free throw 2 of 2,,37,27
121,2,10:20.0,,Shooting foul by R. Vaughn (drawn by G. Green),37,27
122,2,10:20.0,,G. Green makes free throw 1 of 2,37,28
123,2,10:20.0,,G. Green makes free throw 2 of 2,37,29
124,2,10:09.0,Turnover by G. Payton (lost ball; steal by M. Smart),,37,29
125,2,10:05.0,,J. Brown makes 2-pt dunk at rim,37,31
126,2,9:51.0,Personal foul by M. Smart (drawn by G. Monroe),,37,31
127,2,9:51.0,M. Brogdon enters the game for R. Vaughn,,37,31
128,2,9:37.0,Shooting foul by A. Bradley (drawn by G. Monroe),,37,31
129,2,9:37.0,G. Monroe makes free throw 1 of 2,,38,31
130,2,9:37.0,G. Monroe makes free throw 2 of 2,,39,31
131,2,9:18.0,,G. Green misses 3-pt jump shot from 23 ft,39,31
132,2,9:16.0,Defensive rebound by G. Monroe,,39,31
133,2,9:02.0,J. Terry makes 2-pt jump shot from 18 ft (assist by G. Monroe),,41,31
134,2,8:39.0,,A. Bradley makes 2-pt layup from 2 ft (assist by G. Green),41,33
135,2,8:28.0,M. Brogdon makes 2-pt layup from 2 ft,,43,33
136,2,8:09.0,,A. Bradley makes 2-pt jump shot from 20 ft,43,35
137,2,7:53.0,J. Terry misses 2-pt layup from 2 ft (block by M. Smart),,43,35
138,2,7:52.0,Offensive rebound by M. Brogdon,,43,35
139,2,7:37.0,G. Payton misses 3-pt jump shot from 25 ft,,43,35
140,2,7:36.0,,Defensive rebound by G. Green,43,35
141,2,7:27.0,,T. Zeller makes 2-pt layup from 2 ft (assist by M. Smart),43,37
142,2,7:27.0,Milwaukee full timeout,,43,37
143,2,7:27.0,,I. Thomas enters the game for M. Smart,43,37
144,2,7:27.0,S. Hawes enters the game for G. Monroe,,43,37
145,2,7:11.0,S. Hawes misses 2-pt jump shot from 7 ft,,43,37
146,2,7:10.0,,Defensive rebound by A. Bradley,43,37
147,2,6:53.0,,T. Zeller makes 2-pt layup from 2 ft (assist by I. Thomas),43,39
148,2,6:42.0,Turnover by G. Payton (bad pass),,43,39
149,2,6:24.0,,G. Green misses 3-pt jump shot from 25 ft,43,39
150,2,6:23.0,Defensive rebound by G. Payton,,43,39
151,2,6:10.0,M. Teletović misses 3-pt jump shot from 25 ft,,43,39
152,2,6:09.0,,Defensive rebound by G. Green,43,39
153,2,6:02.0,,A. Bradley misses 3-pt jump shot from 25 ft,43,39
154,2,6:01.0,Defensive rebound by Team,,43,39
155,2,6:01.0,,Loose ball foul by G. Green (drawn by G. Payton),43,39
156,2,6:01.0,,J. Crowder enters the game for G. Green,43,39
157,2,5:48.0,M. Brogdon misses 3-pt jump shot from 22 ft,,43,39
158,2,5:47.0,Offensive rebound by M. Brogdon,,43,39
159,2,5:43.0,M. Brogdon makes 2-pt dunk at rim,,45,39
160,2,5:28.0,,Personal foul by G. Payton (drawn by I. Thomas),45,39
161,2,5:28.0,Official timeout,,45,39
162,2,5:28.0,T. Maker enters the game for M. Teletović,,45,39
163,2,5:28.0,M. Beasley enters the game for J. Terry,,45,39
164,2,5:17.0,,J. Crowder misses 2-pt jump shot from 7 ft,45,39
165,2,5:15.0,Defensive rebound by G. Payton,,45,39
166,2,5:09.0,S. Hawes makes 3-pt jump shot from 24 ft (assist by G. Payton),,48,39
167,2,4:52.0,,Turnover by I. Thomas (bad pass; steal by M. Brogdon),48,39
168,2,4:34.0,S. Hawes makes 2-pt hook shot from 6 ft (assist by T. Maker),,50,39
169,2,4:22.0,,J. Crowder misses 3-pt jump shot from 25 ft,50,39
170,2,4:21.0,,Offensive rebound by T. Zeller,50,39
171,2,4:20.0,,T. Zeller misses 2-pt layup from 2 ft (block by M. Beasley),50,39
172,2,4:19.0,,Offensive rebound by Team,50,39
173,2,4:19.0,,M. Smart enters the game for J. Brown,50,39
174,2,4:19.0,,A. Horford enters the game for T. Zeller,50,39
175,2,4:17.0,,J. Crowder misses 3-pt jump shot from 23 ft,50,39
176,2,4:16.0,Defensive rebound by Team,,50,39
177,2,3:54.0,S. Hawes makes 2-pt layup from 3 ft (assist by T. Maker),,52,39
178,2,3:37.0,,Shooting foul by S. Hawes (drawn by A. Horford),52,39
179,2,3:37.0,,A. Horford makes free throw 1 of 2,52,40
180,2,3:37.0,,A. Horford makes free throw 2 of 2,52,41
181,2,3:26.0,G. Payton misses 2-pt layup from 3 ft (block by I. Thomas),,52,41
182,2,3:25.0,,Defensive rebound by Team,52,41
183,2,3:03.0,,I. Thomas misses 2-pt jump shot from 3 ft (block by M. Brogdon),52,41
184,2,3:02.0,,Offensive rebound by I. Thomas,52,41
185,2,2:58.0,,J. Crowder makes 2-pt jump shot from 18 ft (assist by I. Thomas),52,43
186,2,2:46.0,M. Brogdon makes 2-pt layup from 2 ft,,54,43
187,2,2:32.0,,A. Horford makes 2-pt hook shot from 4 ft,54,45
188,2,2:21.0,M. Brogdon misses 2-pt layup from 2 ft,,54,45
189,2,2:20.0,,Defensive rebound by J. Crowder,54,45
190,2,2:17.0,,Shooting foul by S. Hawes (drawn by I. Thomas),54,45
191,2,2:17.0,,Boston full timeout,54,45
192,2,2:17.0,,I. Thomas makes free throw 1 of 2,54,46
193,2,2:17.0,,A. Johnson enters the game for A. Bradley,54,45
194,2,2:17.0,R. Vaughn enters the game for G. Payton,,54,45
195,2,2:17.0,J. Henson enters the game for S. Hawes,,54,45
196,2,2:17.0,,I. Thomas makes free throw 2 of 2,54,47
197,2,2:01.0,T. Maker misses 2-pt jump shot from 18 ft,,54,47
198,2,1:59.0,Offensive rebound by T. Maker,,54,47
199,2,1:55.0,J. Henson makes 2-pt layup from 1 ft (assist by T. Maker),,56,47
200,2,1:46.0,,I. Thomas makes 3-pt jump shot from 25 ft (assist by M. Smart),56,50
201,2,1:18.0,M. Brogdon misses 2-pt jump shot from 12 ft,,56,50
202,2,1:17.0,,Defensive rebound by J. Crowder,56,50
203,2,1:11.0,,I. Thomas makes 3-pt jump shot from 25 ft,56,53
204,2,0:44.0,J. Henson misses 2-pt jump shot from 14 ft,,56,53
205,2,0:43.0,,Defensive rebound by I. Thomas,56,53
206,2,0:33.0,,A. Johnson makes 2-pt layup from 1 ft (assist by I. Thomas),56,55
207,2,0:15.0,R. Vaughn misses 3-pt jump shot from 25 ft,,56,55
208,2,0:14.0,,Defensive rebound by I. Thomas,56,55
209,2,0:10.0,,Shooting foul by R. Vaughn (drawn by I. Thomas),56,55
210,2,0:10.0,,I. Thomas makes free throw 1 of 2,56,56
211,2,0:10.0,,I. Thomas makes free throw 2 of 2,56,57
212,2,0:03.0,Turnover by R. Vaughn (bad pass; steal by A. Horford),,56,57
213,2,0:01.0,,I. Thomas misses 3-pt jump shot from 28 ft,56,57
214,2,0:00.0,,Offensive rebound by Team,56,57
215,3,11:49.0,,Shooting foul by M. Beasley (drawn by J. Crowder),56,57
216,3,11:49.0,,J. Crowder misses free throw 1 of 2,56,57
217,3,11:49.0,,Offensive rebound by Team,56,57
218,3,11:49.0,,J. Crowder makes free throw 2 of 2,56,58
219,3,11:33.0,M. Beasley misses 3-pt jump shot from 23 ft,,56,58
220,3,11:32.0,,Defensive rebound by A. Horford,56,58
221,3,11:25.0,,I. Thomas misses 2-pt layup from 1 ft (block by T. Maker),56,58
222,3,11:24.0,,Offensive rebound by A. Johnson,56,58
223,3,11:23.0,,A. Johnson misses 2-pt layup from 2 ft,56,58
224,3,11:21.0,Defensive rebound by M. Brogdon,,56,58
225,3,11:05.0,R. Vaughn misses 2-pt jump shot from 14 ft,,56,58
226,3,11:03.0,Offensive rebound by J. Henson,,56,58
227,3,10:52.0,R. Vaughn misses 2-pt jump shot from 4 ft,,56,58
228,3,10:51.0,Offensive rebound by Team,,56,58
229,3,10:51.0,,Loose ball foul by A. Johnson (drawn by J. Henson),56,58
230,3,10:46.0,M. Brogdon makes 2-pt jump shot from 19 ft,,58,58
231,3,10:32.0,,A. Horford misses 2-pt jump shot from 16 ft,58,58
232,3,10:31.0,Defensive rebound by T. Maker,,58,58
233,3,10:15.0,M. Beasley misses 2-pt jump shot from 7 ft,,58,58
234,3,10:13.0,Offensive rebound by M. Beasley,,58,58
235,3,10:03.0,M. Beasley makes 2-pt jump shot from 13 ft (assist by R. Vaughn),,60,58
236,3,9:48.0,,Shooting foul by J. Henson (drawn by I. Thomas),60,58
