,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,LA LAKERS_ACTION,BROOKLYN_SCORE,LA LAKERS_SCORE
0,1,11:43.0,B. Lopez misses 2-pt jump shot from 14 ft,,0,0
1,1,11:40.0,,Defensive rebound by J. Randle,0,0
2,1,11:26.0,,D. Russell makes 3-pt jump shot from 27 ft (assist by J. Randle),0,3
3,1,11:07.0,B. Lopez makes 2-pt hook shot from 5 ft,,2,3
4,1,10:46.0,,J. Randle misses 2-pt layup from 3 ft,2,3
5,1,10:44.0,Defensive rebound by B. Lopez,,2,3
6,1,10:39.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft,,2,3
7,1,10:37.0,Offensive rebound by T. Booker,,2,3
8,1,10:37.0,T. Booker makes 2-pt layup from 2 ft,,4,3
9,1,10:26.0,,Personal foul by S. Kilpatrick (drawn by D. Russell),4,3
10,1,10:13.0,,T. Mozgov makes 2-pt dunk at rim (assist by D. Russell),4,5
11,1,9:57.0,T. Booker makes 2-pt layup from 1 ft (assist by B. Lopez),,6,5
12,1,9:46.0,,Turnover by D. Russell (bad pass; steal by T. Booker),6,5
13,1,9:40.0,R. Hollis-Jefferson makes 2-pt layup from 3 ft (assist by T. Booker),,8,5
14,1,9:21.0,,J. Randle misses 2-pt jump shot from 13 ft,8,5
15,1,9:20.0,Defensive rebound by R. Hollis-Jefferson,,8,5
16,1,9:11.0,B. Lopez misses 3-pt jump shot from 26 ft,,8,5
17,1,9:09.0,,Defensive rebound by J. Randle,8,5
18,1,8:58.0,,T. Mozgov misses 2-pt layup from 2 ft (block by B. Lopez),8,5
19,1,8:56.0,Defensive rebound by B. Lopez,,8,5
20,1,8:48.0,R. Hollis-Jefferson misses 3-pt jump shot from 25 ft,,8,5
21,1,8:46.0,,Defensive rebound by T. Mozgov,8,5
22,1,8:37.0,,T. Mozgov makes 2-pt dunk at rim (assist by D. Russell),8,7
23,1,8:25.0,B. Lopez misses 2-pt jump shot from 15 ft,,8,7
24,1,8:22.0,,Defensive rebound by J. Randle,8,7
25,1,8:19.0,,D. Russell makes 3-pt jump shot from 27 ft (assist by J. Randle),8,10
26,1,8:04.0,S. Kilpatrick makes 2-pt layup from 1 ft (assist by B. Lopez),,10,10
27,1,7:51.0,,D. Russell makes 3-pt jump shot from 25 ft (assist by J. Randle),10,13
28,1,7:36.0,B. Bogdanović misses 2-pt layup from 3 ft,,10,13
29,1,7:33.0,,Defensive rebound by T. Mozgov,10,13
30,1,7:28.0,,D. Russell makes 3-pt jump shot from 27 ft (assist by J. Randle),10,16
31,1,7:27.0,Brooklyn full timeout,,10,16
32,1,7:27.0,R. Foye enters the game for T. Booker,,10,16
33,1,7:27.0,J. Hamilton enters the game for S. Kilpatrick,,10,16
34,1,7:11.0,Shooting foul by T. Mozgov (drawn by B. Lopez),,10,16
35,1,7:11.0,B. Lopez makes free throw 1 of 2,,11,16
36,1,7:11.0,B. Lopez makes free throw 2 of 2,,12,16
37,1,6:57.0,,T. Mozgov makes 2-pt hook shot from 4 ft (assist by J. Randle),12,18
38,1,6:32.0,B. Lopez misses 2-pt jump shot from 20 ft,,12,18
39,1,6:31.0,,Defensive rebound by J. Randle,12,18
