,QUARTER,TIME_REMAINING,UTAH_ACTION,DETROIT_ACTION,UTAH_SCORE,DETROIT_SCORE
0,1,11:42.0,,M. Morris misses 2-pt jump shot from 18 ft,0,0
1,1,11:41.0,Defensive rebound by J. Johnson,,0,0
2,1,11:31.0,Personal foul by A. Drummond (drawn by R. Gobert),,0,0
3,1,11:17.0,R. Hood misses 3-pt jump shot from 26 ft,,0,0
4,1,11:16.0,Offensive rebound by Team,,0,0
5,1,11:16.0,Turnover by Team (shot clock),,0,0
6,1,11:01.0,,R. Jackson makes 2-pt layup from 2 ft,0,2
7,1,10:46.0,G. Hayward makes 3-pt jump shot from 26 ft (assist by R. Gobert),,3,2
8,1,10:16.0,,J. Leuer makes 3-pt jump shot from 23 ft (assist by M. Morris),3,5
9,1,9:58.0,G. Hill makes 2-pt jump shot from 19 ft (assist by R. Gobert),,5,5
10,1,9:45.0,,M. Morris misses 3-pt jump shot from 26 ft,5,5
11,1,9:43.0,Defensive rebound by R. Gobert,,5,5
12,1,9:33.0,J. Johnson makes 3-pt jump shot from 24 ft (assist by G. Hayward),,8,5
13,1,9:15.0,,R. Jackson misses 2-pt jump shot from 6 ft,8,5
14,1,9:12.0,Defensive rebound by J. Johnson,,8,5
15,1,9:02.0,R. Hood misses 2-pt layup from 2 ft,,8,5
16,1,9:01.0,,Defensive rebound by Team,8,5
17,1,8:47.0,,R. Jackson misses 2-pt jump shot from 17 ft,8,5
18,1,8:46.0,Defensive rebound by G. Hayward,,8,5
19,1,8:39.0,G. Hayward makes 2-pt jump shot from 14 ft,,10,5
20,1,8:39.0,,Detroit full timeout,10,5
21,1,8:22.0,,A. Drummond misses 2-pt jump shot from 7 ft,10,5
22,1,8:20.0,Defensive rebound by J. Johnson,,10,5
23,1,8:10.0,Turnover by J. Johnson (bad pass),,10,5
24,1,7:54.0,,M. Morris misses 2-pt jump shot from 17 ft,10,5
25,1,7:52.0,Defensive rebound by R. Hood,,10,5
26,1,7:41.0,G. Hill misses 2-pt jump shot from 6 ft,,10,5
27,1,7:41.0,Offensive rebound by R. Gobert,,10,5
28,1,7:41.0,Shooting foul by J. Leuer (drawn by R. Gobert),,10,5
29,1,7:41.0,R. Gobert makes free throw 1 of 2,,11,5
30,1,7:41.0,R. Gobert misses free throw 2 of 2,,11,5
31,1,7:38.0,,Defensive rebound by A. Drummond,11,5
32,1,7:21.0,,Turnover by M. Morris (bad pass; steal by J. Johnson),11,5
33,1,7:09.0,G. Hayward makes 3-pt jump shot from 26 ft (assist by J. Johnson),,14,5
34,1,6:43.0,,M. Morris misses 3-pt jump shot from 25 ft,14,5
35,1,6:42.0,,Offensive rebound by J. Leuer,14,5
36,1,6:37.0,,J. Leuer misses 2-pt jump shot from 6 ft,14,5
37,1,6:36.0,Defensive rebound by R. Hood,,14,5
38,1,6:31.0,J. Johnson misses 2-pt jump shot from 5 ft,,14,5
39,1,6:31.0,,Defensive rebound by Team,14,5
40,1,6:18.0,,J. Leuer makes 2-pt layup from 1 ft (assist by R. Jackson),14,7
41,1,5:56.0,Turnover by R. Gobert (lost ball; steal by K. Caldwell-Pope),,14,7
42,1,5:45.0,,R. Jackson makes 2-pt jump shot from 4 ft,14,9
43,1,5:28.0,G. Hayward misses 3-pt jump shot from 25 ft,,14,9
44,1,5:27.0,,Defensive rebound by A. Drummond,14,9
45,1,5:19.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft,14,9
46,1,5:18.0,Defensive rebound by R. Hood,,14,9
47,1,5:06.0,G. Hill makes 3-pt jump shot from 23 ft (assist by G. Hayward),,17,9
48,1,4:48.0,,R. Jackson makes 2-pt jump shot from 6 ft,17,11
49,1,4:35.0,G. Hayward makes 2-pt layup from 2 ft (assist by R. Gobert),,19,11
50,1,4:29.0,,Detroit full timeout,19,11
51,1,4:29.0,,I. Smith enters the game for J. Leuer,19,11
52,1,4:29.0,,T. Harris enters the game for R. Jackson,19,11
53,1,4:29.0,J. Ingles enters the game for J. Johnson,,19,11
54,1,4:29.0,B. Diaw enters the game for R. Hood,,19,11
55,1,4:21.0,,Offensive foul by K. Caldwell-Pope (drawn by G. Hill),19,11
56,1,4:21.0,,Turnover by K. Caldwell-Pope (offensive foul),19,11
57,1,4:10.0,G. Hill makes 2-pt layup from 2 ft (assist by R. Gobert),,21,11
58,1,3:45.0,,Turnover by Team (shot clock),21,11
59,1,3:31.0,R. Gobert makes 2-pt dunk from 1 ft (assist by B. Diaw),,23,11
60,1,3:05.0,,Turnover by Team (shot clock),23,11
61,1,3:05.0,D. Exum enters the game for G. Hill,,23,11
62,1,3:05.0,,A. Baynes enters the game for A. Drummond,23,11
63,1,2:51.0,D. Exum makes 3-pt jump shot from 23 ft (assist by J. Ingles),,26,11
64,1,2:27.0,,M. Morris misses 3-pt jump shot from 26 ft,26,11
65,1,2:25.0,Defensive rebound by D. Exum,,26,11
66,1,2:13.0,Turnover by G. Hayward (traveling),,26,11
67,1,2:13.0,Utah full timeout,,26,11
68,1,2:13.0,A. Burks enters the game for G. Hayward,,26,11
69,1,2:13.0,J. Withey enters the game for R. Gobert,,26,11
70,1,1:59.0,,T. Harris makes 2-pt dunk at rim (assist by A. Baynes),26,13
71,1,1:34.0,A. Burks misses 3-pt jump shot from 27 ft,,26,13
72,1,1:32.0,,Defensive rebound by I. Smith,26,13
73,1,1:24.0,,I. Smith makes 2-pt jump shot from 11 ft,26,15
74,1,1:02.0,A. Burks misses 2-pt jump shot from 11 ft,,26,15
75,1,1:01.0,,Defensive rebound by T. Harris,26,15
76,1,0:54.0,,A. Baynes makes 2-pt jump shot from 13 ft (assist by I. Smith),26,17
77,1,0:30.0,B. Diaw misses 3-pt jump shot from 26 ft,,26,17
78,1,0:29.0,,Defensive rebound by A. Baynes,26,17
79,1,0:23.0,,Turnover by I. Smith (lost ball; steal by D. Exum),26,17
80,1,0:19.0,D. Exum makes 2-pt dunk at rim (assist by J. Ingles),,28,17
81,1,0:02.0,,Shooting foul by J. Ingles (drawn by I. Smith),28,17
82,1,0:02.0,,I. Smith makes free throw 1 of 2,28,18
