,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,OKLAHOMA CITY_ACTION,NEW ORLEANS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:41.0,A. Davis makes 2-pt jump shot from 15 ft,,2,0
1,1,11:23.0,,S. Adams makes 2-pt dunk at rim (assist by V. Oladipo),2,2
2,1,11:23.0,,Shooting foul by Ö. Aşık (drawn by S. Adams),2,2
3,1,11:23.0,,S. Adams makes free throw 1 of 1,2,3
4,1,11:17.0,New Orleans full timeout,,2,3
5,1,11:00.0,S. Hill misses 3-pt jump shot from 25 ft,,2,3
6,1,10:59.0,,Defensive rebound by R. Westbrook,2,3
7,1,10:37.0,,R. Westbrook misses 3-pt jump shot from 25 ft,2,3
8,1,10:37.0,Defensive rebound by Ö. Aşık,,2,3
9,1,10:23.0,E. Moore makes 2-pt layup at rim,,4,3
10,1,10:10.0,,A. Roberson misses 3-pt jump shot from 25 ft,4,3
11,1,10:10.0,Defensive rebound by Ö. Aşık,,4,3
12,1,9:54.0,A. Davis makes 2-pt jump shot from 4 ft,,6,3
13,1,9:47.0,,V. Oladipo makes 2-pt layup from 2 ft (assist by R. Westbrook),6,5
14,1,9:32.0,Turnover by J. Holiday (bad pass; steal by R. Westbrook),,6,5
15,1,9:28.0,,R. Westbrook makes 2-pt dunk at rim (assist by V. Oladipo),6,7
16,1,9:20.0,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),,8,7
17,1,9:03.0,,V. Oladipo makes 2-pt jump shot from 14 ft,8,9
18,1,8:58.0,Turnover by E. Moore (lost ball),,8,9
19,1,8:42.0,,D. Sabonis misses 2-pt hook shot from 6 ft,8,9
20,1,8:42.0,Defensive rebound by A. Davis,,8,9
21,1,8:33.0,A. Davis makes 2-pt jump shot from 12 ft,,10,9
22,1,8:21.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),10,11
23,1,7:58.0,A. Davis misses 2-pt jump shot from 15 ft,,10,11
24,1,7:57.0,,Defensive rebound by S. Adams,10,11
25,1,7:44.0,,R. Westbrook makes 2-pt jump shot from 12 ft,10,13
26,1,7:22.0,A. Davis misses 2-pt layup from 2 ft,,10,13
27,1,7:21.0,,Defensive rebound by R. Westbrook,10,13
28,1,7:14.0,,V. Oladipo misses 3-pt jump shot from 23 ft,10,13
29,1,7:13.0,Defensive rebound by A. Davis,,10,13
30,1,7:05.0,J. Holiday misses 3-pt jump shot from 24 ft,,10,13
