,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,LA LAKERS_ACTION,CLEVELAND_SCORE,LA LAKERS_SCORE
0,1,11:43.0,K. Irving makes 2-pt jump shot from 15 ft (assist by T. Thompson),,2,0
1,1,11:23.0,,J. Clarkson makes 3-pt jump shot from 25 ft (assist by I. Zubac),2,3
2,1,11:11.0,K. Irving misses 2-pt jump shot from 21 ft,,2,3
3,1,11:10.0,,Defensive rebound by B. Ingram,2,3
4,1,11:01.0,,B. Ingram misses 2-pt jump shot from 17 ft,2,3
5,1,11:00.0,Defensive rebound by K. Love,,2,3
6,1,10:44.0,L. James makes 3-pt jump shot from 25 ft,,5,3
7,1,10:25.0,,I. Zubac makes 2-pt layup from 1 ft (assist by D. Russell),5,5
8,1,10:01.0,K. Irving misses 3-pt jump shot from 24 ft,,5,5
9,1,9:59.0,,Defensive rebound by I. Zubac,5,5
10,1,9:54.0,,J. Clarkson makes 3-pt jump shot from 25 ft (assist by D. Russell),5,8
11,1,9:35.0,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),,8,8
12,1,9:25.0,Violation by K. Irving (kicked ball),,8,8
13,1,9:19.0,,D. Russell makes 3-pt jump shot from 24 ft (assist by J. Randle),8,11
14,1,8:58.0,K. Love misses 2-pt jump shot from 12 ft,,8,11
15,1,8:56.0,,Defensive rebound by B. Ingram,8,11
16,1,8:50.0,,B. Ingram misses 2-pt jump shot from 12 ft,8,11
17,1,8:47.0,Defensive rebound by K. Love,,8,11
18,1,8:43.0,Turnover by K. Irving (bad pass),,8,11
19,1,8:33.0,,D. Russell makes 2-pt jump shot from 12 ft,8,13
20,1,8:14.0,Shooting foul by J. Randle (drawn by K. Love),,8,13
21,1,8:14.0,K. Love makes 2-pt layup from 2 ft (assist by I. Shumpert),,10,13
22,1,8:14.0,K. Love makes free throw 1 of 1,,11,13
23,1,8:01.0,,J. Randle misses 3-pt jump shot from 26 ft,11,13
24,1,8:00.0,Defensive rebound by K. Love,,11,13
25,1,7:51.0,L. James misses 2-pt layup from 1 ft (block by I. Zubac),,11,13
26,1,7:50.0,Offensive rebound by T. Thompson,,11,13
27,1,7:37.0,K. Love misses 2-pt jump shot from 7 ft,,11,13
28,1,7:35.0,,Defensive rebound by I. Zubac,11,13
29,1,7:28.0,,D. Russell makes 2-pt jump shot from 19 ft,11,15
30,1,7:12.0,K. Irving makes 2-pt jump shot from 14 ft,,13,15
31,1,6:59.0,,J. Clarkson misses 3-pt jump shot from 24 ft,13,15
32,1,6:57.0,Defensive rebound by I. Shumpert,,13,15
33,1,6:40.0,I. Shumpert misses 2-pt layup from 2 ft,,13,15
34,1,6:39.0,,Defensive rebound by J. Randle,13,15
35,1,6:34.0,,B. Ingram makes 2-pt layup from 1 ft (assist by J. Randle),13,17
36,1,6:12.0,K. Love misses 3-pt jump shot from 24 ft,,13,17
37,1,6:11.0,,Defensive rebound by I. Zubac,13,17
38,1,5:56.0,,Turnover by J. Randle (bad pass; steal by L. James),13,17
39,1,5:50.0,L. James makes 2-pt layup from 1 ft,,15,17
40,1,5:44.0,,B. Ingram misses 2-pt jump shot from 11 ft,15,17
41,1,5:41.0,Defensive rebound by K. Love,,15,17
42,1,5:36.0,L. James misses 2-pt layup from 2 ft,,15,17
43,1,5:35.0,Offensive rebound by T. Thompson,,15,17
