,QUARTER,TIME_REMAINING,UTAH_ACTION,LA CLIPPERS_ACTION,UTAH_SCORE,LA CLIPPERS_SCORE
0,1,11:43.0,,J. Redick misses 2-pt jump shot from 20 ft,0,0
1,1,11:43.0,Defensive rebound by G. Hayward,,0,0
2,1,11:19.0,G. Hill misses 2-pt jump shot from 10 ft,,0,0
3,1,11:17.0,,Defensive rebound by D. Jordan,0,0
4,1,11:07.0,,C. Paul misses 3-pt jump shot from 24 ft,0,0
5,1,11:07.0,Defensive rebound by G. Hayward,,0,0
6,1,10:55.0,R. Hood makes 2-pt jump shot from 10 ft (assist by G. Hill),,2,0
7,1,10:30.0,,B. Griffin misses 2-pt jump shot from 19 ft,2,0
8,1,10:29.0,,Offensive rebound by C. Paul,2,0
9,1,10:28.0,Violation by B. Diaw (kicked ball),,2,0
10,1,10:11.0,,Turnover by L. Mbah a Moute (lost ball),2,0
11,1,9:47.0,G. Hayward misses 2-pt jump shot from 15 ft,,2,0
12,1,9:45.0,Offensive rebound by R. Gobert,,2,0
13,1,9:39.0,G. Hill misses 3-pt jump shot from 23 ft,,2,0
14,1,9:38.0,,Defensive rebound by D. Jordan,2,0
15,1,9:30.0,,L. Mbah a Moute misses 2-pt jump shot from 17 ft,2,0
16,1,9:24.0,Defensive rebound by G. Hayward,,2,0
17,1,9:18.0,R. Hood misses 2-pt jump shot from 15 ft,,2,0
18,1,9:16.0,,Defensive rebound by B. Griffin,2,0
19,1,9:02.0,,Personal foul by R. Hood (drawn by B. Griffin),2,0
20,1,8:54.0,,B. Griffin misses 2-pt hook shot from 5 ft,2,0
21,1,8:51.0,,Offensive rebound by D. Jordan,2,0
22,1,8:51.0,,D. Jordan makes 2-pt dunk at rim,2,2
23,1,8:35.0,R. Hood misses 2-pt jump shot from 8 ft (block by D. Jordan),,2,2
24,1,8:35.0,Offensive rebound by Team,,2,2
25,1,8:27.0,R. Gobert misses 2-pt jump shot from 19 ft,,2,2
26,1,8:27.0,,Defensive rebound by D. Jordan,2,2
27,1,8:17.0,,D. Jordan makes 2-pt layup from 1 ft (assist by C. Paul),2,4
28,1,8:17.0,,Shooting foul by G. Hayward (drawn by D. Jordan),2,4
29,1,8:17.0,,D. Jordan misses free throw 1 of 1,2,4
30,1,8:17.0,Defensive rebound by Team,,2,4
31,1,7:57.0,B. Diaw misses 2-pt jump shot from 18 ft,,2,4
32,1,7:54.0,,Defensive rebound by L. Mbah a Moute,2,4
33,1,7:38.0,,B. Griffin makes 2-pt hook shot from 5 ft,2,6
34,1,7:13.0,B. Diaw makes 2-pt jump shot from 23 ft (assist by G. Hayward),,4,6
35,1,6:57.0,,B. Griffin makes 3-pt jump shot from 24 ft (assist by J. Redick),4,9
36,1,6:39.0,G. Hill makes 2-pt layup from 1 ft (assist by B. Diaw),,6,9
37,1,6:22.0,,C. Paul makes 2-pt layup from 2 ft,6,11
38,1,6:11.0,Turnover by R. Gobert (bad pass; steal by L. Mbah a Moute),,6,11
39,1,5:46.0,,B. Griffin misses 2-pt jump shot from 19 ft,6,11
40,1,5:44.0,Defensive rebound by R. Gobert,,6,11
41,1,5:38.0,B. Diaw misses 3-pt jump shot from 24 ft,,6,11
42,1,5:35.0,,Defensive rebound by D. Jordan,6,11
43,1,5:26.0,,Turnover by C. Paul (bad pass; steal by B. Diaw),6,11
44,1,5:20.0,R. Hood misses 3-pt jump shot from 24 ft,,6,11
45,1,5:20.0,,Defensive rebound by Team,6,11
46,1,5:20.0,Loose ball foul by R. Gobert (drawn by L. Mbah a Moute),,6,11
47,1,5:20.0,,LA Clippers full timeout,6,11
48,1,5:20.0,J. Johnson enters the game for B. Diaw,,6,11
49,1,5:20.0,J. Ingles enters the game for R. Hood,,6,11
50,1,5:04.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by C. Paul),6,14
51,1,4:46.0,Turnover by G. Hill (bad pass; steal by B. Griffin),,6,14
52,1,4:40.0,,B. Griffin makes 2-pt layup from 1 ft,6,16
53,1,4:30.0,G. Hayward misses 2-pt jump shot from 9 ft,,6,16
54,1,4:30.0,,Defensive rebound by D. Jordan,6,16
55,1,4:26.0,,C. Paul misses 3-pt jump shot from 24 ft,6,16
56,1,4:26.0,Defensive rebound by Team,,6,16
57,1,4:26.0,R. Neto enters the game for G. Hill,,6,16
58,1,4:05.0,G. Hayward misses 3-pt jump shot from 24 ft,,6,16
59,1,4:03.0,,Defensive rebound by D. Jordan,6,16
60,1,3:49.0,,Shooting foul by J. Ingles (drawn by D. Jordan),6,16
61,1,3:49.0,,D. Jordan misses free throw 1 of 2,6,16
62,1,3:49.0,,Offensive rebound by Team,6,16
63,1,3:49.0,,D. Jordan makes free throw 2 of 2,6,17
64,1,3:26.0,J. Ingles misses 2-pt layup from 1 ft,,6,17
65,1,3:23.0,Offensive rebound by R. Gobert,,6,17
66,1,3:23.0,R. Gobert makes 2-pt layup from 1 ft,,8,17
67,1,3:08.0,Violation by G. Hayward (kicked ball),,8,17
68,1,3:08.0,,J. Crawford enters the game for J. Redick,8,17
69,1,3:08.0,,P. Pierce enters the game for B. Griffin,8,17
70,1,2:59.0,,C. Paul misses 3-pt jump shot from 24 ft,8,17
71,1,2:58.0,Defensive rebound by J. Johnson,,8,17
72,1,2:50.0,Turnover by J. Ingles (lost ball; steal by P. Pierce),,8,17
73,1,2:44.0,,L. Mbah a Moute makes 2-pt dunk at rim (assist by J. Crawford),8,19
74,1,2:44.0,Utah full timeout,,8,19
75,1,2:44.0,,A. Rivers enters the game for C. Paul,8,19
76,1,2:31.0,R. Gobert makes 2-pt dunk at rim (assist by J. Ingles),,10,19
77,1,2:08.0,,J. Crawford misses 3-pt jump shot from 27 ft,10,19
78,1,2:08.0,,Offensive rebound by D. Jordan,10,19
79,1,1:51.0,,A. Rivers makes 2-pt jump shot from 7 ft (assist by J. Crawford),10,21
80,1,1:30.0,J. Johnson misses 3-pt jump shot from 24 ft,,10,21
81,1,1:30.0,,Defensive rebound by D. Jordan,10,21
82,1,1:21.0,,Personal foul by R. Neto (drawn by P. Pierce),10,21
83,1,1:21.0,,P. Pierce makes free throw 1 of 2,10,22
84,1,1:21.0,R. Hood enters the game for G. Hayward,,10,22
85,1,1:21.0,J. Withey enters the game for R. Gobert,,10,22
86,1,1:21.0,,R. Felton enters the game for L. Mbah a Moute,10,22
87,1,1:21.0,,P. Pierce makes free throw 2 of 2,10,23
88,1,1:08.0,J. Ingles misses 3-pt jump shot from 25 ft,,10,23
89,1,1:08.0,,Defensive rebound by R. Felton,10,23
90,1,0:49.0,,J. Crawford makes 2-pt jump shot from 16 ft,10,25
91,1,0:38.0,Shooting foul by D. Jordan (drawn by R. Neto),,10,25
