,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DETROIT_ACTION,ATLANTA_SCORE,DETROIT_SCORE
0,1,11:41.0,,T. Harris misses 2-pt jump shot from 8 ft (block by D. Howard),0,0
1,1,11:40.0,Defensive rebound by P. Millsap,,0,0
2,1,11:16.0,P. Millsap misses 3-pt jump shot from 27 ft,,0,0
3,1,11:15.0,,Defensive rebound by A. Drummond,0,0
4,1,11:06.0,,T. Harris makes 2-pt jump shot from 15 ft (assist by R. Jackson),0,2
5,1,10:56.0,Turnover by K. Bazemore (step out of bounds),,0,2
6,1,10:37.0,,R. Bullock misses 2-pt layup from 1 ft,0,2
7,1,10:36.0,,Offensive rebound by R. Bullock,0,2
8,1,10:33.0,,R. Bullock makes 2-pt layup at rim,0,4
9,1,10:25.0,Turnover by P. Millsap (offensive foul),,0,4
10,1,10:25.0,Offensive foul by P. Millsap (drawn by R. Jackson),,0,4
11,1,10:13.0,,R. Jackson misses 2-pt jump shot from 16 ft,0,4
12,1,10:13.0,,Offensive rebound by A. Drummond,0,4
13,1,10:08.0,,A. Drummond misses 2-pt hook shot from 7 ft,0,4
14,1,10:06.0,Defensive rebound by T. Sefolosha,,0,4
15,1,9:59.0,Turnover by K. Bazemore (bad pass; steal by T. Harris),,0,4
16,1,9:44.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by R. Jackson),0,7
17,1,9:21.0,T. Sefolosha misses 2-pt jump shot from 11 ft,,0,7
18,1,9:21.0,,Defensive rebound by T. Harris,0,7
19,1,9:09.0,,Turnover by A. Drummond (offensive goaltending),0,7
20,1,8:57.0,P. Millsap makes 2-pt jump shot from 13 ft (assist by D. Schröder),,2,7
21,1,8:57.0,Shooting foul by T. Harris (drawn by P. Millsap),,2,7
22,1,8:57.0,P. Millsap makes free throw 1 of 1,,3,7
23,1,8:36.0,,A. Drummond makes 2-pt dunk at rim (assist by M. Morris),3,9
24,1,8:24.0,P. Millsap makes 3-pt jump shot from 26 ft (assist by D. Schröder),,6,9
25,1,8:04.0,,A. Drummond misses 2-pt hook shot from 8 ft,6,9
26,1,8:03.0,Defensive rebound by P. Millsap,,6,9
27,1,7:51.0,D. Schröder misses 2-pt layup from 1 ft,,6,9
28,1,7:51.0,,Defensive rebound by R. Jackson,6,9
29,1,7:34.0,,A. Drummond misses 2-pt hook shot from 8 ft,6,9
30,1,7:33.0,,Offensive rebound by M. Morris,6,9
31,1,7:27.0,,M. Morris misses 2-pt layup from 1 ft,6,9
32,1,7:26.0,,Offensive rebound by A. Drummond,6,9
33,1,7:23.0,,A. Drummond makes 2-pt layup at rim,6,11
34,1,7:11.0,T. Sefolosha misses 2-pt jump shot from 7 ft,,6,11
35,1,7:10.0,,Defensive rebound by A. Drummond,6,11
36,1,6:55.0,,T. Harris makes 3-pt jump shot from 27 ft (assist by M. Morris),6,14
37,1,6:40.0,K. Bazemore misses 3-pt jump shot from 25 ft,,6,14
38,1,6:39.0,,Defensive rebound by R. Jackson,6,14
39,1,6:29.0,,R. Jackson misses 2-pt jump shot from 18 ft,6,14
40,1,6:29.0,,Offensive rebound by Team,6,14
41,1,6:29.0,Loose ball foul by P. Millsap (drawn by A. Drummond),,6,14
42,1,6:29.0,T. Hardaway enters the game for P. Millsap,,6,14
43,1,6:22.0,,Shooting foul by D. Schröder (drawn by R. Bullock),6,14
44,1,6:22.0,,R. Bullock misses free throw 1 of 2,6,14
45,1,6:22.0,,Offensive rebound by Team,6,14
46,1,6:22.0,,R. Bullock makes free throw 2 of 2,6,15
47,1,6:06.0,T. Hardaway makes 2-pt layup from 1 ft (assist by D. Schröder),,8,15
48,1,5:49.0,,R. Jackson makes 3-pt jump shot from 25 ft (assist by M. Morris),8,18
49,1,5:35.0,K. Bazemore misses 2-pt jump shot from 6 ft,,8,18
50,1,5:35.0,,Defensive rebound by T. Harris,8,18
51,1,5:28.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by R. Bullock),8,21
52,1,5:28.0,Atlanta full timeout,,8,21
53,1,5:28.0,M. Dunleavy enters the game for T. Sefolosha,,8,21
54,1,5:28.0,K. Humphries enters the game for D. Howard,,8,21
55,1,5:28.0,M. Delaney enters the game for K. Bazemore,,8,21
56,1,5:28.0,M. Scott enters the game for D. Schröder,,8,21
57,1,5:28.0,,S. Johnson enters the game for R. Bullock,8,21
58,1,5:03.0,T. Hardaway makes 3-pt jump shot from 27 ft (assist by M. Delaney),,11,21
59,1,4:49.0,,M. Morris misses 3-pt jump shot from 26 ft,11,21
60,1,4:49.0,,Offensive rebound by S. Johnson,11,21
61,1,4:43.0,,A. Drummond makes 2-pt layup from 1 ft (assist by M. Morris),11,23
62,1,4:29.0,Turnover by M. Scott (bad pass; steal by A. Drummond),,11,23
63,1,4:15.0,,R. Jackson makes 2-pt jump shot from 7 ft (assist by S. Johnson),11,25
64,1,3:55.0,M. Delaney misses 2-pt jump shot from 19 ft,,11,25
65,1,3:55.0,,Defensive rebound by M. Morris,11,25
66,1,3:46.0,,T. Harris makes 2-pt dunk at rim (assist by M. Morris),11,27
67,1,3:20.0,K. Humphries makes 2-pt jump shot from 7 ft,,13,27
68,1,3:07.0,,S. Johnson makes 3-pt jump shot from 23 ft (assist by R. Jackson),13,30
69,1,2:53.0,T. Hardaway makes 3-pt jump shot from 23 ft (assist by M. Dunleavy),,16,30
70,1,2:44.0,,Shooting foul by M. Delaney (drawn by R. Jackson),16,30
71,1,2:44.0,,Detroit full timeout,16,30
72,1,2:44.0,,R. Jackson makes free throw 1 of 3,16,31
73,1,2:44.0,,R. Jackson makes free throw 2 of 3,16,32
74,1,2:44.0,,R. Bullock enters the game for M. Morris,16,30
75,1,2:44.0,,R. Jackson makes free throw 3 of 3,16,33
76,1,2:35.0,Offensive foul by K. Humphries (drawn by S. Johnson),,16,33
77,1,2:35.0,Turnover by K. Humphries (offensive foul),,16,33
78,1,2:35.0,,I. Smith enters the game for R. Jackson,16,33
79,1,2:10.0,,A. Drummond misses 2-pt dunk at rim,16,33
80,1,2:08.0,,Offensive rebound by A. Drummond,16,33
81,1,2:04.0,,A. Drummond makes 2-pt hook shot from 5 ft,16,35
82,1,1:44.0,Turnover by Team (shot clock),,16,35
83,1,1:44.0,,A. Baynes enters the game for A. Drummond,16,35
84,1,1:44.0,P. Millsap enters the game for M. Scott,,16,35
85,1,1:23.0,,T. Harris makes 2-pt jump shot from 16 ft,16,37
86,1,1:00.0,P. Millsap makes 2-pt hook shot from 6 ft,,18,37
87,1,0:47.0,,T. Harris makes 3-pt jump shot from 27 ft (assist by I. Smith),18,40
88,1,0:32.0,Personal foul by S. Johnson (drawn by T. Hardaway),,18,40
89,1,0:25.0,P. Millsap misses 3-pt jump shot from 26 ft,,18,40
90,1,0:25.0,,Defensive rebound by R. Bullock,18,40
91,1,0:03.0,,S. Johnson makes 2-pt jump shot from 9 ft (assist by I. Smith),18,42
92,1,0:00.0,M. Delaney misses 3-pt jump shot from 28 ft,,18,42
93,1,0:00.0,Offensive rebound by Team,,18,42
94,2,11:44.0,T. Hardaway misses 3-pt jump shot from 27 ft,,18,42
95,2,11:44.0,,Defensive rebound by M. Morris,18,42
96,2,11:30.0,,A. Baynes misses 2-pt jump shot from 18 ft,18,42
97,2,11:30.0,Defensive rebound by T. Hardaway,,18,42
98,2,11:17.0,D. Schröder makes 2-pt jump shot from 18 ft,,20,42
99,2,10:59.0,,M. Morris makes 2-pt jump shot from 15 ft (assist by I. Smith),20,44
100,2,10:34.0,P. Millsap misses 2-pt jump shot from 16 ft,,20,44
101,2,10:34.0,,Defensive rebound by R. Bullock,20,44
102,2,10:28.0,,R. Bullock misses 3-pt jump shot from 26 ft,20,44
103,2,10:28.0,,Offensive rebound by Team,20,44
104,2,10:14.0,,A. Baynes makes 2-pt hook shot from 6 ft (assist by R. Bullock),20,46
105,2,9:50.0,D. Schröder misses 3-pt jump shot from 26 ft,,20,46
106,2,9:50.0,,Defensive rebound by M. Morris,20,46
107,2,9:38.0,,M. Morris misses 2-pt jump shot from 17 ft,20,46
108,2,9:38.0,Defensive rebound by Team,,20,46
109,2,9:31.0,,Offensive charge foul by D. Schröder (drawn by A. Baynes),20,46
110,2,9:31.0,Turnover by D. Schröder (offensive foul),,20,46
111,2,9:14.0,,I. Smith makes 2-pt jump shot from 19 ft,20,48
112,2,9:12.0,Personal foul by M. Morris (drawn by P. Millsap),,20,48
113,2,9:12.0,K. Bazemore enters the game for T. Hardaway,,20,48
114,2,9:10.0,Personal foul by S. Johnson (drawn by K. Bazemore),,20,48
115,2,8:46.0,D. Schröder makes 2-pt jump shot from 15 ft (assist by P. Millsap),,22,48
116,2,8:37.0,,Shooting foul by D. Howard (drawn by A. Baynes),22,48
117,2,8:37.0,Official timeout,,22,48
118,2,8:37.0,,A. Baynes makes free throw 1 of 2,22,49
119,2,8:37.0,T. Prince enters the game for M. Delaney,,22,48
120,2,8:37.0,,A. Baynes makes free throw 2 of 2,22,50
121,2,8:23.0,D. Howard makes 2-pt hook shot at rim (assist by D. Schröder),,24,50
122,2,8:03.0,,M. Morris makes 2-pt jump shot from 18 ft (assist by I. Smith),24,52
123,2,7:43.0,P. Millsap misses 2-pt jump shot from 9 ft,,24,52
124,2,7:43.0,,Defensive rebound by M. Morris,24,52
125,2,7:35.0,,Shooting foul by D. Howard (drawn by M. Morris),24,52
126,2,7:35.0,,M. Morris makes free throw 1 of 2,24,53
127,2,7:35.0,,R. Jackson enters the game for I. Smith,24,53
128,2,7:35.0,,A. Drummond enters the game for A. Baynes,24,53
129,2,7:35.0,,M. Morris makes free throw 2 of 2,24,54
130,2,7:27.0,K. Bazemore makes 2-pt layup from 1 ft (assist by P. Millsap),,26,54
131,2,7:27.0,Shooting foul by R. Jackson (drawn by K. Bazemore),,26,54
132,2,7:27.0,K. Bazemore makes free throw 1 of 1,,27,54
133,2,7:03.0,,S. Johnson misses 2-pt jump shot from 7 ft (block by D. Howard),27,54
134,2,7:03.0,,Offensive rebound by R. Jackson,27,54
135,2,7:03.0,,Turnover by Team (shot clock),27,54
136,2,7:03.0,,T. Harris enters the game for M. Morris,27,54
137,2,6:52.0,P. Millsap makes 2-pt jump shot from 9 ft (assist by D. Schröder),,29,54
138,2,6:52.0,Shooting foul by T. Harris (drawn by P. Millsap),,29,54
139,2,6:52.0,P. Millsap makes free throw 1 of 1,,30,54
140,2,6:40.0,,R. Jackson misses 2-pt jump shot from 17 ft,30,54
141,2,6:40.0,Defensive rebound by K. Bazemore,,30,54
142,2,6:30.0,K. Bazemore makes 2-pt layup at rim (assist by D. Howard),,32,54
143,2,6:30.0,,Detroit full timeout,32,54
144,2,6:07.0,,R. Bullock misses 3-pt jump shot from 27 ft,32,54
145,2,6:07.0,Defensive rebound by Team,,32,54
146,2,5:59.0,Turnover by D. Howard (step out of bounds),,32,54
147,2,5:46.0,,Shooting foul by T. Prince (drawn by T. Harris),32,54
148,2,5:46.0,,T. Harris misses free throw 1 of 2,32,54
149,2,5:46.0,,Offensive rebound by Team,32,54
150,2,5:46.0,,T. Harris makes free throw 2 of 2,32,55
151,2,5:34.0,P. Millsap makes 2-pt jump shot from 6 ft,,34,55
152,2,5:34.0,Shooting foul by T. Harris (drawn by P. Millsap),,34,55
153,2,5:34.0,,M. Morris enters the game for T. Harris,34,55
154,2,5:34.0,P. Millsap makes free throw 1 of 1,,35,55
155,2,5:18.0,,R. Jackson makes 2-pt jump shot from 12 ft,35,57
156,2,5:08.0,Turnover by D. Howard (lost ball; steal by R. Bullock),,35,57
157,2,4:57.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by M. Morris),35,60
158,2,4:57.0,Atlanta full timeout,,35,60
159,2,4:57.0,T. Hardaway enters the game for T. Prince,,35,60
160,2,4:49.0,Turnover by D. Schröder (bad pass; steal by S. Johnson),,35,60
161,2,4:38.0,,Shooting foul by D. Schröder (drawn by A. Drummond),35,60
162,2,4:38.0,,A. Drummond makes free throw 1 of 2,35,61
163,2,4:38.0,,A. Drummond misses free throw 2 of 2,35,61
164,2,4:37.0,Defensive rebound by K. Bazemore,,35,61
165,2,4:20.0,D. Schröder makes 2-pt layup from 1 ft (assist by P. Millsap),,37,61
166,2,4:03.0,,R. Jackson makes 2-pt jump shot from 7 ft,37,63
167,2,3:47.0,K. Bazemore misses 3-pt jump shot from 29 ft,,37,63
168,2,3:47.0,,Defensive rebound by M. Morris,37,63
169,2,3:31.0,,Turnover by R. Bullock (traveling),37,63
170,2,3:31.0,M. Dunleavy enters the game for P. Millsap,,37,63
171,2,3:20.0,T. Hardaway misses 2-pt layup from 1 ft,,37,63
172,2,3:20.0,Offensive rebound by D. Howard,,37,63
173,2,3:20.0,Shooting foul by R. Bullock (drawn by D. Howard),,37,63
174,2,3:20.0,D. Howard makes free throw 1 of 2,,38,63
175,2,3:20.0,D. Howard makes free throw 2 of 2,,39,63
176,2,3:11.0,,Turnover by R. Bullock (3 sec),39,63
177,2,3:02.0,D. Schröder misses 2-pt jump shot from 16 ft,,39,63
178,2,3:01.0,,Defensive rebound by M. Morris,39,63
179,2,2:54.0,,A. Drummond misses 2-pt jump shot from 5 ft (block by D. Howard),39,63
180,2,2:52.0,,Offensive rebound by S. Johnson,39,63
181,2,2:47.0,,A. Drummond misses 2-pt jump shot from 8 ft (block by K. Bazemore),39,63
182,2,2:46.0,Defensive rebound by D. Howard,,39,63
183,2,2:43.0,T. Hardaway makes 2-pt layup from 1 ft (assist by D. Schröder),,41,63
184,2,2:21.0,,M. Morris makes 2-pt jump shot from 16 ft,41,65
185,2,2:05.0,D. Schröder misses 2-pt layup from 2 ft,,41,65
186,2,2:04.0,,Defensive rebound by A. Drummond,41,65
187,2,1:57.0,,R. Bullock misses 3-pt jump shot from 24 ft,41,65
188,2,1:56.0,,Offensive rebound by A. Drummond,41,65
189,2,1:50.0,,M. Morris misses 2-pt jump shot from 6 ft,41,65
190,2,1:50.0,,Offensive rebound by A. Drummond,41,65
191,2,1:49.0,,A. Drummond misses 2-pt layup at rim,41,65
192,2,1:49.0,,Offensive rebound by A. Drummond,41,65
193,2,1:49.0,,A. Drummond makes 2-pt layup at rim,41,67
194,2,1:49.0,Atlanta full timeout,,41,67
195,2,1:49.0,,I. Smith enters the game for A. Drummond,41,67
196,2,1:49.0,,A. Baynes enters the game for S. Johnson,41,67
197,2,1:49.0,K. Humphries enters the game for D. Howard,,41,67
198,2,1:49.0,M. Delaney enters the game for K. Bazemore,,41,67
199,2,1:49.0,P. Millsap enters the game for D. Schröder,,41,67
200,2,1:31.0,Turnover by P. Millsap (traveling),,41,67
201,2,1:14.0,,R. Jackson makes 2-pt jump shot from 7 ft,41,69
202,2,0:59.0,M. Dunleavy misses 3-pt jump shot from 23 ft,,41,69
203,2,0:58.0,,Defensive rebound by M. Morris,41,69
204,2,0:50.0,,M. Morris misses 3-pt jump shot from 26 ft,41,69
205,2,0:46.0,Defensive rebound by M. Delaney,,41,69
206,2,0:42.0,M. Delaney makes 3-pt jump shot from 27 ft (assist by P. Millsap),,44,69
207,2,0:36.0,,I. Smith misses 3-pt jump shot from 27 ft,44,69
208,2,0:36.0,Defensive rebound by P. Millsap,,44,69
209,2,0:26.0,P. Millsap misses 3-pt jump shot from 26 ft,,44,69
210,2,0:25.0,Offensive rebound by K. Humphries,,44,69
211,2,0:25.0,Personal foul by I. Smith (drawn by M. Delaney),,44,69
212,2,0:25.0,M. Delaney misses free throw 1 of 2,,44,69
213,2,0:25.0,Offensive rebound by Team,,44,69
214,2,0:25.0,T. Prince enters the game for P. Millsap,,44,69
215,2,0:25.0,M. Delaney makes free throw 2 of 2,,45,69
216,2,0:04.0,,R. Jackson misses 2-pt jump shot from 13 ft,45,69
217,2,0:02.0,Defensive rebound by M. Delaney,,45,69
218,3,11:44.0,P. Millsap makes 2-pt layup from 1 ft (assist by K. Bazemore),,47,69
219,3,11:30.0,,R. Bullock makes 2-pt layup at rim (assist by R. Jackson),47,71
220,3,11:08.0,K. Bazemore misses 2-pt layup at rim,,47,71
221,3,11:08.0,,Defensive rebound by T. Harris,47,71
222,3,11:03.0,,Personal foul by K. Bazemore (drawn by T. Harris),47,71
223,3,10:47.0,,R. Jackson misses 3-pt jump shot from 27 ft,47,71
224,3,10:46.0,Defensive rebound by Team,,47,71
225,3,10:27.0,P. Millsap misses 2-pt jump shot from 13 ft,,47,71
226,3,10:26.0,,Defensive rebound by A. Drummond,47,71
227,3,10:15.0,,R. Bullock makes 2-pt layup from 1 ft (assist by A. Drummond),47,73
228,3,9:55.0,Shooting foul by M. Morris (drawn by P. Millsap),,47,73
229,3,9:55.0,P. Millsap misses free throw 1 of 2,,47,73
230,3,9:55.0,Offensive rebound by Team,,47,73
231,3,9:55.0,P. Millsap misses free throw 2 of 2,,47,73
232,3,9:54.0,,Defensive rebound by A. Drummond,47,73
233,3,9:45.0,,Shooting foul by T. Sefolosha (drawn by M. Morris),47,73
234,3,9:45.0,,M. Morris misses free throw 1 of 2,47,73
235,3,9:45.0,,Offensive rebound by Team,47,73
236,3,9:45.0,,M. Morris makes free throw 2 of 2,47,74
237,3,9:31.0,P. Millsap misses 2-pt jump shot from 6 ft,,47,74
238,3,9:31.0,Offensive rebound by P. Millsap,,47,74
239,3,9:28.0,P. Millsap makes 2-pt layup at rim,,49,74
240,3,9:05.0,,R. Bullock misses 2-pt jump shot from 18 ft,49,74
241,3,9:05.0,,Offensive rebound by R. Bullock,49,74
242,3,9:01.0,,A. Drummond makes 2-pt dunk at rim (assist by R. Bullock),49,76
243,3,8:44.0,K. Bazemore misses 2-pt jump shot from 7 ft,,49,76
244,3,8:44.0,,Defensive rebound by A. Drummond,49,76
245,3,8:32.0,,R. Jackson misses 2-pt jump shot from 7 ft,49,76
246,3,8:32.0,,Offensive rebound by A. Drummond,49,76
247,3,8:31.0,,A. Drummond misses 2-pt layup from 1 ft,49,76
248,3,8:31.0,,Offensive rebound by A. Drummond,49,76
249,3,8:30.0,,A. Drummond misses 2-pt layup at rim,49,76
250,3,8:25.0,,Offensive rebound by R. Jackson,49,76
251,3,8:22.0,,R. Jackson misses 3-pt jump shot from 26 ft,49,76
252,3,8:22.0,Defensive rebound by D. Howard,,49,76
253,3,8:03.0,K. Bazemore makes 3-pt jump shot from 25 ft,,52,76
254,3,7:48.0,,R. Jackson misses 2-pt layup from 1 ft,52,76
255,3,7:48.0,Defensive rebound by P. Millsap,,52,76
256,3,7:41.0,D. Schröder misses 2-pt layup from 1 ft,,52,76
257,3,7:41.0,,Defensive rebound by T. Harris,52,76
258,3,7:27.0,,R. Jackson makes 2-pt layup at rim (assist by A. Drummond),52,78
