,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MIAMI_ACTION,CHARLOTTE_SCORE,MIAMI_SCORE
0,1,11:46.0,,R. McGruder misses 3-pt jump shot from 24 ft,0,0
1,1,11:45.0,,Offensive rebound by Team,0,0
2,1,11:26.0,C. Zeller misses 2-pt jump shot from 19 ft,,0,0
3,1,11:25.0,,Defensive rebound by L. Babbitt,0,0
4,1,11:16.0,,Turnover by G. Dragić (bad pass; steal by N. Batum),0,0
5,1,11:10.0,C. Zeller makes 2-pt layup from 2 ft,,2,0
6,1,10:56.0,,L. Babbitt misses 3-pt jump shot from 25 ft,2,0
7,1,10:55.0,,Offensive rebound by H. Whiteside,2,0
8,1,10:48.0,,H. Whiteside misses 2-pt hook shot from 7 ft,2,0
9,1,10:47.0,Defensive rebound by K. Walker,,2,0
10,1,10:37.0,K. Walker misses 2-pt layup from 1 ft,,2,0
11,1,10:36.0,,Defensive rebound by H. Whiteside,2,0
12,1,10:21.0,,L. Babbitt makes 3-pt jump shot from 25 ft (assist by G. Dragić),2,3
13,1,10:07.0,N. Batum misses 2-pt layup from 2 ft (block by H. Whiteside),,2,3
14,1,10:06.0,,Defensive rebound by L. Babbitt,2,3
15,1,10:01.0,,G. Dragić misses 2-pt layup from 2 ft (block by C. Zeller),2,3
16,1,10:00.0,Defensive rebound by M. Kidd-Gilchrist,,2,3
17,1,9:46.0,N. Batum makes 2-pt layup from 1 ft (assist by M. Williams),,4,3
18,1,9:30.0,,D. Waiters misses 2-pt layup from 2 ft,4,3
19,1,9:29.0,Defensive rebound by M. Williams,,4,3
20,1,9:21.0,K. Walker misses 3-pt jump shot from 25 ft,,4,3
21,1,9:20.0,,Defensive rebound by D. Waiters,4,3
22,1,9:11.0,,D. Waiters makes 2-pt layup from 2 ft,4,5
23,1,8:53.0,N. Batum misses 3-pt jump shot from 24 ft,,4,5
24,1,8:52.0,,Defensive rebound by L. Babbitt,4,5
25,1,8:42.0,,Turnover by R. McGruder (step out of bounds),4,5
26,1,8:42.0,,T. Johnson enters the game for G. Dragić,4,5
27,1,8:25.0,K. Walker misses 2-pt layup from 1 ft,,4,5
28,1,8:24.0,,Defensive rebound by L. Babbitt,4,5
29,1,8:09.0,,T. Johnson misses 3-pt jump shot from 25 ft,4,5
30,1,8:08.0,,Offensive rebound by H. Whiteside,4,5
31,1,8:06.0,,H. Whiteside makes 2-pt layup from 2 ft,4,7
32,1,8:06.0,,Shooting foul by C. Zeller (drawn by H. Whiteside),4,7
33,1,8:06.0,,H. Whiteside makes free throw 1 of 1,4,8
34,1,7:50.0,N. Batum misses 2-pt jump shot from 17 ft,,4,8
35,1,7:49.0,,Defensive rebound by H. Whiteside,4,8
36,1,7:39.0,,Turnover by T. Johnson (bad pass; steal by N. Batum),4,8
37,1,7:28.0,M. Williams makes 2-pt jump shot from 10 ft,,6,8
38,1,7:10.0,,Shooting foul by M. Kidd-Gilchrist (drawn by D. Waiters),6,8
39,1,7:10.0,,D. Waiters misses free throw 1 of 2,6,8
40,1,7:10.0,,Offensive rebound by Team,6,8
41,1,7:10.0,J. Lamb enters the game for M. Williams,,6,8
42,1,7:10.0,,D. Waiters makes free throw 2 of 2,6,9
43,1,7:02.0,Personal foul by D. Waiters (drawn by J. Lamb),,6,9
44,1,6:47.0,N. Batum misses 2-pt jump shot from 8 ft,,6,9
45,1,6:46.0,,Defensive rebound by H. Whiteside,6,9
46,1,6:39.0,,D. Waiters misses 3-pt jump shot from 25 ft,6,9
47,1,6:38.0,Defensive rebound by M. Kidd-Gilchrist,,6,9
48,1,6:34.0,Personal foul by D. Waiters (drawn by M. Kidd-Gilchrist),,6,9
49,1,6:34.0,,J. Richardson enters the game for D. Waiters,6,9
50,1,6:22.0,N. Batum makes 2-pt jump shot from 12 ft,,8,9
51,1,6:22.0,Shooting foul by R. McGruder (drawn by N. Batum),,8,9
52,1,6:22.0,N. Batum makes free throw 1 of 1,,9,9
53,1,6:07.0,,J. Richardson misses 2-pt layup from 2 ft (block by M. Kidd-Gilchrist),9,9
54,1,6:06.0,Defensive rebound by N. Batum,,9,9
55,1,5:49.0,K. Walker misses 3-pt jump shot from 25 ft,,9,9
56,1,5:48.0,,Defensive rebound by Team,9,9
57,1,5:48.0,,Miami full timeout,9,9
58,1,5:36.0,,T. Johnson misses 2-pt jump shot from 17 ft,9,9
59,1,5:35.0,Defensive rebound by C. Zeller,,9,9
60,1,5:19.0,C. Zeller makes 2-pt layup from 2 ft (assist by N. Batum),,11,9
61,1,4:59.0,,R. McGruder misses 3-pt jump shot from 24 ft,11,9
62,1,4:58.0,Defensive rebound by N. Batum,,11,9
63,1,4:45.0,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,,11,9
64,1,4:44.0,,Defensive rebound by H. Whiteside,11,9
65,1,4:28.0,,R. McGruder makes 2-pt layup from 2 ft,11,11
66,1,4:01.0,J. Lamb makes 2-pt jump shot from 15 ft (assist by C. Zeller),,13,11
67,1,3:41.0,,Personal foul by N. Batum (drawn by L. Babbitt),13,11
68,1,3:41.0,M. Williams enters the game for M. Kidd-Gilchrist,,13,11
69,1,3:41.0,B. Roberts enters the game for K. Walker,,13,11
70,1,3:41.0,,W. Ellington enters the game for R. McGruder,13,11
71,1,3:41.0,,J. Johnson enters the game for L. Babbitt,13,11
72,1,3:29.0,,W. Ellington misses 3-pt jump shot from 25 ft,13,11
73,1,3:28.0,Defensive rebound by B. Roberts,,13,11
74,1,3:17.0,B. Roberts misses 2-pt jump shot from 5 ft,,13,11
75,1,3:16.0,,Defensive rebound by J. Johnson,13,11
76,1,3:12.0,,Turnover by T. Johnson (lost ball; steal by B. Roberts),13,11
77,1,2:55.0,J. Lamb makes 2-pt jump shot from 5 ft (assist by B. Roberts),,15,11
78,1,2:41.0,,J. Johnson misses 3-pt jump shot from 25 ft,15,11
79,1,2:40.0,Defensive rebound by M. Williams,,15,11
80,1,2:27.0,Shooting foul by T. Johnson (drawn by M. Williams),,15,11
81,1,2:27.0,Charlotte full timeout,,15,11
82,1,2:27.0,M. Williams makes free throw 1 of 2,,16,11
83,1,2:27.0,J. O'Bryant enters the game for C. Zeller,,15,11
84,1,2:27.0,,G. Dragić enters the game for T. Johnson,15,11
85,1,2:27.0,M. Williams makes free throw 2 of 2,,17,11
86,1,2:11.0,,J. Richardson misses 2-pt jump shot from 19 ft,17,11
87,1,2:10.0,Defensive rebound by J. Lamb,,17,11
88,1,1:47.0,J. Lamb misses 2-pt jump shot from 7 ft (block by H. Whiteside),,17,11
89,1,1:46.0,Offensive rebound by N. Batum,,17,11
90,1,1:41.0,Turnover by N. Batum (bad pass; steal by J. Richardson),,17,11
91,1,1:38.0,,J. Johnson makes 2-pt layup from 1 ft (assist by G. Dragić),17,13
92,1,1:23.0,N. Batum makes 2-pt layup from 1 ft (assist by J. O'Bryant),,19,13
93,1,0:59.0,,J. Johnson misses 2-pt jump shot from 5 ft,19,13
94,1,0:58.0,Defensive rebound by J. Lamb,,19,13
95,1,0:51.0,Personal foul by W. Ellington (drawn by M. Williams),,19,13
96,1,0:51.0,M. Williams misses free throw 1 of 2,,19,13
97,1,0:51.0,Offensive rebound by Team,,19,13
98,1,0:51.0,M. Belinelli enters the game for N. Batum,,19,13
99,1,0:51.0,,W. Reed enters the game for H. Whiteside,19,13
100,1,0:51.0,M. Williams makes free throw 2 of 2,,20,13
101,1,0:37.0,,J. Johnson makes 2-pt layup from 1 ft,20,15
102,1,0:32.0,B. Roberts makes 2-pt jump shot from 19 ft,,22,15
103,1,0:17.0,,Shooting foul by B. Roberts (drawn by G. Dragić),22,15
104,1,0:17.0,,G. Dragić makes free throw 1 of 3,22,16
105,1,0:17.0,,G. Dragić makes free throw 2 of 3,22,17
106,1,0:17.0,,G. Dragić makes free throw 3 of 3,22,18
107,1,0:01.0,M. Williams misses 2-pt jump shot from 9 ft,,22,18
108,1,0:00.0,Offensive rebound by Team,,22,18
109,2,11:44.0,Turnover by J. Lamb (bad pass; steal by J. Johnson),,22,18
110,2,11:39.0,,G. Dragić makes 2-pt layup from 2 ft (assist by J. Johnson),22,20
111,2,11:31.0,,Flagrant foul type 1 by M. Williams (drawn by J. Richardson),22,20
112,2,11:31.0,Turnover by M. Williams (offensive foul),,22,20
113,2,11:31.0,,J. Richardson makes flagrant free throw 1 of 2,22,21
114,2,11:31.0,,J. Richardson makes flagrant free throw 2 of 2,22,22
115,2,11:27.0,,G. Dragić misses 2-pt layup from 1 ft,22,22
116,2,11:26.0,,Offensive rebound by W. Reed,22,22
117,2,11:26.0,,Shooting foul by J. O'Bryant (drawn by W. Reed),22,22
118,2,11:26.0,,W. Reed makes free throw 1 of 2,22,23
119,2,11:26.0,,W. Reed misses free throw 2 of 2,22,23
120,2,11:25.0,Defensive rebound by M. Williams,,22,23
121,2,11:01.0,J. O'Bryant misses 2-pt jump shot from 12 ft,,22,23
122,2,11:00.0,,Defensive rebound by G. Dragić,22,23
123,2,10:54.0,,W. Ellington makes 3-pt jump shot from 26 ft (assist by G. Dragić),22,26
124,2,10:49.0,Charlotte full timeout,,22,26
125,2,10:49.0,C. Zeller enters the game for J. O'Bryant,,22,26
126,2,10:41.0,M. Belinelli misses 2-pt jump shot from 16 ft,,22,26
127,2,10:40.0,,Defensive rebound by W. Reed,22,26
128,2,10:23.0,,W. Ellington misses 3-pt jump shot from 25 ft,22,26
129,2,10:22.0,Defensive rebound by M. Williams,,22,26
130,2,10:10.0,Turnover by B. Roberts (bad pass; steal by W. Ellington),,22,26
131,2,10:07.0,,J. Richardson misses 2-pt layup from 2 ft,22,26
132,2,10:06.0,,Offensive rebound by G. Dragić,22,26
133,2,10:05.0,,G. Dragić makes 2-pt layup from 1 ft,22,28
134,2,9:46.0,M. Belinelli makes 2-pt jump shot from 17 ft (assist by J. Lamb),,24,28
135,2,9:34.0,,W. Reed makes 2-pt dunk at rim (assist by G. Dragić),24,30
136,2,9:10.0,B. Roberts misses 3-pt jump shot from 24 ft,,24,30
137,2,9:09.0,,Defensive rebound by J. Johnson,24,30
138,2,8:57.0,,J. Richardson misses 2-pt jump shot from 21 ft (block by J. Lamb),24,30
139,2,8:56.0,,Offensive rebound by J. Richardson,24,30
140,2,8:54.0,,J. Richardson makes 2-pt jump shot from 15 ft,24,32
141,2,8:45.0,Personal foul by W. Reed (drawn by C. Zeller),,24,32
142,2,8:41.0,Personal foul by W. Ellington (drawn by M. Belinelli),,24,32
143,2,8:41.0,M. Belinelli makes free throw 1 of 3,,25,32
144,2,8:41.0,M. Belinelli makes free throw 2 of 3,,26,32
145,2,8:41.0,K. Walker enters the game for B. Roberts,,24,32
146,2,8:41.0,M. Belinelli makes free throw 3 of 3,,27,32
147,2,8:28.0,,J. Richardson misses 3-pt jump shot from 24 ft,27,32
148,2,8:27.0,Defensive rebound by M. Williams,,27,32
149,2,8:15.0,K. Walker makes 3-pt jump shot from 24 ft,,30,32
150,2,7:57.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by W. Reed),30,35
