,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MILWAUKEE_ACTION,LA CLIPPERS_SCORE,MILWAUKEE_SCORE
0,1,11:40.0,D. Jordan makes 2-pt layup at rim (assist by B. Griffin),,2,0
1,1,11:19.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,2,0
2,1,11:17.0,Defensive rebound by D. Jordan,,2,0
3,1,10:59.0,Turnover by B. Griffin (step out of bounds),,2,0
4,1,10:39.0,,K. Middleton misses 2-pt jump shot from 12 ft,2,0
5,1,10:37.0,Defensive rebound by D. Jordan,,2,0
6,1,10:26.0,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by C. Paul),,4,0
7,1,10:10.0,,M. Brogdon misses 3-pt jump shot from 24 ft,4,0
8,1,10:09.0,Defensive rebound by B. Griffin,,4,0
9,1,10:03.0,Turnover by C. Paul (bad pass; steal by G. Antetokounmpo),,4,0
10,1,9:56.0,,M. Brogdon makes 3-pt jump shot from 24 ft (assist by K. Middleton),4,3
11,1,9:28.0,J. Redick makes 2-pt jump shot from 15 ft (assist by B. Griffin),,6,3
12,1,9:07.0,,T. Maker misses 3-pt jump shot from 26 ft,6,3
13,1,9:05.0,Defensive rebound by L. Mbah a Moute,,6,3
14,1,9:01.0,Turnover by C. Paul (bad pass),,6,3
15,1,8:52.0,,T. Snell makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),6,6
16,1,8:38.0,J. Redick misses 3-pt jump shot from 26 ft,,6,6
17,1,8:37.0,,Defensive rebound by M. Brogdon,6,6
18,1,8:30.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),6,8
19,1,8:17.0,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by B. Griffin),,8,8
20,1,8:01.0,,T. Snell misses 2-pt jump shot from 17 ft,8,8
21,1,8:00.0,Defensive rebound by B. Griffin,,8,8
22,1,7:57.0,Shooting foul by K. Middleton (drawn by D. Jordan),,8,8
23,1,7:57.0,D. Jordan misses free throw 1 of 2,,8,8
24,1,7:57.0,Offensive rebound by Team,,8,8
25,1,7:57.0,D. Jordan misses free throw 2 of 2,,8,8
26,1,7:57.0,,G. Monroe enters the game for T. Maker,8,8
27,1,7:55.0,,Defensive rebound by G. Antetokounmpo,8,8
28,1,7:43.0,,K. Middleton misses 2-pt layup from 3 ft,8,8
29,1,7:42.0,Defensive rebound by D. Jordan,,8,8
30,1,7:38.0,Shooting foul by T. Snell (drawn by B. Griffin),,8,8
31,1,7:38.0,B. Griffin misses free throw 1 of 2,,8,8
32,1,7:38.0,Offensive rebound by Team,,8,8
33,1,7:38.0,B. Griffin misses free throw 2 of 2,,8,8
34,1,7:37.0,,Defensive rebound by G. Antetokounmpo,8,8
35,1,7:22.0,,G. Antetokounmpo misses 2-pt jump shot from 5 ft,8,8
36,1,7:21.0,Defensive rebound by J. Redick,,8,8
37,1,7:02.0,Turnover by J. Redick (bad pass; steal by K. Middleton),,8,8
38,1,6:59.0,,K. Middleton makes 2-pt dunk at rim,8,10
39,1,6:39.0,Shooting foul by G. Antetokounmpo (drawn by D. Jordan),,8,10
40,1,6:39.0,D. Jordan makes free throw 1 of 2,,9,10
41,1,6:39.0,,J. Terry enters the game for K. Middleton,9,10
42,1,6:39.0,D. Jordan makes free throw 2 of 2,,10,10
43,1,6:21.0,,G. Antetokounmpo makes 2-pt jump shot from 18 ft,10,12
44,1,5:58.0,Shooting foul by G. Monroe (drawn by D. Jordan),,10,12
45,1,5:58.0,,Milwaukee full timeout,10,12
46,1,5:58.0,D. Jordan misses free throw 1 of 2,,10,12
47,1,5:58.0,Offensive rebound by Team,,10,12
48,1,5:58.0,D. Jordan misses free throw 2 of 2,,10,12
49,1,5:57.0,Offensive rebound by Team,,10,12
50,1,5:53.0,L. Mbah a Moute misses 3-pt jump shot from 23 ft,,10,12
51,1,5:52.0,,Defensive rebound by G. Monroe,10,12
52,1,5:49.0,,Turnover by G. Monroe (bad pass; steal by L. Mbah a Moute),10,12
53,1,5:34.0,C. Paul makes 3-pt jump shot from 25 ft (assist by J. Redick),,13,12
54,1,5:17.0,,M. Brogdon misses 2-pt layup from 1 ft (block by D. Jordan),13,12
55,1,5:14.0,Defensive rebound by C. Paul,,13,12
56,1,5:11.0,Shooting foul by T. Snell (drawn by B. Griffin),,13,12
57,1,5:11.0,B. Griffin makes free throw 1 of 2,,14,12
58,1,5:11.0,,M. Dellavedova enters the game for M. Brogdon,14,12
59,1,5:11.0,,K. Middleton enters the game for T. Snell,14,12
60,1,5:11.0,B. Griffin makes free throw 2 of 2,,15,12
61,1,4:57.0,,M. Dellavedova misses 2-pt jump shot from 7 ft,15,12
62,1,4:54.0,,Offensive rebound by G. Monroe,15,12
63,1,4:54.0,,G. Monroe makes 2-pt layup at rim,15,14
64,1,4:46.0,C. Paul makes 2-pt jump shot from 18 ft,,17,14
65,1,4:33.0,,G. Monroe makes 2-pt layup at rim (assist by K. Middleton),17,16
66,1,4:17.0,C. Paul misses 2-pt jump shot from 19 ft,,17,16
67,1,4:16.0,,Defensive rebound by G. Antetokounmpo,17,16
68,1,4:13.0,,Personal foul by D. Jordan (drawn by M. Dellavedova),17,16
69,1,4:13.0,A. Rivers enters the game for J. Redick,,17,16
70,1,4:13.0,J. Crawford enters the game for L. Mbah a Moute,,17,16
71,1,4:05.0,,G. Antetokounmpo makes 2-pt jump shot from 2 ft (assist by G. Monroe),17,18
72,1,3:56.0,Turnover by B. Griffin (bad pass; steal by K. Middleton),,17,18
73,1,3:52.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),17,20
74,1,3:50.0,LA Clippers full timeout,,17,20
75,1,3:36.0,Turnover by J. Crawford (bad pass; steal by G. Antetokounmpo),,17,20
76,1,3:27.0,,Shooting foul by C. Paul (drawn by K. Middleton),17,20
77,1,3:27.0,,K. Middleton makes free throw 1 of 2,17,21
78,1,3:27.0,L. Mbah a Moute enters the game for B. Griffin,,17,21
79,1,3:27.0,,K. Middleton makes free throw 2 of 2,17,22
80,1,3:06.0,A. Rivers makes 2-pt jump shot from 8 ft (assist by C. Paul),,19,22
81,1,2:47.0,,K. Middleton makes 2-pt jump shot from 12 ft,19,24
82,1,2:39.0,A. Rivers misses 3-pt jump shot from 24 ft,,19,24
83,1,2:38.0,,Defensive rebound by G. Antetokounmpo,19,24
