,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,SACRAMENTO_ACTION,MEMPHIS_SCORE,SACRAMENTO_SCORE
0,1,11:39.0,M. Gasol misses 2-pt jump shot from 10 ft,,0,0
1,1,11:39.0,,Defensive rebound by D. Collison,0,0
2,1,11:17.0,,D. Collison misses 2-pt jump shot from 8 ft,0,0
3,1,11:16.0,Defensive rebound by J. Green,,0,0
4,1,11:06.0,M. Gasol misses 2-pt jump shot from 19 ft,,0,0
5,1,11:05.0,,Defensive rebound by D. Cousins,0,0
6,1,10:58.0,,B. McLemore misses 3-pt jump shot from 25 ft,0,0
7,1,10:57.0,Defensive rebound by M. Conley,,0,0
8,1,10:45.0,M. Gasol misses 2-pt hook shot from 7 ft,,0,0
9,1,10:44.0,,Defensive rebound by K. Koufos,0,0
10,1,10:20.0,,D. Cousins makes 2-pt jump shot from 20 ft,0,2
11,1,10:00.0,C. Parsons misses 3-pt jump shot from 25 ft,,0,2
12,1,10:00.0,Offensive rebound by T. Allen,,0,2
13,1,9:57.0,T. Allen makes 2-pt layup from 2 ft,,2,2
14,1,9:30.0,,Turnover by Team (shot clock),2,2
15,1,9:16.0,J. Green misses 3-pt jump shot from 24 ft,,2,2
16,1,9:15.0,,Defensive rebound by K. Koufos,2,2
17,1,9:02.0,,D. Collison makes 2-pt layup from 2 ft (assist by D. Cousins),2,4
18,1,8:44.0,M. Conley makes 2-pt jump shot from 12 ft,,4,4
19,1,8:32.0,,D. Cousins misses 2-pt jump shot from 19 ft,4,4
20,1,8:31.0,Defensive rebound by C. Parsons,,4,4
21,1,8:19.0,T. Allen misses 2-pt layup from 2 ft,,4,4
22,1,8:18.0,,Defensive rebound by K. Koufos,4,4
23,1,8:09.0,,D. Collison makes 2-pt jump shot from 5 ft,4,6
24,1,7:50.0,C. Parsons misses 3-pt jump shot from 25 ft,,4,6
25,1,7:50.0,,Defensive rebound by Team,4,6
26,1,7:34.0,,K. Koufos misses 2-pt hook shot from 6 ft,4,6
27,1,7:33.0,Defensive rebound by T. Allen,,4,6
28,1,7:17.0,M. Conley makes 2-pt jump shot from 18 ft,,6,6
29,1,6:56.0,,D. Collison makes 2-pt jump shot from 20 ft (assist by D. Cousins),6,8
30,1,6:36.0,J. Green makes 3-pt jump shot from 23 ft (assist by T. Allen),,9,8
31,1,6:23.0,,M. Barnes makes 3-pt jump shot from 25 ft (assist by D. Collison),9,11
32,1,6:08.0,J. Green misses 2-pt jump shot from 3 ft (block by K. Koufos),,9,11
33,1,6:07.0,,Defensive rebound by K. Koufos,9,11
34,1,6:06.0,,Personal foul by J. Green (drawn by K. Koufos),9,11
35,1,6:06.0,J. Ennis enters the game for C. Parsons,,9,11
36,1,5:53.0,,B. McLemore makes 2-pt jump shot from 19 ft (assist by D. Cousins),9,13
37,1,5:36.0,T. Allen makes 2-pt jump shot from 20 ft (assist by M. Conley),,11,13
38,1,5:11.0,,M. Barnes makes 3-pt jump shot from 26 ft,11,16
39,1,5:02.0,Memphis full timeout,,11,16
40,1,5:02.0,Z. Randolph enters the game for J. Green,,11,16
41,1,5:02.0,A. Harrison enters the game for M. Conley,,11,16
42,1,4:51.0,Turnover by Z. Randolph (lost ball; steal by D. Cousins),,11,16
43,1,4:42.0,,Turnover by D. Cousins (offensive goaltending),11,16
44,1,4:26.0,J. Ennis misses 2-pt jump shot from 22 ft,,11,16
45,1,4:25.0,,Defensive rebound by K. Koufos,11,16
46,1,4:24.0,,Turnover by K. Koufos (bad pass; steal by T. Allen),11,16
47,1,4:14.0,Z. Randolph makes 2-pt jump shot from 4 ft,,13,16
48,1,3:59.0,,Personal foul by M. Gasol (drawn by D. Cousins),13,16
49,1,3:59.0,V. Carter enters the game for T. Allen,,13,16
50,1,3:43.0,,D. Collison misses 2-pt jump shot from 18 ft,13,16
51,1,3:43.0,Defensive rebound by J. Ennis,,13,16
52,1,3:24.0,,G. Temple enters the game for B. McLemore,13,16
53,1,3:19.0,Z. Randolph makes 2-pt jump shot from 18 ft (assist by J. Ennis),,15,16
54,1,3:14.0,,Sacramento full timeout,15,16
55,1,3:14.0,,O. Casspi enters the game for M. Barnes,15,16
56,1,3:05.0,,D. Collison misses 2-pt jump shot from 10 ft,15,16
57,1,3:05.0,Defensive rebound by Z. Randolph,,15,16
58,1,2:53.0,A. Harrison makes 2-pt jump shot from 14 ft,,17,16
59,1,2:30.0,,O. Casspi makes 2-pt layup from 3 ft (assist by D. Cousins),17,18
60,1,2:12.0,Z. Randolph misses 2-pt jump shot from 6 ft (block by K. Koufos),,17,18
61,1,2:10.0,,Defensive rebound by K. Koufos,17,18
62,1,1:50.0,,G. Temple misses 2-pt jump shot from 20 ft,17,18
63,1,1:48.0,,Offensive rebound by O. Casspi,17,18
64,1,1:48.0,,O. Casspi misses 2-pt layup from 1 ft,17,18
65,1,1:47.0,Defensive rebound by J. Ennis,,17,18
66,1,1:33.0,V. Carter misses 3-pt jump shot from 25 ft,,17,18
67,1,1:33.0,,Defensive rebound by Team,17,18
68,1,1:33.0,J. Green enters the game for M. Gasol,,17,18
69,1,1:33.0,,T. Lawson enters the game for K. Koufos,17,18
70,1,1:33.0,,A. Tolliver enters the game for D. Collison,17,18
71,1,1:11.0,,O. Casspi misses 3-pt jump shot from 23 ft,17,18
72,1,1:11.0,Defensive rebound by Z. Randolph,,17,18
73,1,0:51.0,Z. Randolph misses 2-pt jump shot from 16 ft,,17,18
74,1,0:49.0,,Defensive rebound by A. Tolliver,17,18
75,1,0:44.0,,Shooting foul by Z. Randolph (drawn by D. Cousins),17,18
76,1,0:44.0,,D. Cousins makes free throw 1 of 2,17,19
77,1,0:44.0,,D. Cousins makes free throw 2 of 2,17,20
78,1,0:34.0,A. Harrison makes 2-pt layup from 3 ft,,19,20
79,1,0:28.0,,D. Cousins misses 2-pt layup from 2 ft,19,20
80,1,0:27.0,Defensive rebound by Z. Randolph,,19,20
81,1,0:05.0,J. Ennis makes 2-pt jump shot from 19 ft (assist by A. Harrison),,21,20
82,1,0:00.0,,D. Cousins misses 3-pt jump shot from 27 ft,21,20
83,1,0:00.0,,Offensive rebound by Team,21,20
84,2,11:41.0,,G. Temple misses 3-pt jump shot from 24 ft,21,20
85,2,11:41.0,Defensive rebound by V. Carter,,21,20
86,2,11:25.0,V. Carter makes 3-pt jump shot from 24 ft (assist by Z. Randolph),,24,20
87,2,11:00.0,,T. Lawson misses 2-pt layup from 2 ft (block by V. Carter),24,20
88,2,10:59.0,Defensive rebound by A. Harrison,,24,20
89,2,10:36.0,Z. Randolph misses 2-pt jump shot from 21 ft,,24,20
90,2,10:34.0,,Defensive rebound by T. Lawson,24,20
91,2,10:25.0,,O. Casspi misses 2-pt jump shot from 4 ft,24,20
92,2,10:23.0,Defensive rebound by V. Carter,,24,20
93,2,10:18.0,Z. Randolph makes 2-pt layup from 2 ft (assist by J. Green),,26,20
94,2,10:06.0,,Personal foul by A. Harrison (drawn by T. Lawson),26,20
95,2,10:06.0,T. Daniels enters the game for J. Ennis,,26,20
96,2,9:55.0,,A. Tolliver misses 3-pt jump shot from 25 ft,26,20
97,2,9:55.0,Defensive rebound by V. Carter,,26,20
98,2,9:36.0,Z. Randolph makes 2-pt layup from 3 ft,,28,20
99,2,9:22.0,,T. Lawson misses 3-pt jump shot from 25 ft,28,20
100,2,9:21.0,,Offensive rebound by G. Temple,28,20
101,2,9:20.0,,Turnover by W. Cauley-Stein (traveling),28,20
102,2,9:20.0,,D. Collison enters the game for O. Casspi,28,20
103,2,9:20.0,M. Conley enters the game for A. Harrison,,28,20
104,2,8:59.0,Z. Randolph makes 2-pt hook shot from 4 ft,,30,20
105,2,8:55.0,,Sacramento full timeout,30,20
