,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,WASHINGTON_ACTION,MILWAUKEE_SCORE,WASHINGTON_SCORE
0,1,11:41.0,,Turnover by J. Wall (bad pass; steal by M. Dellavedova),0,0
1,1,11:33.0,G. Antetokounmpo makes 2-pt layup at rim (assist by M. Dellavedova),,2,0
2,1,11:17.0,,J. Wall misses 2-pt layup from 2 ft,2,0
3,1,11:16.0,Defensive rebound by G. Antetokounmpo,,2,0
4,1,11:06.0,T. Snell makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,5,0
5,1,10:53.0,,Turnover by O. Porter (bad pass; steal by M. Dellavedova),5,0
6,1,10:46.0,J. Henson makes 2-pt hook shot from 3 ft (assist by M. Dellavedova),,7,0
7,1,10:37.0,,Shooting foul by J. Henson (drawn by O. Porter),7,0
8,1,10:37.0,,O. Porter misses free throw 1 of 2,7,0
9,1,10:37.0,,Offensive rebound by Team,7,0
10,1,10:37.0,,O. Porter makes free throw 2 of 2,7,1
11,1,10:18.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Wall),,7,1
12,1,10:12.0,,Turnover by J. Wall (bad pass; steal by T. Snell),7,1
13,1,10:07.0,Turnover by T. Snell (lost ball; steal by B. Beal),,7,1
14,1,10:00.0,,O. Porter makes 2-pt layup from 1 ft (assist by B. Beal),7,3
15,1,9:34.0,T. Snell misses 2-pt jump shot from 16 ft,,7,3
16,1,9:32.0,,Defensive rebound by M. Morris,7,3
17,1,9:22.0,,O. Porter makes 3-pt jump shot from 23 ft (assist by J. Wall),7,6
18,1,9:06.0,J. Henson misses 2-pt jump shot from 8 ft,,7,6
19,1,9:05.0,,Defensive rebound by O. Porter,7,6
20,1,8:54.0,,B. Beal misses 3-pt jump shot from 26 ft,7,6
21,1,8:53.0,Defensive rebound by M. Dellavedova,,7,6
22,1,8:43.0,T. Snell makes 3-pt jump shot from 25 ft (assist by M. Dellavedova),,10,6
23,1,8:27.0,,O. Porter misses 2-pt jump shot from 14 ft,10,6
24,1,8:26.0,Defensive rebound by T. Snell,,10,6
25,1,8:05.0,G. Antetokounmpo makes 2-pt jump shot from 19 ft,,12,6
26,1,7:56.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by J. Wall),12,9
27,1,7:43.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,12,9
28,1,7:43.0,,Defensive rebound by M. Gortat,12,9
29,1,7:31.0,,M. Morris misses 2-pt jump shot from 15 ft,12,9
30,1,7:29.0,Defensive rebound by J. Parker,,12,9
31,1,7:17.0,J. Henson makes 2-pt hook shot from 8 ft,,14,9
32,1,7:07.0,M. Brogdon enters the game for J. Henson,,14,9
33,1,7:07.0,G. Monroe enters the game for M. Dellavedova,,14,9
34,1,6:58.0,,M. Morris makes 2-pt layup from 2 ft (assist by B. Beal),14,11
35,1,6:40.0,Turnover by J. Parker (bad pass; steal by M. Morris),,14,11
36,1,6:35.0,,J. Wall misses 2-pt layup from 1 ft (block by G. Antetokounmpo),14,11
37,1,6:35.0,,Offensive rebound by Team,14,11
38,1,6:31.0,,B. Beal misses 2-pt jump shot from 19 ft,14,11
39,1,6:29.0,Defensive rebound by G. Monroe,,14,11
40,1,6:15.0,J. Parker misses 3-pt jump shot from 24 ft,,14,11
41,1,6:14.0,,Defensive rebound by M. Gortat,14,11
42,1,6:03.0,,M. Morris makes 2-pt dunk at rim (assist by M. Gortat),14,13
43,1,5:42.0,G. Antetokounmpo misses 2-pt jump shot from 17 ft,,14,13
44,1,5:41.0,,Defensive rebound by M. Gortat,14,13
45,1,5:36.0,,Washington full timeout,14,13
46,1,5:36.0,M. Beasley enters the game for G. Antetokounmpo,,14,13
47,1,5:36.0,,K. Oubre enters the game for B. Beal,14,13
48,1,5:36.0,,B. Beal enters the game for M. Morris,14,13
49,1,5:24.0,,B. Beal misses 3-pt jump shot from 25 ft,14,13
50,1,5:23.0,Defensive rebound by J. Parker,,14,13
51,1,5:04.0,G. Monroe makes 2-pt hook shot from 5 ft,,16,13
52,1,5:04.0,Shooting foul by K. Oubre (drawn by G. Monroe),,16,13
53,1,5:04.0,G. Monroe makes free throw 1 of 1,,17,13
54,1,4:49.0,,O. Porter misses 3-pt jump shot from 25 ft,17,13
55,1,4:47.0,,Offensive rebound by M. Gortat,17,13
56,1,4:35.0,,K. Oubre makes 3-pt jump shot from 25 ft (assist by M. Gortat),17,16
57,1,4:19.0,M. Beasley misses 2-pt jump shot from 15 ft,,17,16
58,1,4:17.0,,Defensive rebound by O. Porter,17,16
59,1,4:16.0,,Turnover by O. Porter (lost ball),17,16
60,1,4:04.0,J. Parker misses 2-pt jump shot from 21 ft,,17,16
61,1,4:03.0,,Defensive rebound by O. Porter,17,16
62,1,3:57.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),17,19
63,1,3:37.0,M. Beasley makes 2-pt jump shot from 21 ft (assist by J. Parker),,19,19
64,1,3:20.0,,O. Porter makes 2-pt dunk at rim (assist by J. Wall),19,21
65,1,3:10.0,J. Parker misses 2-pt jump shot from 17 ft,,19,21
66,1,3:09.0,,Defensive rebound by M. Gortat,19,21
67,1,3:01.0,,Personal foul by M. Beasley (drawn by J. Wall),19,21
68,1,2:53.0,,Turnover by B. Beal (bad pass; steal by M. Beasley),19,21
69,1,2:45.0,J. Parker misses 2-pt layup from 2 ft (block by J. Wall),,19,21
70,1,2:43.0,,Defensive rebound by O. Porter,19,21
71,1,2:40.0,,M. Gortat makes 2-pt layup at rim (assist by K. Oubre),19,23
72,1,2:27.0,J. Parker makes 2-pt dunk at rim,,21,23
73,1,2:16.0,,Turnover by J. Wall (bad pass; steal by M. Beasley),21,23
74,1,2:11.0,Turnover by T. Snell (bad pass; steal by K. Oubre),,21,23
75,1,2:07.0,,K. Oubre makes 2-pt dunk at rim (assist by B. Beal),21,25
76,1,2:07.0,Milwaukee full timeout,,21,25
77,1,2:07.0,,J. Smith enters the game for M. Gortat,21,25
78,1,2:07.0,,M. Thornton enters the game for B. Beal,21,25
79,1,2:07.0,J. Terry enters the game for T. Snell,,21,25
80,1,1:45.0,J. Parker makes 2-pt dunk at rim (assist by M. Beasley),,23,25
81,1,1:24.0,,O. Porter makes 2-pt layup from 1 ft (assist by J. Wall),23,27
82,1,1:10.0,M. Brogdon makes 2-pt layup at rim,,25,27
83,1,0:58.0,,Shooting foul by M. Beasley (drawn by J. Smith),25,27
84,1,0:58.0,,J. Smith makes free throw 1 of 2,25,28
85,1,0:58.0,,J. Smith misses free throw 2 of 2,25,28
86,1,0:58.0,G. Antetokounmpo enters the game for J. Parker,,25,28
87,1,0:56.0,Defensive rebound by G. Monroe,,25,28
88,1,0:44.0,M. Beasley misses 2-pt jump shot from 20 ft,,25,28
89,1,0:43.0,,Defensive rebound by J. Smith,25,28
90,1,0:33.0,,J. Wall misses 2-pt jump shot from 17 ft,25,28
91,1,0:32.0,Defensive rebound by G. Antetokounmpo,,25,28
92,1,0:23.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by M. Brogdon),,27,28
93,1,0:02.0,,K. Oubre misses 3-pt jump shot from 25 ft,27,28
94,1,0:01.0,Defensive rebound by M. Beasley,,27,28
95,2,11:43.0,Turnover by G. Monroe (bad pass),,27,28
96,2,11:19.0,,K. Oubre misses 2-pt jump shot from 16 ft,27,28
97,2,11:16.0,,Offensive rebound by K. Oubre,27,28
98,2,11:11.0,,J. Smith makes 2-pt jump shot from 17 ft (assist by K. Oubre),27,30
99,2,10:45.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,27,30
100,2,10:44.0,Offensive rebound by G. Antetokounmpo,,27,30
101,2,10:32.0,G. Monroe misses 2-pt hook shot from 6 ft,,27,30
102,2,10:30.0,,Defensive rebound by K. Oubre,27,30
103,2,10:14.0,,K. Oubre misses 3-pt jump shot from 27 ft,27,30
104,2,10:14.0,Defensive rebound by G. Antetokounmpo,,27,30
105,2,10:14.0,Personal foul by M. Thornton (drawn by M. Brogdon),,27,30
106,2,10:14.0,M. Dellavedova enters the game for M. Brogdon,,27,30
107,2,9:58.0,M. Beasley misses 3-pt jump shot from 24 ft,,27,30
108,2,9:57.0,Offensive rebound by G. Antetokounmpo,,27,30
109,2,9:54.0,G. Monroe makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,29,30
110,2,9:33.0,,M. Thornton makes 3-pt jump shot from 26 ft (assist by K. Oubre),29,33
111,2,9:18.0,M. Beasley misses 2-pt jump shot from 19 ft,,29,33
112,2,9:17.0,,Defensive rebound by M. Thornton,29,33
113,2,9:03.0,,M. Morris makes 2-pt jump shot from 18 ft (assist by M. Thornton),29,35
114,2,8:52.0,J. Terry misses 2-pt jump shot from 20 ft,,29,35
115,2,8:50.0,Offensive rebound by G. Monroe,,29,35
116,2,8:49.0,Shooting foul by J. Smith (drawn by G. Monroe),,29,35
117,2,8:49.0,Official timeout,,29,35
118,2,8:49.0,G. Monroe misses free throw 1 of 2,,29,35
119,2,8:49.0,Offensive rebound by Team,,29,35
120,2,8:49.0,G. Monroe makes free throw 2 of 2,,30,35
121,2,8:38.0,,T. Burke misses 2-pt jump shot from 19 ft,30,35
122,2,8:36.0,Defensive rebound by J. Terry,,30,35
123,2,8:34.0,Shooting foul by M. Morris (drawn by G. Antetokounmpo),,30,35
124,2,8:34.0,G. Antetokounmpo makes free throw 1 of 2,,31,35
125,2,8:34.0,J. Henson enters the game for G. Monroe,,31,35
