,QUARTER,TIME_REMAINING,UTAH_ACTION,BROOKLYN_ACTION,UTAH_SCORE,BROOKLYN_SCORE
0,1,11:47.0,,B. Lopez misses 2-pt hook shot from 10 ft,0,0
1,1,11:46.0,Defensive rebound by R. Gobert,,0,0
2,1,11:24.0,S. Mack misses 2-pt jump shot from 20 ft,,0,0
3,1,11:23.0,,Defensive rebound by T. Booker,0,0
4,1,11:04.0,,T. Booker makes 3-pt jump shot from 25 ft (assist by S. Kilpatrick),0,3
5,1,10:41.0,R. Hood misses 2-pt layup from 3 ft,,0,3
6,1,10:40.0,Offensive rebound by R. Gobert,,0,3
7,1,10:39.0,R. Gobert misses 2-pt layup from 2 ft (block by B. Lopez),,0,3
8,1,10:37.0,,Defensive rebound by S. Kilpatrick,0,3
9,1,10:32.0,,T. Booker misses 2-pt layup from 2 ft,0,3
10,1,10:30.0,Defensive rebound by R. Gobert,,0,3
11,1,10:18.0,R. Gobert makes 2-pt dunk at rim (assist by S. Mack),,2,3
12,1,10:04.0,,S. Kilpatrick misses 2-pt jump shot from 15 ft,2,3
13,1,10:03.0,Defensive rebound by R. Gobert,,2,3
14,1,9:53.0,R. Hood makes 2-pt jump shot from 9 ft,,4,3
15,1,9:40.0,,B. Lopez makes 2-pt jump shot from 15 ft,4,5
16,1,9:34.0,Utah full timeout,,4,5
17,1,9:08.0,D. Favors misses 2-pt jump shot from 19 ft,,4,5
18,1,9:07.0,,Defensive rebound by S. Kilpatrick,4,5
19,1,8:51.0,,B. Lopez makes 3-pt jump shot from 24 ft (assist by T. Booker),4,8
20,1,8:33.0,S. Mack makes 2-pt jump shot from 20 ft,,6,8
21,1,8:27.0,,Turnover by I. Whitehead (traveling),6,8
22,1,8:11.0,D. Favors misses 2-pt jump shot from 17 ft,,6,8
23,1,8:10.0,Offensive rebound by S. Mack,,6,8
24,1,8:07.0,R. Hood misses 3-pt jump shot from 24 ft,,6,8
25,1,8:06.0,,Defensive rebound by T. Booker,6,8
26,1,7:44.0,,B. Lopez misses 2-pt hook shot from 11 ft,6,8
27,1,7:43.0,,Offensive rebound by T. Booker,6,8
28,1,7:39.0,,T. Booker misses 2-pt hook shot from 3 ft,6,8
29,1,7:38.0,,Offensive rebound by T. Booker,6,8
30,1,7:36.0,,Shooting foul by R. Gobert (drawn by T. Booker),6,8
