,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CHICAGO_ACTION,MINNESOTA_SCORE,CHICAGO_SCORE
0,1,11:44.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Butler),0,2
1,1,11:31.0,K. Towns misses 2-pt layup from 2 ft,,0,2
2,1,11:30.0,,Defensive rebound by J. Butler,0,2
3,1,11:15.0,,T. Gibson misses 2-pt jump shot from 8 ft,0,2
4,1,11:14.0,Defensive rebound by K. Towns,,0,2
5,1,11:04.0,Turnover by R. Rubio (lost ball; steal by J. Grant),,0,2
6,1,10:46.0,,R. Lopez makes 2-pt hook shot from 11 ft,0,4
7,1,10:33.0,G. Dieng makes 2-pt jump shot from 16 ft (assist by R. Rubio),,2,4
8,1,10:20.0,,R. Lopez makes 2-pt hook shot from 7 ft (assist by D. Wade),2,6
9,1,9:59.0,G. Dieng makes 2-pt layup from 2 ft (assist by Z. LaVine),,4,6
10,1,9:34.0,,T. Gibson misses 2-pt hook shot from 10 ft,4,6
11,1,9:33.0,,Offensive rebound by R. Lopez,4,6
12,1,9:33.0,,R. Lopez makes 2-pt layup from 2 ft,4,8
13,1,9:17.0,Z. LaVine misses 3-pt jump shot from 22 ft,,4,8
14,1,9:17.0,,Defensive rebound by J. Grant,4,8
15,1,9:08.0,,Shooting foul by Z. LaVine (drawn by J. Butler),4,8
16,1,9:08.0,,J. Butler makes free throw 1 of 2,4,9
17,1,9:08.0,,J. Butler makes free throw 2 of 2,4,10
18,1,9:03.0,A. Wiggins makes 2-pt dunk at rim (assist by R. Rubio),,6,10
19,1,8:42.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by J. Butler),6,13
20,1,8:26.0,K. Towns misses 3-pt jump shot from 25 ft,,6,13
21,1,8:25.0,,Defensive rebound by D. Wade,6,13
22,1,8:15.0,,Turnover by R. Lopez (lost ball),6,13
23,1,8:05.0,Personal foul by T. Gibson (drawn by K. Towns),,6,13
24,1,7:53.0,A. Wiggins misses 2-pt jump shot from 13 ft (block by J. Butler),,6,13
25,1,7:53.0,Offensive rebound by Team,,6,13
26,1,7:50.0,K. Towns misses 3-pt jump shot from 23 ft,,6,13
27,1,7:49.0,,Defensive rebound by J. Grant,6,13
28,1,7:42.0,,R. Lopez makes 2-pt jump shot from 7 ft (assist by T. Gibson),6,15
29,1,7:36.0,Minnesota full timeout,,6,15
30,1,7:26.0,Turnover by Z. LaVine (lost ball),,6,15
31,1,7:08.0,,R. Lopez makes 2-pt dunk at rim (assist by J. Grant),6,17
32,1,6:56.0,Turnover by G. Dieng (lost ball; steal by J. Butler),,6,17
33,1,6:40.0,,T. Gibson makes 2-pt layup from 1 ft,6,19
34,1,6:28.0,K. Towns misses 2-pt dunk at rim (block by R. Lopez),,6,19
35,1,6:27.0,,Defensive rebound by J. Butler,6,19
36,1,6:19.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by J. Butler),6,22
37,1,5:58.0,A. Wiggins misses 2-pt jump shot from 20 ft,,6,22
38,1,5:57.0,,Defensive rebound by T. Gibson,6,22
39,1,5:48.0,,D. Wade makes 2-pt layup from 1 ft,6,24
40,1,5:30.0,A. Wiggins misses 2-pt layup from 2 ft,,6,24
41,1,5:29.0,Offensive rebound by A. Wiggins,,6,24
42,1,5:29.0,A. Wiggins misses 2-pt layup from 1 ft,,6,24
43,1,5:28.0,,Defensive rebound by R. Lopez,6,24
44,1,5:17.0,,J. Butler makes 2-pt jump shot from 14 ft,6,26
45,1,5:10.0,Minnesota full timeout,,6,26
46,1,5:10.0,,D. McDermott enters the game for D. Wade,6,26
47,1,5:00.0,R. Rubio misses 2-pt jump shot from 19 ft,,6,26
48,1,4:59.0,,Defensive rebound by J. Butler,6,26
49,1,4:45.0,,Turnover by R. Lopez (bad pass; steal by A. Wiggins),6,26
50,1,4:34.0,R. Rubio makes 3-pt jump shot from 23 ft (assist by Z. LaVine),,9,26
51,1,4:15.0,,J. Butler misses 2-pt jump shot from 7 ft,9,26
52,1,4:14.0,,Offensive rebound by T. Gibson,9,26
53,1,4:14.0,,T. Gibson misses 2-pt layup from 3 ft,9,26
54,1,4:13.0,Defensive rebound by G. Dieng,,9,26
55,1,4:04.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by R. Rubio),,12,26
56,1,3:43.0,,J. Butler makes 2-pt jump shot from 18 ft,12,28
57,1,3:29.0,Z. LaVine makes 2-pt jump shot from 23 ft,,14,28
58,1,3:10.0,,J. Grant makes 2-pt layup from 1 ft (assist by J. Butler),14,30
59,1,2:49.0,S. Muhammad enters the game for Z. LaVine,,14,30
60,1,2:49.0,K. Dunn enters the game for R. Rubio,,14,30
61,1,2:48.0,,N. Mirotić enters the game for T. Gibson,14,30
62,1,2:48.0,,I. Canaan enters the game for J. Grant,14,30
63,1,2:40.0,G. Dieng makes 2-pt jump shot from 15 ft (assist by A. Wiggins),,16,30
64,1,2:25.0,,D. McDermott makes 2-pt layup from 1 ft (assist by J. Butler),16,32
65,1,2:09.0,K. Dunn misses 2-pt jump shot from 7 ft,,16,32
66,1,2:07.0,Offensive rebound by K. Dunn,,16,32
67,1,2:01.0,S. Muhammad makes 2-pt jump shot from 19 ft (assist by G. Dieng),,18,32
68,1,1:46.0,,D. McDermott misses 2-pt layup from 3 ft,18,32
69,1,1:45.0,Defensive rebound by G. Dieng,,18,32
70,1,1:33.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by K. Dunn),,21,32
71,1,1:31.0,,Chicago full timeout,21,32
72,1,1:31.0,C. Aldrich enters the game for G. Dieng,,21,32
73,1,1:31.0,,D. Wade enters the game for J. Butler,21,32
74,1,1:31.0,,C. Felício enters the game for R. Lopez,21,32
75,1,1:11.0,,D. Wade misses 2-pt jump shot from 15 ft (block by A. Wiggins),21,32
76,1,1:06.0,Defensive rebound by C. Aldrich,,21,32
77,1,1:02.0,Turnover by K. Dunn (bad pass; steal by I. Canaan),,21,32
78,1,1:00.0,,D. Wade makes 2-pt layup from 2 ft (assist by I. Canaan),21,34
79,1,0:39.0,S. Muhammad misses 2-pt jump shot from 9 ft,,21,34
80,1,0:38.0,,Defensive rebound by C. Felício,21,34
81,1,0:33.0,,I. Canaan makes 2-pt jump shot from 6 ft,21,36
82,1,0:17.0,Shooting foul by D. Wade (drawn by A. Wiggins),,21,36
83,1,0:17.0,A. Wiggins misses free throw 1 of 2,,21,36
84,1,0:17.0,Offensive rebound by Team,,21,36
85,1,0:17.0,N. Bjelica enters the game for K. Towns,,21,36
86,1,0:17.0,A. Wiggins makes free throw 2 of 2,,22,36
87,1,0:08.0,,Personal take foul by A. Wiggins (drawn by D. Wade),22,36
88,1,0:03.0,,Shooting foul by C. Aldrich (drawn by D. Wade),22,36
