,QUARTER,TIME_REMAINING,NEW YORK_ACTION,BROOKLYN_ACTION,NEW YORK_SCORE,BROOKLYN_SCORE
0,1,11:35.0,,R. Hollis-Jefferson misses 2-pt hook shot from 7 ft,0,0
1,1,11:34.0,Defensive rebound by J. Noah,,0,0
2,1,11:18.0,Turnover by J. Noah (bad pass),,0,0
3,1,11:07.0,,Shooting foul by K. Porziņģis (drawn by R. Hollis-Jefferson),0,0
4,1,11:07.0,,R. Hollis-Jefferson makes free throw 1 of 2,0,1
5,1,11:07.0,,R. Hollis-Jefferson makes free throw 2 of 2,0,2
6,1,10:47.0,Turnover by C. Anthony (bad pass; steal by B. Lopez),,0,2
7,1,10:43.0,,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by I. Whitehead),0,4
8,1,10:27.0,K. Porziņģis misses 2-pt jump shot from 11 ft,,0,4
9,1,10:26.0,,Defensive rebound by R. Foye,0,4
10,1,10:19.0,,Turnover by R. Hollis-Jefferson (lost ball; steal by B. Jennings),0,4
11,1,10:09.0,C. Anthony misses 2-pt jump shot from 23 ft,,0,4
12,1,10:08.0,Offensive rebound by K. Porziņģis,,0,4
13,1,10:06.0,K. Porziņģis misses 2-pt jump shot from 9 ft,,0,4
14,1,10:05.0,,Defensive rebound by R. Foye,0,4
15,1,9:54.0,,B. Bogdanović makes 2-pt layup from 1 ft,0,6
16,1,9:54.0,,Shooting foul by J. Noah (drawn by B. Bogdanović),0,6
17,1,9:54.0,,B. Bogdanović misses free throw 1 of 1,0,6
18,1,9:53.0,Defensive rebound by K. Porziņģis,,0,6
19,1,9:34.0,C. Anthony makes 2-pt jump shot from 18 ft,,2,6
20,1,9:21.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,2,6
21,1,9:20.0,Defensive rebound by K. Porziņģis,,2,6
22,1,9:07.0,C. Anthony misses 2-pt jump shot from 14 ft,,2,6
23,1,9:06.0,,Defensive rebound by R. Foye,2,6
24,1,8:53.0,,Turnover by R. Foye (traveling),2,6
25,1,8:40.0,K. Porziņģis misses 3-pt jump shot from 27 ft,,2,6
26,1,8:39.0,Offensive rebound by C. Lee,,2,6
27,1,8:35.0,C. Lee makes 2-pt jump shot from 13 ft,,4,6
28,1,8:20.0,,B. Lopez makes 2-pt hook shot from 6 ft,4,8
29,1,8:03.0,B. Jennings misses 3-pt jump shot from 27 ft,,4,8
30,1,8:01.0,,Defensive rebound by B. Bogdanović,4,8
31,1,7:51.0,,Turnover by B. Bogdanović (bad pass),4,8
32,1,7:38.0,Shooting foul by I. Whitehead (drawn by C. Lee),,4,8
33,1,7:38.0,B. Jennings misses free throw 1 of 2,,4,8
34,1,7:38.0,Offensive rebound by Team,,4,8
35,1,7:38.0,B. Jennings makes free throw 2 of 2,,5,8
36,1,7:30.0,,R. Hollis-Jefferson makes 2-pt layup from 3 ft,5,10
37,1,7:20.0,B. Jennings misses 2-pt jump shot from 8 ft,,5,10
38,1,7:18.0,Offensive rebound by J. Noah,,5,10
39,1,7:12.0,J. Noah makes 2-pt layup from 2 ft (assist by C. Lee),,7,10
40,1,6:54.0,,B. Bogdanović misses 3-pt jump shot from 24 ft (block by K. Porziņģis),7,10
41,1,6:52.0,Defensive rebound by B. Jennings,,7,10
42,1,6:42.0,C. Lee misses 3-pt jump shot from 25 ft,,7,10
43,1,6:40.0,,Defensive rebound by R. Foye,7,10
44,1,6:37.0,,Shooting foul by K. Porziņģis (drawn by B. Lopez),7,10
45,1,6:37.0,,B. Lopez makes free throw 1 of 2,7,11
46,1,6:37.0,,B. Lopez misses free throw 2 of 2,7,11
47,1,6:37.0,M. Kuzminskas enters the game for K. Porziņģis,,7,11
48,1,6:37.0,,C. LeVert enters the game for R. Foye,7,11
49,1,6:36.0,Defensive rebound by J. Noah,,7,11
50,1,6:24.0,Turnover by J. Noah (traveling),,7,11
51,1,6:11.0,,I. Whitehead misses 2-pt layup from 2 ft,7,11
52,1,6:10.0,Defensive rebound by J. Noah,,7,11
53,1,6:00.0,Turnover by M. Kuzminskas (bad pass; steal by C. LeVert),,7,11
54,1,5:56.0,,B. Bogdanović makes 2-pt dunk at rim (assist by I. Whitehead),7,13
55,1,5:41.0,B. Jennings misses 2-pt jump shot from 20 ft,,7,13
56,1,5:40.0,,Defensive rebound by Team,7,13
57,1,5:40.0,,Brooklyn full timeout,7,13
58,1,5:40.0,K. O'Quinn enters the game for J. Noah,,7,13
59,1,5:40.0,,T. Booker enters the game for R. Hollis-Jefferson,7,13
60,1,5:27.0,,B. Lopez makes 2-pt jump shot from 8 ft (assist by T. Booker),7,15
61,1,5:03.0,C. Anthony misses 2-pt layup from 2 ft,,7,15
62,1,5:01.0,,Defensive rebound by B. Bogdanović,7,15
63,1,4:56.0,,Turnover by B. Bogdanović (lost ball; steal by B. Jennings),7,15
64,1,4:53.0,C. Anthony makes 2-pt dunk at rim (assist by B. Jennings),,9,15
65,1,4:39.0,,T. Booker makes 2-pt layup from 1 ft (assist by C. LeVert),9,17
66,1,4:20.0,C. Lee makes 2-pt jump shot from 7 ft (assist by K. O'Quinn),,11,17
67,1,4:00.0,,T. Booker misses 2-pt jump shot from 7 ft,11,17
68,1,3:59.0,,Offensive rebound by T. Booker,11,17
69,1,3:57.0,,T. Booker makes 2-pt hook shot from 4 ft,11,19
70,1,3:39.0,Turnover by C. Anthony (traveling),,11,19
71,1,3:39.0,R. Baker enters the game for B. Jennings,,11,19
72,1,3:39.0,,J. Hamilton enters the game for B. Lopez,11,19
73,1,3:39.0,,S. Kilpatrick enters the game for B. Bogdanović,11,19
74,1,3:39.0,,S. Dinwiddie enters the game for I. Whitehead,11,19
75,1,3:16.0,,T. Booker makes 2-pt hook shot from 9 ft,11,21
76,1,2:58.0,R. Baker misses 2-pt layup from 1 ft,,11,21
77,1,2:57.0,,Defensive rebound by T. Booker,11,21
78,1,2:51.0,,T. Booker misses 2-pt jump shot from 5 ft (block by K. O'Quinn),11,21
79,1,2:50.0,,Offensive rebound by Team,11,21
80,1,2:50.0,New York full timeout,,11,21
81,1,2:43.0,,C. LeVert makes 3-pt jump shot from 24 ft,11,24
82,1,2:27.0,Personal foul by T. Booker (drawn by C. Anthony),,11,24
83,1,2:24.0,Personal foul by T. Booker (drawn by C. Anthony),,11,24
84,1,2:15.0,M. Kuzminskas makes 2-pt layup from 3 ft (assist by K. O'Quinn),,13,24
85,1,1:56.0,,C. LeVert misses 2-pt layup from 3 ft,13,24
86,1,1:55.0,,Offensive rebound by J. Hamilton,13,24
87,1,1:49.0,,S. Dinwiddie misses 3-pt jump shot from 26 ft,13,24
88,1,1:48.0,Defensive rebound by C. Lee,,13,24
89,1,1:39.0,R. Baker misses 2-pt layup from 3 ft,,13,24
90,1,1:38.0,Offensive rebound by M. Kuzminskas,,13,24
91,1,1:37.0,M. Kuzminskas misses 2-pt layup from 1 ft,,13,24
92,1,1:36.0,Offensive rebound by M. Kuzminskas,,13,24
93,1,1:35.0,M. Kuzminskas makes 2-pt layup at rim,,15,24
94,1,1:19.0,,C. LeVert makes 3-pt jump shot from 25 ft (assist by T. Booker),15,27
95,1,0:56.0,K. O'Quinn misses 2-pt hook shot from 9 ft,,15,27
96,1,0:55.0,Offensive rebound by K. O'Quinn,,15,27
97,1,0:51.0,K. O'Quinn misses 2-pt layup from 3 ft (block by J. Hamilton),,15,27
98,1,0:51.0,Offensive rebound by K. O'Quinn,,15,27
99,1,0:51.0,J. Holiday enters the game for C. Anthony,,15,27
100,1,0:35.0,Turnover by R. Baker (bad pass; steal by C. LeVert),,15,27
101,1,0:28.0,,J. Hamilton misses 2-pt jump shot from 14 ft,15,27
102,1,0:26.0,Defensive rebound by M. Kuzminskas,,15,27
103,1,0:07.0,R. Baker misses 3-pt jump shot from 27 ft,,15,27
104,1,0:04.0,Offensive rebound by C. Lee,,15,27
105,1,0:03.0,C. Lee misses 2-pt layup from 2 ft,,15,27
106,1,0:02.0,,Defensive rebound by T. Booker,15,27
107,2,11:40.0,K. Porziņģis makes 2-pt layup from 3 ft (assist by J. Holiday),,17,27
108,2,11:30.0,,S. Kilpatrick misses 2-pt jump shot from 6 ft,17,27
109,2,11:30.0,,Offensive rebound by Team,17,27
110,2,11:30.0,Loose ball foul by R. Baker (drawn by J. Hamilton),,17,27
111,2,11:21.0,,T. Booker makes 2-pt layup from 2 ft,17,29
112,2,11:19.0,,Technical foul by T. Booker,17,29
113,2,11:19.0,K. Porziņģis makes technical free throw,,18,29
114,2,11:02.0,M. Kuzminskas misses 2-pt jump shot from 6 ft,,18,29
115,2,11:02.0,Offensive rebound by M. Kuzminskas,,18,29
116,2,11:02.0,Personal foul by J. Harris (drawn by M. Kuzminskas),,18,29
117,2,10:54.0,W. Hernangómez misses 2-pt jump shot from 5 ft,,18,29
118,2,10:53.0,,Defensive rebound by T. Booker,18,29
119,2,10:48.0,,Turnover by T. Booker (lost ball; steal by R. Baker),18,29
120,2,10:45.0,R. Baker misses 2-pt layup from 3 ft (block by T. Booker),,18,29
121,2,10:43.0,,Defensive rebound by Team,18,29
122,2,10:28.0,,J. Harris misses 3-pt jump shot from 26 ft,18,29
123,2,10:26.0,Defensive rebound by W. Hernangómez,,18,29
124,2,10:21.0,Shooting foul by S. Dinwiddie (drawn by R. Baker),,18,29
125,2,10:21.0,R. Baker misses free throw 1 of 3,,18,29
126,2,10:21.0,Offensive rebound by Team,,18,29
127,2,10:21.0,R. Baker makes free throw 2 of 3,,19,29
128,2,10:21.0,R. Baker misses free throw 3 of 3,,19,29
129,2,10:21.0,S. Vujačić enters the game for M. Kuzminskas,,19,29
130,2,10:20.0,,Defensive rebound by Team,19,29
131,2,10:19.0,B. Jennings enters the game for R. Baker,,19,29
132,2,10:04.0,,Turnover by S. Kilpatrick (bad pass; steal by J. Holiday),19,29
133,2,9:51.0,W. Hernangómez misses 2-pt jump shot from 15 ft,,19,29
134,2,9:50.0,,Defensive rebound by S. Dinwiddie,19,29
135,2,9:43.0,,S. Kilpatrick misses 2-pt jump shot from 16 ft,19,29
136,2,9:41.0,,Offensive rebound by S. Kilpatrick,19,29
137,2,9:33.0,,S. Dinwiddie misses 2-pt jump shot from 10 ft,19,29
138,2,9:31.0,Defensive rebound by K. Porziņģis,,19,29
139,2,9:23.0,Personal foul by S. Dinwiddie (drawn by W. Hernangómez),,19,29
140,2,9:23.0,Offensive foul by B. Jennings (drawn by S. Dinwiddie),,19,29
141,2,9:23.0,Turnover by B. Jennings (offensive foul),,19,29
142,2,9:07.0,,J. Harris misses 2-pt jump shot from 19 ft,19,29
143,2,9:06.0,Defensive rebound by K. Porziņģis,,19,29
144,2,8:58.0,K. Porziņģis makes 2-pt dunk at rim (assist by J. Holiday),,21,29
145,2,8:56.0,,Brooklyn full timeout,21,29
146,2,8:44.0,,Turnover by T. Booker (bad pass; steal by W. Hernangómez),21,29
147,2,8:38.0,S. Vujačić misses 2-pt jump shot from 14 ft,,21,29
148,2,8:37.0,Offensive rebound by W. Hernangómez,,21,29
149,2,8:34.0,W. Hernangómez makes 2-pt layup from 2 ft,,23,29
150,2,8:16.0,,T. Booker misses 2-pt layup from 2 ft (block by K. Porziņģis),23,29
151,2,8:14.0,Defensive rebound by K. Porziņģis,,23,29
152,2,8:11.0,S. Vujačić misses 3-pt jump shot from 25 ft,,23,29
