,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PHILADELPHIA_ACTION,MILWAUKEE_SCORE,PHILADELPHIA_SCORE
0,1,11:38.0,,Turnover by T. McConnell (lost ball; steal by K. Middleton),0,0
1,1,11:31.0,M. Dellavedova misses 3-pt jump shot from 24 ft,,0,0
2,1,11:29.0,,Defensive rebound by D. Šarić,0,0
3,1,11:07.0,,T. Luwawu-Cabarrot misses 2-pt jump shot from 13 ft,0,0
4,1,11:06.0,Defensive rebound by T. Snell,,0,0
5,1,10:47.0,G. Antetokounmpo misses 2-pt jump shot from 5 ft,,0,0
6,1,10:46.0,,Defensive rebound by D. Šarić,0,0
7,1,10:27.0,,J. Anderson misses 3-pt jump shot from 27 ft,0,0
8,1,10:25.0,Defensive rebound by G. Antetokounmpo,,0,0
9,1,10:13.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by M. Dellavedova),,2,0
10,1,9:50.0,,J. Anderson misses 2-pt layup from 1 ft,2,0
11,1,9:48.0,Defensive rebound by K. Middleton,,2,0
12,1,9:43.0,K. Middleton makes 2-pt jump shot from 6 ft,,4,0
13,1,9:28.0,,T. Luwawu-Cabarrot misses 2-pt layup from 3 ft (block by T. Maker),4,0
14,1,9:27.0,,Offensive rebound by Team,4,0
15,1,9:19.0,,D. Šarić makes 2-pt layup from 1 ft (assist by T. McConnell),4,2
16,1,9:06.0,K. Middleton misses 2-pt jump shot from 17 ft,,4,2
17,1,9:03.0,,Defensive rebound by T. McConnell,4,2
18,1,8:56.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by T. McConnell),4,5
19,1,8:43.0,G. Antetokounmpo makes 2-pt dunk at rim,,6,5
20,1,8:27.0,,Turnover by D. Šarić (bad pass; steal by T. Snell),6,5
21,1,8:14.0,K. Middleton misses 2-pt jump shot from 7 ft,,6,5
22,1,8:12.0,,Defensive rebound by D. Šarić,6,5
23,1,8:05.0,,Turnover by T. McConnell (bad pass; steal by K. Middleton),6,5
24,1,7:59.0,G. Antetokounmpo misses 2-pt jump shot from 4 ft,,6,5
25,1,7:57.0,,Defensive rebound by R. Holmes,6,5
26,1,7:54.0,,Shooting foul by T. Maker (drawn by J. Anderson),6,5
27,1,7:54.0,,J. Anderson makes free throw 1 of 2,6,6
28,1,7:54.0,,J. Anderson makes free throw 2 of 2,6,7
29,1,7:43.0,T. Snell misses 3-pt jump shot from 23 ft,,6,7
30,1,7:42.0,,Defensive rebound by J. Anderson,6,7
31,1,7:35.0,,D. Šarić misses 3-pt jump shot from 25 ft,6,7
32,1,7:33.0,Defensive rebound by T. Maker,,6,7
33,1,7:24.0,Turnover by K. Middleton (bad pass; steal by D. Šarić),,6,7
34,1,7:20.0,,Turnover by R. Holmes (lost ball),6,7
35,1,7:03.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),,8,7
36,1,6:49.0,,D. Šarić misses 2-pt layup from 1 ft (block by G. Antetokounmpo),8,7
37,1,6:47.0,Defensive rebound by M. Dellavedova,,8,7
38,1,6:42.0,K. Middleton misses 3-pt jump shot from 27 ft,,8,7
39,1,6:41.0,Offensive rebound by T. Maker,,8,7
40,1,6:41.0,T. Maker makes 2-pt layup from 1 ft,,10,7
41,1,6:41.0,Shooting foul by D. Šarić (drawn by T. Maker),,10,7
42,1,6:41.0,M. Teletović enters the game for G. Antetokounmpo,,10,7
43,1,6:41.0,T. Maker makes free throw 1 of 1,,11,7
44,1,6:17.0,,J. Anderson makes 2-pt jump shot from 12 ft (assist by D. Šarić),11,9
45,1,5:54.0,K. Middleton misses 2-pt jump shot from 7 ft,,11,9
46,1,5:52.0,,Defensive rebound by D. Šarić,11,9
47,1,5:41.0,,J. Anderson misses 3-pt jump shot from 26 ft,11,9
48,1,5:39.0,Defensive rebound by T. Snell,,11,9
49,1,5:30.0,M. Dellavedova misses 2-pt layup from 2 ft,,11,9
50,1,5:29.0,,Defensive rebound by R. Holmes,11,9
