,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PHOENIX_ACTION,CHICAGO_SCORE,PHOENIX_SCORE
0,1,11:36.0,,T. Chandler misses 2-pt jump shot from 3 ft,0,0
1,1,11:34.0,,Offensive rebound by T. Chandler,0,0
2,1,11:34.0,,T. Chandler makes 2-pt layup from 2 ft,0,2
3,1,11:13.0,T. Gibson misses 2-pt jump shot from 5 ft,,0,2
4,1,11:11.0,,Defensive rebound by T. Chandler,0,2
5,1,11:06.0,,E. Bledsoe misses 2-pt jump shot from 19 ft,0,2
6,1,11:04.0,Defensive rebound by T. Gibson,,0,2
7,1,10:52.0,R. Lopez makes 2-pt jump shot from 20 ft (assist by J. Butler),,2,2
8,1,10:37.0,,E. Bledsoe makes 2-pt jump shot from 3 ft (assist by T. Chandler),2,4
9,1,10:14.0,Shooting foul by D. Booker (drawn by J. Butler),,2,4
10,1,10:14.0,J. Butler makes free throw 1 of 2,,3,4
11,1,10:14.0,J. Butler makes free throw 2 of 2,,4,4
12,1,10:01.0,,D. Booker misses 2-pt jump shot from 14 ft,4,4
13,1,9:59.0,Defensive rebound by D. Wade,,4,4
14,1,9:43.0,T. Gibson makes 2-pt dunk at rim (assist by D. Wade),,6,4
15,1,9:24.0,,D. Booker misses 2-pt jump shot from 17 ft,6,4
16,1,9:23.0,Defensive rebound by T. Gibson,,6,4
17,1,9:13.0,D. Wade misses 3-pt jump shot from 24 ft,,6,4
18,1,9:13.0,Offensive rebound by R. Lopez,,6,4
19,1,9:02.0,D. Wade misses 2-pt layup from 2 ft (block by T. Warren),,6,4
20,1,9:01.0,,Defensive rebound by E. Bledsoe,6,4
21,1,8:47.0,,T. Warren misses 3-pt jump shot from 26 ft,6,4
22,1,8:47.0,Defensive rebound by T. Gibson,,6,4
23,1,8:36.0,J. Grant misses 2-pt jump shot from 11 ft,,6,4
24,1,8:34.0,,Defensive rebound by T. Chandler,6,4
25,1,8:30.0,,E. Bledsoe makes 2-pt layup from 1 ft,6,6
26,1,8:08.0,T. Gibson misses 2-pt jump shot from 17 ft,,6,6
27,1,8:07.0,Offensive rebound by R. Lopez,,6,6
28,1,7:54.0,D. Wade misses 2-pt jump shot from 8 ft,,6,6
29,1,7:51.0,,Defensive rebound by T. Warren,6,6
30,1,7:48.0,,D. Booker makes 2-pt dunk at rim (assist by E. Bledsoe),6,8
31,1,7:26.0,J. Butler misses 2-pt layup from 2 ft,,6,8
32,1,7:25.0,,Defensive rebound by T. Chandler,6,8
33,1,7:23.0,,D. Booker makes 2-pt dunk at rim (assist by E. Bledsoe),6,10
34,1,7:23.0,Chicago full timeout,,6,10
35,1,7:09.0,J. Butler misses 2-pt dunk at rim (block by M. Chriss),,6,10
36,1,7:08.0,,Defensive rebound by D. Booker,6,10
37,1,7:02.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,6,10
38,1,7:01.0,Defensive rebound by J. Grant,,6,10
39,1,6:51.0,J. Butler makes 2-pt jump shot from 21 ft,,8,10
40,1,6:36.0,,D. Booker makes 2-pt jump shot from 20 ft (assist by T. Chandler),8,12
41,1,6:12.0,T. Gibson makes 2-pt dunk at rim,,10,12
42,1,5:56.0,,D. Booker misses 2-pt jump shot from 22 ft,10,12
43,1,5:54.0,Defensive rebound by D. Wade,,10,12
44,1,5:45.0,D. Wade makes 2-pt layup at rim,,12,12
45,1,5:42.0,,Turnover by T. Chandler (bad pass; steal by J. Grant),12,12
46,1,5:37.0,Shooting foul by T. Chandler (drawn by J. Butler),,12,12
47,1,5:37.0,J. Butler makes free throw 1 of 2,,13,12
48,1,5:37.0,D. McDermott enters the game for D. Wade,,13,12
49,1,5:37.0,J. Butler makes free throw 2 of 2,,14,12
50,1,5:20.0,,T. Warren misses 2-pt hook shot from 9 ft,14,12
51,1,5:19.0,Defensive rebound by R. Lopez,,14,12
52,1,5:07.0,R. Lopez makes 2-pt hook shot from 6 ft,,16,12
53,1,4:50.0,,E. Bledsoe makes 2-pt jump shot from 18 ft,16,14
54,1,4:35.0,J. Butler misses 2-pt jump shot from 20 ft,,16,14
55,1,4:34.0,,Defensive rebound by T. Chandler,16,14
56,1,4:31.0,,Turnover by E. Bledsoe (lost ball; steal by J. Butler),16,14
57,1,4:25.0,J. Butler makes 2-pt jump shot from 13 ft (assist by J. Grant),,18,14
58,1,4:24.0,,Phoenix full timeout,18,14
59,1,4:24.0,,P. Tucker enters the game for T. Warren,18,14
60,1,4:24.0,N. Mirotić enters the game for T. Gibson,,18,14
61,1,4:24.0,R. Rondo enters the game for J. Grant,,18,14
62,1,4:08.0,,Turnover by E. Bledsoe (bad pass; steal by N. Mirotić),18,14
63,1,4:08.0,Personal foul by M. Chriss (drawn by N. Mirotić),,18,14
64,1,3:48.0,R. Lopez makes 2-pt jump shot from 20 ft (assist by J. Butler),,20,14
65,1,3:29.0,,T. Chandler makes 2-pt layup from 2 ft (assist by M. Chriss),20,16
66,1,3:05.0,N. Mirotić makes 3-pt jump shot from 22 ft (assist by J. Butler),,23,16
67,1,2:48.0,,P. Tucker misses 2-pt jump shot from 16 ft,23,16
68,1,2:46.0,Defensive rebound by N. Mirotić,,23,16
69,1,2:34.0,Turnover by J. Butler (bad pass),,23,16
70,1,2:34.0,,J. Dudley enters the game for M. Chriss,23,16
