,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHICAGO_ACTION,ATLANTA_SCORE,CHICAGO_SCORE
0,1,11:39.0,T. Hardaway makes 2-pt jump shot from 20 ft,,2,0
1,1,11:17.0,,J. Butler makes 2-pt jump shot from 14 ft (assist by R. Lopez),2,2
2,1,10:59.0,E. İlyasova makes 2-pt layup from 3 ft (assist by T. Hardaway),,4,2
3,1,10:44.0,,R. Rondo misses 2-pt layup from 3 ft (block by D. Schröder),4,2
4,1,10:42.0,,Offensive rebound by R. Rondo,4,2
5,1,10:39.0,,R. Lopez misses 2-pt jump shot from 19 ft,4,2
6,1,10:37.0,Defensive rebound by T. Hardaway,,4,2
7,1,10:27.0,Turnover by D. Howard (lost ball; steal by N. Mirotić),,4,2
8,1,10:13.0,,P. Zipser makes 3-pt jump shot from 24 ft (assist by N. Mirotić),4,5
9,1,9:58.0,D. Schröder misses 2-pt jump shot from 16 ft,,4,5
10,1,9:57.0,,Defensive rebound by R. Rondo,4,5
11,1,9:36.0,,R. Lopez makes 2-pt jump shot from 20 ft (assist by R. Rondo),4,7
12,1,9:13.0,D. Howard makes 2-pt jump shot from 18 ft (assist by D. Schröder),,6,7
13,1,9:00.0,,R. Rondo misses 3-pt jump shot from 25 ft,6,7
14,1,8:59.0,Defensive rebound by T. Prince,,6,7
15,1,8:47.0,D. Schröder misses 2-pt jump shot from 19 ft,,6,7
16,1,8:46.0,,Defensive rebound by J. Butler,6,7
17,1,8:32.0,,Shooting foul by D. Schröder (drawn by P. Zipser),6,7
18,1,8:32.0,,P. Zipser makes free throw 1 of 2,6,8
19,1,8:32.0,,P. Zipser makes free throw 2 of 2,6,9
20,1,8:12.0,T. Prince makes 2-pt layup from 2 ft (assist by T. Hardaway),,8,9
21,1,7:57.0,,P. Zipser makes 3-pt jump shot from 22 ft (assist by N. Mirotić),8,12
22,1,7:40.0,D. Howard makes 2-pt hook shot from 6 ft (assist by E. İlyasova),,10,12
23,1,7:26.0,,R. Rondo makes 3-pt jump shot from 26 ft (assist by J. Butler),10,15
24,1,7:07.0,D. Howard misses 2-pt jump shot from 23 ft,,10,15
25,1,7:05.0,,Defensive rebound by P. Zipser,10,15
26,1,7:00.0,Violation by D. Schröder (kicked ball),,10,15
27,1,6:55.0,,R. Rondo makes 2-pt layup from 2 ft,10,17
28,1,6:47.0,Atlanta full timeout,,10,17
29,1,6:37.0,E. İlyasova misses 2-pt jump shot from 19 ft,,10,17
30,1,6:36.0,,Defensive rebound by R. Rondo,10,17
31,1,6:24.0,,P. Zipser misses 3-pt jump shot from 23 ft,10,17
32,1,6:23.0,Defensive rebound by D. Schröder,,10,17
33,1,6:10.0,T. Prince misses 2-pt layup from 2 ft,,10,17
34,1,6:09.0,,Defensive rebound by R. Lopez,10,17
35,1,6:07.0,,Turnover by R. Rondo (lost ball),10,17
36,1,5:53.0,D. Schröder makes 2-pt jump shot from 16 ft,,12,17
37,1,5:29.0,,J. Butler misses 2-pt jump shot from 17 ft,12,17
38,1,5:27.0,Defensive rebound by E. İlyasova,,12,17
39,1,5:18.0,E. İlyasova misses 2-pt jump shot from 14 ft,,12,17
40,1,5:16.0,,Defensive rebound by J. Butler,12,17
41,1,5:05.0,,N. Mirotić misses 2-pt layup from 1 ft,12,17
