,QUARTER,TIME_REMAINING,NEW YORK_ACTION,ATLANTA_ACTION,NEW YORK_SCORE,ATLANTA_SCORE
0,1,11:40.0,C. Anthony makes 2-pt jump shot from 20 ft (assist by J. Noah),,2,0
1,1,11:26.0,,D. Schröder makes 2-pt jump shot from 17 ft (assist by T. Hardaway),2,2
2,1,11:15.0,C. Lee misses 2-pt jump shot from 20 ft,,2,2
3,1,11:14.0,,Defensive rebound by D. Howard,2,2
4,1,11:10.0,,P. Millsap makes 2-pt layup from 1 ft (assist by D. Howard),2,4
5,1,10:57.0,Shooting foul by D. Schröder (drawn by B. Jennings),,2,4
6,1,10:57.0,B. Jennings makes free throw 1 of 2,,3,4
7,1,10:57.0,B. Jennings makes free throw 2 of 2,,4,4
8,1,10:43.0,,P. Millsap makes 2-pt dunk at rim (assist by D. Schröder),4,6
9,1,10:36.0,C. Lee makes 3-pt jump shot from 24 ft (assist by B. Jennings),,7,6
10,1,10:14.0,,K. Bazemore makes 3-pt jump shot from 26 ft (assist by P. Millsap),7,9
11,1,9:58.0,K. Porziņģis misses 3-pt jump shot from 24 ft,,7,9
12,1,9:57.0,,Defensive rebound by D. Howard,7,9
13,1,9:45.0,,P. Millsap makes 2-pt jump shot from 16 ft,7,11
14,1,9:23.0,K. Porziņģis misses 2-pt jump shot from 21 ft,,7,11
15,1,9:22.0,Offensive rebound by Team,,7,11
16,1,9:20.0,C. Anthony makes 2-pt jump shot from 15 ft (assist by B. Jennings),,9,11
17,1,8:58.0,,K. Bazemore misses 2-pt jump shot from 12 ft (block by K. Porziņģis),9,11
18,1,8:56.0,,Offensive rebound by K. Bazemore,9,11
19,1,8:54.0,,K. Bazemore misses 2-pt layup from 2 ft (block by K. Porziņģis),9,11
20,1,8:51.0,Defensive rebound by J. Noah,,9,11
21,1,8:34.0,C. Lee misses 2-pt jump shot from 15 ft,,9,11
22,1,8:32.0,,Defensive rebound by D. Howard,9,11
23,1,8:22.0,,T. Hardaway misses 3-pt jump shot from 23 ft,9,11
24,1,8:20.0,Defensive rebound by B. Jennings,,9,11
25,1,8:16.0,C. Anthony misses 3-pt jump shot from 26 ft,,9,11
26,1,8:12.0,,Defensive rebound by T. Hardaway,9,11
27,1,8:09.0,,T. Hardaway makes 2-pt dunk at rim,9,13
28,1,8:09.0,New York full timeout,,9,13
29,1,7:50.0,B. Jennings misses 2-pt jump shot from 16 ft,,9,13
30,1,7:49.0,,Defensive rebound by T. Hardaway,9,13
31,1,7:44.0,,P. Millsap makes 2-pt dunk at rim (assist by T. Hardaway),9,15
32,1,7:27.0,C. Anthony misses 2-pt jump shot from 21 ft,,9,15
33,1,7:25.0,,Defensive rebound by P. Millsap,9,15
34,1,7:18.0,,Shooting foul by C. Lee (drawn by P. Millsap),9,15
35,1,7:18.0,,P. Millsap misses free throw 1 of 2,9,15
36,1,7:18.0,,Offensive rebound by Team,9,15
37,1,7:18.0,M. Kuzminskas enters the game for K. Porziņģis,,9,15
38,1,7:18.0,,P. Millsap makes free throw 2 of 2,9,16
39,1,7:03.0,Shooting foul by P. Millsap (drawn by M. Kuzminskas),,9,16
40,1,7:03.0,M. Kuzminskas makes free throw 1 of 2,,10,16
41,1,7:03.0,M. Kuzminskas makes free throw 2 of 2,,11,16
42,1,6:56.0,,Offensive foul by D. Howard (drawn by C. Lee),11,16
43,1,6:56.0,,Turnover by D. Howard (offensive foul),11,16
44,1,6:44.0,C. Lee makes 3-pt jump shot from 25 ft (assist by J. Noah),,14,16
45,1,6:28.0,,Turnover by D. Schröder (bad pass; steal by J. Noah),14,16
46,1,6:22.0,C. Lee misses 3-pt jump shot from 23 ft,,14,16
47,1,6:21.0,,Defensive rebound by K. Bazemore,14,16
48,1,6:17.0,,Turnover by K. Bazemore (bad pass; steal by M. Kuzminskas),14,16
49,1,6:09.0,M. Kuzminskas misses 2-pt layup from 3 ft (block by P. Millsap),,14,16
50,1,6:09.0,,Defensive rebound by P. Millsap,14,16
