,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PHILADELPHIA_ACTION,CHICAGO_SCORE,PHILADELPHIA_SCORE
0,1,11:47.0,,T. McConnell misses 2-pt jump shot from 17 ft,0,0
1,1,11:46.0,Defensive rebound by J. Butler,,0,0
2,1,11:27.0,Turnover by J. Butler (bad pass),,0,0
3,1,11:03.0,,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft,0,2
4,1,10:40.0,R. Lopez misses 2-pt jump shot from 17 ft,,0,2
5,1,10:38.0,,Defensive rebound by D. Šarić,0,2
6,1,10:30.0,,Turnover by T. McConnell (bad pass),0,2
7,1,10:20.0,R. Lopez misses 2-pt jump shot from 18 ft,,0,2
8,1,10:18.0,,Defensive rebound by D. Šarić,0,2
9,1,10:07.0,,Turnover by J. Anderson (bad pass; steal by J. Grant),0,2
10,1,9:56.0,J. Butler misses 2-pt jump shot from 17 ft,,0,2
11,1,9:55.0,,Defensive rebound by D. Šarić,0,2
12,1,9:47.0,,Turnover by D. Šarić (lost ball; steal by P. Zipser),0,2
13,1,9:41.0,J. Butler makes 2-pt layup from 2 ft (assist by J. Grant),,2,2
14,1,9:30.0,,R. Holmes misses 3-pt jump shot from 25 ft,2,2
15,1,9:29.0,Defensive rebound by J. Grant,,2,2
16,1,9:16.0,J. Butler misses 3-pt jump shot from 25 ft,,2,2
17,1,9:15.0,,Defensive rebound by R. Holmes,2,2
18,1,9:07.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 25 ft,2,2
19,1,9:06.0,Defensive rebound by N. Mirotić,,2,2
20,1,8:55.0,Turnover by J. Butler (bad pass; steal by T. McConnell),,2,2
21,1,8:51.0,,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by T. McConnell),2,4
22,1,8:40.0,J. Butler makes 2-pt layup from 1 ft,,4,4
23,1,8:21.0,,T. McConnell misses 3-pt jump shot from 24 ft,4,4
24,1,8:20.0,Defensive rebound by J. Butler,,4,4
25,1,8:15.0,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Butler),,4,4
26,1,8:15.0,J. Butler makes free throw 1 of 2,,5,4
27,1,8:15.0,J. Butler makes free throw 2 of 2,,6,4
28,1,7:51.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 25 ft,6,4
29,1,7:50.0,Defensive rebound by N. Mirotić,,6,4
30,1,7:41.0,Personal foul by T. Luwawu-Cabarrot (drawn by R. Lopez),,6,4
31,1,7:41.0,,N. Stauskas enters the game for T. Luwawu-Cabarrot,6,4
32,1,7:34.0,J. Grant makes 3-pt jump shot from 24 ft (assist by N. Mirotić),,9,4
33,1,7:17.0,,R. Holmes misses 2-pt jump shot from 5 ft (block by R. Lopez),9,4
34,1,7:15.0,Defensive rebound by R. Lopez,,9,4
35,1,7:07.0,P. Zipser misses 2-pt jump shot from 16 ft,,9,4
36,1,7:06.0,,Defensive rebound by D. Šarić,9,4
37,1,6:50.0,,J. Anderson misses 3-pt jump shot from 27 ft,9,4
38,1,6:49.0,Defensive rebound by P. Zipser,,9,4
39,1,6:41.0,Turnover by R. Lopez (bad pass; steal by J. Anderson),,9,4
40,1,6:36.0,,J. Anderson makes 2-pt layup from 2 ft (assist by N. Stauskas),9,6
41,1,6:23.0,,Violation by N. Stauskas (kicked ball),9,6
42,1,6:13.0,J. Grant makes 2-pt jump shot from 17 ft,,11,6
43,1,5:56.0,,D. Šarić makes 2-pt hook shot from 5 ft (assist by T. McConnell),11,8
44,1,5:36.0,R. Lopez misses 2-pt jump shot from 19 ft,,11,8
45,1,5:35.0,,Defensive rebound by D. Šarić,11,8
46,1,5:17.0,,Turnover by N. Stauskas (lost ball; steal by J. Grant),11,8
47,1,5:12.0,N. Mirotić misses 3-pt jump shot from 25 ft,,11,8
48,1,5:11.0,,Defensive rebound by N. Stauskas,11,8
49,1,5:04.0,,J. Anderson makes 2-pt layup from 2 ft (assist by T. McConnell),11,10
50,1,5:02.0,Chicago full timeout,,11,10
51,1,5:02.0,A. Morrow enters the game for P. Zipser,,11,10
52,1,5:02.0,,A. Poythress enters the game for D. Šarić,11,10
53,1,4:53.0,N. Mirotić makes 3-pt jump shot from 24 ft (assist by A. Morrow),,14,10
54,1,4:38.0,,T. McConnell misses 3-pt jump shot from 24 ft,14,10
55,1,4:36.0,,Offensive rebound by Team,14,10
56,1,4:18.0,,N. Stauskas misses 3-pt jump shot from 24 ft,14,10
57,1,4:17.0,Defensive rebound by J. Butler,,14,10
58,1,4:07.0,J. Butler makes 2-pt jump shot from 4 ft,,16,10
