,QUARTER,TIME_REMAINING,PHOENIX_ACTION,WASHINGTON_ACTION,PHOENIX_SCORE,WASHINGTON_SCORE
0,1,11:37.0,,Turnover by J. Wall (bad pass; steal by E. Bledsoe),0,0
1,1,11:30.0,D. Booker misses 2-pt jump shot from 22 ft,,0,0
2,1,11:29.0,Offensive rebound by M. Chriss,,0,0
3,1,11:26.0,M. Chriss misses 2-pt layup from 1 ft,,0,0
4,1,11:26.0,,Defensive rebound by J. Wall,0,0
5,1,11:19.0,,M. Morris misses 3-pt jump shot from 26 ft,0,0
6,1,11:18.0,Defensive rebound by E. Bledsoe,,0,0
7,1,11:10.0,B. Knight misses 2-pt jump shot from 18 ft,,0,0
8,1,11:09.0,,Defensive rebound by J. Wall,0,0
9,1,10:58.0,,J. Wall misses 2-pt jump shot from 21 ft,0,0
10,1,10:56.0,,Offensive rebound by M. Morris,0,0
11,1,10:53.0,,O. Porter makes 2-pt layup from 1 ft (assist by J. Wall),0,2
12,1,10:35.0,Turnover by A. Len (traveling),,0,2
13,1,10:24.0,,Turnover by M. Morris (discontinued dribble),0,2
14,1,10:03.0,Turnover by M. Chriss (lost ball; steal by J. Wall),,0,2
15,1,9:47.0,,M. Gortat makes 2-pt hook shot from 14 ft,0,4
16,1,9:27.0,D. Booker makes 3-pt jump shot from 28 ft (assist by E. Bledsoe),,3,4
17,1,9:14.0,,M. Morris misses 2-pt jump shot from 6 ft,3,4
18,1,9:13.0,Defensive rebound by A. Len,,3,4
19,1,8:54.0,A. Len makes 2-pt jump shot from 9 ft,,5,4
20,1,8:41.0,,B. Beal makes 2-pt jump shot from 7 ft (assist by J. Wall),5,6
21,1,8:40.0,,Violation by Team (jump ball),5,6
22,1,8:29.0,D. Booker makes 2-pt jump shot from 19 ft,,7,6
23,1,8:00.0,,M. Morris misses 2-pt jump shot from 5 ft (block by A. Len),7,6
24,1,8:00.0,,Offensive rebound by Team,7,6
25,1,7:59.0,,Turnover by Team (shot clock),7,6
26,1,7:50.0,Shooting foul by M. Gortat (drawn by A. Len),,7,6
27,1,7:50.0,A. Len makes free throw 1 of 2,,8,6
28,1,7:50.0,A. Len makes free throw 2 of 2,,9,6
29,1,7:33.0,,B. Beal misses 2-pt jump shot from 12 ft,9,6
30,1,7:32.0,Defensive rebound by B. Knight,,9,6
31,1,7:32.0,Personal foul by B. Beal (drawn by B. Knight),,9,6
32,1,7:16.0,M. Chriss makes 2-pt dunk at rim (assist by A. Len),,11,6
33,1,7:01.0,,Shooting foul by M. Chriss (drawn by O. Porter),11,6
34,1,7:01.0,,O. Porter makes free throw 1 of 2,11,7
35,1,7:01.0,,O. Porter makes free throw 2 of 2,11,8
36,1,6:40.0,B. Knight misses 3-pt jump shot from 26 ft,,11,8
37,1,6:39.0,,Defensive rebound by O. Porter,11,8
38,1,6:33.0,,J. Wall misses 3-pt jump shot from 27 ft,11,8
39,1,6:31.0,Defensive rebound by B. Knight,,11,8
40,1,6:28.0,D. Booker misses 2-pt layup from 1 ft (block by J. Wall),,11,8
41,1,6:25.0,,Defensive rebound by M. Gortat,11,8
42,1,6:20.0,,O. Porter misses 3-pt jump shot from 25 ft,11,8
43,1,6:19.0,Defensive rebound by B. Knight,,11,8
44,1,6:15.0,Turnover by B. Knight (lost ball; steal by O. Porter),,11,8
45,1,6:10.0,,B. Beal makes 3-pt jump shot from 24 ft (assist by O. Porter),11,11
46,1,5:56.0,,Washington full timeout,11,11
47,1,5:51.0,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by D. Booker),,14,11
48,1,5:39.0,,Shooting foul by A. Len (drawn by O. Porter),14,11
49,1,5:39.0,,O. Porter makes free throw 1 of 2,14,12
50,1,5:39.0,,O. Porter misses free throw 2 of 2,14,12
51,1,5:38.0,Defensive rebound by A. Len,,14,12
52,1,5:24.0,Turnover by A. Len (bad pass; steal by M. Morris),,14,12
