,QUARTER,TIME_REMAINING,DENVER_ACTION,WASHINGTON_ACTION,DENVER_SCORE,WASHINGTON_SCORE
0,1,11:40.0,,M. Morris misses 2-pt jump shot from 10 ft,0,0
1,1,11:39.0,Defensive rebound by D. Arthur,,0,0
2,1,11:21.0,D. Gallinari misses 3-pt jump shot from 27 ft,,0,0
3,1,11:20.0,Offensive rebound by W. Barton,,0,0
4,1,11:13.0,Turnover by J. Nurkić (lost ball; steal by M. Gortat),,0,0
5,1,10:57.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by M. Gortat),0,3
6,1,10:43.0,Turnover by J. Nurkić (3 sec),,0,3
7,1,10:26.0,,O. Porter misses 3-pt jump shot from 27 ft,0,3
8,1,10:25.0,Defensive rebound by D. Arthur,,0,3
9,1,10:07.0,J. Nelson misses 2-pt jump shot from 15 ft,,0,3
10,1,10:06.0,,Defensive rebound by O. Porter,0,3
11,1,10:01.0,,Turnover by J. Wall (bad pass; steal by D. Gallinari),0,3
12,1,9:50.0,J. Nurkić makes 2-pt layup from 3 ft (assist by D. Gallinari),,2,3
13,1,9:36.0,,Turnover by M. Morris (bad pass; steal by J. Nelson),2,3
14,1,9:23.0,J. Nelson misses 2-pt jump shot from 17 ft,,2,3
15,1,9:23.0,,Defensive rebound by Team,2,3
16,1,9:23.0,Loose ball foul by J. Nurkić (drawn by M. Gortat),,2,3
17,1,9:11.0,,J. Wall misses 2-pt jump shot from 14 ft,2,3
18,1,9:10.0,Defensive rebound by J. Nurkić,,2,3
19,1,9:04.0,W. Barton makes 2-pt layup from 1 ft,,4,3
20,1,8:38.0,,M. Gortat makes 2-pt jump shot from 16 ft,4,5
21,1,8:23.0,D. Arthur makes 3-pt jump shot from 27 ft (assist by J. Nelson),,7,5
22,1,8:12.0,,M. Morris misses 2-pt jump shot from 11 ft,7,5
23,1,8:10.0,Defensive rebound by J. Nurkić,,7,5
24,1,8:02.0,J. Nurkić makes 2-pt layup from 1 ft (assist by J. Nelson),,9,5
25,1,7:44.0,,M. Morris misses 2-pt jump shot from 16 ft,9,5
26,1,7:43.0,Defensive rebound by D. Gallinari,,9,5
27,1,7:31.0,Shooting foul by O. Porter (drawn by D. Gallinari),,9,5
28,1,7:31.0,D. Gallinari makes free throw 1 of 2,,10,5
29,1,7:31.0,D. Gallinari misses free throw 2 of 2,,10,5
30,1,7:30.0,,Defensive rebound by M. Gortat,10,5
31,1,7:18.0,,Turnover by O. Porter (traveling),10,5
32,1,7:05.0,D. Gallinari makes 3-pt jump shot from 27 ft (assist by D. Arthur),,13,5
33,1,7:03.0,,Washington full timeout,13,5
34,1,6:43.0,,O. Porter misses 2-pt jump shot from 18 ft,13,5
35,1,6:41.0,,Offensive rebound by M. Gortat,13,5
36,1,6:39.0,,M. Gortat misses 2-pt layup at rim,13,5
37,1,6:38.0,Defensive rebound by J. Nelson,,13,5
38,1,6:35.0,Turnover by D. Gallinari (traveling),,13,5
39,1,6:24.0,,Turnover by M. Gortat (lost ball; steal by W. Barton),13,5
40,1,6:19.0,J. Nelson makes 2-pt layup from 1 ft (assist by W. Barton),,15,5
41,1,6:07.0,,Turnover by O. Porter (step out of bounds),15,5
42,1,5:52.0,D. Gallinari misses 2-pt jump shot from 7 ft,,15,5
43,1,5:51.0,,Defensive rebound by J. Wall,15,5
44,1,5:33.0,,Turnover by J. Wall (bad pass; steal by J. Nelson),15,5
45,1,5:28.0,W. Barton makes 2-pt layup from 1 ft (assist by J. Nelson),,17,5
46,1,4:59.0,,B. Beal misses 2-pt jump shot from 15 ft,17,5
47,1,4:59.0,,Offensive rebound by Team,17,5
48,1,4:59.0,,Turnover by Team (shot clock),17,5
49,1,4:59.0,,K. Oubre enters the game for M. Morris,17,5
50,1,4:50.0,Turnover by D. Arthur (lost ball),,17,5
51,1,4:50.0,W. Chandler enters the game for D. Arthur,,17,5
52,1,4:35.0,,B. Beal misses 2-pt jump shot from 4 ft,17,5
53,1,4:34.0,Defensive rebound by Team,,17,5
54,1,4:17.0,W. Barton misses 2-pt jump shot from 17 ft,,17,5
55,1,4:17.0,,Defensive rebound by O. Porter,17,5
56,1,4:08.0,,B. Beal makes 3-pt jump shot from 23 ft (assist by J. Wall),17,8
57,1,3:55.0,W. Chandler makes 3-pt jump shot from 23 ft (assist by J. Nelson),,20,8
58,1,3:43.0,,Personal foul by D. Gallinari (drawn by B. Beal),20,8
59,1,3:43.0,,J. Smith enters the game for M. Gortat,20,8
60,1,3:43.0,N. Jokić enters the game for J. Nurkić,,20,8
61,1,3:37.0,,B. Beal misses 2-pt jump shot from 20 ft,20,8
62,1,3:36.0,Defensive rebound by J. Nelson,,20,8
63,1,3:31.0,Shooting foul by K. Oubre (drawn by D. Gallinari),,20,8
64,1,3:31.0,D. Gallinari makes free throw 1 of 2,,21,8
65,1,3:31.0,D. Gallinari makes free throw 2 of 2,,22,8
66,1,3:07.0,,O. Porter makes 2-pt jump shot from 6 ft,22,10
67,1,2:54.0,D. Gallinari makes 2-pt jump shot from 18 ft (assist by J. Nelson),,24,10
68,1,2:42.0,,B. Beal makes 2-pt dunk at rim (assist by J. Wall),24,12
69,1,2:14.0,D. Gallinari misses 3-pt jump shot from 27 ft,,24,12
70,1,2:14.0,,Defensive rebound by J. Wall,24,12
71,1,2:01.0,,J. Wall makes 2-pt layup at rim,24,14
72,1,2:01.0,Denver full timeout,,24,14
73,1,2:01.0,,M. Thornton enters the game for B. Beal,24,14
74,1,2:01.0,J. Murray enters the game for W. Barton,,24,14
75,1,2:01.0,Violation by Team (jump ball),,24,14
76,1,1:50.0,Personal foul by M. Thornton (drawn by N. Jokić),,24,14
77,1,1:44.0,J. Nelson misses 2-pt jump shot from 16 ft,,24,14
78,1,1:43.0,,Defensive rebound by J. Smith,24,14
79,1,1:31.0,,J. Smith makes 2-pt layup from 1 ft (assist by J. Wall),24,16
80,1,1:14.0,Turnover by N. Jokić (lost ball; steal by J. Wall),,24,16
81,1,1:07.0,,O. Porter misses 3-pt jump shot from 28 ft,24,16
82,1,1:05.0,,Offensive rebound by K. Oubre,24,16
83,1,1:04.0,,K. Oubre misses 2-pt layup from 2 ft,24,16
84,1,1:02.0,Defensive rebound by N. Jokić,,24,16
85,1,0:57.0,Turnover by J. Nelson (lost ball),,24,16
86,1,0:48.0,,Offensive foul by J. Smith (drawn by N. Jokić),24,16
87,1,0:48.0,,Turnover by J. Smith (offensive foul),24,16
88,1,0:44.0,Personal foul by J. Smith (drawn by N. Jokić),,24,16
89,1,0:44.0,N. Jokić makes free throw 1 of 2,,25,16
90,1,0:44.0,,A. Nicholson enters the game for J. Smith,25,16
91,1,0:44.0,J. Hernangómez enters the game for D. Gallinari,,25,16
92,1,0:44.0,N. Jokić makes free throw 2 of 2,,26,16
93,1,0:39.0,,J. Wall misses 2-pt layup from 1 ft,26,16
94,1,0:38.0,Defensive rebound by J. Hernangómez,,26,16
95,1,0:38.0,Personal foul by K. Oubre,,26,16
96,1,0:38.0,J. Hernangómez makes free throw 1 of 2,,27,16
97,1,0:38.0,J. Hernangómez misses free throw 2 of 2,,27,16
98,1,0:37.0,,Defensive rebound by K. Oubre,27,16
99,1,0:27.0,,A. Nicholson misses 2-pt jump shot from 14 ft,27,16
100,1,0:26.0,,Offensive rebound by J. Wall,27,16
101,1,0:25.0,,J. Wall makes 2-pt layup at rim,27,18
102,1,0:01.0,N. Jokić makes 2-pt jump shot from 21 ft (assist by J. Hernangómez),,29,18
103,2,11:47.0,Turnover by J. Murray (palming),,29,18
104,2,11:34.0,,Turnover by A. Nicholson (illegal screen),29,18
105,2,11:27.0,W. Barton misses 2-pt layup from 1 ft,,29,18
106,2,11:26.0,,Defensive rebound by M. Thornton,29,18
107,2,11:19.0,,M. Thornton makes 2-pt jump shot from 16 ft,29,20
108,2,11:05.0,J. Murray misses 2-pt jump shot from 5 ft,,29,20
109,2,11:03.0,Offensive rebound by N. Jokić,,29,20
110,2,11:01.0,N. Jokić misses 2-pt layup from 2 ft,,29,20
111,2,11:01.0,,Defensive rebound by M. Thornton,29,20
112,2,10:55.0,,M. Thornton makes 2-pt jump shot from 11 ft (assist by K. Oubre),29,22
113,2,10:46.0,W. Chandler misses 3-pt jump shot from 26 ft,,29,22
114,2,10:43.0,Offensive rebound by N. Jokić,,29,22
115,2,10:25.0,W. Chandler misses 2-pt jump shot from 18 ft,,29,22
116,2,10:24.0,Offensive rebound by J. Murray,,29,22
117,2,10:13.0,W. Chandler makes 2-pt dunk at rim (assist by J. Murray),,31,22
118,2,10:01.0,,T. Burke makes 2-pt jump shot from 16 ft,31,24
119,2,9:51.0,Turnover by N. Jokić (bad pass),,31,24
120,2,9:40.0,,Personal foul by W. Chandler (drawn by M. Morris),31,24
121,2,9:28.0,,A. Nicholson misses 2-pt jump shot from 12 ft,31,24
122,2,9:26.0,Defensive rebound by J. Hernangómez,,31,24
123,2,9:12.0,J. Murray makes 3-pt jump shot from 26 ft (assist by N. Jokić),,34,24
124,2,9:02.0,,M. Thornton misses 2-pt jump shot from 4 ft (block by N. Jokić),34,24
125,2,9:00.0,Defensive rebound by J. Hernangómez,,34,24
126,2,8:51.0,N. Jokić makes 2-pt jump shot from 17 ft,,36,24
127,2,8:46.0,,Washington full timeout,36,24
128,2,8:34.0,,T. Burke misses 2-pt jump shot from 19 ft,36,24
129,2,8:31.0,,Offensive rebound by T. Burke,36,24
130,2,8:31.0,,T. Burke makes 2-pt jump shot from 13 ft,36,26
131,2,8:13.0,J. Murray misses 3-pt jump shot from 23 ft,,36,26
132,2,8:11.0,,Defensive rebound by M. Thornton,36,26
133,2,8:07.0,,T. Burke makes 2-pt layup from 1 ft (assist by M. Thornton),36,28
134,2,7:45.0,N. Jokić misses 2-pt jump shot from 15 ft,,36,28
135,2,7:43.0,Offensive rebound by W. Chandler,,36,28
136,2,7:31.0,N. Jokić makes 2-pt jump shot from 18 ft (assist by J. Hernangómez),,38,28
137,2,7:11.0,,K. Oubre makes 2-pt jump shot from 22 ft,38,30
138,2,6:58.0,Turnover by J. Hernangómez (bad pass; steal by K. Oubre),,38,30
