,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CHICAGO_ACTION,PHILADELPHIA_SCORE,CHICAGO_SCORE
0,1,11:46.0,E. İlyasova makes 2-pt layup from 1 ft (assist by N. Noel),,2,0
1,1,11:29.0,,D. Wade misses 2-pt jump shot from 8 ft (block by N. Stauskas),2,0
2,1,11:27.0,,Offensive rebound by D. Wade,2,0
3,1,11:24.0,,D. Wade misses 2-pt layup from 3 ft,2,0
4,1,11:23.0,Defensive rebound by R. Covington,,2,0
5,1,11:17.0,N. Noel makes 2-pt layup from 2 ft (assist by N. Stauskas),,4,0
6,1,10:53.0,,B. Portis misses 2-pt jump shot from 16 ft,4,0
7,1,10:52.0,Defensive rebound by T. McConnell,,4,0
8,1,10:39.0,N. Stauskas misses 2-pt layup from 3 ft (block by R. Lopez),,4,0
9,1,10:37.0,,Defensive rebound by J. Butler,4,0
10,1,10:34.0,,D. Wade misses 2-pt layup from 3 ft (block by R. Covington),4,0
11,1,10:34.0,Defensive rebound by R. Covington,,4,0
12,1,10:34.0,Turnover by R. Covington (step out of bounds),,4,0
13,1,10:20.0,,R. Lopez misses 2-pt hook shot from 10 ft,4,0
14,1,10:19.0,Defensive rebound by R. Covington,,4,0
15,1,10:14.0,N. Stauskas makes 2-pt dunk from 2 ft (assist by T. McConnell),,6,0
16,1,9:56.0,,J. Butler misses 2-pt jump shot from 16 ft,6,0
17,1,9:55.0,Defensive rebound by N. Noel,,6,0
18,1,9:50.0,T. McConnell misses 2-pt jump shot from 4 ft (block by J. Grant),,6,0
19,1,9:50.0,Offensive rebound by Team,,6,0
20,1,9:40.0,T. McConnell misses 2-pt layup from 2 ft,,6,0
21,1,9:40.0,Offensive rebound by Team,,6,0
22,1,9:40.0,Personal foul by J. Grant (drawn by N. Noel),,6,0
23,1,9:31.0,N. Stauskas misses 2-pt jump shot from 15 ft,,6,0
24,1,9:30.0,,Defensive rebound by B. Portis,6,0
25,1,9:20.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Lopez),6,3
26,1,9:06.0,Turnover by T. McConnell (lost ball; steal by D. Wade),,6,3
27,1,9:03.0,,Turnover by J. Grant (bad pass; steal by N. Noel),6,3
28,1,8:46.0,N. Noel makes 2-pt hook shot from 3 ft (assist by T. McConnell),,8,3
29,1,8:39.0,,Personal foul by N. Noel (drawn by R. Lopez),8,3
30,1,8:28.0,,R. Lopez makes 2-pt hook shot from 5 ft (assist by D. Wade),8,5
31,1,8:13.0,E. İlyasova makes 3-pt jump shot from 26 ft,,11,5
32,1,7:57.0,,Turnover by J. Butler (lost ball; steal by R. Covington),11,5
33,1,7:52.0,T. McConnell misses 2-pt layup from 3 ft,,11,5
34,1,7:51.0,,Defensive rebound by B. Portis,11,5
35,1,7:35.0,,Shooting foul by N. Stauskas (drawn by D. Wade),11,5
36,1,7:35.0,,D. Wade makes free throw 1 of 2,11,6
37,1,7:35.0,,D. Wade makes free throw 2 of 2,11,7
38,1,7:21.0,R. Covington misses 2-pt jump shot from 6 ft,,11,7
39,1,7:19.0,,Defensive rebound by J. Butler,11,7
40,1,7:13.0,,J. Butler misses 2-pt jump shot from 17 ft,11,7
41,1,7:11.0,,Offensive rebound by B. Portis,11,7
42,1,7:07.0,,B. Portis misses 2-pt jump shot from 8 ft,11,7
43,1,7:06.0,,Offensive rebound by R. Lopez,11,7
44,1,7:06.0,,J. Butler makes 2-pt layup from 2 ft,11,9
45,1,6:48.0,R. Covington misses 3-pt jump shot from 26 ft,,11,9
46,1,6:47.0,,Defensive rebound by J. Butler,11,9
47,1,6:42.0,,Turnover by D. Wade (bad pass; steal by N. Stauskas),11,9
48,1,6:41.0,Turnover by N. Stauskas (bad pass),,11,9
49,1,6:33.0,,R. Lopez makes 2-pt jump shot from 18 ft (assist by D. Wade),11,11
50,1,6:32.0,Philadelphia full timeout,,11,11
51,1,6:23.0,Shooting foul by B. Portis (drawn by E. İlyasova),,11,11
52,1,6:23.0,E. İlyasova makes free throw 1 of 2,,12,11
53,1,6:23.0,R. Holmes enters the game for N. Noel,,12,11
54,1,6:23.0,E. İlyasova makes free throw 2 of 2,,13,11
55,1,5:59.0,,R. Lopez makes 2-pt jump shot from 19 ft (assist by J. Butler),13,13
56,1,5:47.0,E. İlyasova makes 2-pt jump shot from 19 ft (assist by R. Covington),,15,13
57,1,5:34.0,,J. Grant makes 2-pt jump shot from 16 ft (assist by B. Portis),15,15
58,1,5:23.0,R. Covington misses 2-pt dunk at rim,,15,15
59,1,5:22.0,,Defensive rebound by B. Portis,15,15
60,1,5:15.0,,D. Wade makes 2-pt layup from 2 ft,15,17
61,1,5:00.0,E. İlyasova misses 3-pt jump shot from 25 ft,,15,17
