,QUARTER,TIME_REMAINING,DENVER_ACTION,UTAH_ACTION,DENVER_SCORE,UTAH_SCORE
0,1,11:47.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by G. Hill),0,3
1,1,11:21.0,J. Nurkić misses 2-pt hook shot from 8 ft,,0,3
2,1,11:21.0,,Defensive rebound by G. Hill,0,3
3,1,11:04.0,,R. Hood makes 3-pt jump shot from 24 ft (assist by T. Lyles),0,6
4,1,10:49.0,K. Faried misses 2-pt hook shot from 9 ft,,0,6
5,1,10:49.0,,Defensive rebound by T. Lyles,0,6
6,1,10:41.0,,T. Lyles makes 2-pt layup from 3 ft,0,8
7,1,10:41.0,,Shooting foul by J. Nurkić (drawn by T. Lyles),0,8
8,1,10:41.0,,T. Lyles makes free throw 1 of 1,0,9
9,1,10:26.0,Shooting foul by G. Hayward (drawn by J. Hernangómez),,0,9
10,1,10:26.0,J. Hernangómez misses free throw 1 of 2,,0,9
11,1,10:26.0,Offensive rebound by Team,,0,9
12,1,10:26.0,J. Hernangómez misses free throw 2 of 2,,0,9
13,1,10:25.0,,Defensive rebound by R. Hood,0,9
14,1,10:14.0,,G. Hayward makes 2-pt layup from 2 ft,0,11
15,1,10:14.0,,Shooting foul by J. Hernangómez (drawn by G. Hayward),0,11
16,1,10:14.0,,G. Hayward makes free throw 1 of 1,0,12
17,1,10:11.0,Denver full timeout,,0,12
18,1,10:00.0,W. Barton misses 2-pt jump shot from 8 ft,,0,12
19,1,9:59.0,Offensive rebound by W. Barton,,0,12
20,1,9:55.0,W. Barton misses 2-pt layup from 3 ft (block by R. Gobert),,0,12
21,1,9:54.0,,Defensive rebound by T. Lyles,0,12
22,1,9:47.0,,Turnover by G. Hayward (bad pass),0,12
23,1,9:30.0,J. Hernangómez misses 3-pt jump shot from 24 ft,,0,12
24,1,9:30.0,,Defensive rebound by G. Hayward,0,12
25,1,9:17.0,,G. Hill makes 2-pt jump shot from 19 ft,0,14
26,1,9:02.0,Shooting foul by G. Hill (drawn by E. Mudiay),,0,14
27,1,9:02.0,E. Mudiay misses free throw 1 of 2,,0,14
28,1,9:02.0,Offensive rebound by Team,,0,14
29,1,9:02.0,W. Chandler enters the game for K. Faried,,0,14
30,1,9:02.0,E. Mudiay makes free throw 2 of 2,,1,14
31,1,8:50.0,,Turnover by R. Hood (bad pass; steal by J. Hernangómez),1,14
32,1,8:45.0,Shooting block foul by T. Lyles (drawn by W. Chandler),,1,14
33,1,8:45.0,W. Chandler makes free throw 1 of 2,,2,14
34,1,8:45.0,W. Chandler makes free throw 2 of 2,,3,14
35,1,8:25.0,,T. Lyles misses 3-pt jump shot from 23 ft,3,14
36,1,8:24.0,Defensive rebound by J. Nurkić,,3,14
37,1,8:20.0,Personal foul by R. Hood,,3,14
38,1,8:11.0,J. Hernangómez misses 2-pt layup from 3 ft,,3,14
39,1,8:10.0,Offensive rebound by J. Nurkić,,3,14
40,1,8:07.0,J. Nurkić misses 2-pt layup from 2 ft,,3,14
41,1,8:07.0,,Defensive rebound by R. Hood,3,14
42,1,8:01.0,,R. Gobert makes 2-pt dunk at rim (assist by R. Hood),3,16
43,1,7:46.0,E. Mudiay misses 2-pt jump shot from 5 ft (block by G. Hayward),,3,16
44,1,7:44.0,,Defensive rebound by R. Gobert,3,16
45,1,7:39.0,,G. Hill makes 3-pt jump shot from 23 ft (assist by G. Hayward),3,19
46,1,7:39.0,Denver full timeout,,3,19
47,1,7:39.0,J. Nelson enters the game for E. Mudiay,,3,19
48,1,7:39.0,N. Jokić enters the game for W. Barton,,3,19
49,1,7:39.0,J. Murray enters the game for J. Nurkić,,3,19
50,1,7:25.0,W. Chandler makes 2-pt jump shot from 8 ft,,5,19
51,1,7:08.0,,R. Hood makes 3-pt jump shot from 25 ft (assist by G. Hayward),5,22
52,1,6:54.0,W. Chandler misses 3-pt jump shot from 25 ft,,5,22
53,1,6:53.0,,Defensive rebound by R. Gobert,5,22
54,1,6:45.0,,G. Hayward misses 3-pt jump shot from 24 ft,5,22
55,1,6:44.0,Defensive rebound by J. Murray,,5,22
56,1,6:32.0,Shooting foul by T. Lyles (drawn by J. Hernangómez),,5,22
57,1,6:32.0,J. Hernangómez makes free throw 1 of 2,,6,22
58,1,6:32.0,,B. Diaw enters the game for T. Lyles,6,22
59,1,6:32.0,J. Hernangómez makes free throw 2 of 2,,7,22
60,1,6:18.0,,R. Gobert makes 2-pt dunk at rim (assist by B. Diaw),7,24
61,1,6:03.0,Shooting block foul by R. Hood (drawn by W. Chandler),,7,24
62,1,6:03.0,W. Chandler makes free throw 1 of 2,,8,24
63,1,6:03.0,,J. Johnson enters the game for R. Hood,8,24
64,1,6:03.0,D. Arthur enters the game for J. Hernangómez,,8,24
65,1,6:03.0,W. Chandler makes free throw 2 of 2,,9,24
66,1,5:51.0,,Offensive foul by R. Gobert (drawn by J. Nelson),9,24
67,1,5:51.0,,Turnover by R. Gobert (offensive foul),9,24
68,1,5:30.0,W. Chandler makes 2-pt jump shot from 13 ft,,11,24
69,1,5:10.0,,G. Hill makes 2-pt jump shot from 9 ft,11,26
70,1,5:10.0,,Shooting foul by J. Murray (drawn by G. Hill),11,26
71,1,5:10.0,,G. Hill misses free throw 1 of 1,11,26
72,1,5:10.0,Defensive rebound by J. Nelson,,11,26
73,1,4:46.0,J. Nelson misses 2-pt jump shot from 19 ft,,11,26
74,1,4:46.0,,Defensive rebound by Team,11,26
75,1,4:22.0,,G. Hayward misses 2-pt jump shot from 12 ft,11,26
76,1,4:21.0,Defensive rebound by W. Chandler,,11,26
77,1,4:13.0,W. Chandler misses 2-pt jump shot from 10 ft,,11,26
78,1,4:13.0,Offensive rebound by W. Chandler,,11,26
79,1,4:02.0,D. Arthur makes 3-pt jump shot from 24 ft (assist by N. Jokić),,14,26
80,1,3:46.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by B. Diaw),14,29
81,1,3:32.0,W. Chandler makes 3-pt jump shot from 25 ft (assist by J. Nelson),,17,29
82,1,3:27.0,,Utah full timeout,17,29
83,1,3:27.0,,D. Exum enters the game for G. Hill,17,29
84,1,3:15.0,,G. Hayward makes 2-pt jump shot from 18 ft (assist by J. Johnson),17,31
85,1,3:01.0,J. Murray makes 3-pt jump shot from 24 ft (assist by N. Jokić),,20,31
86,1,2:43.0,,Turnover by D. Exum (bad pass),20,31
87,1,2:43.0,,J. Withey enters the game for R. Gobert,20,31
88,1,2:28.0,J. Murray misses 2-pt jump shot from 11 ft,,20,31
89,1,2:28.0,,Defensive rebound by B. Diaw,20,31
90,1,2:09.0,,B. Diaw misses 2-pt layup from 3 ft,20,31
91,1,2:08.0,Defensive rebound by W. Chandler,,20,31
92,1,2:00.0,D. Arthur misses 2-pt jump shot from 22 ft,,20,31
93,1,1:59.0,,Defensive rebound by J. Withey,20,31
94,1,1:47.0,,B. Diaw makes 3-pt jump shot from 24 ft (assist by G. Hayward),20,34
95,1,1:23.0,J. Nelson misses 3-pt jump shot from 24 ft,,20,34
96,1,1:22.0,,Defensive rebound by J. Withey,20,34
97,1,1:09.0,,B. Diaw makes 2-pt layup from 2 ft,20,36
98,1,0:59.0,N. Jokić makes 2-pt dunk at rim,,22,36
99,1,0:45.0,,J. Johnson misses 2-pt jump shot from 6 ft,22,36
100,1,0:44.0,Defensive rebound by N. Jokić,,22,36
101,1,0:31.0,J. Murray makes 3-pt jump shot from 23 ft (assist by J. Nelson),,25,36
102,1,0:24.0,A. Gee enters the game for J. Nelson,,25,36
103,1,0:17.0,,G. Hayward misses 3-pt jump shot from 24 ft,25,36
104,1,0:17.0,Defensive rebound by W. Chandler,,25,36
105,1,0:01.0,W. Chandler makes 2-pt jump shot from 18 ft,,27,36
106,1,0:01.0,,D. Exum misses 3-pt jump shot from 53 ft (block by J. Murray),27,36
107,1,0:00.0,,Offensive rebound by Team,27,36
108,2,11:47.0,J. Murray misses 2-pt jump shot from 19 ft,,27,36
109,2,11:46.0,,Defensive rebound by B. Diaw,27,36
110,2,11:36.0,,Def 3 sec tech foul by D. Arthur,27,36
111,2,11:36.0,,J. Johnson makes technical free throw,27,37
112,2,11:22.0,,J. Johnson makes 2-pt jump shot from 15 ft,27,39
113,2,10:59.0,W. Chandler misses 3-pt jump shot from 25 ft,,27,39
114,2,10:58.0,,Defensive rebound by J. Withey,27,39
115,2,10:45.0,,Shooting foul by W. Chandler (drawn by B. Diaw),27,39
116,2,10:45.0,,B. Diaw makes free throw 1 of 2,27,40
117,2,10:45.0,,B. Diaw misses free throw 2 of 2,27,40
118,2,10:45.0,Defensive rebound by Team,,27,40
119,2,10:23.0,N. Jokić makes 2-pt layup from 2 ft,,29,40
120,2,10:04.0,,B. Diaw makes 2-pt hook shot from 3 ft,29,42
121,2,10:04.0,,Shooting foul by D. Arthur (drawn by B. Diaw),29,42
122,2,10:04.0,J. Nurkić enters the game for N. Jokić,,29,42
123,2,10:04.0,,B. Diaw makes free throw 1 of 1,29,43
124,2,9:49.0,J. Murray makes 2-pt jump shot from 12 ft,,31,43
125,2,9:28.0,,J. Ingles misses 3-pt jump shot from 24 ft,31,43
126,2,9:28.0,Defensive rebound by W. Chandler,,31,43
127,2,9:21.0,J. Nelson misses 3-pt jump shot from 24 ft,,31,43
128,2,9:21.0,Offensive rebound by Team,,31,43
129,2,9:21.0,,Loose ball foul by J. Withey (drawn by J. Nurkić),31,43
130,2,9:21.0,W. Barton enters the game for W. Chandler,,31,43
131,2,9:21.0,K. Faried enters the game for D. Arthur,,31,43
132,2,9:21.0,,R. Hood enters the game for J. Johnson,31,43
133,2,9:11.0,J. Nurkić misses 2-pt hook shot from 6 ft,,31,43
134,2,9:11.0,,Defensive rebound by R. Hood,31,43
135,2,8:50.0,,B. Diaw misses 2-pt layup from 3 ft,31,43
136,2,8:50.0,Defensive rebound by J. Nurkić,,31,43
137,2,8:45.0,W. Barton misses 3-pt jump shot from 25 ft,,31,43
138,2,8:44.0,,Defensive rebound by J. Ingles,31,43
139,2,8:40.0,,Utah full timeout,31,43
140,2,8:40.0,E. Mudiay enters the game for J. Nelson,,31,43
141,2,8:40.0,,R. Gobert enters the game for J. Withey,31,43
142,2,8:40.0,,G. Hill enters the game for D. Exum,31,43
143,2,8:40.0,,J. Johnson enters the game for J. Ingles,31,43
144,2,8:31.0,,R. Hood misses 3-pt jump shot from 25 ft,31,43
145,2,8:30.0,Defensive rebound by W. Barton,,31,43
146,2,8:12.0,J. Murray makes 3-pt jump shot from 25 ft,,34,43
147,2,7:52.0,,R. Gobert misses 2-pt layup from 2 ft (block by J. Nurkić),34,43
148,2,7:50.0,Defensive rebound by J. Nurkić,,34,43
149,2,7:44.0,E. Mudiay makes 2-pt layup from 2 ft,,36,43
150,2,7:22.0,,G. Hill misses 3-pt jump shot from 25 ft,36,43
151,2,7:22.0,Defensive rebound by W. Barton,,36,43
152,2,7:18.0,Personal foul by J. Johnson (drawn by W. Barton),,36,43
153,2,7:18.0,J. Hernangómez enters the game for J. Murray,,36,43
154,2,7:18.0,,T. Lyles enters the game for B. Diaw,36,43
155,2,7:11.0,J. Nurkić makes 2-pt dunk at rim (assist by E. Mudiay),,38,43
156,2,7:11.0,Shooting foul by T. Lyles (drawn by J. Nurkić),,38,43
157,2,7:11.0,J. Nurkić misses free throw 1 of 1,,38,43
158,2,7:11.0,,Defensive rebound by G. Hill,38,43
159,2,6:54.0,,G. Hill misses 2-pt jump shot from 19 ft,38,43
160,2,6:54.0,Defensive rebound by J. Hernangómez,,38,43
161,2,6:45.0,J. Nurkić misses 2-pt jump shot from 19 ft,,38,43
162,2,6:44.0,,Defensive rebound by T. Lyles,38,43
163,2,6:36.0,,Turnover by R. Hood (traveling),38,43
164,2,6:24.0,E. Mudiay misses 2-pt jump shot from 14 ft,,38,43
165,2,6:23.0,,Defensive rebound by T. Lyles,38,43
166,2,6:13.0,,T. Lyles misses 3-pt jump shot from 24 ft,38,43
167,2,6:13.0,Defensive rebound by W. Barton,,38,43
168,2,6:00.0,,G. Hayward enters the game for J. Johnson,38,43
169,2,5:50.0,E. Mudiay misses 3-pt jump shot from 25 ft,,38,43
170,2,5:50.0,Offensive rebound by K. Faried,,38,43
171,2,5:47.0,K. Faried makes 2-pt layup from 2 ft,,40,43
172,2,5:28.0,,G. Hayward misses 2-pt jump shot from 15 ft (block by J. Hernangómez),40,43
173,2,5:26.0,Defensive rebound by J. Nurkić,,40,43
174,2,5:23.0,Shooting foul by G. Hill (drawn by W. Barton),,40,43
175,2,5:23.0,Denver full timeout,,40,43
176,2,5:23.0,W. Barton misses free throw 1 of 2,,40,43
177,2,5:23.0,Offensive rebound by Team,,40,43
178,2,5:23.0,W. Barton makes free throw 2 of 2,,41,43
179,2,5:09.0,,Turnover by T. Lyles (lost ball; steal by K. Faried),41,43
180,2,5:02.0,W. Barton misses 2-pt jump shot from 8 ft,,41,43
181,2,5:02.0,,Defensive rebound by Team,41,43
182,2,5:02.0,Loose ball foul by K. Faried (drawn by R. Gobert),,41,43
183,2,4:49.0,,R. Gobert makes 2-pt dunk at rim (assist by G. Hayward),41,45
184,2,4:28.0,J. Nurkić misses 2-pt hook shot from 5 ft,,41,45
185,2,4:27.0,,Defensive rebound by G. Hill,41,45
186,2,4:24.0,,Turnover by G. Hill (bad pass; steal by J. Hernangómez),41,45
187,2,4:16.0,J. Nurkić misses 2-pt layup from 2 ft,,41,45
188,2,4:16.0,,Defensive rebound by R. Gobert,41,45
189,2,4:06.0,,R. Hood misses 3-pt jump shot from 25 ft,41,45
190,2,4:05.0,Defensive rebound by K. Faried,,41,45
191,2,4:05.0,,Loose ball foul by T. Lyles (drawn by K. Faried),41,45
192,2,4:05.0,K. Faried makes free throw 1 of 2,,42,45
193,2,4:05.0,,B. Diaw enters the game for T. Lyles,42,45
194,2,4:05.0,W. Chandler enters the game for J. Nurkić,,42,45
195,2,4:05.0,K. Faried makes free throw 2 of 2,,43,45
196,2,3:47.0,,G. Hayward misses 2-pt jump shot from 20 ft,43,45
197,2,3:47.0,Defensive rebound by W. Chandler,,43,45
198,2,3:30.0,K. Faried misses 2-pt hook shot from 9 ft,,43,45
199,2,3:29.0,,Defensive rebound by G. Hill,43,45
200,2,3:15.0,,G. Hill misses 2-pt jump shot from 10 ft,43,45
201,2,3:14.0,Defensive rebound by K. Faried,,43,45
202,2,3:05.0,W. Barton misses 2-pt layup from 1 ft,,43,45
203,2,3:04.0,Offensive rebound by K. Faried,,43,45
204,2,3:03.0,K. Faried makes 2-pt layup from 1 ft,,45,45
205,2,2:45.0,,R. Hood makes 2-pt layup from 2 ft (assist by B. Diaw),45,47
206,2,2:21.0,Turnover by W. Chandler (bad pass; steal by G. Hill),,45,47
207,2,2:12.0,,R. Hood makes 2-pt layup from 3 ft,45,49
208,2,2:12.0,Denver full timeout,,45,49
209,2,2:12.0,J. Murray enters the game for J. Hernangómez,,45,49
210,2,2:01.0,W. Chandler misses 2-pt jump shot from 3 ft,,45,49
211,2,1:59.0,Offensive rebound by K. Faried,,45,49
212,2,1:57.0,K. Faried makes 2-pt hook shot from 3 ft,,47,49
213,2,1:36.0,,G. Hill makes 2-pt jump shot from 13 ft,47,51
214,2,1:19.0,J. Murray misses 2-pt jump shot from 10 ft,,47,51
215,2,1:18.0,Offensive rebound by K. Faried,,47,51
216,2,1:16.0,K. Faried misses 2-pt layup from 2 ft,,47,51
217,2,1:15.0,,Defensive rebound by R. Gobert,47,51
218,2,1:00.0,,R. Gobert misses 2-pt layup from 2 ft,47,51
219,2,0:59.0,Defensive rebound by K. Faried,,47,51
220,2,0:53.0,E. Mudiay misses 2-pt layup from 2 ft,,47,51
221,2,0:52.0,,Defensive rebound by G. Hayward,47,51
222,2,0:41.0,,R. Hood misses 2-pt jump shot from 8 ft,47,51
223,2,0:41.0,Defensive rebound by W. Barton,,47,51
224,2,0:36.0,Turnover by W. Barton (bad pass),,47,51
225,2,0:18.0,,G. Hill makes 2-pt layup from 2 ft,47,53
226,2,0:02.0,E. Mudiay misses 2-pt layup from 2 ft,,47,53
227,2,0:01.0,,Defensive rebound by R. Hood,47,53
228,2,0:00.0,,R. Hood misses 3-pt jump shot from 70 ft,47,53
229,2,0:00.0,,Offensive rebound by Team,47,53
230,3,11:38.0,E. Mudiay misses 2-pt jump shot from 7 ft,,47,53
231,3,11:38.0,,Defensive rebound by R. Gobert,47,53
232,3,11:19.0,,R. Hood misses 3-pt jump shot from 22 ft,47,53
233,3,11:17.0,,Offensive rebound by Team,47,53
234,3,11:03.0,,G. Hill misses 3-pt jump shot from 24 ft,47,53
235,3,11:02.0,Defensive rebound by J. Hernangómez,,47,53
236,3,10:56.0,Shooting foul by G. Hayward (drawn by W. Barton),,47,53
237,3,10:56.0,W. Barton misses free throw 1 of 2,,47,53
238,3,10:56.0,Offensive rebound by Team,,47,53
239,3,10:56.0,W. Barton misses free throw 2 of 2,,47,53
240,3,10:55.0,,Defensive rebound by R. Gobert,47,53
241,3,10:39.0,,Shooting foul by J. Nurkić (drawn by R. Gobert),47,53
242,3,10:39.0,,R. Gobert makes free throw 1 of 2,47,54
243,3,10:39.0,,R. Gobert misses free throw 2 of 2,47,54
244,3,10:39.0,Defensive rebound by Team,,47,54
245,3,10:23.0,J. Nurkić misses 2-pt layup from 2 ft,,47,54
246,3,10:23.0,,Defensive rebound by G. Hill,47,54
247,3,10:13.0,,R. Gobert makes 2-pt dunk at rim (assist by G. Hill),47,56
248,3,9:53.0,Offensive foul by J. Nurkić (drawn by G. Hill),,47,56
249,3,9:53.0,Turnover by J. Nurkić (offensive foul),,47,56
250,3,9:41.0,,Turnover by R. Gobert (3 sec),47,56
251,3,9:23.0,W. Barton misses 3-pt jump shot from 24 ft,,47,56
252,3,9:22.0,,Defensive rebound by R. Gobert,47,56
253,3,9:06.0,,Personal foul by J. Nurkić (drawn by R. Gobert),47,56
254,3,9:06.0,W. Chandler enters the game for J. Nurkić,,47,56
255,3,8:55.0,,G. Hayward misses 2-pt layup from 3 ft,47,56
256,3,8:54.0,Defensive rebound by K. Faried,,47,56
257,3,8:47.0,Turnover by E. Mudiay (lost ball; steal by G. Hill),,47,56
258,3,8:37.0,,G. Hill makes 2-pt layup from 2 ft,47,58
259,3,8:37.0,,Shooting foul by K. Faried (drawn by G. Hill),47,58
260,3,8:37.0,Denver full timeout,,47,58
261,3,8:37.0,J. Murray enters the game for W. Barton,,47,58
262,3,8:37.0,,G. Hill makes free throw 1 of 1,47,59
263,3,8:15.0,E. Mudiay misses 2-pt jump shot from 3 ft,,47,59
264,3,8:15.0,Offensive rebound by K. Faried,,47,59
265,3,8:08.0,Shooting foul by G. Hill (drawn by J. Murray),,47,59
266,3,8:08.0,J. Murray makes free throw 1 of 2,,48,59
267,3,8:08.0,J. Murray makes free throw 2 of 2,,49,59
268,3,7:57.0,,B. Diaw makes 2-pt layup from 3 ft (assist by G. Hayward),49,61
269,3,7:44.0,Shooting foul by R. Gobert (drawn by J. Hernangómez),,49,61
270,3,7:44.0,J. Hernangómez misses free throw 1 of 2,,49,61
271,3,7:44.0,Offensive rebound by Team,,49,61
272,3,7:44.0,J. Hernangómez makes free throw 2 of 2,,50,61
273,3,7:34.0,,Personal foul by J. Murray (drawn by G. Hill),50,61
274,3,7:27.0,,G. Hayward misses 2-pt layup from 2 ft (block by J. Hernangómez),50,61
275,3,7:25.0,,Offensive rebound by R. Gobert,50,61
276,3,7:25.0,,R. Gobert makes 2-pt dunk at rim,50,63
277,3,7:07.0,J. Murray misses 2-pt jump shot from 11 ft (block by R. Gobert),,50,63
278,3,7:07.0,,Defensive rebound by Team,50,63
279,3,7:07.0,Loose ball foul by K. Faried (drawn by G. Hayward),,50,63
280,3,7:07.0,,G. Hayward makes free throw 1 of 2,50,64
281,3,7:07.0,N. Jokić enters the game for J. Hernangómez,,50,64
282,3,7:07.0,D. Arthur enters the game for K. Faried,,50,64
283,3,7:07.0,J. Nelson enters the game for E. Mudiay,,50,64
284,3,7:07.0,,G. Hayward makes free throw 2 of 2,50,65
285,3,6:53.0,W. Chandler misses 2-pt jump shot from 14 ft,,50,65
286,3,6:52.0,,Defensive rebound by R. Hood,50,65
287,3,6:43.0,,R. Hood makes 2-pt hook shot from 6 ft,50,67
288,3,6:26.0,W. Chandler misses 2-pt jump shot from 12 ft,,50,67
289,3,6:26.0,,Defensive rebound by B. Diaw,50,67
290,3,6:09.0,,G. Hill makes 3-pt jump shot from 24 ft (assist by G. Hayward),50,70
291,3,6:07.0,Denver full timeout,,50,70
292,3,5:55.0,J. Murray misses 2-pt layup from 1 ft,,50,70
293,3,5:55.0,Offensive rebound by D. Arthur,,50,70
294,3,5:54.0,D. Arthur misses 2-pt layup from 2 ft,,50,70
295,3,5:53.0,Offensive rebound by N. Jokić,,50,70
296,3,5:49.0,J. Murray makes 3-pt jump shot from 24 ft (assist by N. Jokić),,53,70
297,3,5:29.0,,G. Hill misses 3-pt jump shot from 25 ft,53,70
298,3,5:28.0,Defensive rebound by W. Chandler,,53,70
299,3,5:16.0,J. Nelson misses 3-pt jump shot from 25 ft,,53,70
300,3,5:16.0,,Defensive rebound by R. Gobert,53,70
301,3,4:58.0,,B. Diaw misses 3-pt jump shot from 25 ft,53,70
302,3,4:57.0,Defensive rebound by W. Chandler,,53,70
303,3,4:44.0,Turnover by J. Murray (bad pass),,53,70
304,3,4:44.0,,T. Lyles enters the game for B. Diaw,53,70
305,3,4:35.0,,Personal foul by N. Jokić (drawn by R. Gobert),53,70
306,3,4:35.0,,R. Gobert misses free throw 1 of 2,53,70
307,3,4:35.0,,Offensive rebound by Team,53,70
308,3,4:35.0,,R. Gobert misses free throw 2 of 2,53,70
