,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,BROOKLYN_ACTION,SACRAMENTO_SCORE,BROOKLYN_SCORE
0,1,11:46.0,Turnover by D. Collison (lost ball),,0,0
1,1,11:32.0,,T. Booker makes 2-pt jump shot from 4 ft (assist by B. Lopez),0,2
2,1,11:17.0,A. Afflalo makes 2-pt layup from 1 ft (assist by D. Cousins),,2,2
3,1,11:02.0,,Turnover by B. Lopez (lost ball; steal by D. Collison),2,2
4,1,10:56.0,A. Afflalo makes 2-pt jump shot from 19 ft (assist by R. Gay),,4,2
5,1,10:42.0,,S. Kilpatrick misses 2-pt jump shot from 19 ft,4,2
6,1,10:41.0,Defensive rebound by D. Cousins,,4,2
7,1,10:30.0,K. Koufos makes 2-pt hook shot from 8 ft (assist by R. Gay),,6,2
8,1,10:15.0,,B. Lopez misses 3-pt jump shot from 26 ft,6,2
9,1,10:14.0,Defensive rebound by A. Afflalo,,6,2
10,1,10:07.0,A. Afflalo misses 2-pt jump shot from 20 ft,,6,2
11,1,10:06.0,,Defensive rebound by B. Lopez,6,2
12,1,10:00.0,,I. Whitehead makes 2-pt jump shot from 5 ft,6,4
13,1,9:44.0,D. Cousins misses 2-pt jump shot from 18 ft,,6,4
14,1,9:41.0,,Defensive rebound by T. Booker,6,4
15,1,9:36.0,,S. Kilpatrick makes 2-pt layup from 1 ft (assist by B. Lopez),6,6
16,1,9:12.0,D. Cousins misses 2-pt jump shot from 19 ft,,6,6
17,1,9:11.0,,Defensive rebound by B. Bogdanović,6,6
18,1,9:01.0,,Personal foul by D. Cousins (drawn by B. Lopez),6,6
19,1,8:48.0,,B. Bogdanović misses 3-pt jump shot from 29 ft,6,6
20,1,8:47.0,,Offensive rebound by S. Kilpatrick,6,6
21,1,8:45.0,,S. Kilpatrick makes 3-pt jump shot from 25 ft,6,9
22,1,8:25.0,R. Gay makes 2-pt jump shot from 4 ft,,8,9
23,1,8:15.0,,B. Bogdanović makes 2-pt dunk at rim,8,11
24,1,8:08.0,Sacramento full timeout,,8,11
25,1,8:05.0,Personal foul by B. Lopez (drawn by D. Cousins),,8,11
26,1,7:58.0,Def 3 sec tech foul by B. Bogdanović,,8,11
27,1,7:58.0,D. Collison makes technical free throw,,9,11
28,1,7:58.0,,J. Hamilton enters the game for T. Booker,9,11
29,1,7:43.0,Turnover by Team (shot clock),,9,11
30,1,7:28.0,,Turnover by B. Bogdanović (lost ball),9,11
31,1,7:14.0,D. Cousins misses 2-pt jump shot from 19 ft,,9,11
32,1,7:13.0,,Defensive rebound by S. Kilpatrick,9,11
33,1,6:59.0,,S. Kilpatrick makes 2-pt jump shot from 7 ft,9,13
34,1,6:42.0,R. Gay misses 3-pt jump shot from 24 ft,,9,13
35,1,6:41.0,,Defensive rebound by S. Kilpatrick,9,13
36,1,6:33.0,,Def 3 sec tech foul by D. Cousins,9,13
37,1,6:33.0,,B. Bogdanović misses technical free throw,9,13
38,1,6:33.0,,Offensive rebound by Team,9,13
39,1,6:21.0,,B. Lopez makes 2-pt jump shot from 14 ft,9,15
40,1,6:10.0,K. Koufos misses 2-pt jump shot from 12 ft,,9,15
41,1,6:09.0,,Defensive rebound by I. Whitehead,9,15
42,1,6:03.0,,S. Kilpatrick makes 2-pt jump shot from 17 ft (assist by I. Whitehead),9,17
43,1,5:44.0,D. Cousins makes 2-pt hook shot from 4 ft,,11,17
44,1,5:27.0,,J. Hamilton misses 2-pt layup from 2 ft,11,17
45,1,5:26.0,Defensive rebound by D. Cousins,,11,17
46,1,5:17.0,Turnover by D. Collison (lost ball; steal by J. Hamilton),,11,17
47,1,5:13.0,,I. Whitehead misses 2-pt jump shot from 7 ft,11,17
48,1,5:12.0,Defensive rebound by D. Cousins,,11,17
49,1,5:06.0,D. Collison makes 2-pt jump shot from 14 ft (assist by R. Gay),,13,17
50,1,4:55.0,M. Barnes enters the game for K. Koufos,,13,17
51,1,4:55.0,T. Lawson enters the game for D. Collison,,13,17
52,1,4:55.0,,J. Harris enters the game for S. Kilpatrick,13,17
53,1,4:40.0,,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by J. Hamilton),13,20
54,1,4:15.0,R. Gay misses 2-pt jump shot from 8 ft,,13,20
55,1,4:14.0,,Defensive rebound by B. Lopez,13,20
56,1,4:07.0,,Shooting foul by M. Barnes (drawn by B. Bogdanović),13,20
57,1,4:07.0,,B. Bogdanović makes free throw 1 of 2,13,21
58,1,4:07.0,,T. Booker enters the game for B. Lopez,13,21
59,1,4:07.0,,Y. Ferrell enters the game for I. Whitehead,13,21
60,1,4:07.0,G. Temple enters the game for A. Afflalo,,13,21
61,1,4:07.0,,B. Bogdanović makes free throw 2 of 2,13,22
62,1,3:54.0,,R. Foye enters the game for B. Bogdanović,13,22
63,1,3:45.0,D. Cousins makes 3-pt jump shot from 24 ft (assist by R. Gay),,16,22
64,1,3:26.0,,L. Scola enters the game for J. Hamilton,16,22
65,1,3:26.0,,Brooklyn full timeout,16,22
66,1,3:18.0,,Y. Ferrell misses 3-pt jump shot from 29 ft,16,22
67,1,3:17.0,Defensive rebound by R. Gay,,16,22
68,1,3:09.0,T. Lawson misses 3-pt jump shot from 24 ft,,16,22
69,1,3:08.0,,Defensive rebound by T. Booker,16,22
70,1,3:00.0,,J. Harris misses 3-pt jump shot from 24 ft,16,22
71,1,2:59.0,Defensive rebound by G. Temple,,16,22
72,1,2:45.0,Shooting foul by T. Booker (drawn by R. Gay),,16,22
73,1,2:45.0,R. Gay misses free throw 1 of 2,,16,22
74,1,2:45.0,Offensive rebound by Team,,16,22
75,1,2:45.0,R. Gay makes free throw 2 of 2,,17,22
76,1,2:31.0,,R. Foye makes 3-pt jump shot from 25 ft (assist by T. Booker),17,25
77,1,2:12.0,M. Barnes makes 2-pt layup from 2 ft (assist by T. Lawson),,19,25
78,1,2:01.0,,L. Scola misses 3-pt jump shot from 24 ft,19,25
79,1,2:00.0,Defensive rebound by R. Gay,,19,25
80,1,1:55.0,D. Cousins makes 2-pt layup from 2 ft,,21,25
81,1,1:55.0,Shooting foul by Y. Ferrell (drawn by D. Cousins),,21,25
82,1,1:55.0,D. Cousins makes free throw 1 of 1,,22,25
83,1,1:38.0,,Shooting foul by T. Lawson (drawn by L. Scola),22,25
84,1,1:38.0,,L. Scola makes free throw 1 of 2,22,26
85,1,1:38.0,O. Casspi enters the game for R. Gay,,22,26
86,1,1:38.0,,L. Scola makes free throw 2 of 2,22,27
87,1,1:26.0,D. Cousins makes 2-pt layup from 3 ft (assist by M. Barnes),,24,27
88,1,1:13.0,,Y. Ferrell makes 2-pt jump shot from 19 ft,24,29
89,1,0:54.0,D. Cousins makes 2-pt jump shot from 5 ft (assist by M. Barnes),,26,29
90,1,0:54.0,Shooting foul by L. Scola (drawn by D. Cousins),,26,29
91,1,0:54.0,D. Cousins misses free throw 1 of 1,,26,29
92,1,0:53.0,,Defensive rebound by T. Booker,26,29
93,1,0:40.0,,R. Foye makes 3-pt jump shot from 25 ft (assist by T. Booker),26,32
94,1,0:34.0,O. Casspi makes 3-pt jump shot from 23 ft (assist by T. Lawson),,29,32
95,1,0:28.0,,Y. Ferrell makes 3-pt jump shot from 25 ft,29,35
96,1,0:05.0,G. Temple misses 2-pt jump shot from 19 ft,,29,35
97,1,0:04.0,Offensive rebound by M. Barnes,,29,35
98,1,0:02.0,M. Barnes makes 2-pt jump shot from 21 ft,,31,35
99,2,11:47.0,,L. Scola makes 2-pt dunk at rim (assist by B. Bogdanović),31,37
100,2,11:29.0,Turnover by M. Barnes (lost ball; steal by L. Scola),,31,37
101,2,11:23.0,,R. Foye misses 3-pt jump shot from 26 ft,31,37
102,2,11:21.0,,Offensive rebound by Y. Ferrell,31,37
103,2,11:17.0,,Y. Ferrell misses 3-pt jump shot from 24 ft,31,37
104,2,11:15.0,Defensive rebound by G. Temple,,31,37
105,2,11:06.0,T. Lawson makes 2-pt jump shot from 7 ft,,33,37
106,2,10:43.0,,L. Scola misses 2-pt hook shot from 7 ft,33,37
107,2,10:42.0,Defensive rebound by M. Barnes,,33,37
108,2,10:41.0,Personal foul by R. Foye (drawn by G. Temple),,33,37
109,2,10:27.0,K. Koufos makes 2-pt dunk at rim (assist by G. Temple),,35,37
110,2,10:08.0,,L. Scola makes 2-pt hook shot from 5 ft,35,39
111,2,10:03.0,T. Lawson misses 2-pt jump shot from 6 ft (block by Y. Ferrell),,35,39
112,2,10:01.0,Offensive rebound by T. Lawson,,35,39
113,2,9:51.0,Turnover by T. Lawson (bad pass; steal by L. Scola),,35,39
114,2,9:40.0,,Turnover by Y. Ferrell (lost ball; steal by G. Temple),35,39
115,2,9:29.0,T. Lawson makes 2-pt jump shot from 17 ft,,37,39
116,2,9:16.0,,J. Hamilton misses 3-pt jump shot from 23 ft,37,39
117,2,9:15.0,,Offensive rebound by L. Scola,37,39
118,2,9:14.0,,L. Scola misses 2-pt layup from 2 ft,37,39
119,2,9:12.0,,Offensive rebound by J. Hamilton,37,39
120,2,8:57.0,,Y. Ferrell misses 2-pt jump shot from 21 ft,37,39
121,2,8:55.0,Defensive rebound by K. Koufos,,37,39
122,2,8:52.0,G. Temple makes 2-pt layup from 2 ft (assist by T. Lawson),,39,39
123,2,8:52.0,,Brooklyn full timeout,39,39
124,2,8:34.0,,L. Scola misses 2-pt jump shot from 9 ft,39,39
125,2,8:33.0,Defensive rebound by M. Barnes,,39,39
