,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MILWAUKEE_ACTION,WASHINGTON_SCORE,MILWAUKEE_SCORE
0,1,11:42.0,M. Gortat misses 2-pt hook shot from 8 ft,,0,0
1,1,11:41.0,,Defensive rebound by J. Parker,0,0
2,1,11:34.0,,T. Snell misses 3-pt jump shot from 23 ft,0,0
3,1,11:33.0,,Offensive rebound by J. Henson,0,0
4,1,11:25.0,,T. Snell makes 3-pt jump shot from 23 ft (assist by J. Parker),0,3
5,1,11:08.0,O. Porter makes 3-pt jump shot from 26 ft (assist by M. Gortat),,3,3
6,1,10:51.0,,M. Dellavedova misses 3-pt jump shot from 27 ft,3,3
7,1,10:49.0,Defensive rebound by J. Wall,,3,3
8,1,10:33.0,M. Morris misses 2-pt jump shot from 14 ft,,3,3
9,1,10:32.0,Offensive rebound by B. Beal,,3,3
10,1,10:31.0,B. Beal misses 2-pt layup at rim,,3,3
11,1,10:30.0,Offensive rebound by O. Porter,,3,3
12,1,10:29.0,O. Porter misses 2-pt jump shot from 8 ft,,3,3
13,1,10:27.0,,Defensive rebound by J. Parker,3,3
14,1,10:18.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by T. Snell),3,5
15,1,10:01.0,O. Porter makes 2-pt jump shot from 10 ft (assist by B. Beal),,5,5
16,1,9:36.0,,M. Dellavedova makes 2-pt jump shot from 7 ft (assist by G. Antetokounmpo),5,7
17,1,9:28.0,M. Morris misses 2-pt jump shot from 15 ft,,5,7
18,1,9:27.0,,Defensive rebound by T. Snell,5,7
19,1,9:16.0,,G. Antetokounmpo makes 2-pt hook shot from 4 ft,5,9
20,1,9:00.0,O. Porter makes 3-pt jump shot from 23 ft (assist by B. Beal),,8,9
21,1,8:44.0,,J. Parker misses 3-pt jump shot from 24 ft,8,9
22,1,8:42.0,Defensive rebound by M. Gortat,,8,9
23,1,8:36.0,J. Wall makes 2-pt jump shot from 17 ft,,10,9
24,1,8:24.0,,G. Antetokounmpo makes 2-pt jump shot from 18 ft,10,11
25,1,8:03.0,J. Wall misses 3-pt jump shot from 27 ft,,10,11
26,1,8:02.0,,Defensive rebound by G. Antetokounmpo,10,11
27,1,7:54.0,,J. Parker makes 2-pt dunk at rim (assist by G. Antetokounmpo),10,13
28,1,7:44.0,B. Beal misses 2-pt layup from 3 ft (block by J. Parker),,10,13
29,1,7:42.0,,Defensive rebound by J. Parker,10,13
30,1,7:23.0,,J. Parker misses 3-pt jump shot from 23 ft,10,13
31,1,7:21.0,Defensive rebound by M. Morris,,10,13
32,1,7:13.0,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),,13,13
33,1,6:55.0,,G. Antetokounmpo misses 2-pt jump shot from 20 ft,13,13
34,1,6:54.0,Defensive rebound by M. Gortat,,13,13
35,1,6:47.0,O. Porter makes 3-pt jump shot from 24 ft (assist by J. Wall),,16,13
36,1,6:46.0,,Milwaukee full timeout,16,13
37,1,6:46.0,,M. Brogdon enters the game for J. Henson,16,13
38,1,6:46.0,,G. Monroe enters the game for M. Dellavedova,16,13
39,1,6:25.0,,G. Antetokounmpo makes 2-pt hook shot from 6 ft,16,15
40,1,6:06.0,Turnover by M. Gortat (bad pass; steal by J. Parker),,16,15
41,1,6:03.0,,Shooting foul by M. Gortat (drawn by J. Parker),16,15
42,1,6:03.0,,J. Parker makes free throw 1 of 2,16,16
43,1,6:03.0,,M. Teletović enters the game for G. Antetokounmpo,16,16
44,1,6:03.0,,J. Parker makes free throw 2 of 2,16,17
45,1,5:48.0,M. Morris misses 3-pt jump shot from 23 ft,,16,17
46,1,5:47.0,,Defensive rebound by M. Brogdon,16,17
47,1,5:33.0,,J. Parker makes 2-pt dunk at rim (assist by T. Snell),16,19
48,1,5:14.0,Shooting foul by J. Parker (drawn by M. Morris),,16,19
49,1,5:14.0,M. Morris makes free throw 1 of 2,,17,19
50,1,5:14.0,M. Morris makes free throw 2 of 2,,18,19
51,1,5:03.0,,T. Snell makes 2-pt jump shot from 13 ft (assist by M. Brogdon),18,21
52,1,4:50.0,M. Morris makes 2-pt dunk at rim (assist by J. Wall),,20,21
53,1,4:27.0,,M. Teletović misses 3-pt jump shot from 28 ft,20,21
54,1,4:26.0,Defensive rebound by M. Gortat,,20,21
55,1,4:12.0,M. Gortat misses 2-pt jump shot from 7 ft,,20,21
56,1,4:11.0,,Defensive rebound by G. Monroe,20,21
57,1,3:56.0,,M. Brogdon makes 3-pt jump shot from 26 ft (assist by J. Parker),20,24
58,1,3:45.0,Turnover by J. Wall (bad pass; steal by J. Parker),,20,24
59,1,3:45.0,,Personal foul by O. Porter (drawn by J. Parker),20,24
60,1,3:45.0,K. Oubre enters the game for O. Porter,,20,24
61,1,3:36.0,,M. Brogdon makes 2-pt jump shot from 4 ft,20,26
62,1,3:34.0,Washington full timeout,,20,26
63,1,3:34.0,S. Mac enters the game for M. Morris,,20,26
64,1,3:19.0,M. Gortat misses 2-pt layup from 1 ft (block by G. Monroe),,20,26
