,QUARTER,TIME_REMAINING,DENVER_ACTION,BOSTON_ACTION,DENVER_SCORE,BOSTON_SCORE
0,1,11:47.0,D. Gallinari misses 2-pt layup from 2 ft (block by T. Zeller),,0,0
1,1,11:45.0,,Defensive rebound by T. Zeller,0,0
2,1,11:30.0,,A. Bradley makes 2-pt jump shot from 17 ft (assist by J. Brown),0,2
3,1,11:10.0,J. Nurkić makes 2-pt layup from 1 ft (assist by N. Jokić),,2,2
4,1,10:48.0,,T. Zeller misses 2-pt layup from 2 ft,2,2
5,1,10:47.0,Defensive rebound by J. Nurkić,,2,2
6,1,10:33.0,N. Jokić makes 2-pt layup from 1 ft,,4,2
7,1,10:16.0,,A. Johnson makes 2-pt layup from 2 ft (assist by A. Bradley),4,4
8,1,10:15.0,,Violation by Team (jump ball),4,4
9,1,9:59.0,N. Jokić misses 3-pt jump shot from 26 ft,,4,4
10,1,9:58.0,Offensive rebound by E. Mudiay,,4,4
11,1,9:55.0,E. Mudiay makes 2-pt layup from 3 ft,,6,4
12,1,9:55.0,Shooting block foul by T. Zeller (drawn by E. Mudiay),,6,4
13,1,9:55.0,E. Mudiay makes free throw 1 of 1,,7,4
14,1,9:37.0,,I. Thomas misses 3-pt jump shot from 26 ft,7,4
15,1,9:36.0,Defensive rebound by Team,,7,4
16,1,9:21.0,D. Gallinari misses 2-pt layup from 3 ft,,7,4
17,1,9:19.0,Offensive rebound by J. Nurkić,,7,4
18,1,9:12.0,J. Nurkić misses 2-pt hook shot from 6 ft,,7,4
19,1,9:11.0,Offensive rebound by E. Mudiay,,7,4
20,1,9:11.0,E. Mudiay makes 2-pt layup from 1 ft,,9,4
21,1,9:11.0,,Boston full timeout,9,4
22,1,8:56.0,,I. Thomas makes 2-pt jump shot from 5 ft (assist by J. Brown),9,6
23,1,8:39.0,G. Harris makes 2-pt layup from 3 ft (assist by D. Gallinari),,11,6
24,1,8:19.0,,I. Thomas misses 2-pt jump shot from 9 ft,11,6
25,1,8:18.0,Defensive rebound by E. Mudiay,,11,6
26,1,8:12.0,Turnover by E. Mudiay (step out of bounds),,11,6
27,1,8:03.0,Offensive charge foul by J. Brown (drawn by D. Gallinari),,11,6
28,1,8:03.0,,Turnover by J. Brown (offensive foul),11,6
29,1,7:49.0,G. Harris makes 2-pt jump shot from 20 ft,,13,6
30,1,7:34.0,,T. Zeller makes 2-pt jump shot from 19 ft (assist by A. Bradley),13,8
31,1,7:22.0,G. Harris misses 2-pt layup from 2 ft,,13,8
32,1,7:22.0,,Defensive rebound by T. Zeller,13,8
33,1,7:22.0,,Personal foul by N. Jokić (drawn by T. Zeller),13,8
34,1,7:12.0,,Turnover by T. Zeller (lost ball),13,8
35,1,6:52.0,Shooting foul by T. Zeller (drawn by J. Nurkić),,13,8
36,1,6:52.0,J. Nurkić makes free throw 1 of 2,,14,8
37,1,6:52.0,Violation by Team (jump ball),,14,8
38,1,6:52.0,J. Nurkić misses free throw 2 of 2,,14,8
39,1,6:52.0,Offensive rebound by D. Gallinari,,14,8
40,1,6:52.0,,J. Jerebko enters the game for A. Johnson,14,8
41,1,6:52.0,W. Chandler enters the game for N. Jokić,,14,8
42,1,6:50.0,Turnover by D. Gallinari (lost ball),,14,8
43,1,6:36.0,,Turnover by I. Thomas (bad pass; steal by J. Nurkić),14,8
44,1,6:32.0,G. Harris makes 2-pt dunk at rim (assist by J. Nurkić),,16,8
45,1,6:17.0,,A. Bradley misses 2-pt jump shot from 6 ft (block by J. Nurkić),16,8
46,1,6:15.0,Defensive rebound by E. Mudiay,,16,8
47,1,6:13.0,J. Nelson enters the game for G. Harris,,16,8
48,1,6:07.0,E. Mudiay makes 2-pt layup at rim,,18,8
49,1,5:54.0,,I. Thomas misses 2-pt jump shot from 4 ft,18,8
50,1,5:53.0,Defensive rebound by J. Nelson,,18,8
51,1,5:48.0,W. Chandler misses 2-pt layup from 2 ft (block by J. Jerebko),,18,8
52,1,5:47.0,,Defensive rebound by A. Bradley,18,8
53,1,5:40.0,,A. Bradley misses 3-pt jump shot from 27 ft,18,8
54,1,5:39.0,Defensive rebound by J. Nurkić,,18,8
55,1,5:32.0,Personal foul by J. Brown (drawn by D. Gallinari),,18,8
56,1,5:32.0,,M. Smart enters the game for J. Brown,18,8
57,1,5:28.0,D. Gallinari makes 2-pt dunk at rim (assist by J. Nurkić),,20,8
58,1,5:13.0,,A. Bradley misses 2-pt jump shot from 18 ft,20,8
59,1,5:11.0,Defensive rebound by W. Chandler,,20,8
60,1,4:57.0,E. Mudiay misses 3-pt jump shot from 26 ft,,20,8
61,1,4:55.0,,Defensive rebound by Team,20,8
62,1,4:55.0,Loose ball foul by J. Nelson (drawn by I. Thomas),,20,8
63,1,4:55.0,,T. Rozier enters the game for A. Bradley,20,8
64,1,4:55.0,,A. Johnson enters the game for T. Zeller,20,8
65,1,4:46.0,,Turnover by M. Smart (lost ball; steal by E. Mudiay),20,8
66,1,4:45.0,Turnover by E. Mudiay (step out of bounds),,20,8
67,1,4:40.0,,Shooting foul by D. Gallinari (drawn by I. Thomas),20,8
68,1,4:40.0,,I. Thomas makes free throw 1 of 2,20,9
69,1,4:40.0,,I. Thomas makes free throw 2 of 2,20,10
70,1,4:31.0,Personal foul by M. Smart (drawn by J. Nurkić),,20,10
71,1,4:24.0,E. Mudiay makes 2-pt jump shot from 5 ft,,22,10
72,1,4:13.0,,T. Rozier misses 3-pt jump shot from 26 ft,22,10
73,1,4:12.0,,Offensive rebound by M. Smart,22,10
74,1,4:12.0,,M. Smart misses 2-pt layup from 1 ft,22,10
75,1,4:11.0,Defensive rebound by Team,,22,10
76,1,4:11.0,,Loose ball foul by J. Jerebko (drawn by J. Nurkić),22,10
77,1,4:11.0,J. Nurkić misses free throw 1 of 2,,22,10
78,1,4:11.0,Offensive rebound by Team,,22,10
79,1,4:11.0,J. Nurkić makes free throw 2 of 2,,23,10
80,1,4:00.0,,I. Thomas makes 2-pt jump shot from 12 ft (assist by A. Johnson),23,12
