,QUARTER,TIME_REMAINING,PHOENIX_ACTION,SACRAMENTO_ACTION,PHOENIX_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,,Turnover by W. Cauley-Stein (bad pass; steal by A. Len),0,0
1,1,11:30.0,M. Chriss misses 2-pt jump shot from 10 ft,,0,0
2,1,11:29.0,Offensive rebound by D. Jones,,0,0
3,1,11:29.0,D. Jones misses 2-pt layup from 1 ft,,0,0
4,1,11:26.0,,Defensive rebound by B. Hield,0,0
5,1,11:15.0,,Shooting foul by D. Jones (drawn by S. Labissière),0,0
6,1,11:15.0,,S. Labissière makes free throw 1 of 2,0,1
7,1,11:15.0,,S. Labissière makes free throw 2 of 2,0,2
8,1,11:03.0,T. Warren misses 2-pt layup from 5 ft,,0,2
9,1,11:02.0,,Defensive rebound by T. Lawson,0,2
10,1,10:56.0,,B. Hield makes 2-pt jump shot from 15 ft (assist by T. Lawson),0,4
11,1,10:37.0,T. Ulis misses 2-pt jump shot from 17 ft,,0,4
12,1,10:35.0,,Defensive rebound by B. McLemore,0,4
13,1,10:19.0,,Shooting foul by T. Warren (drawn by S. Labissière),0,4
14,1,10:19.0,,S. Labissière misses free throw 1 of 2,0,4
15,1,10:19.0,,Offensive rebound by Team,0,4
16,1,10:19.0,,S. Labissière makes free throw 2 of 2,0,5
17,1,9:58.0,A. Len misses 2-pt jump shot from 15 ft,,0,5
18,1,9:58.0,,Defensive rebound by T. Lawson,0,5
19,1,9:49.0,,B. Hield makes 2-pt jump shot from 9 ft,0,7
20,1,9:46.0,Turnover by A. Len (bad pass; steal by B. McLemore),,0,7
21,1,9:45.0,,Shooting foul by A. Len (drawn by B. McLemore),0,7
22,1,9:45.0,,B. McLemore makes free throw 1 of 2,0,8
23,1,9:45.0,,B. McLemore makes free throw 2 of 2,0,9
24,1,9:25.0,A. Len misses 2-pt jump shot from 11 ft,,0,9
25,1,9:24.0,,Defensive rebound by B. McLemore,0,9
26,1,9:13.0,,S. Labissière misses 2-pt jump shot from 10 ft,0,9
27,1,9:12.0,Defensive rebound by M. Chriss,,0,9
28,1,9:06.0,Shooting foul by W. Cauley-Stein (drawn by D. Jones),,0,9
29,1,9:06.0,D. Jones makes free throw 1 of 2,,1,9
30,1,9:06.0,D. Jones misses free throw 2 of 2,,1,9
31,1,9:06.0,,Defensive rebound by T. Lawson,1,9
32,1,8:52.0,,T. Lawson makes 2-pt jump shot from 18 ft,1,11
33,1,8:41.0,T. Ulis makes 2-pt jump shot from 10 ft,,3,11
34,1,8:23.0,,B. McLemore makes 2-pt jump shot from 4 ft (assist by W. Cauley-Stein),3,13
35,1,8:07.0,M. Chriss misses 3-pt jump shot from 26 ft,,3,13
36,1,8:07.0,,Defensive rebound by W. Cauley-Stein,3,13
37,1,8:01.0,,Turnover by T. Lawson (bad pass; steal by M. Chriss),3,13
38,1,7:59.0,Turnover by M. Chriss (bad pass; steal by W. Cauley-Stein),,3,13
39,1,7:57.0,,W. Cauley-Stein misses 2-pt layup from 3 ft (block by M. Chriss),3,13
40,1,7:56.0,Defensive rebound by D. Jones,,3,13
41,1,7:56.0,Personal foul by T. Lawson,,3,13
42,1,7:47.0,T. Ulis makes 3-pt jump shot from 24 ft,,6,13
43,1,7:29.0,,B. Hield misses 2-pt jump shot from 8 ft (block by A. Len),6,13
44,1,7:28.0,Defensive rebound by M. Chriss,,6,13
45,1,7:21.0,M. Chriss makes 2-pt dunk at rim (assist by T. Ulis),,8,13
46,1,7:01.0,,B. Hield misses 2-pt jump shot from 17 ft,8,13
47,1,7:00.0,Defensive rebound by M. Chriss,,8,13
48,1,6:55.0,Shooting foul by B. McLemore (drawn by D. Jones),,8,13
49,1,6:55.0,D. Jones misses free throw 1 of 2,,8,13
50,1,6:55.0,Offensive rebound by Team,,8,13
51,1,6:55.0,D. Jones makes free throw 2 of 2,,9,13
52,1,6:38.0,,B. McLemore misses 3-pt jump shot from 24 ft,9,13
53,1,6:37.0,,Offensive rebound by T. Lawson,9,13
54,1,6:36.0,,T. Lawson misses 2-pt layup from 3 ft (block by M. Chriss),9,13
55,1,6:34.0,Defensive rebound by T. Ulis,,9,13
56,1,6:26.0,M. Chriss misses 3-pt jump shot from 25 ft,,9,13
57,1,6:26.0,,Defensive rebound by W. Cauley-Stein,9,13
58,1,6:13.0,,B. McLemore misses 2-pt jump shot from 19 ft,9,13
59,1,6:12.0,Defensive rebound by A. Len,,9,13
60,1,5:59.0,T. Warren makes 2-pt layup from 4 ft,,11,13
61,1,5:46.0,,W. Cauley-Stein misses 2-pt jump shot from 20 ft,11,13
62,1,5:45.0,Defensive rebound by T. Warren,,11,13
63,1,5:30.0,T. Ulis misses 2-pt jump shot from 17 ft,,11,13
64,1,5:28.0,Offensive rebound by T. Warren,,11,13
65,1,5:14.0,T. Warren misses 2-pt jump shot from 13 ft,,11,13
66,1,5:13.0,Offensive rebound by D. Jones,,11,13
67,1,5:10.0,D. Jones misses 2-pt jump shot from 9 ft,,11,13
68,1,5:09.0,,Defensive rebound by Team,11,13
69,1,5:09.0,Loose ball foul by D. Jones (drawn by B. Hield),,11,13
70,1,5:09.0,,Sacramento full timeout,11,13
71,1,5:09.0,,G. Temple enters the game for B. McLemore,11,13
72,1,5:09.0,D. Bender enters the game for A. Len,,11,13
73,1,4:56.0,,B. Hield makes 2-pt layup from 5 ft (assist by G. Temple),11,15
74,1,4:49.0,D. Jones misses 2-pt jump shot from 8 ft,,11,15
75,1,4:49.0,Offensive rebound by D. Bender,,11,15
76,1,4:43.0,D. Bender misses 3-pt jump shot from 25 ft,,11,15
77,1,4:43.0,,Defensive rebound by G. Temple,11,15
78,1,4:36.0,,W. Cauley-Stein makes 2-pt dunk at rim (assist by T. Lawson),11,17
79,1,4:18.0,Personal foul by W. Cauley-Stein (drawn by T. Ulis),,11,17
80,1,4:18.0,,G. Papagiannis enters the game for W. Cauley-Stein,11,17
81,1,4:06.0,D. Bender makes 2-pt jump shot from 13 ft,,13,17
82,1,3:48.0,,G. Papagiannis makes 2-pt hook shot from 7 ft (assist by G. Temple),13,19
83,1,3:31.0,T. Warren makes 3-pt jump shot from 25 ft (assist by D. Jones),,16,19
84,1,3:18.0,,T. Lawson makes 2-pt layup from 3 ft,16,21
85,1,3:07.0,T. Ulis makes 2-pt layup from 3 ft,,18,21
86,1,3:00.0,,S. Labissière misses 2-pt jump shot from 20 ft,18,21
87,1,2:59.0,,Offensive rebound by B. Hield,18,21
88,1,2:56.0,,Turnover by B. Hield (lost ball; steal by T. Ulis),18,21
89,1,2:53.0,M. Chriss makes 2-pt dunk at rim (assist by T. Warren),,20,21
90,1,2:35.0,,B. Hield misses 2-pt jump shot from 14 ft,20,21
91,1,2:34.0,Defensive rebound by Team,,20,21
92,1,2:34.0,Phoenix full timeout,,20,21
93,1,2:34.0,,L. Galloway enters the game for B. Hield,20,21
94,1,2:34.0,,A. Tolliver enters the game for S. Labissière,20,21
95,1,2:19.0,T. Warren misses 2-pt jump shot from 19 ft,,20,21
96,1,2:18.0,Offensive rebound by M. Chriss,,20,21
97,1,2:05.0,D. Bender misses 3-pt jump shot from 25 ft,,20,21
98,1,2:05.0,,Defensive rebound by T. Lawson,20,21
99,1,1:50.0,,G. Papagiannis misses 2-pt hook shot from 6 ft,20,21
100,1,1:49.0,,Offensive rebound by G. Papagiannis,20,21
101,1,1:47.0,,G. Papagiannis makes 2-pt hook shot from 8 ft,20,23
102,1,1:32.0,T. Ulis misses 2-pt jump shot from 16 ft,,20,23
103,1,1:30.0,Offensive rebound by T. Warren,,20,23
104,1,1:30.0,T. Warren makes 2-pt layup from 2 ft,,22,23
105,1,1:22.0,,Shooting foul by D. Bender (drawn by T. Lawson),22,23
106,1,1:22.0,,T. Lawson makes free throw 1 of 2,22,24
107,1,1:22.0,,T. Lawson misses free throw 2 of 2,22,24
