,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MEMPHIS_ACTION,NEW YORK_SCORE,MEMPHIS_SCORE
0,1,11:39.0,,M. Gasol misses 2-pt jump shot from 21 ft,0,0
1,1,11:39.0,Defensive rebound by C. Lee,,0,0
2,1,11:18.0,Shooting foul by T. Allen (drawn by M. Ndour),,0,0
3,1,11:18.0,M. Ndour makes 2-pt jump shot from 5 ft,,2,0
4,1,11:18.0,M. Ndour makes free throw 1 of 1,,3,0
5,1,11:06.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by V. Carter),3,3
6,1,10:52.0,R. Baker misses 2-pt layup from 3 ft (block by J. Green),,3,3
7,1,10:52.0,Offensive rebound by Team,,3,3
8,1,10:49.0,M. Ndour makes 2-pt layup from 2 ft (assist by J. Holiday),,5,3
9,1,10:25.0,,M. Conley makes 3-pt jump shot from 26 ft,5,6
10,1,10:09.0,C. Lee misses 2-pt jump shot from 4 ft,,5,6
11,1,10:07.0,Offensive rebound by M. Ndour,,5,6
12,1,10:05.0,M. Ndour misses 2-pt layup from 1 ft,,5,6
13,1,10:04.0,,Defensive rebound by M. Gasol,5,6
14,1,9:58.0,,T. Allen makes 2-pt layup at rim (assist by V. Carter),5,8
15,1,9:47.0,R. Baker misses 2-pt jump shot from 17 ft,,5,8
16,1,9:47.0,Offensive rebound by M. Ndour,,5,8
17,1,9:36.0,W. Hernangómez misses 2-pt jump shot from 10 ft,,5,8
18,1,9:36.0,,Defensive rebound by Team,5,8
19,1,9:10.0,,T. Allen makes 2-pt jump shot from 6 ft,5,10
20,1,8:47.0,J. Holiday misses 3-pt jump shot from 25 ft,,5,10
21,1,8:47.0,Offensive rebound by Team,,5,10
22,1,8:47.0,Turnover by Team (shot clock),,5,10
23,1,8:24.0,,T. Allen misses 2-pt layup from 2 ft,5,10
24,1,8:22.0,Defensive rebound by C. Lee,,5,10
25,1,8:18.0,M. Ndour makes 2-pt jump shot from 7 ft (assist by C. Lee),,7,10
26,1,8:18.0,Shooting foul by J. Green (drawn by M. Ndour),,7,10
27,1,8:18.0,M. Ndour misses free throw 1 of 1,,7,10
28,1,8:17.0,,Defensive rebound by V. Carter,7,10
29,1,7:59.0,,M. Gasol misses 2-pt jump shot from 8 ft,7,10
30,1,7:58.0,Defensive rebound by W. Hernangómez,,7,10
31,1,7:43.0,C. Lee misses 2-pt jump shot from 21 ft,,7,10
32,1,7:43.0,,Defensive rebound by M. Gasol,7,10
33,1,7:34.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Conley),7,13
34,1,7:05.0,Turnover by Team (shot clock),,7,13
35,1,6:49.0,,M. Conley makes 3-pt jump shot from 25 ft,7,16
36,1,6:33.0,C. Lee makes 2-pt jump shot from 20 ft,,9,16
37,1,6:14.0,,M. Conley misses 2-pt layup from 2 ft,9,16
38,1,6:12.0,Defensive rebound by W. Hernangómez,,9,16
39,1,6:04.0,C. Lee makes 3-pt jump shot from 23 ft (assist by R. Baker),,12,16
40,1,5:58.0,,Memphis full timeout,12,16
41,1,5:58.0,,W. Selden enters the game for T. Allen,12,16
42,1,5:58.0,,A. Harrison enters the game for M. Conley,12,16
43,1,5:58.0,M. Kuzminskas enters the game for J. Holiday,,12,16
44,1,5:38.0,,J. Green makes 2-pt dunk at rim,12,18
45,1,5:24.0,C. Lee misses 2-pt jump shot from 17 ft,,12,18
46,1,5:23.0,,Defensive rebound by A. Harrison,12,18
47,1,5:15.0,,A. Harrison misses 2-pt layup from 1 ft (block by M. Ndour),12,18
48,1,5:13.0,Defensive rebound by W. Hernangómez,,12,18
49,1,4:53.0,M. Kuzminskas misses 2-pt layup from 1 ft (block by M. Gasol),,12,18
50,1,4:51.0,,Defensive rebound by W. Selden,12,18
51,1,4:40.0,,W. Selden makes 2-pt layup at rim,12,20
52,1,4:25.0,M. Ndour misses 2-pt jump shot from 17 ft,,12,20
53,1,4:24.0,,Defensive rebound by M. Gasol,12,20
54,1,4:11.0,,Turnover by M. Gasol (lost ball; steal by W. Hernangómez),12,20
55,1,4:07.0,M. Kuzminskas makes 2-pt dunk at rim,,14,20
56,1,3:46.0,,M. Gasol misses 2-pt jump shot from 10 ft,14,20
57,1,3:46.0,Defensive rebound by W. Hernangómez,,14,20
58,1,3:39.0,M. Ndour makes 2-pt layup from 2 ft (assist by R. Baker),,16,20
59,1,3:29.0,,Personal foul by W. Hernangómez (drawn by M. Gasol),16,20
60,1,3:29.0,C. Randle enters the game for R. Baker,,16,20
61,1,3:29.0,K. O'Quinn enters the game for W. Hernangómez,,16,20
62,1,3:29.0,,M. Conley enters the game for J. Green,16,20
63,1,3:29.0,,Z. Randolph enters the game for V. Carter,16,20
64,1,3:20.0,,A. Harrison misses 3-pt jump shot from 25 ft,16,20
65,1,3:19.0,Defensive rebound by Team,,16,20
66,1,3:12.0,Turnover by M. Ndour (bad pass; steal by M. Conley),,16,20
67,1,2:56.0,,Turnover by W. Selden (bad pass),16,20
68,1,2:56.0,New York full timeout,,16,20
69,1,2:56.0,,B. Wright enters the game for M. Gasol,16,20
70,1,2:56.0,M. Plumlee enters the game for M. Ndour,,16,20
71,1,2:35.0,M. Plumlee makes 2-pt hook shot from 7 ft,,18,20
72,1,2:17.0,,M. Conley makes 2-pt jump shot from 6 ft,18,22
73,1,2:04.0,Shooting foul by Z. Randolph (drawn by K. O'Quinn),,18,22
74,1,2:04.0,K. O'Quinn misses free throw 1 of 2,,18,22
75,1,2:04.0,Offensive rebound by Team,,18,22
76,1,2:04.0,S. Vujačić enters the game for C. Lee,,18,22
77,1,2:04.0,K. O'Quinn makes free throw 2 of 2,,19,22
78,1,1:51.0,,M. Conley makes 3-pt jump shot from 26 ft,19,25
79,1,1:32.0,K. O'Quinn makes 2-pt layup from 2 ft (assist by S. Vujačić),,21,25
80,1,1:21.0,,Z. Randolph misses 2-pt jump shot from 22 ft (block by K. O'Quinn),21,25
81,1,1:19.0,Defensive rebound by C. Randle,,21,25
82,1,1:14.0,M. Kuzminskas misses 3-pt jump shot from 27 ft,,21,25
83,1,1:13.0,Offensive rebound by M. Plumlee,,21,25
84,1,1:13.0,M. Plumlee misses 2-pt layup from 1 ft,,21,25
85,1,1:13.0,,Defensive rebound by Team,21,25
86,1,1:13.0,Loose ball foul by K. O'Quinn (drawn by M. Conley),,21,25
87,1,0:56.0,,Z. Randolph misses 2-pt jump shot from 15 ft,21,25
88,1,0:56.0,,Offensive rebound by B. Wright,21,25
89,1,0:44.0,,W. Selden makes 2-pt jump shot from 19 ft (assist by B. Wright),21,27
90,1,0:30.0,C. Randle misses 3-pt jump shot from 27 ft,,21,27
91,1,0:30.0,,Defensive rebound by Z. Randolph,21,27
92,1,0:10.0,,M. Conley misses 3-pt jump shot from 26 ft,21,27
93,1,0:09.0,Defensive rebound by S. Vujačić,,21,27
94,1,0:01.0,S. Vujačić misses 3-pt jump shot from 26 ft,,21,27
95,1,0:00.0,,Defensive rebound by M. Conley,21,27
96,2,11:45.0,S. Vujačić misses 3-pt jump shot from 24 ft,,21,27
97,2,11:44.0,,Defensive rebound by B. Wright,21,27
98,2,11:27.0,,B. Wright makes 2-pt layup from 1 ft (assist by M. Conley),21,29
99,2,11:12.0,M. Kuzminskas misses 3-pt jump shot from 26 ft,,21,29
100,2,11:12.0,,Defensive rebound by M. Conley,21,29
101,2,11:10.0,,Personal foul by M. Plumlee (drawn by M. Conley),21,29
102,2,10:50.0,,Z. Randolph misses 2-pt jump shot from 5 ft,21,29
103,2,10:49.0,Defensive rebound by Team,,21,29
104,2,10:37.0,C. Randle misses 2-pt jump shot from 5 ft,,21,29
105,2,10:36.0,Offensive rebound by M. Plumlee,,21,29
106,2,10:35.0,M. Plumlee makes 2-pt dunk at rim,,23,29
107,2,10:17.0,,W. Selden misses 2-pt jump shot from 7 ft,23,29
108,2,10:15.0,Defensive rebound by S. Vujačić,,23,29
109,2,10:09.0,Personal foul by A. Harrison (drawn by M. Kuzminskas),,23,29
110,2,10:09.0,,V. Carter enters the game for A. Harrison,23,29
111,2,10:02.0,M. Kuzminskas makes 2-pt layup from 2 ft (assist by K. O'Quinn),,25,29
112,2,9:32.0,,Turnover by Z. Randolph (lost ball; steal by K. O'Quinn),25,29
113,2,9:28.0,Turnover by C. Randle (lost ball),,25,29
114,2,9:12.0,,Personal foul by M. Plumlee (drawn by V. Carter),25,29
115,2,9:02.0,,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Conley),25,31
116,2,8:45.0,M. Kuzminskas makes 2-pt layup from 2 ft,,27,31
117,2,8:32.0,,Shooting foul by S. Vujačić (drawn by W. Selden),27,31
118,2,8:32.0,,Official timeout,27,31
119,2,8:32.0,,W. Selden makes free throw 1 of 2,27,32
120,2,8:32.0,,W. Selden makes free throw 2 of 2,27,33
121,2,8:16.0,M. Kuzminskas misses 2-pt jump shot from 18 ft,,27,33
122,2,8:16.0,,Defensive rebound by Team,27,33
123,2,8:16.0,Loose ball foul by K. O'Quinn (drawn by Z. Randolph),,27,33
124,2,8:16.0,,T. Allen enters the game for W. Selden,27,33
125,2,8:00.0,,M. Conley makes 2-pt jump shot from 8 ft,27,35
126,2,7:38.0,K. O'Quinn misses 3-pt jump shot from 25 ft,,27,35
127,2,7:38.0,,Defensive rebound by V. Carter,27,35
