,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW YORK_ACTION,LA LAKERS_SCORE,NEW YORK_SCORE
0,1,11:43.0,,C. Anthony makes 2-pt jump shot from 9 ft,0,2
1,1,11:14.0,J. Randle misses 2-pt jump shot from 20 ft,,0,2
2,1,11:13.0,,Defensive rebound by K. O'Quinn,0,2
3,1,10:59.0,Violation by B. Ingram (kicked ball),,0,2
4,1,10:51.0,,C. Anthony makes 2-pt jump shot from 9 ft (assist by K. O'Quinn),0,4
5,1,10:29.0,Shooting foul by K. O'Quinn (drawn by B. Ingram),,0,4
6,1,10:29.0,B. Ingram misses free throw 1 of 2,,0,4
7,1,10:29.0,Offensive rebound by Team,,0,4
8,1,10:29.0,B. Ingram misses free throw 2 of 2,,0,4
9,1,10:29.0,,Defensive rebound by Team,0,4
10,1,10:12.0,,Turnover by C. Anthony (lost ball; steal by T. Black),0,4
11,1,10:01.0,J. Randle misses 2-pt layup from 3 ft (block by K. Porziņģis),,0,4
12,1,9:58.0,Offensive rebound by J. Randle,,0,4
13,1,9:57.0,J. Randle makes 2-pt layup from 2 ft,,2,4
14,1,9:47.0,,K. O'Quinn misses 2-pt jump shot from 19 ft,2,4
15,1,9:47.0,Defensive rebound by B. Ingram,,2,4
16,1,9:37.0,J. Randle makes 2-pt hook shot from 5 ft,,4,4
17,1,9:20.0,,C. Anthony makes 2-pt jump shot from 15 ft,4,6
18,1,9:11.0,B. Ingram makes 3-pt jump shot from 24 ft (assist by D. Russell),,7,6
19,1,8:51.0,,D. Rose misses 2-pt layup at rim,7,6
20,1,8:49.0,Defensive rebound by T. Black,,7,6
21,1,8:41.0,D. Russell makes 2-pt jump shot from 16 ft,,9,6
22,1,8:25.0,,K. Porziņģis misses 2-pt layup from 1 ft,9,6
23,1,8:24.0,,Offensive rebound by K. Porziņģis,9,6
24,1,8:24.0,,K. Porziņģis misses 2-pt layup from 2 ft,9,6
25,1,8:23.0,,Offensive rebound by Team,9,6
26,1,8:20.0,,D. Rose misses 2-pt jump shot from 21 ft,9,6
27,1,8:19.0,Defensive rebound by B. Ingram,,9,6
28,1,8:11.0,J. Randle makes 2-pt layup from 1 ft (assist by B. Ingram),,11,6
29,1,7:59.0,,K. Porziņģis misses 2-pt jump shot from 20 ft (block by J. Randle),11,6
30,1,7:57.0,Defensive rebound by N. Young,,11,6
31,1,7:41.0,D. Russell misses 3-pt jump shot from 25 ft,,11,6
32,1,7:40.0,,Defensive rebound by Team,11,6
33,1,7:40.0,L. Nance enters the game for J. Randle,,11,6
34,1,7:28.0,,Personal foul by N. Young (drawn by C. Lee),11,6
35,1,7:20.0,,Offensive foul by K. O'Quinn (drawn by N. Young),11,6
36,1,7:20.0,,Turnover by K. O'Quinn (offensive foul),11,6
37,1,7:01.0,N. Young makes 3-pt jump shot from 23 ft (assist by L. Nance),,14,6
38,1,6:47.0,,K. O'Quinn makes 2-pt jump shot from 17 ft,14,8
39,1,6:33.0,D. Russell misses 2-pt jump shot from 6 ft,,14,8
40,1,6:33.0,,Defensive rebound by D. Rose,14,8
41,1,6:14.0,,C. Lee misses 2-pt jump shot from 6 ft,14,8
42,1,6:13.0,Defensive rebound by B. Ingram,,14,8
43,1,6:07.0,N. Young misses 3-pt jump shot from 24 ft,,14,8
44,1,6:06.0,Offensive rebound by L. Nance,,14,8
45,1,6:02.0,B. Ingram makes 3-pt jump shot from 25 ft (assist by D. Russell),,17,8
46,1,6:02.0,,New York full timeout,17,8
47,1,6:02.0,,W. Hernangómez enters the game for K. O'Quinn,17,8
48,1,5:49.0,,K. Porziņģis misses 2-pt jump shot from 16 ft,17,8
49,1,5:48.0,Defensive rebound by L. Nance,,17,8
50,1,5:33.0,B. Ingram misses 3-pt jump shot from 25 ft,,17,8
51,1,5:33.0,Offensive rebound by T. Black,,17,8
52,1,5:30.0,Personal block foul by W. Hernangómez (drawn by B. Ingram),,17,8
53,1,5:19.0,N. Young makes 3-pt jump shot from 25 ft (assist by D. Russell),,20,8
54,1,5:04.0,,D. Rose makes 2-pt layup from 2 ft,20,10
55,1,5:04.0,,Shooting foul by T. Black (drawn by D. Rose),20,10
56,1,5:04.0,L. Deng enters the game for B. Ingram,,20,10
57,1,5:04.0,,D. Rose makes free throw 1 of 1,20,11
58,1,4:46.0,L. Nance misses 2-pt jump shot from 11 ft,,20,11
59,1,4:45.0,,Defensive rebound by D. Rose,20,11
60,1,4:39.0,,Personal foul by T. Black (drawn by K. Porziņģis),20,11
61,1,4:39.0,I. Zubac enters the game for T. Black,,20,11
62,1,4:39.0,J. Clarkson enters the game for N. Young,,20,11
63,1,4:39.0,Violation by Team (jump ball),,20,11
64,1,4:32.0,,W. Hernangómez misses 2-pt layup at rim (block by I. Zubac),20,11
65,1,4:31.0,Defensive rebound by J. Clarkson,,20,11
66,1,4:22.0,I. Zubac misses 2-pt jump shot from 8 ft,,20,11
67,1,4:21.0,,Defensive rebound by C. Anthony,20,11
68,1,4:17.0,,Personal foul by I. Zubac (drawn by W. Hernangómez),20,11
69,1,4:04.0,,C. Anthony misses 3-pt jump shot from 25 ft,20,11
70,1,4:03.0,Defensive rebound by Team,,20,11
71,1,3:55.0,L. Deng misses 3-pt jump shot from 26 ft,,20,11
72,1,3:54.0,,Defensive rebound by W. Hernangómez,20,11
73,1,3:44.0,,C. Anthony makes 2-pt jump shot from 9 ft,20,13
74,1,3:44.0,,Shooting foul by L. Deng (drawn by C. Anthony),20,13
75,1,3:44.0,,C. Anthony misses free throw 1 of 1,20,13
76,1,3:44.0,,J. Holiday enters the game for C. Lee,20,13
77,1,3:44.0,L. Williams enters the game for D. Russell,,20,13
78,1,3:43.0,Defensive rebound by I. Zubac,,20,13
79,1,3:31.0,I. Zubac misses 2-pt layup from 1 ft,,20,13
80,1,3:30.0,,Defensive rebound by W. Hernangómez,20,13
81,1,3:20.0,,K. Porziņģis misses 3-pt jump shot from 25 ft,20,13
82,1,3:19.0,Defensive rebound by J. Clarkson,,20,13
83,1,3:05.0,L. Deng misses 2-pt jump shot from 19 ft,,20,13
84,1,3:04.0,,Defensive rebound by Team,20,13
85,1,3:03.0,,M. Kuzminskas enters the game for K. Porziņģis,20,13
86,1,2:53.0,,C. Anthony misses 2-pt jump shot from 13 ft,20,13
87,1,2:52.0,,Offensive rebound by Team,20,13
88,1,2:52.0,LA Lakers full timeout,,20,13
89,1,2:39.0,,C. Anthony misses 2-pt jump shot from 19 ft,20,13
90,1,2:38.0,Defensive rebound by L. Nance,,20,13
91,1,2:15.0,L. Nance misses 2-pt hook shot from 8 ft,,20,13
92,1,2:13.0,,Defensive rebound by C. Anthony,20,13
93,1,2:03.0,,D. Rose misses 2-pt jump shot from 14 ft,20,13
94,1,2:02.0,Defensive rebound by I. Zubac,,20,13
95,1,1:51.0,J. Clarkson makes 2-pt layup from 2 ft,,22,13
96,1,1:44.0,,Personal foul by L. Williams,22,13
97,1,1:44.0,,J. Holiday misses free throw 1 of 2,22,13
98,1,1:44.0,,Offensive rebound by Team,22,13
99,1,1:44.0,,B. Jennings enters the game for D. Rose,22,13
100,1,1:44.0,,J. Holiday makes free throw 2 of 2,22,14
101,1,1:30.0,I. Zubac misses 2-pt hook shot from 6 ft,,22,14
102,1,1:29.0,,Defensive rebound by W. Hernangómez,22,14
103,1,1:16.0,,C. Anthony makes 2-pt layup from 2 ft,22,16
104,1,1:09.0,L. Williams makes 2-pt layup from 2 ft,,24,16
105,1,0:58.0,,W. Hernangómez makes 2-pt hook shot from 4 ft,24,18
106,1,0:52.0,Personal foul by C. Anthony (drawn by J. Clarkson),,24,18
107,1,0:44.0,I. Zubac misses 2-pt layup from 2 ft,,24,18
108,1,0:42.0,Offensive rebound by I. Zubac,,24,18
109,1,0:42.0,I. Zubac makes 2-pt layup from 2 ft,,26,18
110,1,0:36.0,,Personal foul by J. Clarkson (drawn by B. Jennings),26,18
111,1,0:36.0,,B. Jennings misses free throw 1 of 2,26,18
112,1,0:36.0,,Offensive rebound by Team,26,18
113,1,0:36.0,,B. Jennings makes free throw 2 of 2,26,19
114,1,0:30.0,L. Williams makes 3-pt jump shot from 25 ft,,29,19
115,1,0:10.0,,Turnover by C. Anthony (lost ball; steal by L. Nance),29,19
116,1,0:00.0,J. Clarkson misses 3-pt jump shot from 26 ft,,29,19
117,1,0:00.0,Offensive rebound by Team,,29,19
118,2,11:36.0,J. Clarkson misses 2-pt layup from 1 ft,,29,19
119,2,11:35.0,,Defensive rebound by W. Hernangómez,29,19
120,2,11:28.0,,J. Holiday makes 2-pt layup from 1 ft (assist by B. Jennings),29,21
121,2,11:18.0,L. Nance misses 2-pt layup from 2 ft,,29,21
122,2,11:17.0,,Defensive rebound by K. Porziņģis,29,21
123,2,11:10.0,,W. Hernangómez misses 2-pt hook shot from 3 ft,29,21
124,2,11:09.0,Defensive rebound by L. Nance,,29,21
125,2,10:58.0,L. Deng makes 2-pt jump shot from 9 ft,,31,21
126,2,10:58.0,Shooting foul by M. Kuzminskas (drawn by L. Deng),,31,21
127,2,10:58.0,L. Deng makes free throw 1 of 1,,32,21
128,2,10:47.0,,M. Kuzminskas makes 2-pt hook shot from 6 ft,32,23
129,2,10:33.0,L. Deng misses 3-pt jump shot from 23 ft,,32,23
130,2,10:32.0,,Defensive rebound by W. Hernangómez,32,23
131,2,10:19.0,,W. Hernangómez misses 2-pt layup from 3 ft (block by I. Zubac),32,23
132,2,10:18.0,Defensive rebound by I. Zubac,,32,23
133,2,10:13.0,J. Clarkson misses 2-pt layup from 2 ft,,32,23
134,2,10:11.0,Offensive rebound by L. Nance,,32,23
135,2,10:10.0,L. Nance makes 2-pt layup from 2 ft,,34,23
136,2,10:02.0,,M. Kuzminskas misses 2-pt layup from 2 ft (block by L. Deng),34,23
137,2,10:00.0,,Offensive rebound by M. Kuzminskas,34,23
138,2,9:59.0,,M. Kuzminskas misses 2-pt layup at rim (block by I. Zubac),34,23
139,2,9:57.0,Defensive rebound by I. Zubac,,34,23
140,2,9:51.0,L. Nance makes 2-pt layup from 1 ft (assist by L. Williams),,36,23
141,2,9:37.0,,W. Hernangómez makes 2-pt dunk at rim (assist by B. Jennings),36,25
142,2,9:25.0,L. Williams misses 2-pt jump shot from 4 ft (block by J. Holiday),,36,25
143,2,9:24.0,Offensive rebound by L. Williams,,36,25
144,2,9:23.0,Turnover by L. Williams (lost ball; steal by W. Hernangómez),,36,25
145,2,9:18.0,,J. Holiday misses 2-pt layup from 2 ft (block by I. Zubac),36,25
146,2,9:17.0,,Offensive rebound by Team,36,25
147,2,9:17.0,Loose ball foul by L. Nance (drawn by K. Porziņģis),,36,25
148,2,9:17.0,LA Lakers full timeout,,36,25
149,2,9:17.0,T. Black enters the game for I. Zubac,,36,25
150,2,9:17.0,,M. Plumlee enters the game for W. Hernangómez,36,25
151,2,9:05.0,,J. Holiday misses 3-pt jump shot from 22 ft,36,25
152,2,9:04.0,Defensive rebound by L. Deng,,36,25
153,2,8:53.0,Shooting foul by M. Plumlee (drawn by L. Williams),,36,25
154,2,8:53.0,L. Williams makes 3-pt jump shot from 24 ft,,39,25
155,2,8:53.0,L. Williams makes free throw 1 of 1,,40,25
156,2,8:41.0,,Shooting foul by L. Nance (drawn by K. Porziņģis),40,25
157,2,8:41.0,,K. Porziņģis misses free throw 1 of 2,40,25
158,2,8:41.0,,Offensive rebound by Team,40,25
159,2,8:41.0,,D. Rose enters the game for J. Holiday,40,25
160,2,8:41.0,,K. Porziņģis makes free throw 2 of 2,40,26
161,2,8:24.0,T. Black makes 2-pt layup from 2 ft (assist by L. Williams),,42,26
162,2,8:15.0,,M. Kuzminskas misses 3-pt jump shot from 24 ft,42,26
163,2,8:14.0,,Offensive rebound by Team,42,26
164,2,8:14.0,Loose ball foul by T. Black (drawn by M. Plumlee),,42,26
165,2,8:14.0,J. Randle enters the game for L. Nance,,42,26
166,2,8:00.0,,D. Rose misses 3-pt jump shot from 25 ft,42,26
167,2,7:59.0,Defensive rebound by T. Black,,42,26
168,2,7:53.0,Shooting foul by M. Plumlee (drawn by J. Clarkson),,42,26
169,2,7:53.0,J. Clarkson makes free throw 1 of 2,,43,26
170,2,7:53.0,,C. Anthony enters the game for M. Kuzminskas,43,26
171,2,7:53.0,,K. O'Quinn enters the game for M. Plumlee,43,26
172,2,7:53.0,J. Clarkson makes free throw 2 of 2,,44,26
173,2,7:35.0,,K. Porziņģis misses 3-pt jump shot from 24 ft,44,26
174,2,7:34.0,Defensive rebound by T. Black,,44,26
175,2,7:26.0,L. Williams makes 3-pt jump shot from 23 ft (assist by J. Randle),,47,26
176,2,7:26.0,,New York full timeout,47,26
177,2,7:26.0,B. Ingram enters the game for L. Deng,,47,26
178,2,7:16.0,,Turnover by K. Porziņģis (step out of bounds),47,26
179,2,6:51.0,J. Randle makes 2-pt jump shot from 10 ft,,49,26
180,2,6:32.0,,Shooting foul by J. Randle (drawn by K. O'Quinn),49,26
181,2,6:32.0,,K. O'Quinn makes free throw 1 of 2,49,27
182,2,6:32.0,,K. O'Quinn makes free throw 2 of 2,49,28
183,2,6:16.0,J. Clarkson makes 2-pt jump shot from 12 ft,,51,28
184,2,6:02.0,,B. Jennings misses 2-pt layup from 1 ft,51,28
185,2,6:01.0,Defensive rebound by T. Black,,51,28
186,2,5:59.0,J. Randle misses 2-pt layup from 1 ft (block by K. Porziņģis),,51,28
187,2,5:58.0,Offensive rebound by Team,,51,28
188,2,5:43.0,J. Clarkson misses 3-pt jump shot from 25 ft,,51,28
189,2,5:42.0,,Defensive rebound by K. Porziņģis,51,28
190,2,5:36.0,,Turnover by D. Rose (bad pass),51,28
191,2,5:36.0,,C. Lee enters the game for K. Porziņģis,51,28
192,2,5:23.0,T. Black makes 2-pt layup from 1 ft (assist by L. Williams),,53,28
193,2,5:07.0,,K. O'Quinn misses 2-pt jump shot from 14 ft,53,28
194,2,5:06.0,Defensive rebound by J. Clarkson,,53,28
195,2,4:58.0,T. Black misses 2-pt dunk at rim,,53,28
196,2,4:56.0,,Defensive rebound by D. Rose,53,28
197,2,4:54.0,,B. Jennings makes 2-pt layup from 1 ft (assist by C. Lee),53,30
198,2,4:38.0,L. Williams misses 3-pt jump shot from 25 ft,,53,30
199,2,4:36.0,Offensive rebound by T. Black,,53,30
200,2,4:35.0,T. Black misses 2-pt layup from 1 ft,,53,30
201,2,4:32.0,Offensive rebound by T. Black,,53,30
202,2,4:32.0,T. Black misses 2-pt layup from 1 ft,,53,30
203,2,4:32.0,Offensive rebound by J. Clarkson,,53,30
204,2,4:32.0,T. Black misses 2-pt layup from 1 ft,,53,30
205,2,4:32.0,Offensive rebound by T. Black,,53,30
206,2,4:29.0,J. Clarkson makes 2-pt layup from 2 ft,,55,30
207,2,4:15.0,,C. Lee misses 3-pt jump shot from 23 ft,55,30
208,2,4:14.0,Defensive rebound by J. Clarkson,,55,30
209,2,4:05.0,J. Randle makes 2-pt layup from 1 ft,,57,30
210,2,4:05.0,,New York full timeout,57,30
211,2,4:05.0,,W. Hernangómez enters the game for K. O'Quinn,57,30
212,2,4:05.0,I. Zubac enters the game for T. Black,,57,30
213,2,3:45.0,,C. Anthony makes 2-pt layup from 1 ft,57,32
214,2,3:22.0,J. Randle misses 2-pt layup from 2 ft,,57,32
215,2,3:21.0,,Defensive rebound by W. Hernangómez,57,32
216,2,3:11.0,,C. Anthony misses 2-pt jump shot from 19 ft,57,32
217,2,3:10.0,Defensive rebound by B. Ingram,,57,32
218,2,3:00.0,B. Ingram misses 2-pt layup from 2 ft,,57,32
219,2,2:59.0,,Defensive rebound by C. Lee,57,32
220,2,2:49.0,,C. Lee makes 3-pt jump shot from 24 ft (assist by D. Rose),57,35
221,2,2:49.0,LA Lakers full timeout,,57,35
222,2,2:49.0,Official timeout,,57,35
223,2,2:49.0,,J. Holiday enters the game for B. Jennings,57,35
