,QUARTER,TIME_REMAINING,MIAMI_ACTION,DETROIT_ACTION,MIAMI_SCORE,DETROIT_SCORE
0,1,11:46.0,Turnover by G. Dragić (bad pass; steal by A. Drummond),,0,0
1,1,11:40.0,,A. Drummond misses 2-pt layup from 1 ft,0,0
2,1,11:39.0,Defensive rebound by H. Whiteside,,0,0
3,1,11:30.0,D. Williams misses 3-pt jump shot from 26 ft,,0,0
4,1,11:30.0,,Defensive rebound by A. Drummond,0,0
5,1,11:23.0,,M. Morris misses 3-pt jump shot from 25 ft,0,0
6,1,11:23.0,Defensive rebound by H. Whiteside,,0,0
7,1,11:15.0,Shooting foul by I. Smith (drawn by G. Dragić),,0,0
8,1,11:15.0,G. Dragić misses free throw 1 of 2,,0,0
9,1,11:15.0,Offensive rebound by Team,,0,0
10,1,11:15.0,G. Dragić makes free throw 2 of 2,,1,0
11,1,10:58.0,,M. Morris misses 2-pt jump shot from 18 ft,1,0
12,1,10:57.0,Defensive rebound by H. Whiteside,,1,0
13,1,10:46.0,D. Waiters misses 2-pt jump shot from 5 ft (block by M. Morris),,1,0
14,1,10:45.0,Offensive rebound by H. Whiteside,,1,0
15,1,10:45.0,Turnover by H. Whiteside (traveling),,1,0
16,1,10:33.0,,Shooting foul by D. Williams (drawn by T. Harris),1,0
17,1,10:33.0,,T. Harris makes free throw 1 of 2,1,1
18,1,10:33.0,,T. Harris makes free throw 2 of 2,1,2
19,1,10:23.0,Turnover by G. Dragić (bad pass; steal by A. Drummond),,1,2
20,1,10:17.0,,T. Harris makes 2-pt layup at rim (assist by M. Morris),1,4
21,1,10:03.0,D. Waiters misses 3-pt jump shot from 23 ft,,1,4
22,1,10:03.0,,Defensive rebound by T. Harris,1,4
23,1,9:57.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by T. Harris),1,7
24,1,9:37.0,D. Williams misses 2-pt jump shot from 22 ft,,1,7
25,1,9:36.0,,Defensive rebound by I. Smith,1,7
26,1,9:21.0,,T. Harris makes 2-pt dunk at rim,1,9
27,1,9:15.0,Miami full timeout,,1,9
28,1,9:04.0,Shooting foul by A. Drummond (drawn by D. Williams),,1,9
29,1,9:04.0,D. Williams makes free throw 1 of 2,,2,9
30,1,9:04.0,D. Williams misses free throw 2 of 2,,2,9
31,1,9:03.0,,Defensive rebound by T. Harris,2,9
32,1,8:53.0,,Personal foul by D. Waiters (drawn by M. Morris),2,9
33,1,8:43.0,,A. Drummond makes 2-pt hook shot from 5 ft (assist by M. Morris),2,11
34,1,8:33.0,Turnover by H. Whiteside (lost ball; steal by A. Drummond),,2,11
35,1,8:26.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,2,11
36,1,8:25.0,Defensive rebound by D. Waiters,,2,11
37,1,8:11.0,Personal foul by M. Morris (drawn by D. Waiters),,2,11
38,1,7:56.0,D. Waiters makes 2-pt layup at rim,,4,11
39,1,7:33.0,,M. Morris makes 2-pt layup at rim (assist by I. Smith),4,13
40,1,7:22.0,G. Dragić misses 2-pt jump shot from 5 ft,,4,13
41,1,7:22.0,,Defensive rebound by I. Smith,4,13
42,1,7:13.0,,M. Morris misses 2-pt jump shot from 14 ft,4,13
43,1,7:12.0,Defensive rebound by D. Williams,,4,13
44,1,7:07.0,Turnover by J. Richardson (lost ball),,4,13
45,1,6:53.0,,K. Caldwell-Pope makes 2-pt jump shot from 17 ft (assist by A. Drummond),4,15
46,1,6:42.0,Personal foul by I. Smith (drawn by G. Dragić),,4,15
47,1,6:42.0,,B. Udrih enters the game for I. Smith,4,15
48,1,6:37.0,Def 3 sec tech foul by A. Drummond,,4,15
49,1,6:37.0,G. Dragić makes technical free throw,,5,15
50,1,6:26.0,D. Waiters makes 3-pt jump shot from 26 ft (assist by G. Dragić),,8,15
51,1,6:06.0,,A. Drummond makes 2-pt dunk at rim (assist by M. Morris),8,17
52,1,5:50.0,D. Waiters misses 2-pt jump shot from 20 ft,,8,17
53,1,5:50.0,,Defensive rebound by A. Drummond,8,17
54,1,5:41.0,,B. Udrih makes 2-pt layup from 1 ft,8,19
55,1,5:41.0,,Shooting foul by G. Dragić (drawn by B. Udrih),8,19
56,1,5:41.0,,B. Udrih misses free throw 1 of 1,8,19
57,1,5:41.0,T. Johnson enters the game for J. Richardson,,8,19
58,1,5:41.0,R. McGruder enters the game for D. Waiters,,8,19
59,1,5:41.0,J. Johnson enters the game for D. Williams,,8,19
60,1,5:41.0,,J. Leuer enters the game for T. Harris,8,19
61,1,5:40.0,Defensive rebound by H. Whiteside,,8,19
