,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PHOENIX_ACTION,NEW ORLEANS_SCORE,PHOENIX_SCORE
0,1,11:37.0,A. Davis makes 2-pt jump shot from 14 ft,,2,0
1,1,11:26.0,,M. Chriss misses 3-pt jump shot from 25 ft,2,0
2,1,11:25.0,Defensive rebound by Team,,2,0
3,1,11:15.0,Personal foul by M. Chriss (drawn by A. Davis),,2,0
4,1,11:15.0,A. Davis makes free throw 1 of 2,,3,0
5,1,11:15.0,A. Davis makes free throw 2 of 2,,4,0
6,1,11:04.0,,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by D. Booker),4,3
7,1,10:44.0,A. Davis misses 2-pt hook shot from 7 ft,,4,3
8,1,10:44.0,,Defensive rebound by Team,4,3
9,1,10:32.0,,M. Chriss makes 2-pt layup from 1 ft (assist by T. Chandler),4,5
10,1,10:23.0,S. Hill makes 3-pt jump shot from 25 ft (assist by B. Hield),,7,5
11,1,10:15.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,7,5
12,1,10:12.0,Defensive rebound by B. Hield,,7,5
13,1,10:04.0,A. Davis makes 2-pt layup at rim (assist by B. Hield),,9,5
14,1,9:51.0,,M. Chriss misses 2-pt layup from 1 ft,9,5
15,1,9:49.0,,Offensive rebound by M. Chriss,9,5
16,1,9:49.0,,M. Chriss misses 2-pt layup from 2 ft,9,5
17,1,9:47.0,Defensive rebound by S. Hill,,9,5
18,1,9:41.0,B. Hield makes 3-pt jump shot from 24 ft (assist by J. Holiday),,12,5
19,1,9:23.0,,D. Booker misses 3-pt jump shot from 26 ft,12,5
20,1,9:21.0,Defensive rebound by S. Hill,,12,5
21,1,9:07.0,A. Davis misses 3-pt jump shot from 25 ft,,12,5
22,1,9:05.0,,Defensive rebound by T. Chandler,12,5
23,1,8:59.0,,D. Booker misses 3-pt jump shot from 25 ft,12,5
24,1,8:55.0,Defensive rebound by A. Davis,,12,5
25,1,8:51.0,S. Hill misses 3-pt jump shot from 25 ft,,12,5
26,1,8:49.0,,Defensive rebound by T. Warren,12,5
27,1,8:47.0,,E. Bledsoe makes 2-pt jump shot from 15 ft,12,7
28,1,8:32.0,J. Holiday makes 2-pt jump shot from 15 ft,,14,7
29,1,8:26.0,,Personal block foul by S. Hill (drawn by E. Bledsoe),14,7
30,1,8:21.0,,D. Booker makes 2-pt jump shot from 16 ft (assist by E. Bledsoe),14,9
31,1,8:08.0,J. Holiday misses 3-pt jump shot from 25 ft,,14,9
32,1,8:06.0,,Defensive rebound by T. Chandler,14,9
33,1,8:02.0,,M. Chriss misses 2-pt dunk at rim,14,9
34,1,7:57.0,Defensive rebound by A. Ajinça,,14,9
35,1,7:55.0,Turnover by A. Ajinça (lost ball; steal by D. Booker),,14,9
36,1,7:52.0,,D. Booker makes 2-pt layup from 1 ft,14,11
37,1,7:35.0,Shooting foul by E. Bledsoe (drawn by S. Hill),,14,11
38,1,7:35.0,S. Hill makes 2-pt jump shot from 11 ft,,16,11
39,1,7:35.0,S. Hill makes free throw 1 of 1,,17,11
40,1,7:20.0,,Personal foul by A. Ajinça (drawn by M. Chriss),17,11
41,1,7:08.0,,M. Chriss makes 2-pt dunk at rim (assist by D. Booker),17,13
42,1,7:02.0,New Orleans full timeout,,17,13
43,1,6:59.0,Turnover by J. Holiday (discontinued dribble),,17,13
44,1,6:46.0,,T. Warren misses 2-pt jump shot from 8 ft,17,13
45,1,6:43.0,Defensive rebound by A. Davis,,17,13
46,1,6:33.0,A. Davis misses 2-pt jump shot from 19 ft,,17,13
47,1,6:32.0,,Defensive rebound by D. Booker,17,13
48,1,6:23.0,,Turnover by D. Booker (traveling),17,13
49,1,6:09.0,A. Ajinça misses 2-pt jump shot from 16 ft,,17,13
50,1,6:08.0,,Defensive rebound by T. Warren,17,13
51,1,6:03.0,,E. Bledsoe makes 2-pt layup from 2 ft,17,15
52,1,5:41.0,A. Ajinça misses 2-pt jump shot from 20 ft,,17,15
53,1,5:40.0,,Defensive rebound by Team,17,15
54,1,5:40.0,,P. Tucker enters the game for T. Warren,17,15
55,1,5:16.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),17,18
56,1,4:50.0,J. Holiday misses 2-pt jump shot from 4 ft,,17,18
57,1,4:46.0,,Defensive rebound by M. Chriss,17,18
58,1,4:31.0,,D. Booker misses 3-pt jump shot from 26 ft,17,18
59,1,4:30.0,,Offensive rebound by Team,17,18
60,1,4:30.0,Loose ball foul by A. Ajinça (drawn by M. Chriss),,17,18
61,1,4:30.0,D. Motiejūnas enters the game for A. Ajinça,,17,18
62,1,4:26.0,,M. Chriss misses 3-pt jump shot from 26 ft,17,18
63,1,4:24.0,,Offensive rebound by P. Tucker,17,18
64,1,4:17.0,,T. Chandler misses 2-pt layup from 1 ft,17,18
65,1,4:17.0,,Offensive rebound by T. Chandler,17,18
66,1,4:17.0,,P. Tucker misses 3-pt jump shot from 23 ft,17,18
67,1,4:14.0,Defensive rebound by D. Motiejūnas,,17,18
68,1,3:58.0,A. Davis misses 2-pt jump shot from 9 ft,,17,18
69,1,3:56.0,,Defensive rebound by T. Chandler,17,18
70,1,3:47.0,,M. Chriss makes 2-pt dunk at rim (assist by D. Booker),17,20
71,1,3:40.0,Personal block foul by P. Tucker (drawn by B. Hield),,17,20
72,1,3:40.0,,A. Len enters the game for T. Chandler,17,20
73,1,3:40.0,E. Moore enters the game for S. Hill,,17,20
74,1,3:29.0,D. Motiejūnas makes 2-pt dunk at rim (assist by J. Holiday),,19,20
75,1,3:08.0,,Turnover by E. Bledsoe (discontinued dribble),19,20
76,1,3:00.0,Shooting foul by M. Chriss (drawn by B. Hield),,19,20
77,1,3:00.0,B. Hield misses free throw 1 of 3,,19,20
78,1,3:00.0,Offensive rebound by Team,,19,20
79,1,3:00.0,B. Hield makes free throw 2 of 3,,20,20
80,1,3:00.0,,J. Dudley enters the game for M. Chriss,20,20
81,1,3:00.0,B. Hield makes free throw 3 of 3,,21,20
82,1,2:48.0,,Shooting foul by J. Holiday (drawn by E. Bledsoe),21,20
83,1,2:48.0,,Phoenix full timeout,21,20
84,1,2:48.0,,E. Bledsoe makes free throw 1 of 3,21,21
85,1,2:48.0,,E. Bledsoe makes free throw 2 of 3,21,22
86,1,2:48.0,T. Evans enters the game for B. Hield,,21,20
87,1,2:48.0,,E. Bledsoe makes free throw 3 of 3,21,23
88,1,2:30.0,E. Moore misses 2-pt jump shot from 22 ft,,21,23
89,1,2:28.0,Offensive rebound by Team,,21,23
90,1,2:20.0,Shooting foul by D. Booker (drawn by E. Moore),,21,23
91,1,2:20.0,E. Moore makes free throw 1 of 2,,22,23
92,1,2:20.0,E. Moore makes free throw 2 of 2,,23,23
93,1,2:03.0,,Turnover by D. Booker (bad pass; steal by E. Moore),23,23
94,1,2:03.0,Personal foul by J. Dudley (drawn by J. Holiday),,23,23
95,1,2:03.0,J. Holiday misses free throw 1 of 2,,23,23
96,1,2:03.0,Offensive rebound by Team,,23,23
97,1,2:03.0,J. Holiday makes free throw 2 of 2,,24,23
98,1,2:01.0,,Personal foul by D. Motiejūnas (drawn by E. Bledsoe),24,23
99,1,2:01.0,,E. Bledsoe makes free throw 1 of 2,24,24
100,1,2:01.0,,B. Knight enters the game for D. Booker,24,24
101,1,2:01.0,,E. Bledsoe makes free throw 2 of 2,24,25
102,1,1:42.0,E. Moore misses 2-pt jump shot from 14 ft,,24,25
103,1,1:38.0,,Defensive rebound by A. Len,24,25
104,1,1:30.0,,Turnover by E. Bledsoe (bad pass),24,25
105,1,1:30.0,L. Galloway enters the game for J. Holiday,,24,25
106,1,1:17.0,L. Galloway makes 3-pt jump shot from 25 ft (assist by A. Davis),,27,25
107,1,0:59.0,,Shooting foul by D. Motiejūnas (drawn by B. Knight),27,25
