,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PORTLAND_ACTION,MINNESOTA_SCORE,PORTLAND_SCORE
0,1,11:43.0,A. Wiggins makes 2-pt layup from 2 ft,,2,0
1,1,11:28.0,,N. Vonleh makes 2-pt dunk at rim (assist by D. Lillard),2,2
2,1,11:08.0,K. Towns makes 2-pt jump shot from 6 ft (assist by A. Wiggins),,4,2
3,1,11:01.0,,C. McCollum misses 2-pt layup from 1 ft (block by K. Towns),4,2
4,1,10:59.0,Defensive rebound by G. Dieng,,4,2
5,1,10:42.0,A. Wiggins makes 2-pt jump shot from 7 ft,,6,2
6,1,10:21.0,,A. Aminu misses 2-pt jump shot from 4 ft,6,2
7,1,10:21.0,Defensive rebound by R. Rubio,,6,2
8,1,10:15.0,B. Rush misses 3-pt jump shot from 25 ft,,6,2
9,1,10:13.0,,Defensive rebound by M. Harkless,6,2
10,1,10:02.0,,D. Lillard misses 2-pt jump shot from 20 ft,6,2
11,1,10:01.0,Defensive rebound by R. Rubio,,6,2
12,1,9:51.0,A. Wiggins makes 2-pt jump shot from 7 ft (assist by R. Rubio),,8,2
13,1,9:29.0,,M. Harkless misses 2-pt hook shot from 3 ft,8,2
14,1,9:28.0,Defensive rebound by K. Towns,,8,2
15,1,9:15.0,A. Wiggins makes 2-pt layup from 1 ft (assist by G. Dieng),,10,2
16,1,8:55.0,,A. Aminu misses 3-pt jump shot from 25 ft,10,2
17,1,8:55.0,Defensive rebound by K. Towns,,10,2
18,1,8:42.0,K. Towns makes 2-pt jump shot from 3 ft (assist by R. Rubio),,12,2
19,1,8:42.0,,Portland full timeout,12,2
20,1,8:27.0,,D. Lillard misses 3-pt jump shot from 28 ft,12,2
21,1,8:26.0,,Offensive rebound by N. Vonleh,12,2
22,1,8:26.0,,N. Vonleh makes 2-pt layup at rim,12,4
23,1,8:26.0,,Shooting foul by G. Dieng (drawn by N. Vonleh),12,4
24,1,8:26.0,,N. Vonleh makes free throw 1 of 1,12,5
25,1,8:14.0,R. Rubio makes 2-pt jump shot from 19 ft,,14,5
26,1,8:01.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by D. Lillard),14,8
27,1,7:46.0,A. Wiggins makes 3-pt jump shot from 25 ft (assist by K. Towns),,17,8
28,1,7:36.0,,Personal block foul by B. Rush (drawn by D. Lillard),17,8
29,1,7:31.0,,Shooting foul by A. Wiggins (drawn by A. Aminu),17,8
30,1,7:31.0,,A. Aminu misses free throw 1 of 2,17,8
31,1,7:31.0,,Offensive rebound by Team,17,8
32,1,7:31.0,,A. Aminu makes free throw 2 of 2,17,9
33,1,7:20.0,K. Towns misses 2-pt hook shot from 5 ft,,17,9
34,1,7:20.0,,Defensive rebound by A. Aminu,17,9
35,1,7:14.0,,A. Aminu misses 2-pt layup at rim,17,9
36,1,7:14.0,Defensive rebound by K. Towns,,17,9
37,1,7:04.0,R. Rubio makes 3-pt jump shot from 24 ft,,20,9
38,1,6:46.0,,D. Lillard misses 2-pt layup from 2 ft,20,9
39,1,6:46.0,Defensive rebound by Team,,20,9
40,1,6:46.0,,Loose ball foul by N. Vonleh (drawn by K. Towns),20,9
41,1,6:35.0,K. Towns misses 3-pt jump shot from 25 ft,,20,9
42,1,6:33.0,,Defensive rebound by D. Lillard,20,9
43,1,6:25.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),20,12
44,1,6:09.0,R. Rubio misses 2-pt layup from 2 ft,,20,12
45,1,6:09.0,,Defensive rebound by N. Vonleh,20,12
46,1,6:03.0,,D. Lillard misses 2-pt layup from 3 ft (block by G. Dieng),20,12
47,1,6:01.0,Defensive rebound by R. Rubio,,20,12
48,1,5:51.0,B. Rush misses 3-pt jump shot from 23 ft,,20,12
49,1,5:49.0,Offensive rebound by K. Towns,,20,12
50,1,5:47.0,K. Towns misses 2-pt layup from 2 ft (block by N. Vonleh),,20,12
51,1,5:46.0,,Defensive rebound by A. Aminu,20,12
52,1,5:41.0,,Turnover by C. McCollum (lost ball; steal by A. Wiggins),20,12
53,1,5:39.0,Personal foul by C. McCollum,,20,12
54,1,5:39.0,,A. Crabbe enters the game for C. McCollum,20,12
55,1,5:35.0,Personal foul by M. Harkless (drawn by A. Wiggins),,20,12
56,1,5:35.0,,M. Leonard enters the game for N. Vonleh,20,12
57,1,5:23.0,Turnover by R. Rubio (bad pass; steal by A. Crabbe),,20,12
58,1,5:23.0,,Personal foul by G. Dieng (drawn by A. Crabbe),20,12
59,1,5:09.0,,M. Leonard misses 3-pt jump shot from 25 ft,20,12
60,1,5:07.0,Defensive rebound by G. Dieng,,20,12
61,1,4:54.0,K. Towns makes 2-pt jump shot from 2 ft,,22,12
62,1,4:36.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by A. Crabbe),22,15
63,1,4:16.0,A. Wiggins misses 3-pt jump shot from 26 ft,,22,15
64,1,4:15.0,,Defensive rebound by A. Aminu,22,15
65,1,4:05.0,,D. Lillard misses 3-pt jump shot from 24 ft,22,15
66,1,4:04.0,Defensive rebound by A. Wiggins,,22,15
67,1,3:46.0,K. Towns makes 2-pt layup from 1 ft (assist by A. Wiggins),,24,15
68,1,3:46.0,,Portland full timeout,24,15
69,1,3:46.0,,E. Turner enters the game for M. Harkless,24,15
70,1,3:46.0,O. Casspi enters the game for K. Towns,,24,15
71,1,3:28.0,,A. Crabbe makes 3-pt jump shot from 25 ft,24,18
72,1,3:13.0,A. Wiggins misses 2-pt jump shot from 19 ft,,24,18
73,1,3:12.0,,Defensive rebound by D. Lillard,24,18
74,1,3:00.0,,Turnover by D. Lillard (lost ball; steal by B. Rush),24,18
75,1,2:44.0,R. Rubio makes 2-pt jump shot from 21 ft,,26,18
76,1,2:18.0,,D. Lillard misses 3-pt jump shot from 25 ft,26,18
77,1,2:17.0,Defensive rebound by A. Wiggins,,26,18
78,1,1:54.0,R. Rubio makes 2-pt jump shot from 17 ft,,28,18
79,1,1:33.0,,M. Leonard misses 3-pt jump shot from 25 ft,28,18
80,1,1:33.0,Defensive rebound by R. Rubio,,28,18
81,1,1:15.0,R. Rubio makes 2-pt jump shot from 23 ft,,30,18
82,1,0:58.0,,M. Leonard misses 3-pt jump shot from 25 ft,30,18
83,1,0:57.0,Defensive rebound by A. Wiggins,,30,18
84,1,0:48.0,R. Rubio makes 2-pt jump shot from 21 ft,,32,18
85,1,0:32.0,,D. Lillard makes 2-pt layup from 1 ft,32,20
86,1,0:14.0,Shooting foul by E. Turner (drawn by G. Dieng),,32,20
87,1,0:14.0,Minnesota full timeout,,32,20
88,1,0:14.0,G. Dieng makes free throw 1 of 2,,33,20
89,1,0:14.0,,N. Vonleh enters the game for M. Leonard,32,20
90,1,0:14.0,,C. McCollum enters the game for A. Aminu,32,20
