,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,OKLAHOMA CITY_ACTION,BROOKLYN_SCORE,OKLAHOMA CITY_SCORE
0,1,11:47.0,B. Bogdanović misses 2-pt layup from 2 ft,,0,0
1,1,11:46.0,,Defensive rebound by S. Adams,0,0
2,1,11:21.0,,A. Roberson misses 3-pt jump shot from 26 ft,0,0
3,1,11:20.0,,Offensive rebound by V. Oladipo,0,0
4,1,11:18.0,,V. Oladipo makes 2-pt layup at rim,0,2
5,1,11:06.0,Personal foul by D. Sabonis (drawn by B. Bogdanović),,0,2
6,1,10:56.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by R. Foye),,3,2
7,1,10:44.0,,D. Sabonis misses 2-pt layup from 3 ft,3,2
8,1,10:44.0,Defensive rebound by R. Hollis-Jefferson,,3,2
9,1,10:32.0,T. Booker misses 2-pt jump shot from 4 ft,,3,2
10,1,10:31.0,,Defensive rebound by A. Roberson,3,2
11,1,10:28.0,,Offensive foul by S. Adams (drawn by B. Bogdanović),3,2
12,1,10:28.0,,Turnover by S. Adams (offensive foul),3,2
13,1,10:10.0,R. Hollis-Jefferson misses 2-pt dunk at rim (block by D. Sabonis),,3,2
14,1,10:09.0,,Defensive rebound by R. Westbrook,3,2
15,1,10:08.0,,Personal foul by B. Bogdanović (drawn by R. Westbrook),3,2
16,1,9:55.0,,A. Roberson makes 2-pt dunk at rim,3,4
17,1,9:45.0,Turnover by T. Booker (lost ball; steal by A. Roberson),,3,4
18,1,9:36.0,,A. Roberson misses 3-pt jump shot from 23 ft,3,4
19,1,9:36.0,Defensive rebound by R. Foye,,3,4
20,1,9:14.0,B. Lopez misses 2-pt jump shot from 10 ft,,3,4
21,1,9:13.0,,Defensive rebound by S. Adams,3,4
22,1,9:05.0,,R. Westbrook makes 2-pt layup from 2 ft,3,6
23,1,8:49.0,R. Foye makes 2-pt jump shot from 13 ft,,5,6
24,1,8:29.0,,S. Adams makes 2-pt dunk at rim (assist by V. Oladipo),5,8
25,1,8:10.0,Turnover by R. Hollis-Jefferson (bad pass; steal by D. Sabonis),,5,8
26,1,8:02.0,,A. Roberson makes 2-pt layup from 1 ft (assist by R. Westbrook),5,10
27,1,7:43.0,R. Hollis-Jefferson makes 3-pt jump shot from 26 ft (assist by B. Lopez),,8,10
28,1,7:29.0,,D. Sabonis misses 3-pt jump shot from 24 ft,8,10
29,1,7:28.0,,Offensive rebound by A. Roberson,8,10
30,1,7:26.0,,A. Roberson misses 2-pt layup from 3 ft (block by B. Lopez),8,10
31,1,7:26.0,,Offensive rebound by Team,8,10
32,1,7:26.0,J. Hamilton enters the game for T. Booker,,8,10
33,1,7:16.0,,R. Westbrook makes 2-pt jump shot from 13 ft,8,12
34,1,6:59.0,B. Bogdanović makes 2-pt layup from 1 ft,,10,12
35,1,6:46.0,,D. Sabonis makes 2-pt jump shot from 18 ft (assist by R. Westbrook),10,14
36,1,6:32.0,B. Lopez makes 3-pt jump shot from 23 ft (assist by R. Foye),,13,14
37,1,6:13.0,,Def 3 sec tech foul by R. Hollis-Jefferson,13,14
38,1,6:13.0,,R. Westbrook misses technical free throw,13,14
39,1,6:13.0,,Offensive rebound by Team,13,14
40,1,6:13.0,,Oklahoma City full timeout,13,14
41,1,6:13.0,,E. Freedom enters the game for S. Adams,13,14
42,1,6:13.0,,Á. Abrines enters the game for V. Oladipo,13,14
43,1,6:13.0,I. Whitehead enters the game for B. Bogdanović,,13,14
44,1,6:13.0,J. Harris enters the game for R. Foye,,13,14
45,1,6:08.0,,R. Westbrook makes 2-pt layup from 1 ft,13,16
46,1,5:53.0,Shooting foul by E. Freedom (drawn by B. Lopez),,13,16
47,1,5:53.0,B. Lopez makes free throw 1 of 2,,14,16
48,1,5:53.0,B. Lopez makes free throw 2 of 2,,15,16
49,1,5:42.0,,Turnover by E. Freedom (lost ball; steal by R. Hollis-Jefferson),15,16
50,1,5:42.0,Clear path foul by D. Sabonis,,15,16
51,1,5:42.0,R. Hollis-Jefferson makes clear path free throw 1 of 2,,16,16
52,1,5:42.0,,S. Adams enters the game for D. Sabonis,15,16
53,1,5:42.0,R. Hollis-Jefferson makes clear path free throw 2 of 2,,17,16
54,1,5:35.0,B. Lopez makes 3-pt jump shot from 24 ft (assist by I. Whitehead),,20,16
55,1,5:23.0,,E. Freedom misses 2-pt jump shot from 20 ft,20,16
56,1,5:22.0,,Offensive rebound by R. Westbrook,20,16
57,1,5:21.0,,R. Westbrook makes 2-pt layup from 1 ft,20,18
58,1,5:06.0,Shooting foul by Á. Abrines (drawn by R. Hollis-Jefferson),,20,18
59,1,5:06.0,R. Hollis-Jefferson makes free throw 1 of 2,,21,18
60,1,5:06.0,R. Hollis-Jefferson makes free throw 2 of 2,,22,18
61,1,4:50.0,,Á. Abrines makes 3-pt jump shot from 24 ft (assist by R. Westbrook),22,21
62,1,4:40.0,B. Lopez misses 2-pt layup from 1 ft,,22,21
63,1,4:39.0,,Defensive rebound by E. Freedom,22,21
64,1,4:34.0,,Shooting foul by J. Hamilton (drawn by E. Freedom),22,21
65,1,4:34.0,,E. Freedom makes free throw 1 of 2,22,22
66,1,4:34.0,,E. Freedom makes free throw 2 of 2,22,23
67,1,4:26.0,J. Harris makes 3-pt jump shot from 24 ft (assist by I. Whitehead),,25,23
68,1,4:03.0,,Á. Abrines makes 2-pt jump shot from 21 ft (assist by A. Roberson),25,25
