,QUARTER,TIME_REMAINING,BOSTON_ACTION,NEW YORK_ACTION,BOSTON_SCORE,NEW YORK_SCORE
0,1,11:44.0,Turnover by J. Crowder (lost ball; steal by K. Porziņģis),,0,0
1,1,11:39.0,,S. Vujačić misses 2-pt jump shot from 14 ft,0,0
2,1,11:38.0,Defensive rebound by Team,,0,0
3,1,11:26.0,I. Thomas misses 3-pt jump shot from 25 ft,,0,0
4,1,11:24.0,Offensive rebound by A. Horford,,0,0
5,1,11:16.0,A. Johnson makes 3-pt jump shot from 24 ft (assist by I. Thomas),,3,0
6,1,11:00.0,,K. Porziņģis misses 2-pt jump shot from 12 ft,3,0
7,1,10:58.0,Defensive rebound by A. Horford,,3,0
8,1,10:50.0,Offensive foul by A. Johnson (drawn by W. Hernangómez),,3,0
9,1,10:50.0,Turnover by A. Johnson (offensive foul),,3,0
10,1,10:50.0,M. Smart enters the game for J. Brown,,3,0
11,1,10:30.0,,S. Vujačić misses 3-pt jump shot from 23 ft,3,0
12,1,10:28.0,Defensive rebound by M. Smart,,3,0
13,1,10:24.0,J. Crowder makes 2-pt layup from 2 ft (assist by M. Smart),,5,0
14,1,10:11.0,,Personal foul by J. Crowder (drawn by R. Baker),5,0
15,1,10:04.0,,C. Lee makes 2-pt jump shot from 8 ft (assist by W. Hernangómez),5,2
16,1,9:46.0,Turnover by A. Horford (bad pass; steal by R. Baker),,5,2
17,1,9:42.0,,R. Baker makes 2-pt layup from 2 ft,5,4
18,1,9:34.0,I. Thomas makes 2-pt layup from 2 ft,,7,4
19,1,9:17.0,,W. Hernangómez misses 2-pt hook shot from 5 ft,7,4
20,1,9:15.0,Defensive rebound by J. Crowder,,7,4
21,1,9:03.0,Shooting foul by W. Hernangómez (drawn by A. Horford),,7,4
22,1,9:03.0,A. Horford makes 2-pt layup from 2 ft,,9,4
23,1,9:03.0,A. Horford makes free throw 1 of 1,,10,4
24,1,8:41.0,,W. Hernangómez makes 2-pt dunk at rim (assist by S. Vujačić),10,6
25,1,8:35.0,Violation by Team (jump ball),,10,6
26,1,8:20.0,M. Smart misses 3-pt jump shot from 24 ft,,10,6
27,1,8:18.0,,Defensive rebound by W. Hernangómez,10,6
28,1,8:10.0,,R. Baker makes 2-pt jump shot from 17 ft,10,8
29,1,7:59.0,Shooting foul by R. Baker (drawn by I. Thomas),,10,8
30,1,7:59.0,I. Thomas makes free throw 1 of 3,,11,8
31,1,7:59.0,I. Thomas makes free throw 2 of 3,,12,8
32,1,7:59.0,I. Thomas makes free throw 3 of 3,,13,8
33,1,7:41.0,,C. Lee misses 2-pt jump shot from 21 ft,13,8
34,1,7:39.0,Defensive rebound by Team,,13,8
35,1,7:26.0,J. Crowder misses 3-pt jump shot from 25 ft,,13,8
36,1,7:25.0,,Defensive rebound by Team,13,8
37,1,7:04.0,,S. Vujačić misses 2-pt jump shot from 22 ft,13,8
38,1,7:03.0,Defensive rebound by I. Thomas,,13,8
39,1,6:50.0,A. Johnson misses 2-pt layup from 1 ft,,13,8
40,1,6:48.0,Offensive rebound by A. Johnson,,13,8
41,1,6:45.0,Turnover by A. Johnson (bad pass; steal by W. Hernangómez),,13,8
42,1,6:36.0,,S. Vujačić misses 3-pt jump shot from 22 ft,13,8
43,1,6:34.0,Defensive rebound by J. Crowder,,13,8
44,1,6:31.0,Shooting foul by R. Baker (drawn by J. Crowder),,13,8
45,1,6:31.0,J. Crowder misses free throw 1 of 2,,13,8
46,1,6:31.0,Offensive rebound by Team,,13,8
47,1,6:31.0,Technical foul by Team,,13,8
48,1,6:31.0,,S. Vujačić makes technical free throw,13,9
49,1,6:31.0,,C. Randle enters the game for R. Baker,13,8
50,1,6:31.0,,J. Holiday enters the game for S. Vujačić,13,9
51,1,6:31.0,J. Crowder makes free throw 2 of 2,,14,9
52,1,6:18.0,,Personal foul by A. Johnson (drawn by W. Hernangómez),14,9
53,1,6:18.0,,New York full timeout,14,9
54,1,6:03.0,,C. Lee misses 3-pt jump shot from 23 ft,14,9
55,1,6:01.0,Defensive rebound by A. Johnson,,14,9
56,1,5:46.0,A. Johnson makes 2-pt hook shot from 4 ft (assist by I. Thomas),,16,9
57,1,5:31.0,,W. Hernangómez misses 2-pt hook shot from 5 ft,16,9
58,1,5:30.0,Defensive rebound by A. Horford,,16,9
59,1,5:19.0,M. Smart makes 2-pt jump shot from 14 ft,,18,9
60,1,5:01.0,,C. Randle misses 3-pt jump shot from 24 ft,18,9
61,1,4:58.0,Defensive rebound by J. Crowder,,18,9
62,1,4:50.0,I. Thomas makes 2-pt layup from 1 ft,,20,9
63,1,4:28.0,,W. Hernangómez makes 2-pt jump shot from 17 ft (assist by C. Lee),20,11
64,1,4:08.0,I. Thomas misses 3-pt jump shot from 24 ft,,20,11
65,1,4:06.0,,Defensive rebound by W. Hernangómez,20,11
66,1,3:56.0,,Turnover by W. Hernangómez (lost ball; steal by I. Thomas),20,11
67,1,3:41.0,Personal foul by C. Randle (drawn by A. Horford),,20,11
68,1,3:41.0,J. Brown enters the game for J. Crowder,,20,11
69,1,3:41.0,K. Olynyk enters the game for A. Johnson,,20,11
70,1,3:41.0,,K. O'Quinn enters the game for W. Hernangómez,20,11
71,1,3:35.0,A. Horford makes 2-pt layup from 1 ft (assist by M. Smart),,22,11
72,1,3:22.0,,K. Porziņģis makes 2-pt jump shot from 13 ft (assist by C. Lee),22,13
73,1,3:07.0,J. Brown makes 2-pt dunk at rim (assist by M. Smart),,24,13
74,1,2:49.0,,C. Lee makes 2-pt jump shot from 15 ft,24,15
75,1,2:47.0,Boston full timeout,,24,15
76,1,2:35.0,J. Brown makes 3-pt jump shot from 23 ft (assist by M. Smart),,27,15
77,1,2:21.0,,Personal foul by J. Brown (drawn by J. Holiday),27,15
78,1,2:21.0,T. Zeller enters the game for A. Horford,,27,15
79,1,2:16.0,,K. O'Quinn misses 2-pt jump shot from 12 ft,27,15
80,1,2:14.0,Defensive rebound by K. Olynyk,,27,15
81,1,2:00.0,I. Thomas makes 3-pt jump shot from 24 ft (assist by K. Olynyk),,30,15
82,1,1:46.0,,C. Randle makes 2-pt layup from 3 ft,30,17
83,1,1:25.0,K. Olynyk misses 3-pt jump shot from 24 ft,,30,17
84,1,1:24.0,,Defensive rebound by K. O'Quinn,30,17
85,1,1:13.0,,K. Porziņģis makes 2-pt jump shot from 12 ft,30,19
86,1,0:55.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by I. Thomas),,33,19
87,1,0:50.0,,Personal foul by K. Olynyk (drawn by K. Porziņģis),33,19
88,1,0:50.0,T. Rozier enters the game for I. Thomas,,33,19
89,1,0:50.0,,M. Kuzminskas enters the game for K. Porziņģis,33,19
90,1,0:45.0,,Turnover by K. O'Quinn (bad pass; steal by M. Smart),33,19
91,1,0:40.0,Personal foul by J. Holiday (drawn by T. Zeller),,33,19
92,1,0:40.0,T. Zeller misses free throw 1 of 2,,33,19
93,1,0:40.0,Offensive rebound by Team,,33,19
94,1,0:40.0,T. Zeller makes free throw 2 of 2,,34,19
95,1,0:31.0,,Shooting foul by T. Rozier (drawn by C. Randle),34,19
96,1,0:31.0,,C. Randle misses free throw 1 of 2,34,19
97,1,0:31.0,,Offensive rebound by Team,34,19
98,1,0:31.0,,C. Randle makes free throw 2 of 2,34,20
99,1,0:12.0,Turnover by J. Brown (traveling),,34,20
100,1,0:00.0,,C. Lee makes 3-pt jump shot from 25 ft (assist by C. Randle),34,23
101,2,11:48.0,,J. Holiday misses 2-pt jump shot from 7 ft,34,23
102,2,11:46.0,Defensive rebound by T. Zeller,,34,23
103,2,11:26.0,Turnover by K. Olynyk (traveling),,34,23
104,2,11:11.0,,K. O'Quinn misses 2-pt jump shot from 17 ft,34,23
105,2,11:09.0,Defensive rebound by J. Crowder,,34,23
106,2,11:02.0,J. Brown makes 3-pt jump shot from 24 ft (assist by T. Rozier),,37,23
107,2,10:45.0,,C. Randle misses 2-pt jump shot from 5 ft,37,23
108,2,10:44.0,,Offensive rebound by K. O'Quinn,37,23
109,2,10:43.0,,K. O'Quinn makes 2-pt layup from 2 ft,37,25
110,2,10:43.0,,Shooting foul by K. Olynyk (drawn by K. O'Quinn),37,25
111,2,10:43.0,,S. Vujačić enters the game for C. Lee,37,25
112,2,10:43.0,,K. O'Quinn makes free throw 1 of 1,37,26
113,2,10:31.0,J. Brown misses 3-pt jump shot from 26 ft,,37,26
114,2,10:28.0,,Defensive rebound by M. Kuzminskas,37,26
115,2,10:09.0,,M. Kuzminskas makes 2-pt jump shot from 5 ft (assist by J. Holiday),37,28
116,2,9:57.0,Turnover by J. Crowder (lost ball; steal by S. Vujačić),,37,28
117,2,9:53.0,,Offensive foul by C. Randle (drawn by K. Olynyk),37,28
118,2,9:53.0,,Turnover by C. Randle (offensive foul),37,28
119,2,9:53.0,J. Jerebko enters the game for T. Zeller,,37,28
120,2,9:45.0,Personal foul by C. Randle (drawn by T. Rozier),,37,28
121,2,9:39.0,K. Olynyk makes 2-pt jump shot from 17 ft (assist by T. Rozier),,39,28
