,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MEMPHIS_ACTION,PHILADELPHIA_SCORE,MEMPHIS_SCORE
0,1,11:42.0,,M. Gasol misses 2-pt jump shot from 6 ft,0,0
1,1,11:41.0,Defensive rebound by E. İlyasova,,0,0
2,1,11:32.0,R. Holmes makes 2-pt jump shot from 17 ft (assist by S. Rodríguez),,2,0
3,1,11:20.0,,A. Harrison misses 2-pt jump shot from 21 ft,2,0
4,1,11:19.0,Defensive rebound by G. Henderson,,2,0
5,1,11:12.0,S. Rodríguez misses 3-pt jump shot from 26 ft,,2,0
6,1,11:11.0,,Defensive rebound by M. Gasol,2,0
7,1,11:07.0,,T. Williams makes 2-pt layup from 1 ft (assist by A. Harrison),2,2
8,1,10:53.0,Shooting foul by T. Allen (drawn by G. Henderson),,2,2
9,1,10:53.0,G. Henderson makes 2-pt layup from 3 ft (assist by E. İlyasova),,4,2
10,1,10:53.0,G. Henderson misses free throw 1 of 1,,4,2
11,1,10:52.0,,Defensive rebound by M. Gasol,4,2
12,1,10:37.0,,J. Green misses 2-pt hook shot from 6 ft,4,2
13,1,10:36.0,Defensive rebound by E. İlyasova,,4,2
14,1,10:28.0,N. Stauskas makes 2-pt layup from 2 ft,,6,2
15,1,10:17.0,,M. Gasol makes 2-pt jump shot from 17 ft (assist by A. Harrison),6,4
16,1,10:01.0,Shooting foul by T. Williams (drawn by E. İlyasova),,6,4
17,1,10:01.0,E. İlyasova makes free throw 1 of 2,,7,4
18,1,10:01.0,E. İlyasova makes free throw 2 of 2,,8,4
19,1,9:46.0,,A. Harrison misses 2-pt jump shot from 23 ft,8,4
20,1,9:46.0,Defensive rebound by R. Holmes,,8,4
21,1,9:41.0,Offensive foul by R. Holmes (drawn by A. Harrison),,8,4
22,1,9:41.0,Turnover by R. Holmes (offensive foul),,8,4
23,1,9:29.0,,T. Allen makes 2-pt layup from 1 ft (assist by M. Gasol),8,6
24,1,9:14.0,Turnover by S. Rodríguez (lost ball; steal by J. Green),,8,6
25,1,9:10.0,,Shooting foul by S. Rodríguez (drawn by J. Green),8,6
26,1,9:10.0,,J. Green misses free throw 1 of 2,8,6
27,1,9:10.0,,Offensive rebound by Team,8,6
28,1,9:10.0,,J. Green makes free throw 2 of 2,8,7
29,1,8:56.0,S. Rodríguez misses 2-pt jump shot from 17 ft,,8,7
30,1,8:55.0,Offensive rebound by R. Holmes,,8,7
31,1,8:50.0,S. Rodríguez misses 2-pt jump shot from 5 ft,,8,7
32,1,8:48.0,,Defensive rebound by T. Allen,8,7
33,1,8:37.0,,T. Allen misses 2-pt layup from 4 ft (block by N. Stauskas),8,7
34,1,8:37.0,Defensive rebound by G. Henderson,,8,7
35,1,8:28.0,E. İlyasova misses 2-pt jump shot from 16 ft,,8,7
36,1,8:26.0,,Defensive rebound by M. Gasol,8,7
37,1,8:18.0,,A. Harrison misses 2-pt layup from 2 ft (block by R. Holmes),8,7
38,1,8:18.0,,Offensive rebound by Team,8,7
39,1,8:04.0,,M. Gasol makes 2-pt jump shot from 4 ft,8,9
40,1,7:48.0,E. İlyasova misses 3-pt jump shot from 24 ft,,8,9
41,1,7:48.0,,Defensive rebound by M. Gasol,8,9
42,1,7:38.0,,A. Harrison makes 2-pt layup from 1 ft,8,11
43,1,7:38.0,Philadelphia full timeout,,8,11
44,1,7:38.0,T. McConnell enters the game for E. İlyasova,,8,11
45,1,7:38.0,D. Šarić enters the game for S. Rodríguez,,8,11
46,1,7:30.0,Shooting foul by J. Green (drawn by D. Šarić),,8,11
47,1,7:30.0,D. Šarić makes free throw 1 of 2,,9,11
48,1,7:30.0,D. Šarić makes free throw 2 of 2,,10,11
49,1,7:17.0,,M. Gasol makes 2-pt dunk at rim (assist by J. Green),10,13
50,1,7:07.0,Personal foul by T. Williams (drawn by G. Henderson),,10,13
51,1,7:07.0,,T. Daniels enters the game for T. Williams,10,13
52,1,6:58.0,Turnover by R. Holmes (lost ball; steal by T. Allen),,10,13
53,1,6:47.0,,J. Green misses 2-pt dunk at rim (block by R. Holmes),10,13
54,1,6:45.0,Defensive rebound by N. Stauskas,,10,13
55,1,6:42.0,,Violation by J. Green (kicked ball),10,13
56,1,6:27.0,Turnover by G. Henderson (lost ball; steal by T. Allen),,10,13
57,1,6:24.0,,Shooting foul by T. McConnell (drawn by J. Green),10,13
58,1,6:24.0,,J. Green makes free throw 1 of 2,10,14
59,1,6:24.0,,J. Green makes free throw 2 of 2,10,15
60,1,6:14.0,Turnover by T. McConnell (bad pass; steal by A. Harrison),,10,15
61,1,6:10.0,,T. Allen misses 2-pt layup from 1 ft,10,15
62,1,6:08.0,Defensive rebound by T. McConnell,,10,15
63,1,6:01.0,D. Šarić misses 2-pt jump shot from 17 ft,,10,15
64,1,5:59.0,,Defensive rebound by J. Green,10,15
65,1,5:50.0,,Shooting foul by D. Šarić (drawn by M. Gasol),10,15
66,1,5:50.0,,M. Gasol misses free throw 1 of 2,10,15
67,1,5:50.0,,Offensive rebound by Team,10,15
68,1,5:50.0,H. Thompson enters the game for R. Holmes,,10,15
69,1,5:50.0,E. İlyasova enters the game for G. Henderson,,10,15
70,1,5:50.0,,Z. Randolph enters the game for T. Allen,10,15
71,1,5:50.0,,J. Martin enters the game for J. Green,10,15
72,1,5:50.0,,M. Gasol makes free throw 2 of 2,10,16
73,1,5:30.0,N. Stauskas makes 3-pt jump shot from 25 ft (assist by T. McConnell),,13,16
74,1,5:06.0,,A. Harrison misses 3-pt jump shot from 23 ft,13,16
75,1,5:06.0,,Offensive rebound by Team,13,16
76,1,5:06.0,Loose ball foul by D. Šarić (drawn by Z. Randolph),,13,16
77,1,4:51.0,,Z. Randolph makes 2-pt layup from 1 ft (assist by A. Harrison),13,18
78,1,4:36.0,E. İlyasova misses 3-pt jump shot from 25 ft,,13,18
79,1,4:35.0,,Defensive rebound by A. Harrison,13,18
80,1,4:30.0,,T. Daniels misses 3-pt jump shot from 26 ft,13,18
81,1,4:29.0,Defensive rebound by E. İlyasova,,13,18
82,1,4:11.0,E. İlyasova misses 3-pt jump shot from 25 ft,,13,18
83,1,4:10.0,,Defensive rebound by J. Martin,13,18
84,1,3:51.0,,A. Harrison misses 3-pt jump shot from 25 ft,13,18
85,1,3:51.0,Defensive rebound by N. Stauskas,,13,18
86,1,3:43.0,N. Stauskas misses 3-pt jump shot from 25 ft,,13,18
87,1,3:41.0,,Defensive rebound by M. Gasol,13,18
88,1,3:32.0,,J. Martin makes 3-pt jump shot from 23 ft (assist by M. Gasol),13,21
89,1,3:19.0,,Offensive charge foul by H. Thompson (drawn by A. Harrison),13,21
90,1,3:19.0,Turnover by H. Thompson (offensive foul),,13,21
91,1,3:19.0,,W. Baldwin enters the game for M. Gasol,13,21
92,1,3:19.0,,T. Williams enters the game for A. Harrison,13,21
93,1,3:19.0,R. Holmes enters the game for N. Stauskas,,13,21
94,1,3:19.0,T. Luwawu-Cabarrot enters the game for D. Šarić,,13,21
95,1,3:03.0,,Z. Randolph misses 2-pt jump shot from 18 ft,13,21
96,1,3:02.0,Defensive rebound by E. İlyasova,,13,21
97,1,2:50.0,H. Thompson makes 3-pt jump shot from 24 ft (assist by E. İlyasova),,16,21
98,1,2:29.0,,Z. Randolph misses 2-pt jump shot from 7 ft (block by R. Holmes),16,21
99,1,2:29.0,Defensive rebound by E. İlyasova,,16,21
100,1,2:16.0,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft,,18,21
101,1,2:09.0,,Memphis full timeout,18,21
102,1,1:51.0,,T. Daniels makes 3-pt jump shot from 31 ft,18,24
103,1,1:38.0,R. Holmes misses 3-pt jump shot from 26 ft,,18,24
104,1,1:38.0,,Defensive rebound by J. Martin,18,24
105,1,1:33.0,,Shooting foul by T. McConnell (drawn by W. Baldwin),18,24
106,1,1:33.0,,W. Baldwin makes free throw 1 of 2,18,25
107,1,1:33.0,S. Rodríguez enters the game for T. McConnell,,18,25
108,1,1:33.0,,W. Baldwin makes free throw 2 of 2,18,26
109,1,1:21.0,Personal foul by W. Baldwin (drawn by T. Luwawu-Cabarrot),,18,26
110,1,1:21.0,T. Luwawu-Cabarrot misses free throw 1 of 2,,18,26
111,1,1:21.0,Offensive rebound by Team,,18,26
112,1,1:21.0,T. Luwawu-Cabarrot misses free throw 2 of 2,,18,26
113,1,1:20.0,,Defensive rebound by Z. Randolph,18,26
114,1,1:03.0,,Z. Randolph misses 2-pt jump shot from 17 ft,18,26
115,1,1:02.0,Defensive rebound by S. Rodríguez,,18,26
116,1,0:52.0,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft,,20,26
117,1,0:43.0,,W. Baldwin makes 2-pt jump shot from 11 ft,20,28
118,1,0:28.0,H. Thompson misses 2-pt jump shot from 11 ft,,20,28
119,1,0:27.0,Offensive rebound by Team,,20,28
120,1,0:14.0,Turnover by E. İlyasova (bad pass; steal by T. Williams),,20,28
121,1,0:08.0,,T. Daniels misses 3-pt jump shot from 25 ft,20,28
122,1,0:06.0,Defensive rebound by S. Rodríguez,,20,28
123,1,0:01.0,Turnover by T. Luwawu-Cabarrot (offensive foul),,20,28
124,1,0:01.0,,Offensive charge foul by T. Luwawu-Cabarrot (drawn by J. Martin),20,28
125,1,0:00.0,,T. Daniels misses 3-pt jump shot from 44 ft,20,28
126,1,0:00.0,,Offensive rebound by Team,20,28
127,2,11:35.0,R. Holmes misses 2-pt jump shot from 7 ft,,20,28
128,2,11:35.0,,Defensive rebound by Z. Randolph,20,28
129,2,11:18.0,,T. Daniels makes 2-pt jump shot from 23 ft (assist by W. Baldwin),20,30
130,2,10:53.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 23 ft,,20,30
131,2,10:53.0,,Defensive rebound by W. Baldwin,20,30
132,2,10:41.0,,Personal foul by R. Holmes (drawn by Z. Randolph),20,30
133,2,10:41.0,N. Stauskas enters the game for H. Thompson,,20,30
134,2,10:41.0,D. Šarić enters the game for R. Holmes,,20,30
135,2,10:33.0,,T. Daniels misses 3-pt jump shot from 25 ft,20,30
136,2,10:32.0,Defensive rebound by E. İlyasova,,20,30
137,2,10:24.0,E. İlyasova misses 3-pt jump shot from 25 ft,,20,30
138,2,10:22.0,Offensive rebound by D. Šarić,,20,30
139,2,10:10.0,E. İlyasova makes 3-pt jump shot from 27 ft (assist by S. Rodríguez),,23,30
140,2,9:50.0,,T. Williams makes 2-pt layup from 1 ft,23,32
141,2,9:31.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by E. İlyasova),,26,32
142,2,9:17.0,,Personal foul by S. Rodríguez (drawn by W. Baldwin),26,32
143,2,9:17.0,G. Henderson enters the game for T. Luwawu-Cabarrot,,26,32
144,2,9:05.0,,Z. Randolph misses 2-pt jump shot from 12 ft,26,32
145,2,9:05.0,Defensive rebound by E. İlyasova,,26,32
146,2,9:01.0,Shooting foul by T. Daniels (drawn by N. Stauskas),,26,32
147,2,9:01.0,N. Stauskas misses free throw 1 of 2,,26,32
148,2,9:01.0,Offensive rebound by Team,,26,32
149,2,9:01.0,N. Stauskas misses free throw 2 of 2,,26,32
150,2,9:01.0,,J. Green enters the game for Z. Randolph,26,32
151,2,8:57.0,,Defensive rebound by J. Green,26,32
152,2,8:45.0,,T. Williams misses 3-pt jump shot from 25 ft,26,32
153,2,8:44.0,Defensive rebound by S. Rodríguez,,26,32
154,2,8:38.0,Turnover by D. Šarić (bad pass),,26,32
155,2,8:38.0,,Memphis full timeout,26,32
156,2,8:23.0,,Turnover by J. Green (traveling),26,32
157,2,8:13.0,Shooting foul by T. Daniels (drawn by N. Stauskas),,26,32
158,2,8:13.0,N. Stauskas makes free throw 1 of 2,,27,32
159,2,8:13.0,,M. Gasol enters the game for J. Martin,27,32
160,2,8:13.0,N. Stauskas makes free throw 2 of 2,,28,32
161,2,7:46.0,,W. Baldwin misses 3-pt jump shot from 23 ft,28,32
162,2,7:46.0,,Offensive rebound by Team,28,32
163,2,7:42.0,,T. Daniels misses 2-pt jump shot from 16 ft,28,32
164,2,7:42.0,,Offensive rebound by T. Williams,28,32
165,2,7:33.0,,W. Baldwin misses 2-pt dunk at rim,28,32
166,2,7:31.0,,Offensive rebound by J. Green,28,32
167,2,7:26.0,,Shooting foul by D. Šarić (drawn by W. Baldwin),28,32
168,2,7:26.0,,W. Baldwin makes free throw 1 of 2,28,33
169,2,7:26.0,,T. Allen enters the game for T. Williams,28,33
170,2,7:26.0,,T. Douglas enters the game for T. Daniels,28,33
171,2,7:26.0,R. Holmes enters the game for D. Šarić,,28,33
172,2,7:26.0,T. McConnell enters the game for S. Rodríguez,,28,33
173,2,7:26.0,,W. Baldwin makes free throw 2 of 2,28,34
174,2,7:07.0,Shooting foul by W. Baldwin (drawn by E. İlyasova),,28,34
175,2,7:07.0,E. İlyasova makes free throw 1 of 2,,29,34
176,2,7:07.0,E. İlyasova misses free throw 2 of 2,,29,34
177,2,7:05.0,,Defensive rebound by M. Gasol,29,34
178,2,6:51.0,,W. Baldwin misses 2-pt jump shot from 22 ft,29,34
179,2,6:51.0,Defensive rebound by R. Holmes,,29,34
180,2,6:38.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by T. McConnell),,32,34
181,2,6:15.0,,T. Douglas misses 2-pt layup from 2 ft (block by E. İlyasova),32,34
182,2,6:15.0,Defensive rebound by G. Henderson,,32,34
183,2,6:15.0,Philadelphia full timeout,,32,34
184,2,6:15.0,,A. Harrison enters the game for W. Baldwin,32,34
185,2,6:15.0,H. Thompson enters the game for E. İlyasova,,32,34
186,2,6:02.0,G. Henderson misses 2-pt jump shot from 18 ft,,32,34
187,2,6:01.0,,Defensive rebound by M. Gasol,32,34
188,2,5:45.0,,M. Gasol misses 2-pt jump shot from 13 ft,32,34
189,2,5:44.0,Defensive rebound by H. Thompson,,32,34
190,2,5:34.0,Personal foul by J. Green (drawn by G. Henderson),,32,34
191,2,5:20.0,R. Holmes makes 2-pt dunk at rim (assist by T. McConnell),,34,34
192,2,5:01.0,,M. Gasol misses 2-pt jump shot from 7 ft,34,34
193,2,4:59.0,,Offensive rebound by T. Douglas,34,34
194,2,4:51.0,,Turnover by M. Gasol (lost ball; steal by T. McConnell),34,34
195,2,4:45.0,R. Holmes makes 2-pt dunk at rim (assist by T. McConnell),,36,34
196,2,4:44.0,,Memphis full timeout,36,34
197,2,4:44.0,E. İlyasova enters the game for G. Henderson,,36,34
198,2,4:29.0,,M. Gasol makes 2-pt jump shot from 10 ft (assist by J. Green),36,36
199,2,4:16.0,N. Stauskas misses 3-pt jump shot from 25 ft,,36,36
200,2,4:16.0,,Defensive rebound by T. Allen,36,36
201,2,3:58.0,,T. Douglas misses 3-pt jump shot from 27 ft,36,36
202,2,3:57.0,Defensive rebound by E. İlyasova,,36,36
203,2,3:47.0,R. Holmes makes 2-pt dunk at rim (assist by T. McConnell),,38,36
204,2,3:25.0,,Offensive foul by A. Harrison (drawn by T. McConnell),38,36
205,2,3:25.0,,Turnover by A. Harrison (offensive foul),38,36
