,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,ORLANDO_ACTION,MINNESOTA_SCORE,ORLANDO_SCORE
0,1,11:41.0,G. Dieng makes 2-pt jump shot from 20 ft,,2,0
1,1,11:18.0,,N. Vučević misses 2-pt hook shot from 4 ft,2,0
2,1,11:17.0,Defensive rebound by G. Dieng,,2,0
3,1,11:10.0,K. Towns misses 2-pt hook shot from 1 ft,,2,0
4,1,11:10.0,,Defensive rebound by E. Fournier,2,0
5,1,11:03.0,,S. Ibaka makes 2-pt hook shot at rim (assist by E. Payton),2,2
6,1,10:39.0,K. Towns misses 3-pt jump shot from 27 ft,,2,2
7,1,10:38.0,,Defensive rebound by A. Gordon,2,2
8,1,10:28.0,,A. Gordon misses 3-pt jump shot from 24 ft,2,2
9,1,10:27.0,Defensive rebound by Team,,2,2
10,1,10:08.0,A. Wiggins misses 2-pt jump shot from 13 ft,,2,2
11,1,10:07.0,Offensive rebound by K. Towns,,2,2
12,1,10:04.0,K. Towns misses 2-pt layup from 2 ft (block by S. Ibaka),,2,2
13,1,10:03.0,Offensive rebound by A. Wiggins,,2,2
14,1,9:57.0,Z. LaVine makes 3-pt jump shot from 25 ft (assist by A. Wiggins),,5,2
15,1,9:49.0,,N. Vučević misses 2-pt hook shot from 5 ft,5,2
16,1,9:48.0,Defensive rebound by G. Dieng,,5,2
17,1,9:38.0,Shooting foul by S. Ibaka (drawn by K. Towns),,5,2
18,1,9:38.0,K. Towns makes free throw 1 of 2,,6,2
19,1,9:38.0,K. Towns makes free throw 2 of 2,,7,2
20,1,9:27.0,,S. Ibaka misses 2-pt hook shot from 6 ft,7,2
21,1,9:26.0,Defensive rebound by K. Towns,,7,2
22,1,9:13.0,Z. LaVine makes 2-pt layup from 1 ft,,9,2
23,1,9:06.0,,E. Payton makes 2-pt layup from 2 ft,9,4
24,1,8:55.0,Shooting foul by A. Gordon (drawn by A. Wiggins),,9,4
25,1,8:55.0,A. Wiggins makes free throw 1 of 2,,10,4
26,1,8:55.0,A. Wiggins makes free throw 2 of 2,,11,4
