,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CLEVELAND_ACTION,MILWAUKEE_SCORE,CLEVELAND_SCORE
0,1,11:46.0,,R. Jefferson misses 2-pt layup from 2 ft (block by T. Maker),0,0
1,1,11:43.0,,Offensive rebound by R. Jefferson,0,0
2,1,11:32.0,,K. Irving misses 2-pt jump shot from 13 ft,0,0
3,1,11:31.0,Defensive rebound by M. Beasley,,0,0
4,1,11:19.0,M. Beasley makes 2-pt jump shot from 7 ft (assist by G. Antetokounmpo),,2,0
5,1,10:56.0,,Shooting foul by T. Maker (drawn by R. Jefferson),2,0
6,1,10:56.0,,R. Jefferson makes free throw 1 of 2,2,1
7,1,10:56.0,,R. Jefferson makes free throw 2 of 2,2,2
8,1,10:47.0,Turnover by T. Maker (bad pass; steal by R. Jefferson),,2,2
9,1,10:41.0,,L. James makes 2-pt dunk at rim (assist by R. Jefferson),2,4
10,1,10:30.0,M. Beasley misses 2-pt jump shot from 8 ft,,2,4
11,1,10:29.0,,Defensive rebound by L. James,2,4
12,1,10:23.0,,L. James makes 2-pt layup from 2 ft,2,6
13,1,10:06.0,M. Beasley misses 2-pt jump shot from 8 ft,,2,6
14,1,10:03.0,,Defensive rebound by T. Thompson,2,6
15,1,9:47.0,,Personal foul by M. Beasley (drawn by K. Irving),2,6
16,1,9:39.0,,Shooting foul by T. Maker (drawn by R. Jefferson),2,6
17,1,9:39.0,,R. Jefferson makes free throw 1 of 2,2,7
18,1,9:39.0,G. Monroe enters the game for T. Maker,,2,7
19,1,9:39.0,,R. Jefferson makes free throw 2 of 2,2,8
20,1,9:27.0,G. Antetokounmpo misses 2-pt jump shot from 18 ft,,2,8
21,1,9:26.0,Offensive rebound by Team,,2,8
22,1,9:17.0,M. Beasley makes 2-pt jump shot from 12 ft (assist by G. Monroe),,4,8
23,1,9:01.0,,Turnover by R. Jefferson (traveling),4,8
24,1,8:37.0,M. Dellavedova misses 3-pt jump shot from 25 ft,,4,8
25,1,8:37.0,,Defensive rebound by I. Shumpert,4,8
26,1,8:24.0,,R. Jefferson makes 3-pt jump shot from 26 ft (assist by K. Irving),4,11
27,1,8:04.0,M. Beasley misses 2-pt jump shot from 9 ft,,4,11
28,1,8:02.0,,Defensive rebound by L. James,4,11
29,1,7:59.0,,Turnover by L. James (lost ball),4,11
30,1,7:46.0,G. Antetokounmpo misses 2-pt layup at rim,,4,11
31,1,7:44.0,,Defensive rebound by L. James,4,11
32,1,7:42.0,,K. Irving misses 2-pt layup from 1 ft (block by G. Antetokounmpo),4,11
33,1,7:42.0,,Offensive rebound by Team,4,11
34,1,7:38.0,,R. Jefferson misses 3-pt jump shot from 25 ft,4,11
35,1,7:38.0,Defensive rebound by M. Beasley,,4,11
36,1,7:26.0,G. Monroe misses 2-pt hook shot from 6 ft,,4,11
37,1,7:25.0,Offensive rebound by G. Monroe,,4,11
38,1,7:23.0,G. Monroe makes 2-pt layup from 2 ft,,6,11
39,1,7:06.0,,L. James makes 2-pt jump shot from 5 ft,6,13
40,1,7:06.0,,Shooting foul by G. Monroe (drawn by L. James),6,13
41,1,7:06.0,,L. James misses free throw 1 of 1,6,13
42,1,7:05.0,Defensive rebound by T. Snell,,6,13
43,1,6:52.0,G. Monroe misses 2-pt jump shot from 18 ft,,6,13
44,1,6:52.0,,Defensive rebound by I. Shumpert,6,13
45,1,6:42.0,,R. Jefferson makes 2-pt dunk at rim (assist by K. Irving),6,15
46,1,6:42.0,Milwaukee full timeout,,6,15
47,1,6:42.0,J. Terry enters the game for M. Beasley,,6,15
48,1,6:26.0,T. Snell misses 3-pt jump shot from 26 ft,,6,15
